CODGEO;P17_POP;P17_LOG;P17_RP;P17_LOGVAC;P17_RP_PROP;MED17;TP6017;P17_CHOM1564;P17_ACT1564;INSEE_COM;REG;DEP
01001;776.0;353.73043478261;311.00000000000097;26.452173913043605;264.120264750266;23310.0;;33.4252662491528;380.320498132323;01001;84;01
01002;248.0;171.902431724654;103.078189300411;16.193939393939498;87.7695473251026;24290.0;;10.2057613168724;125.53086419753099;01002;84;01
01004;14035.0;7217.1123919212;6402.91027300023;693.04968276508;2736.37718333897;19860.0;17.0;1015.3045282611;6835.1956404906605;01004;84;01
01005;1689.0;697.3007518796969;649.9999999999981;34.6872180451127;494.615205723312;23370.0;;68.5983481615111;874.050089358249;01005;84;01
01006;111.0;74.77348484848491;53.4818181818182;9.125000000000009;38.3454545454546;23970.0;;8.072727272727281;58.527272727272795;01006;84;01
01007;2726.0;1260.5605974514801;1137.99426523298;67.9443798167805;833.2960573476711;22380.0;;102.321146953405;1343.5835125448;01007;84;01
01008;752.0;351.49897291509694;320.720529801324;25.0074850299401;239.046357615894;25330.0;;26.892715231788102;419.32715231788103;01008;84;01
01010;1115.0;591.0;464.0;49.0;359.0;22360.0;;52.0;539.0;01010;84;01
01011;376.0;187.0;150.0;16.0;121.0;24540.0;;17.0;180.0;01011;84;01
01012;326.0;217.0;147.0;20.0;120.0;20960.0;;17.0;146.0;01012;84;01
01013;144.0;116.0;63.0;17.0;55.0;20910.0;;7.0;70.0;01013;84;01
01014;3367.0;1459.0;1346.0;104.0;823.0;20470.0;11.0;210.0;1493.0;01014;84;01
01015;644.0;403.97939206594594;290.646058732612;42.011494252873604;234.90571870169998;23090.0;;37.8238021638331;297.613601236476;01015;84;01
01016;463.0;212.34418604651;174.999999999998;14.130232558139602;152.52813177607402;20030.0;;16.4799111052666;208.38943361245202;01016;84;01
01017;442.0;318.99999999999903;196.999999999999;57.0;163.129695003541;19040.0;;27.1709678294026;183.51655882524202;01017;84;01
01021;1408.0;560.557777124391;519.771929824577;27.190564866542502;380.512280701766;24160.0;;44.131578947369796;676.612865497092;01021;84;01
01022;1237.0;727.070921982457;574.999999996641;111.78723404255301;356.549091184054;20150.0;;75.6913882998754;537.425591643922;01022;84;01
01024;3211.0;1386.0;1297.0;76.0;961.0;22030.0;6.0;111.0;1609.0;01024;84;01
01025;4092.0;1718.96565418655;1606.9068178352402;90.83557189083191;1339.25671542812;22010.0;6.0;145.880908346363;2043.5433394818301;01025;84;01
01026;923.0;444.325733565955;404.958515283843;29.8236502137213;237.877729257642;21040.0;;37.7583697234352;434.300684389285;01026;84;01
