INSEE_COM;DEP;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020;P19_POP;P13_POP;SUPERF;NAIS1319;DECE1319;P19_MEN;NAISD21;DECESD21;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_RP_PROP;NBMENFISC19;PIMP19;MED19;TP6019;P19_EMPLT;P19_EMPLT_SAL;P13_EMPLT;P19_POP1564;P19_CHOMEUR1564;P19_ACT1564;ETTOT19;ETAZ19;ETBE19;ETFZ19;ETGU19;ETGZ19;ETOQ19;ETTEF119;ETTEFP1019;Indice de Gini
2B029;2B;2B5;2B05;200073120;CC;9402;2B000;294.0;250.0;10.86;15.0;12.0;124.489554310208;4;1;212.339016675799;124.489554310208;85.8064516129032;2.04301075268817;99.3708432862075;114.0;;20730.0;;51.2274695500146;32.6017008928514;21.4761633743646;197.199337501454;18.3425148760483;151.34597179226;8.0;1.0;0.0;2.0;4.0;0.0;1.0;7.0;0.0;0.0
2B030;2B;2B2;2B08;200042943;CC;9402;2B000;132.0;130.0;18.07;2.0;11.0;76.4210526315789;0;2;241.421052631579;76.4210526315789;151.0;14.0;56.5714285714286;63.0;;17640.0;;25.8738919297273;15.9490798996521;23.7903610061563;47.6390977443609;5.95488721804511;38.7067669172932;7.0;1.0;1.0;0.0;4.0;0.0;1.0;6.0;0.0;0.0
2B033;2B;2B2;2B99;242000354;CA;9402;2B501;48503.0;42254.0;19.38;2204.0;2335.0;20486.417715892;275;433;21213.3914056928;20486.417715892;329.674121319509;397.299568481355;8111.22545299578;15560.0;48.0;19460.0;22.0;23825.3542829075;19965.8916288605;21054.1828419566;30084.4818186338;2455.7647872376;20254.0081298465;1926.0;0.0;86.0;161.0;1409.0;424.0;270.0;1400.0;315.0;0.31
2B034;2B;2B5;2B15;200073104;CC;9403;2B000;671.0;552.0;13.01;33.0;29.0;300.900851690414;5;2;1062.17730220236;300.900851690414;756.174061433448;5.1023890784983;196.857703519219;254.0;;20860.0;;202.684595730514;136.649262427502;202.654192092387;405.872564282426;48.9495281459363;308.987898509259;48.0;3.0;2.0;10.0;29.0;9.0;4.0;29.0;4.0;0.0
2B036;2B;2B3;2B14;200036499;CC;9402;2B000;88.0;79.0;8.94;0.0;6.0;50.8444444444444;0;1;91.2611111111111;50.8444444444444;34.3541666666667;6.0625;41.0666666666667;;;;;8.88989898989899;0.0;16.1297147728398;40.0888888888889;8.8;28.3555555555556;3.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0
2B037;2B;2B2;2B05;200036499;CC;9402;2B501;7810.0;7772.0;22.27;480.0;271.0;3379.0483661835;67;60;3584.10727422948;3379.0483661835;96.0275862068966;109.031321839081;2046.0913279824;2731.0;60.0;22670.0;14.0;3475.09881094942;2834.26817979137;3128.01761818277;5163.8052664461;306.313635880305;3886.58676166784;581.0;14.0;57.0;129.0;352.0;133.0;29.0;432.0;95.0;0.264
2B039;2B;2B3;2B14;200073138;CC;9404;2B000;225.0;178.0;12.66;16.0;19.0;101.25;1;1;201.745049504951;101.25;80.3960396039608;20.0990099009902;79.7727272727273;81.0;;19360.0;;14.3181818181818;12.2727272727273;19.5561947857629;121.704545454545;6.13636363636364;75.6818181818182;5.0;1.0;1.0;1.0;1.0;0.0;1.0;3.0;0.0;0.0
2B042;2B;2B2;2B06;200036499;CC;9402;2B401;8832.0;7997.0;37.78;563.0;330.0;3488.6046748257;85;77;5216.08693284646;3488.6046748257;1436.28698837238;291.195269648369;2044.57060997805;3165.0;56.0;21040.0;16.0;4010.92979540478;3374.19579175675;3744.60617348633;5977.39918511633;447.748931600643;4041.85644454695;496.0;16.0;38.0;90.0;314.0;114.0;38.0;337.0;105.0;0.265
2B043;2B;2B2;2B08;200042943;CC;9402;2B501;1624.0;1705.0;22.22;67.0;109.0;818.104865056038;7;16;1484.97123907066;818.104865056038;636.789974564509;30.0763994501152;627.372157465374;730.0;;22600.0;;256.66730624142;166.791905058339;278.88999152838;984.759808587844;68.1958623817147;735.993571594389;63.0;0.0;4.0;12.0;42.0;7.0;5.0;30.0;5.0;0.0
2B045;2B;2B3;2B14;200073138;CC;9404;2B000;66.0;59.0;11.52;1.0;4.0;29.4461538461538;0;1;72.0294871794872;29.4461538461538;36.5;6.08333333333334;24.3692307692308;;;;;8.22709730777038;2.08257719827404;3.0;34.5230769230769;2.03076923076923;25.3846153846154;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2B046;2B;2B2;2B08;200042943;CC;9402;2B000;155.0;177.0;14.72;3.0;21.0;86.0;0;3;259.0;86.0;161.0;12.0;66.0;80.0;;18990.0;;32.0;16.0;25.3722156613945;83.0;13.0;63.0;6.0;1.0;0.0;1.0;3.0;1.0;1.0;5.0;0.0;0.0
