CODGEO;P17_POP;P12_POP;SUPERF;NAIS1217;DECE1217;P17_MEN;NAISD19;DECESD19;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_RP_PROP;NBMENFISC17;PIMP17;MED17;TP6017;P17_EMPLT;P17_EMPLT_SAL;P12_EMPLT;P17_POP1564;P17_CHOM1564;P17_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;INSEE_COM;REG;DEP
29095;1447.0;1344.0;11.95;97.0;29.0;546.797150610584;31.0;3.0;582.208135459068;546.797150610584;3.8282145782145798;31.5827702702703;451.57394843962004;555.0;;22610.0;;277.723729327975;239.353452804814;349.749473676958;932.598371777476;35.3405698778833;750.987109905021;86.0;23.0;2.0;12.0;44.0;16.0;5.0;21.0;8.0;29095;53;29
29097;2058.0;2057.0;17.48;107.0;77.0;877.929745889389;18.0;17.0;981.445053766926;877.929745889389;29.4201401336158;74.09516774392141;727.717488789239;837.0;46.0;20620.0;;829.628077311967;732.881881279326;1544.3854544757;1212.6980568012;83.2257100149478;945.871449925263;140.0;20.0;17.0;14.0;76.0;26.0;13.0;36.0;9.0;29097;53;29
29098;2111.0;2060.0;4.04;93.0;93.0;1003.83216783217;17.0;23.0;1478.0744038570099;1003.83216783217;374.72245201963096;99.51978400521358;860.146386946387;1022.0;52.0;21600.0;;166.145101021845;119.745912447908;257.875269456085;1169.1692307692301;94.4783216783217;836.526806526806;86.0;4.0;3.0;8.0;59.0;11.0;12.0;18.0;5.0;29098;53;29
29099;838.0;794.0;6.35;50.0;26.0;333.771010962241;5.0;2.0;416.619735676401;333.771010962241;64.5574478292156;18.2912768849444;291.922046285018;315.0;;21310.0;;86.2066029749229;39.4424730960852;100.13235676596099;509.332521315468;26.538367844092498;388.88915956151;48.0;15.0;4.0;7.0;20.0;2.0;2.0;15.0;1.0;29099;53;29
29101;3578.0;3606.0;10.98;147.0;211.0;1584.8978389712197;22.0;53.0;2227.1092987256397;1584.8978389712197;490.028649386081;152.18281036834802;1313.1444922999901;1636.0;56.0;23720.0;6.0;590.737855768834;447.922783003756;529.586336199751;2123.90036503362;182.57733576386798;1575.78104806029;249.0;29.0;12.0;22.0;158.0;27.0;28.0;68.0;5.0;29101;53;29
29102;937.0;983.0;30.41;41.0;82.0;456.286757038582;10.0;11.0;640.670690267586;456.286757038582;68.1418883672405;116.242044861763;368.351407716371;429.0;;18370.0;;203.893564936804;144.88697729011102;223.828388842346;541.290928050052;55.6923879040668;387.89259645463994;87.0;26.0;9.0;10.0;36.0;8.0;6.0;21.0;3.0;29102;53;29
29103;15781.0;15265.0;13.19;829.0;886.0;7434.65228303508;133.0;195.0;8112.627456330259;7434.65228303508;97.655117664275;580.320055630908;4420.14826323919;6943.0;49.0;21190.0;9.0;7489.46579388953;6804.46507117251;7713.660149012109;9641.23911833039;954.5480470281551;7189.606373688721;1159.0;3.0;43.0;73.0;799.0;229.0;241.0;347.0;104.0;29103;53;29
29104;337.0;344.0;13.83;15.0;21.0;154.0;1.0;4.0;348.128654970759;154.0;171.999999999999;22.128654970760103;137.981069769035;152.0;;19750.0;;75.0065224081141;40.3704502870868;85.52252618169871;189.01246058264;12.1318437955388;128.283328010184;44.0;13.0;3.0;0.0;24.0;2.0;4.0;12.0;0.0;29104;53;29
29105;9132.0;9131.0;18.99;556.0;476.0;4142.839727796661;81.0;94.0;4727.12774766009;4142.839727796661;87.0627844167376;497.225235446701;2590.6388629860003;4005.0;44.0;19780.0;12.0;6216.857427538051;5697.94680646662;6575.098035966539;5559.28708976087;505.76544035354004;4232.04403241002;826.0;27.0;57.0;66.0;567.0;207.0;109.0;266.0;83.0;29105;53;29
29106;1841.0;1750.0;20.32;123.0;57.0;753.31537968544;18.0;13.0;821.378241554753;753.31537968544;19.7024073832223;48.36045448609121;631.909202246043;735.0;;20990.0;;302.06092211267503;240.559976369426;334.250721960185;1159.33416765584;63.6884865255854;931.4488018064841;110.0;29.0;11.0;11.0;53.0;9.0;6.0;28.0;3.0;29106;53;29
