INSEE_COM;DEP;P19_POP;P13_POP;SUPERF;NAIS1319;DECE1319;P19_MEN;NAISD21;DECESD21;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_RP_PROP;NBMENFISC19;PIMP19;MED19;TP6019;P19_EMPLT;P19_EMPLT_SAL;P13_EMPLT;P19_POP1564;P19_CHOMEUR1564;P19_ACT1564;ETTOT19;ETAZ19;ETBE19;ETFZ19;ETGU19;ETGZ19;ETOQ19;ETTEF119;ETTEFP1019;Indice de Gini
72001;72;1698.0;1618.0;12.59;126.0;36.0;632.580689258543;15;13;663.3787814684;632.580689258543;6.37201907790146;24.4260731319556;533.877986747459;629.0;;23150.0;;236.685724925775;202.565156680771;231.861165433011;1154.97902300021;83.3991801502065;887.95349799166;24.0;6.0;2.0;1.0;13.0;3.0;2.0;16.0;5.0;0.0
72002;72;205.0;214.0;15.07;14.0;6.0;90.6532663316583;0;2;128.653266331658;90.6532663316583;20.9;17.1;72.1105527638191;90.0;;21980.0;;14.2121047260701;9.12165246476361;29.4367263429214;118.467336683417;6.18090452261306;89.6231155778894;5.0;1.0;1.0;0.0;2.0;1.0;1.0;5.0;0.0;0.0
72003;72;11167.0;11047.0;18.07;774.0;911.0;4696.63271304673;109;181;5115.1670067985;4696.63271304673;52.483040141076;366.051253610695;2076.82768746364;4542.0;42.0;17970.0;25.0;6516.77865910464;6227.65987999976;6283.62909763405;6367.99367443166;917.487153296079;4320.16716303636;244.0;5.0;19.0;23.0;156.0;69.0;41.0;163.0;66.0;0.227
72004;72;585.0;530.0;15.95;46.0;12.0;210.054848669208;7;0;244.332399689616;210.054848669208;20.1632653061225;14.1142857142857;170.474545568233;203.0;;21120.0;;51.6184891704591;24.9465443655881;35.6972097306835;357.502215781975;25.8678346648367;285.618876231015;8.0;3.0;0.0;1.0;3.0;0.0;1.0;7.0;0.0;0.0
72005;72;936.0;959.0;27.21;55.0;37.0;389.912601375372;8;15;442.030783193554;389.912601375372;15.034090909091;37.084090909091;320.628465796971;397.0;;21670.0;;142.669514972;112.715546430926;141.332120622999;526.725439747648;32.9197565585442;389.91564485143;15.0;5.0;0.0;2.0;5.0;2.0;3.0;9.0;4.0;0.0
72006;72;1899.0;1851.0;7.85;84.0;57.0;830.536764001748;10;15;912.510448212275;830.536764001748;11.7105263157895;70.2631578947368;620.641307386974;808.0;;22770.0;;1166.21618833805;1085.40690456857;1219.05818791722;1129.6160824416;63.9035228875107;786.632511804745;110.0;0.0;9.0;11.0;86.0;51.0;4.0;81.0;28.0;0.0
72007;72;497.0;489.0;11.67;44.0;15.0;197.793939393939;4;2;226.348985265499;197.793939393939;12.237876802097;16.3171690694626;153.066666666667;183.0;;22160.0;;216.176860120459;211.194947999417;228.063351763272;298.193939393939;16.8969696969697;236.563636363636;10.0;1.0;2.0;1.0;5.0;0.0;1.0;8.0;2.0;0.0
72008;72;5503.0;5143.0;10.76;305.0;259.0;2392.87225659765;41;49;2553.75811664246;2392.87225659765;19.4702633175249;141.415596727286;1746.97604746915;2372.0;59.0;21910.0;11.0;3599.08634594683;3335.42731303141;3632.31383982319;3221.29916613683;282.988583220901;2365.04407844732;204.0;1.0;24.0;19.0;138.0;53.0;22.0;125.0;67.0;0.225
72009;72;362.0;396.0;8.65;24.0;8.0;135.0;1;2;160.0;135.0;6.0;19.0;108.0;139.0;;20590.0;;25.0073643756526;8.00736437565257;21.5643564356436;233.0;17.0;186.0;8.0;4.0;0.0;1.0;2.0;0.0;1.0;7.0;0.0;0.0
72011;72;906.0;918.0;28.39;61.0;34.0;382.0;11;7;485.0;382.0;45.0;58.0;309.0;376.0;;20300.0;;110.227094880013;54.1256222343306;119.320992299401;542.0;39.0;418.0;22.0;9.0;0.0;3.0;7.0;4.0;3.0;16.0;1.0;0.0
