INSEE_COM;DEP;P19_POP;P13_POP;SUPERF;NAIS1319;DECE1319;P19_MEN;NAISD21;DECESD21;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_RP_PROP;NBMENFISC19;PIMP19;MED19;TP6019;P19_EMPLT;P19_EMPLT_SAL;P13_EMPLT;P19_POP1564;P19_CHOMEUR1564;P19_ACT1564;ETTOT19;ETAZ19;ETBE19;ETFZ19;ETGU19;ETGZ19;ETOQ19;ETTEF119;ETTEFP1019;Indice de Gini
18001;18;380.0;376.0;12.75;23.0;19.0;171.825826556749;2;7;226.340112271034;171.825826556749;30.2857142857143;24.2285714285714;150.520734498335;160.0;;21360.0;;39.9585923016378;23.0468114861203;44.6583033266361;245.702326843387;21.9356191932607;183.359286330758;5.0;1.0;0.0;1.0;1.0;0.0;2.0;3.0;1.0;0.0
18002;18;191.0;203.0;13.77;13.0;16.0;94.0;0;2;142.0;94.0;24.0;24.0;73.0;85.0;;18290.0;;30.8461043528291;18.8619773687022;34.7099036692214;109.0;14.0;86.0;9.0;1.0;1.0;0.0;5.0;1.0;2.0;8.0;0.0;0.0
18003;18;1889.0;1901.0;14.68;112.0;190.0;889.0;15;39;1034.0;889.0;24.0;121.0;632.0;942.0;;20530.0;;521.514239999221;435.856533009475;595.35540723147;1038.0;97.0;824.0;58.0;1.0;6.0;7.0;28.0;13.0;16.0;41.0;14.0;0.0
18004;18;1070.0;1025.0;49.53;68.0;49.0;471.112123974479;15;7;571.935301991205;471.112123974479;47.8130534924682;53.0101245242582;398.933454876939;478.0;;23260.0;;73.5651245076774;49.0646716137573;116.335392668392;643.755697356427;40.9662716499544;521.8322698268;16.0;1.0;2.0;4.0;6.0;1.0;3.0;14.0;1.0;0.0
18006;18;237.0;235.0;11.79;25.0;11.0;109.0;6;2;129.0;109.0;8.0;12.0;89.0;109.0;;22290.0;;18.1194867997857;5.0;25.0352512633732;131.0;6.0;103.0;8.0;4.0;0.0;2.0;0.0;0.0;2.0;7.0;0.0;0.0
18007;18;70.0;71.0;30.69;1.0;2.0;38.4507042253521;0;1;61.1022193768673;38.4507042253521;3.93939393939394;18.7121212121212;7.88732394366197;;;;;25.7774089972122;17.7938435480895;14.0214954148361;37.4647887323944;3.94366197183099;30.5633802816901;6.0;3.0;0.0;0.0;2.0;0.0;1.0;5.0;0.0;0.0
18008;18;500.0;520.0;18.32;24.0;15.0;204.0;5;3;227.0;204.0;10.0;13.0;194.0;206.0;;23240.0;;30.0735024526308;19.0468110313427;36.5083459924005;325.0;16.0;257.0;9.0;4.0;0.0;2.0;1.0;1.0;2.0;8.0;0.0;0.0
18009;18;283.0;305.0;20.14;11.0;22.0;140.0;2;4;177.0;140.0;18.0;19.0;106.0;137.0;;20150.0;;56.3120107690697;34.3388917516304;49.7691901454279;174.0;21.0;138.0;12.0;2.0;0.0;3.0;5.0;2.0;2.0;7.0;2.0;0.0
18011;18;2063.0;2130.0;67.35;91.0;226.0;1002.95412739691;19;51;1285.32148954296;1002.95412739691;107.758569299553;174.608792846498;691.125147958449;1019.0;54.0;21210.0;10.0;746.641307768816;650.256559349196;846.951524707673;1125.32339375188;100.181709293913;839.357121104795;69.0;7.0;9.0;8.0;34.0;12.0;11.0;51.0;11.0;0.206
18012;18;440.0;477.0;14.72;24.0;30.0;206.0;4;8;266.0;206.0;31.0;29.0;161.0;208.0;;22200.0;;92.1190600557006;76.1190600557006;99.5239375946418;254.0;24.0;196.0;11.0;2.0;1.0;1.0;6.0;1.0;1.0;8.0;2.0;0.0
18013;18;304.0;321.0;48.01;13.0;17.0;144.0;2;2;173.0;144.0;15.0;14.0;132.0;139.0;;22090.0;;23.9863919211707;7.99667977770033;26.8741123379733;182.0;9.0;133.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0
18014;18;148.0;161.0;17.05;6.0;13.0;75.0;1;2;150.5;75.0;67.4466666666669;8.05333333333336;63.0;82.0;;18970.0;;41.7477552926713;23.6643979749231;42.1605309884221;93.0;7.0;67.0;7.0;2.0;0.0;1.0;2.0;1.0;2.0;6.0;0.0;0.0
18015;18;5502.0;5582.0;61.53;272.0;522.0;2635.62039375628;40;103;3201.54677761767;2635.62039375628;140.471013137023;425.455370724365;1625.36268665347;2603.0;51.0;20830.0;12.0;3021.63791173514;2688.15204675899;2960.21092565052;3131.89436645068;274.662566285225;2336.213865738;213.0;10.0;19.0;20.0;131.0;42.0;33.0;155.0;40.0;0.233
18017;18;288.0;296.0;30.46;9.0;27.0;131.0;1;2;202.0;131.0;37.0;34.0;109.0;124.0;;18540.0;;59.8919967182;19.8955043980731;70.1184191654545;174.0;13.0;117.0;6.0;4.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0
18018;18;2740.0;2716.0;27.98;157.0;72.0;994.564541337978;31;15;1116.671279561;994.564541337978;10.0914659688444;112.015272254173;370.820416628548;979.0;47.0;19530.0;16.0;2865.31103151021;2785.71206357562;3054.64805978767;1906.95004592828;174.325902382445;1542.76759140891;44.0;1.0;8.0;4.0;24.0;6.0;7.0;29.0;10.0;0.213
18020;18;858.0;855.0;25.03;58.0;56.0;403.0;4;8;526.0;403.0;56.0;67.0;344.0;395.0;;22070.0;;87.6932686484443;70.6456320899929;94.8655195169679;486.0;24.0;371.0;19.0;1.0;1.0;2.0;12.0;2.0;3.0;12.0;2.0;0.0
18021;18;273.0;251.0;21.08;11.0;21.0;133.916963484578;2;2;219.308668553702;133.916963484578;65.2995391705069;20.0921658986175;106.910946278081;114.0;;20000.0;;41.9018825161127;19.0754464960595;45.8434156339408;151.123916697931;10.7675942620069;105.413849965425;13.0;4.0;1.0;0.0;5.0;0.0;3.0;11.0;0.0;0.0
18022;18;345.0;382.0;27.87;13.0;38.0;165.665146720677;0;12;306.193574814322;165.665146720677;60.7959866220736;79.7324414715719;131.763993049576;159.0;;22330.0;;42.6646581431382;17.8215760576141;60.2368278683968;198.746487956085;21.8684742640411;148.081002357765;12.0;6.0;0.0;0.0;4.0;1.0;2.0;11.0;0.0;0.0
18023;18;1665.0;1723.0;47.78;96.0;89.0;741.469150885772;22;15;905.30354098239;741.469150885772;37.1894014329747;126.644988663644;494.312767257181;706.0;;21020.0;;505.849577129645;400.445885539038;509.502406822045;1001.84789248626;78.3170433720219;780.11912034209;62.0;11.0;5.0;8.0;29.0;5.0;9.0;44.0;13.0;0.0
18024;18;99.0;86.0;12.92;4.0;6.0;43.3125;1;2;71.3125;43.3125;21.0;7.0;37.125;;;;;24.2981336307797;14.0471656845051;28.7795969970249;58.78125;5.15625;42.28125;7.0;4.0;0.0;1.0;1.0;0.0;1.0;6.0;0.0;0.0
18025;18;617.0;673.0;11.83;22.0;54.0;300.0;9;11;377.0;300.0;12.0;65.0;218.0;305.0;;20200.0;;190.622220308119;171.408231728295;202.713306087519;354.0;38.0;258.0;8.0;1.0;3.0;0.0;2.0;1.0;2.0;6.0;2.0;0.0
18026;18;1010.0;1037.0;11.01;81.0;45.0;435.404834865509;17;6;580.015748270017;435.404834865509;57.6613135726835;86.9495998318243;251.590057882193;423.0;;22140.0;;1338.58774856762;1284.40291803361;1180.24811704411;615.112019067075;65.7214845080014;478.534559073885;32.0;0.0;4.0;5.0;18.0;4.0;5.0;24.0;6.0;0.0
18027;18;657.0;680.0;35.24;38.0;21.0;285.738390946623;6;3;342.902184050071;285.738390946623;32.0919540229885;25.0718390804598;216.469863649509;275.0;;20840.0;;104.163103696497;78.1069701185161;104.536825081907;410.868035811639;31.893537630759;314.49880214434;11.0;2.0;0.0;2.0;2.0;1.0;5.0;7.0;3.0;0.0
18028;18;1183.0;1187.0;30.87;74.0;29.0;493.074489157999;8;7;532.146845373212;493.074489157999;8.01484230055656;31.0575139146567;403.635384487619;485.0;;24100.0;;135.189558145226;91.3449046020595;169.783807299867;727.852336919368;36.566024676553;573.375442191501;24.0;6.0;3.0;1.0;12.0;4.0;2.0;17.0;4.0;0.0
18029;18;301.0;333.0;25.75;14.0;26.0;151.476198485769;2;3;250.862917235769;151.476198485769;59.23046875;40.15625;98.3561675438825;150.0;;17870.0;;58.9685885011538;32.9975512450768;63.9422400974118;167.420133574076;18.864568698938;117.504907065176;11.0;2.0;0.0;2.0;5.0;2.0;2.0;9.0;0.0;0.0
18030;18;1018.0;1116.0;64.35;57.0;91.0;500.920634920638;8;17;666.004714522628;500.920634920638;54.6904312791869;110.393648322803;351.452380952383;487.0;;20430.0;;285.635099146603;229.583653906329;326.427583128605;588.78373015873;39.3869047619045;457.494047619047;23.0;5.0;3.0;2.0;10.0;4.0;3.0;15.0;3.0;0.0
18031;18;568.0;627.0;30.08;33.0;58.0;259.321943318125;7;7;390.655276651459;259.321943318125;61.2888888888889;70.0444444444445;206.852133775158;247.0;;18250.0;;87.2056992243182;56.9755488716242;136.600365845319;314.770750711964;36.3252527605156;248.18407529352;11.0;4.0;0.0;0.0;4.0;4.0;3.0;8.0;1.0;0.0
18032;18;1396.0;1360.0;32.71;58.0;171.0;647.952803130388;13;24;840.663240840826;647.952803130388;76.8844751487239;115.825962561714;539.283602605386;631.0;;22090.0;;217.11267163461;155.373309042678;218.409119617357;774.887442573294;59.9050391190689;575.829841611607;32.0;2.0;4.0;4.0;16.0;3.0;6.0;25.0;5.0;0.0
18033;18;64541.0;67189.0;68.74;4411.0;4509.0;32685.2197456542;661;865;38988.0841584688;32685.2197456542;953.669647198119;5349.19476561645;15538.1962692079;31400.0;55.0;20810.0;19.0;38393.899244561;35349.9743686803;38789.0344503142;40065.9289932857;4577.95023115262;28244.5116207867;2303.0;15.0;125.0;152.0;1653.0;480.0;358.0;1622.0;508.0;0.279
18034;18;309.0;326.0;3.35;12.0;17.0;136.863325492997;1;14;151.863325492997;136.863325492997;10.0;5.0;122.993938698877;126.0;;23280.0;;17.7566433005502;10.8746227004577;19.090318100123;163.449905300808;13.6374260765746;132.836561535569;6.0;2.0;0.0;3.0;0.0;0.0;1.0;5.0;0.0;0.0
18035;18;1043.0;902.0;39.63;75.0;36.0;374.92045612777;9;8;420.55875400011;374.92045612777;22.3120567375885;23.3262411347517;323.292318614412;376.0;;21760.0;;110.508197251062;83.9628664051613;96.6419465960961;652.928533129412;39.3725114561323;524.8785752038;15.0;4.0;0.0;3.0;6.0;1.0;2.0;13.0;1.0;0.0
18037;18;974.0;1008.0;116.3;38.0;99.0;496.855329237859;3;12;816.265882648412;496.855329237859;209.268983268983;110.14157014157;334.416170648304;463.0;;19880.0;;292.488727819428;226.71138491957;270.030034242756;520.15610971674;56.4057352706423;397.817878955913;42.0;4.0;7.0;9.0;19.0;5.0;3.0;34.0;5.0;0.0
18038;18;567.0;610.0;13.9;37.0;46.0;256.000000000002;1;9;388.889162561578;256.000000000002;62.4176369607404;70.4715256008359;192.000000000001;253.0;;21070.0;;217.914104566469;174.998730374349;225.813326275896;336.0;38.9999999999988;239.0;24.0;3.0;3.0;6.0;8.0;3.0;4.0;14.0;4.0;0.0
18039;18;318.0;335.0;6.3;21.0;25.0;148.477515251594;5;7;222.172988502623;148.477515251594;32.8641975308642;40.8312757201646;113.766305859279;142.0;;31420.0;;250.234656476299;174.714084078732;259.846936152558;197.53190295132;13.2066527057934;162.21164141476;36.0;28.0;0.0;0.0;7.0;5.0;1.0;31.0;4.0;0.0
18040;18;362.0;368.0;26.69;20.0;15.0;156.900849858357;1;2;203.305493307776;156.900849858357;30.9364289662797;15.4682144831399;123.059490084986;144.0;;21690.0;;52.8427883707961;32.4351463953112;57.6609013542956;219.456090651558;13.3314447592068;162.028328611898;16.0;7.0;3.0;2.0;2.0;0.0;2.0;14.0;0.0;0.0
18041;18;192.0;178.0;24.81;17.0;20.0;77.0;3;3;137.0;77.0;44.0;16.0;64.0;76.0;;19940.0;;35.9555567067091;17.9555567067091;51.5229679617579;116.0;7.0;93.0;7.0;3.0;0.0;1.0;0.0;0.0;3.0;6.0;0.0;0.0
18042;18;353.0;348.0;12.8;16.0;24.0;154.656775612357;1;1;205.159288175171;154.656775612357;32.321608040201;18.180904522613;122.613019111946;145.0;;19640.0;;38.6398867325153;23.7382622530831;41.5818101328638;225.130479267133;21.1450687034346;175.51441662814;7.0;1.0;2.0;1.0;0.0;0.0;3.0;7.0;0.0;0.0
18047;18;613.0;662.0;10.17;25.0;70.0;321.911541403918;4;10;434.167834310097;321.911541403918;37.0846681922197;75.1716247139588;197.488704911314;299.0;;19900.0;;216.872046544279;181.41861408489;246.444990014457;339.725586694377;33.7525886042844;267.286935705849;22.0;3.0;2.0;3.0;11.0;3.0;3.0;16.0;5.0;0.0
