INSEE_COM;DEP;total;total_immigrés;total_immigrés_actifs;total_immigrés_chômeurs;total_immigrés_retraités;total_immigrés_élèves;total_immigrés_femmes-h._au_foyer;total_français;total_français_actifs;total_français_chômeurs;total_français_retraités;total_français_élèves;total_français_femmes-h._au_foyer
2A001;2A;2718.58742752518;166.524565151053;103.462007934086;7.88281965212084;40.3994507171193;1.97070491303021;9.85352456515105;2552.06286237412;1440.58529142508;108.388770216662;693.688129386634;134.007934086054;81.7842538907537
2A004;2A;59433.6269451276;6793.09083088808;3300.68977512383;550.124720245612;1291.46734199319;173.619775477826;877.568169838726;52640.5361142396;26198.6709743107;2580.17581713633;14734.3461510446;3233.91306027583;2805.95572401017
2A006;2A;2905.87310499719;195.018528916339;97.0241437394725;9.70241437394728;58.214486243683;9.70241437394735;15.5238629983155;2710.85457608085;1556.26726558113;113.518248175183;717.008422234694;176.583941605841;66.9466591802357
2A008;2A;1548.0;77.0;40.0;5.0;22.0;0.0;7.0;1471.0;640.0;84.0;590.0;57.0;34.0
2A017;2A;1528.28353378457;97.1030781866812;56.9072732531066;3.85066914977032;27.5032611771701;1.99622136293395;4.8494318807662;1431.18045559788;772.213607148283;78.4514924683258;378.899523778304;88.9006242217522;53.7231613408648
2A018;2A;141.0;15.0;10.0;1.0;2.0;1.0;1.0;126.0;59.0;15.0;34.0;9.0;4.0
2A031;2A;464.551370107101;11.7630714201986;8.79615664768168;0.997526975347685;1.0108849445509;0.0;0.95850285261831;452.788298686902;193.807217274283;21.7360859589484;170.774513021798;8.79424519267196;35.7954943060895
2A032;2A;3478.0;276.0;140.0;17.0;74.0;4.0;23.0;3202.0;1787.0;171.0;864.0;165.0;87.0
2A035;2A;144.412121212121;7.80606060606061;4.87878787878788;0.0;0.0;0.0;2.92727272727273;136.606060606061;69.2787878787878;8.78181818181819;38.0545454545454;5.85454545454545;8.78181818181818
2A040;2A;338.276786357275;9.93415198251987;4.97916555188334;0.962211039928645;1.03476260112342;0.0;0.0;328.342634374755;149.780847904914;13.8791479777051;107.240536435242;16.3840267576459;15.0330696441496
2A041;2A;2698.6536826208;383.909868379774;191.879302366889;48.9091761943529;59.2255216104071;6.95391650553337;34.9511813667138;2314.74381424102;1045.49505539115;163.066533567993;612.844995702535;135.697096650045;111.173668394726
2A048;2A;430.0;42.0;20.0;3.0;10.0;2.0;6.0;388.0;190.0;18.0;147.0;7.0;10.0
2A056;2A;93.5454545454545;4.77272727272728;0.954545454545455;0.0;1.90909090909091;0.954545454545455;0.954545454545455;88.7727272727273;41.0454545454545;5.72727272727273;36.2727272727273;2.86363636363637;0.0
2A062;2A;330.2;17.272;2.032;1.016;4.064;0.0;4.064;312.928;152.4;17.272;97.536;16.256;6.096
2A064;2A;32.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;10.0;0.0;18.0;0.0;3.0
2A065;2A;1139.36115914637;135.85609039513;67.0408263455039;10.594250194922;21.1804071797595;4.62918131748596;8.33286713301385;1003.50506875124;421.331850684243;53.8297592142532;334.30334329594;52.2194555655037;38.9119406087208
2A070;2A;346.122181971312;24.2272939889187;4.69879287471084;2.95653282167263;11.92060421582;0.870104730647889;0.911377348542372;321.894887982393;118.676019904034;17.4237990187475;138.196484428599;5.47600634831855;11.4282810026733
2A085;2A;1268.04626546138;63.6377728351124;32.2680282554434;5.02333616928635;19.2877136329695;0.0;4.99625532924865;1204.40849262627;632.656814606836;70.0950730305603;378.678041583312;62.5469997181123;31.0409595243978
2A091;2A;163.0;5.0;4.0;1.0;0.0;0.0;0.0;158.0;54.0;9.0;73.0;6.0;10.0
2A092;2A;992.620252302894;191.393981983579;74.8259727373862;21.8459229934333;40.6390468422827;8.27986909236756;29.1246044112319;801.226270319316;318.421320816593;56.2041945896256;318.375983218543;34.2428422049012;36.4588156468232
2A098;2A;631.275676050402;49.4184524051862;28.2386565745398;1.00896860440202;14.1159458252859;1.00932494429267;2.0182938003491;581.857223645216;206.741342734731;38.3254926540428;267.19719416918;17.1524682878476;18.1553802459094
2A099;2A;235.689212506529;14.2541241011259;12.1993098867659;0.0;1.00845859470223;0.0;1.04635561965776;221.435088405403;87.0876993551318;9.17371042169785;74.1340971494478;9.32518338348298;28.4993861401555
2A103;2A;1702.93840810756;84.2180539527695;40.3502597788992;4.95257773241912;27.1039786511914;1.92532662779622;5.97997540405196;1618.72035415479;830.785301301101;85.9728680745771;452.779724432925;107.336876213332;50.6736362577227
2A104;2A;1070.07390983001;83.2705099778272;37.3281596452328;6.69992609017003;24.8854397634887;1.91426459719141;4.78566149297853;986.803399852182;593.422025129342;38.2852919438285;243.111603843314;62.2135994087208;25.8425720620843
2A108;2A;197.807635565385;7.84469719644876;1.94457537482395;0.0;0.983269993010135;0.0;0.983269993010135;189.962938368937;56.9968524188162;3.8891507496479;91.048971398418;4.67864254331667;3.84571218002451
2A114;2A;1192.98428512581;220.752106325855;97.6440986035433;23.3461087997518;46.0608688855751;2.99433648849087;37.4379660534392;972.232178799954;472.516216976306;88.5991094048027;254.953176049607;49.721070577146;27.6048045502535
2A118;2A;179.051237498524;15.1492948106643;9.19722526380581;2.95500041261218;2.99706913424627;0.0;0.0;163.90194268786;76.2640704228068;14.350317780415;50.793008679781;3.72895063177141;11.8675442491678
2A127;2A;77.6162790697674;6.20930232558139;3.1046511627907;1.03488372093023;1.03488372093023;0.0;1.03488372093023;71.406976744186;33.1162790697674;5.17441860465116;21.7325581395349;4.13953488372094;0.0
