INSEE_COM;DEP;total;total_immigrés;total_immigrés_actifs;total_immigrés_chômeurs;total_immigrés_retraités;total_immigrés_élèves;total_immigrés_femmes-h._au_foyer;total_français;total_français_actifs;total_français_chômeurs;total_français_retraités;total_français_élèves;total_français_femmes-h._au_foyer
2B007;2B;193.449055048679;8.32261701669506;4.13896869958807;1.04591207927675;3.13773623783024;0.0;0.0;185.126438031984;65.892460994435;8.36729663421398;82.6270542628629;9.41320871349072;4.18364831710698
2B009;2B;1828.25656670511;370.973465402295;169.051486593896;42.7342636361693;54.163473192342;14.590534878579;61.5386727705583;1457.28310130282;638.913078009743;110.170626355108;365.802924451916;71.6640125227781;73.7657417417633
2B010;2B;296.427612955274;41.8237621122798;17.9224283248505;7.04639618986229;5.03926944409751;0.0;6.85910354808837;254.603850842994;107.92168936499;35.9485746800341;81.3650010747985;7.72038612350566;8.7650775233406
2B020;2B;539.136636934058;33.928325738964;15.9479776935424;3.97154418984308;7.13631354543587;0.0;2.84173465745172;505.208311195094;228.572021117053;27.4897850643822;171.725495907604;18.3213032607219;17.8871515315063
2B033;2B;39906.3050877831;4919.891514394;2201.26182077855;422.447087758199;708.743506347479;212.652661501283;824.971821890792;34986.4135733891;15980.4412290435;2036.8467046032;9316.29962333639;2755.72770799664;1907.78754558596
2B034;2B;536.446032707219;42.8308874467736;19.3745035995453;5.09741395511144;11.2225134922663;0.0;7.13645639985051;493.615145260445;244.74384834277;43.8521141908248;141.790664994611;21.4097464454523;15.2983186508831
2B037;2B;6440.33055591071;488.66893811575;260.615748490271;37.3183736624064;91.9600827652589;12.4624349336327;47.8177051109584;5951.66161779496;3370.94764541471;274.027364334294;1295.3119951774;381.350246444634;231.74378903146
2B042;2B;7193.20028443222;810.715325872033;398.287955865896;73.5290435367111;87.9959458042931;22.3494837577912;116.654608726714;6382.48495856019;3248.35301735125;375.276461267634;1290.96876840968;450.186617012064;237.888889753289
2B043;2B;1440.54713654231;69.0094026177626;29.6912358859864;5.93660110128414;23.2025974584905;0.0;9.14139038667338;1371.53773392455;661.067368092264;62.2592612804306;457.601165801819;84.3841062692264;56.137038963112
2B046;2B;141.0;10.0;5.0;1.0;3.0;0.0;0.0;131.0;48.0;12.0;51.0;5.0;8.0
2B047;2B;240.574282147308;9.12359550562022;5.06866416978902;1.0137328339578;1.0137328339578;0.0;1.0137328339578;231.450686641688;73.3083645442703;14.1922596754093;110.496878901401;7.09612983770463;8.10986267166243
2B049;2B;1979.42113676679;261.791349587223;155.316509643166;23.4440014555723;30.281835213448;10.7451673338038;20.5135012736255;1717.62978717957;773.031895198786;100.613839580165;532.374199720302;108.428506732021;52.7490032750379
2B050;2B;4854.0;1698.0;1226.0;184.0;91.0;22.0;86.0;3156.0;1439.0;297.0;929.0;164.0;87.0
2B054;2B;173.772972972973;9.14594594594597;4.06486486486487;0.0;1.01621621621622;1.01621621621622;1.01621621621622;164.627027027027;57.9243243243243;5.08108108108108;80.2810810810811;5.08108108108109;2.03243243243243
2B055;2B;109.620661101447;0.0;0.0;0.0;0.0;0.0;0.0;109.620661101447;35.1725020500734;7.24139748089747;52.7587530751102;2.06897070882784;4.1379414176557
2B057;2B;296.336041725948;32.8330839899311;6.82309957122097;4.1076659440186;12.7476608720642;0.677045974072725;2.72539107596287;263.502957736017;90.4469367125184;20.9005253781915;91.2879861255197;14.8363137071904;10.1619201662592
