INSEE_COM;DEP;total;total_immigrés;total_immigrés_actifs;total_immigrés_chômeurs;total_immigrés_retraités;total_immigrés_élèves;total_immigrés_femmes-h._au_foyer;total_français;total_français_actifs;total_français_chômeurs;total_français_retraités;total_français_élèves;total_français_femmes-h._au_foyer
17002;17;111.164179104478;4.96268656716418;1.98507462686567;0.0;1.98507462686567;0.0;0.992537313432836;106.201492537313;46.6492537313432;2.97761194029851;42.679104477612;8.93283582089552;1.98507462686567
17003;17;3403.75039983267;85.5467580250695;49.2801556440995;6.02382527097298;18.167299475755;4.00869014656294;3.02735947243977;3318.2036418076;1633.91579986769;167.007637773245;1177.54974916473;189.698343431146;57.3872542168116
17004;17;188.273448587561;2.95947775087431;0.986492583624772;0.0;1.97298516724954;0.0;0.0;185.313970836686;53.9347173171975;12.6214684246458;97.2771837999247;6.64768424564174;1.97298516724954
17006;17;206.027491307673;7.95322928066579;4.9527977849896;0.99051806774735;2.00991342792884;0.0;0.0;198.074262027007;115.848003309042;1.93854700138516;61.4501135366953;8.80142938783147;1.96721684756645
17008;17;1814.0;47.0;30.0;2.0;9.0;2.0;3.0;1767.0;999.0;86.0;488.0;122.0;27.0
17009;17;837.899632111883;21.8880840489095;13.0809674366766;2.15081640665812;4.47614241869333;0.0;2.18015778688149;816.011548062973;574.708108778318;61.8896439953906;105.646848716766;45.5956978630813;11.8211985993908
17010;17;3483.0;137.0;68.0;12.0;34.0;11.0;4.0;3346.0;1419.0;182.0;1393.0;209.0;61.0
17011;17;313.0;6.0;1.0;0.0;5.0;0.0;0.0;307.0;159.0;26.0;97.0;10.0;8.0
17013;17;304.786439623858;9.05563004314304;0.946612984358443;0.0;8.1090170587846;0.0;0.0;295.730809580715;141.286133231367;17.4727982943714;105.024744418063;13.9059588647924;7.53263035716418
17015;17;628.560057206877;26.171722572112;11.4402715014806;3.16620607203165;9.49861821609497;0.0;1.05540202401055;602.388334634765;309.838202593894;46.1590394043616;180.26730460284;24.5348916852999;10.2466285638357
17016;17;662.0;14.0;6.0;1.0;6.0;1.0;0.0;648.0;273.0;50.0;272.0;22.0;9.0
17017;17;553.411249395936;24.1581793332922;6.84133622787645;1.03166048268361;11.3891900481956;0.0;4.89599257453655;529.253070062643;245.68410732602;48.9488553259396;165.73048405807;27.8836775230675;16.3885271877057
17018;17;667.0;8.0;5.0;0.0;1.0;2.0;0.0;659.0;401.0;33.0;140.0;53.0;11.0
17019;17;1151.91839621363;82.7496625499665;54.7497701439928;4.90731743929348;16.078221332994;0.985296524048894;2.00968570321244;1069.16873366367;438.054893517532;63.9644961947402;475.243626576115;36.7878721825227;17.9899177754803
17020;17;277.86776789599;0.977316699023745;0.0;0.0;0.977316699023745;0.0;0.0;276.890451196966;153.78365664062;14.3271754722956;80.2722639482037;16.4920483043533;2.99546613875958
17021;17;3112.69087150841;76.4132150394784;22.9802353948509;6.15815742426252;33.9552949942113;0.97838265242222;6.18878924262614;3036.27765646894;1243.66296014353;210.763300955739;1263.42130682834;126.333691538248;71.1780910676408
17022;17;844.467479674797;29.6483739837399;14.3130081300813;3.06707317073172;9.20121951219512;1.02235772357724;2.04471544715447;814.819105691057;404.853658536585;55.2073170731707;268.880081300813;39.8719512195122;11.2459349593496
17023;17;307.452184817569;6.07604242953858;0.0;0.0;6.07604242953858;0.0;0.0;301.37614238803;162.742606813758;26.2703733898681;81.0447699052915;16.1436264635905;7.08652266460085
17024;17;1166.10148977428;48.8019546406908;13.8451299106079;0.966108850477665;28.0924093172827;2.89916417767658;0.982720258304888;1117.29953513359;413.81195340072;77.9113532200325;489.025525353688;38.9326594508418;18.7784510293557
17026;17;322.371602591868;9.06345617951731;2.01376917358922;1.01136484309455;6.03832216283354;0.0;0.0;313.308146412351;154.195034100282;21.174437732079;110.718486088598;10.091226153431;7.05564447406438
17027;17;412.606445304098;17.9303688268524;9.93975284955012;0.996934830270414;4.00287665622059;0.0;0.0;394.676076477246;203.355665100363;29.7469409188301;133.048037320089;14.7016517507736;4.9548522924901
17028;17;8067.5323240287;399.700715206938;174.433931888101;49.3464315167339;85.1323917055499;51.7206618121524;17.4929054407408;7667.83160882177;3436.11205513392;652.600838444724;2599.64361979118;539.527859854697;158.970360462025
17030;17;444.999229763912;5.03217908634989;4.00218814323783;0.0;1.02999094311206;0.0;0.0;439.967050677562;236.146981743225;26.6414306291328;125.762499854997;23.4191219858004;5.96459446605303
17031;17;160.530303030303;7.87878787878787;2.95454545454546;0.0;4.92424242424242;0.0;0.0;152.651515151515;88.6363636363636;4.92424242424243;50.2272727272728;6.89393939393939;0.0
17033;17;400.0;14.0;11.0;0.0;1.0;1.0;1.0;386.0;185.0;27.0;134.0;21.0;7.0
