CODGEO;DEP;tx_descolarisation
01001;01;19.5068151560806
01002;01;12.5325951997204
01004;01;21.5545132261844
01005;01;17.4735249621785
01006;01;17.8947368421053
01007;01;14.3849206349206
01008;01;13.656475169699
01009;01;13.8346694577797
01010;01;22.0670163756309
01011;01;19.1284664049385
01012;01;25.5851972867667
01013;01;21.2962962962963
01014;01;35.1699737585218
01015;01;17.1158413427248
01016;01;19.2192192192192
01017;01;26.088868768842
01019;01;13.0434782608696
01021;01;14.5407307970776
01022;01;25.0349130353264
01023;01;17.8571428571429
01024;01;16.4409062163277
01025;01;19.7264957264957
01026;01;26.2382864792503
01027;01;11.5757680746235
01028;01;18.6635944700461
01029;01;31.225419539968
01030;01;19.7368421052632
01031;01;34.4706004488308
01032;01;16.8245062928053
01033;01;27.0043532111202
01034;01;27.9195391856426
01035;01;15.702479338843
01036;01;16.1644357998672
01037;01;18.3426704921093
01038;01;22.0340641350843
01039;01;22.5979091947277
01040;01;15.3150574376771
01041;01;17.0356000957583
01042;01;15.824507450156
01043;01;13.0345030964317
01044;01;17.3666246132808
01045;01;17.474889177342
01046;01;20.1853471347271
01047;01;11.5958668197474
01049;01;16.9741030330874
01050;01;23.8761342926595
01051;01;19.4805194805195
01052;01;18.5938768641975
01053;01;25.1602983955973
01054;01;12.9153959888272
01056;01;23.6112852267048
01057;01;19.702240207163
01058;01;17.2410320092204
01060;01;18.5873765171105
01061;01;14.3529411764705
01062;01;14.2716289402185
01063;01;24.5645008328277
01064;01;14.8818388172409
01065;01;12.8720238095238
01066;01;16.9230769230769
01067;01;9.79381443298969
01068;01;26.9193700854723
01069;01;13.5317988322293
01071;01;10.2625102308264
01072;01;16.7045093637412
01073;01;15.7413788852746
01074;01;23.6233276421274
01075;01;17.6465488777333
01076;01;33.9285714285713
01077;01;13.0136986301371
01078;01;11.6051607868736
01079;01;24.3548387096774
01080;01;23.0650261805366
01081;01;17.9078014184397
01082;01;16.4672562764401
01083;01;20.3323150017907
01084;01;17.2628304821152
01085;01;16.2493266426245
01087;01;16.6172433932721
01088;01;11.4839211814237
01089;01;15.3944836433611
01090;01;14.1221374045802
01092;01;15.7575757575758
01093;01;31.378059809363
01094;01;22.4053826379958
01095;01;19.4859524837029
01096;01;20.4066103018342
01098;01;23.031826570456
01099;01;16.2767970172143
01100;01;22.7272727272727
01101;01;12.5
01102;01;23.5528040900141
01103;01;11.6543871399866
01104;01;18.6995274592426
01105;01;12.2685185185185
01106;01;18.6567164179104
01107;01;21.904761904762
01108;01;30.2762239280126
01109;01;14.5631067961165
01110;01;23.5772357723577
01111;01;13.265306122449
01112;01;14.1993957703928
01113;01;19.0878378378378
01114;01;24.2047403307059
01115;01;17.7239740002843
01116;01;18.421052631579
01117;01;11.7647058823529
01118;01;29.9150652483795
01121;01;12.5
01123;01;23.1187371052398
01124;01;21.0820895522387
01125;01;17.9203539823009
01127;01;17.007418130777
01128;01;20.8888888888889
01129;01;20.4545454545455
01130;01;18.7531151582145
01133;01;18.1528662420382
01134;01;21.8421501391681
01135;01;9.28702139638045
01136;01;17.4183514774495
01138;01;28.1677119510096
01139;01;30.8494851920609
01140;01;23.2541001400218
01141;01;20.8516071622336
01142;01;18.1072320037281
01143;01;12.847310326617
01145;01;24.3662541756486
01146;01;14.5631067961165
01147;01;27.2503642680614
01148;01;24.2379755292039
01149;01;10.253164556962
01150;01;9.3167701863354
01151;01;18.7935034802786
01152;01;16.7381357773397
01153;01;7.80530541757117
01155;01;14.1592920353982
01156;01;14.7363622261738
01157;01;18.4649145525065
01158;01;10.054347826087
01159;01;22.3043985986765
01160;01;15.3132013979541
01162;01;8.69565217391304
01163;01;21.6508588481345
01165;01;13.181818181818
01166;01;19.1395880530027
01167;01;20.1965971764526
01169;01;15.968579307199
01170;01;21.8015636325142
01171;01;25.4694478046762
01173;01;14.3975609500835
01174;01;12.9770992366412
01175;01;19.7635135135135
01177;01;17.9856115107914
01179;01;21.4285714285717
01180;01;6.25
01181;01;24.1900647948164
01183;01;20.0284380858849
01184;01;17.1480144404331
01185;01;22.3296406221042
01187;01;15.2941176470588
01188;01;18.776371308017
01189;01;14.3031784841076
01190;01;32.394366197183
01191;01;26.4
01192;01;24.0234227313683
01193;01;16.8539325842697
01194;01;23.0283265069626
01195;01;15.5032456178762
01196;01;22.5186887981747
01197;01;9.14300482804841
01198;01;16.7715176740371
01199;01;22.5367757973324
01200;01;19.9967575192079
01202;01;24.4160173671478
01203;01;21.6575668901786
01204;01;12.4610146426345
01206;01;25.0777254221493
01207;01;16.5453890744339
01208;01;22.7272727272727
01209;01;18.2994454713494
