index;date_collecte;DEP;COMM;ANNEE_DEPOT;CAT_MOA;TYPE_MOA;DENOMINATION_D;SIRET_D;CADASTRE1;CADASTRE2;CADASTRE3;TYPE_EVT;SUPERFICIE_T;NB_LGT_1P;NB_LGT_2P;NB_LGT_3P;NB_LGT_4P;NB_LGT_5P;NB_LGT_6P;NB_LGT_DEMOLIS;NB_LGT_IND_CREES;NB_LGT_COL_CREES;NB_LGT_TOT_CREES;NB_NIV_MAX;NATURE_PROJET;I_PERSONNELLE;I_VENTE;I_LOCATION;I_LGTR_SENIORS;I_LGTR_ETUDIANTS;I_LGTR_TOURISME;I_LGTR_HOTELIERESOC;I_LGTR_SOCIAL;I_LGTR_HANDICAPES;I_LGTR_AUTRE;I_LGTR_AUTRE_LIBELLE;SDP_A1;SDP_B1;SDP_D1;SDP_ E1;SDP_F1;TYPE_OPERATION_CONSTR;PERIODE_DEVRT;DATEREELLE_DECISION_FAV;DATEREELLE_DOC;SDP_E1;DPC;lat;lng;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS
467;2018-04;25;25024;2018;90;2.0;;45211069500015;52AC;;;1;1211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;3.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;626.0;0.0;0.0;0.0;7.0;2018-04-30;;;;;46.94432789766499;6.379612917642267;25024;0000;250240000;Z
38713;2018-02;25;25024;2018;90;2.0;;53315071000010;01AC;;;1;303.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;93.0;0.0;0.0;0.0;5.0;;;;;2018-02-28;46.9453876915317;6.38443104602625;25024;0000;250240000;Z
38714;2018-02;25;25024;2018;90;2.0;;53315071000010;123p2AC;;;1;303.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;93.0;0.0;0.0;0.0;5.0;;;;;2018-02-28;46.9453799850053;6.384439992897427;25024;0000;250240000;Z
41451;2018-03;25;25024;2018;90;2.0;;49752927100023;97AC;;;1;880.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;5.0;5.0;4.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;47.0;116.0;435.0;0.0;0.0;14.0;2018-03-30;;;;;46.9453799850053;6.384439992897427;25024;0000;250240000;Z
47142;2018-06;25;25024;2018;10;2.0;;53315071000010;01AC;;;2;303.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;93.0;0.0;0.0;0.0;5.0;2018-06-30;2018-06-07;;;;46.9453799850053;6.384439992897427;25024;0000;250240000;Z
47143;2018-06;25;25024;2018;10;2.0;;53315071000010;123p2AC;;;2;303.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;93.0;0.0;0.0;0.0;5.0;2018-06-30;2018-06-07;;;;46.9453799850053;6.384439992897427;25024;0000;250240000;Z
47144;2018-06;25;25024;2018;90;2.0;;49752927100023;97AC;;;2;880.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;5.0;5.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;47.0;116.0;499.0;0.0;0.0;14.0;2018-06-30;2018-06-07;;;;46.9453799850053;6.384439992897427;25024;0000;250240000;Z
50147;2018-07;25;25024;2018;30;2.0;;45211069500015;52AC;;;2;1211.0;0.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;607.0;0.0;0.0;0.0;7.0;2018-07-31;2018-07-10;;;;46.94432789766499;6.379612917642267;25024;0000;250240000;Z
76668;2019-05;25;25024;2019;90;2.0;;84204291300000;167AB;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78.0;0.0;0.0;0.0;14.0;2019-05-31;;;;;46.96145196022753;6.380600274416768;25024;0000;250240000;Z
88088;2019-10;25;25024;2019;32;2.0;;84204291300000;167AB;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78.0;0.0;0.0;0.0;14.0;2019-10-31;2019-09-05;;;;46.96145196022753;6.380600274416768;25024;0000;250240000;Z
468;2018-04;25;25047;2017;10;2.0;;;238AY;;;2;644.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;96.0;0.0;0.0;0.0;5.0;2018-04-30;2018-01-22;;;;47.34490000519199;6.338619983912736;25047;0102;250470102;H
469;2018-04;25;25047;2018;10;2.0;;;232AY;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;115.0;0.0;0.0;0.0;5.0;2018-04-30;2018-03-28;;;;47.34606289602023;6.33708153211662;25047;0102;250470102;H
5437;2017-01;25;25047;2016;10;2.0;;;412ZS;;;3;578.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;105.0;0.0;0.0;0.0;5.0;2017-01-31;2016-06-16;2016-10-03;;;47.34615300655554;6.339057878921159;25047;0102;250470102;H
