INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
67448;11.4;21.7;29;33;4.9;0;84;198;375;501;571;1784;93.5;6.5
67449;10.5;16.9;20.4;30.2;22.1;0;57;27;43;53;78;243;71.7;28.3
67450;0;14.4;57.1;0;28.5;0;20;0;10;40;0;43;60.5;39.5
67451;0;17.3;16.8;45.4;12.4;8.2;15;0;21;20;55;153;75.8;24.2
67452;9.9;21.2;24.7;22.7;16.5;5;33;20;43;50;46;207;71.5;28.5
67453;0;40;40;0;20;0;5;0;10;10;0;33;54.5;45.5
67454;0;0;100;0;0;0;0;0;0;16;0;19;88.7;11.3
67455;0;17.7;35.3;26.9;20.2;0;15;0;13;26;20;60;78.4;21.6
67456;0;16.7;33.4;33;16.8;0;5;0;5;10;10;32;70.8;29.2
67458;10.1;22.8;34.6;28.2;4.3;0;117;273;620;940;767;2872;92.3;7.7
67459;0;33.2;25.2;14.8;26.8;0;20;0;25;19;11;80;64.5;35.5
67460;9.8;19;37.8;20.8;11;1.6;35;31;61;121;66;322;76.2;23.8
67461;0;0;0;100;0;0;0;0;0;0;5;13;54;46
67462;14.9;26.1;29.1;24.5;4.8;0.5;537;1661;2918;3246;2738;11667;90.8;9.2
67463;7.4;19.6;35.5;29.9;7.6;0;86;84;223;404;340;1163;90.3;9.7
67464;7.7;36.4;3.8;34.4;13.9;3.9;18;10;47;5;44;137;77.6;22.4
67465;3.2;19.8;33.7;37.6;4.1;1.6;13;10;62;106;118;339;78.8;21.2
67466;0;19.1;41.3;19.7;0;19.8;0;0;5;10;5;39;66.9;33.1
67467;0;3.3;19.4;47.7;23.3;6.4;18;0;3;15;38;89;76;24
67468;0;33.5;22.1;33.3;11;0;5;0;15;10;15;42;83.4;16.6
67470;;;;;;;0;0;0;0;0;6;50;50
67471;13.3;25.1;25.3;29.8;6.5;0;157;319;601;606;713;2472;88.2;11.8
67472;10;15.2;29.7;35.7;9.5;0;119;125;191;372;447;1294;84.2;15.8
67473;7.8;14.9;26.2;35.4;13.1;2.6;25;15;28;50;67;150;76.7;23.3
67474;12.3;21.5;33.4;25;6.4;1.4;89;172;301;468;349;1585;88.1;11.9
67475;24.7;0;25.8;24.7;0;24.7;0;5;0;5;5;26;66.7;33.3
67476;0;22.1;16.3;34.1;21.9;5.6;20;0;20;15;31;83;76.1;23.9
67477;0;24;39.7;11.9;24.4;0;20;0;20;33;10;70;79.7;20.3
67478;6.7;22.5;12.5;51.7;6.6;0;55;56;189;105;434;855;93.5;6.5
67479;3.4;13.4;13.6;43.1;6.7;19.9;5;3;10;10;32;102;74.5;25.5
67480;6.5;26.4;43.3;21.6;2.2;0;5;15;61;100;50;230;85.2;14.8
67481;17.8;10.3;39.6;11.8;5.1;15.3;10;35;20;78;23;161;62.6;37.4
67482;23.2;29.5;27.8;15;4.5;0;7580;39247;49980;47047;25344;169390;89.8;10.2
67483;25;25;25;0;25;0;5;5;5;5;0;13;57.5;42.5
67484;0;0;36.4;36.3;18;9.4;10;0;0;20;20;44;66.1;33.9
67485;0;35;18.3;21.8;20.8;4.1;23;0;39;21;24;141;67.6;32.4
67486;13.3;18.5;28.6;24.5;12.8;2.3;55;57;79;122;105;448;77.8;22.2
67487;11.6;13.2;25.6;44.6;3.3;1.7;11;37;42;81;142;333;82.7;17.3
67488;9.9;27.7;4.9;57.5;0;0;0;10;28;5;59;107;85.1;14.9
67489;6.7;11.9;49.7;28.3;3.5;0;5;10;17;73;42;159;86.9;13.1
67490;12.8;25.9;4.8;56.5;0;0;0;13;26;5;57;118;89.2;10.8
67491;0;0;50.5;49.5;0;0;0;0;0;10;10;39;71.5;28.5
67492;6;35.9;20;20;6.1;12;10;10;60;33;33;153;73.8;26.2
67493;22.3;20;8.4;49.2;0;0;0;49;44;18;108;340;92.5;7.5
67494;5.9;5.9;23.9;40.6;17.7;5.9;15;5;5;20;34;89;77.6;22.4
