REG;DEP;DEPCOM;DCIRIS;AN;TYPEQU;lng;lat
94;2A;2A004;2A004_0000;2019;D106;8.73514085024388;41.922992923337894
94;2A;2A004;2A004_0000;2019;D111;8.73514085024388;41.922992923337894
94;2A;2A004;2A004_0203;2019;D101;8.73514085024388;41.922992923337894
94;2A;2A004;2A004_0203;2019;D107;8.73514085024388;41.922992923337894
94;2A;2A004;2A004_0703;2019;D102;8.747113148617874;41.94281409778303
94;2A;2A004;2A004_0203;2019;D101;8.735116007437714;41.923579752607765
94;2A;2A247;2A247_0102;2019;D101;9.276473333042517;41.598247557713684
94;2A;2A247;2A247_0102;2019;D111;9.276473333042517;41.598247557713684
94;2A;2A247;2A247_0102;2019;D107;9.276473333042517;41.598247557713684
94;2A;2A004;2A004_0702;2019;D601;8.750972206384807;41.93678319752819
94;2A;2A004;2A004_0802;2019;D602;8.753533939568033;41.93622115197488
94;2A;2A004;2A004_0302;2019;D401;8.729398408706396;41.91634846777536
94;2A;2A004;2A004_0903;2019;D601;8.738197742924928;41.939146527972525
94;2A;2A004;2A004_0903;2019;D601;8.738197742924928;41.939146527972525
94;2A;2A247;2A247_0201;2019;D401;9.270981002553496;41.59793620654754
94;2A;2A004;2A004_0701;2019;D603;8.747468605639003;41.936459668342216
94;2A;2A004;2A004_0903;2019;D401;8.753668624655933;41.9433740340206
94;2A;2A004;2A004_0803;2019;D602;8.759597324877614;41.936838124499374
94;2A;2A004;2A004_0801;2019;D601;8.759597324877614;41.936838124499374
94;2A;2A004;2A004_0802;2019;D602;8.753533939568033;41.93622115197488
94;2A;2A004;2A004_0503;2019;D603;8.731706263982502;41.92920272859349
94;2A;2A001;2A001;2019;D402;8.803730427264913;41.959525921880314
94;2A;2A004;2A004_0903;2019;D401;8.754301347100172;41.94484744868751
94;2A;2A004;2A004_0802;2019;D701;8.754199048224965;41.9380512914933
94;2A;2A004;2A004_0703;2019;D112;8.742823973368518;41.939376882227734
94;2A;2A247;2A247_0102;2019;D108;9.280416240487575;41.58759430073443
94;2A;2A004;2A004_0701;2019;D603;8.747468605639003;41.936459668342216
94;2A;2A001;2A001;2019;D606;8.803730427264913;41.959525921880314
94;2A;2A004;2A004_0602;2019;D604;8.738164874592014;41.932783591383384
94;2A;2A004;2A004_0702;2019;D604;8.750972206384807;41.93678319752819
94;2A;2A272;2A272;2019;D101;8.926309249493544;41.61366878124291
94;2A;2A272;2A272;2019;D103;8.926309249493544;41.61366878124291
94;2A;2A004;2A004_0703;2019;D108;8.742823973368518;41.939376882227734
94;2A;2A004;2A004_0503;2019;D604;8.730335241615432;41.92923212916552
94;2A;2A247;2A247_0202;2019;D605;9.339905748634175;41.5807751427671
94;2A;2A142;2A142;2019;D402;9.122098469440559;41.70167285491804
94;2A;2A004;2A004_0101;2019;D703;8.737866389379745;41.927828592566556
94;2A;2A085;2A085;2019;D401;8.934135015958578;41.920106937621746
94;2A;2A004;2A004_0802;2019;D602;8.753533939568033;41.93622115197488
94;2A;2A004;2A004_0901;2019;D605;8.789532246768625;41.934507024174394
94;2A;2A004;2A004_0302;2019;D109;8.727209293235562;41.917002320049264
94;2A;2A004;2A004_0801;2019;D602;8.759597324877614;41.936838124499374
94;2A;2A004;2A004_0903;2019;D603;8.738197742924928;41.939146527972525
94;2A;2A272;2A272;2019;D106;8.926309249493544;41.61366878124291
94;2A;2A004;2A004_0302;2019;D111;8.737962794473253;41.91651818090644
94;2A;2A004;2A004_0703;2019;D402;8.742823973368518;41.939376882227734
94;2A;2A004;2A004_0703;2019;D606;8.742823973368518;41.939376882227734
94;2A;2A004;2A004_0203;2019;D401;8.737962794473253;41.91651818090644
94;2A;2A247;2A247_0102;2019;D604;9.276867970988793;41.603413791434726
94;2A;2A004;2A004_0103;2019;D302;8.738452771276812;41.928547937000154
94;2A;2A004;2A004_0802;2019;D302;8.753615641898547;41.9351564975876
94;2A;2A004;2A004_0202;2019;D302;8.736987678615149;41.91856541668597
94;2A;2A130;2A130;2019;D302;8.80803215807417;41.88726878920243
94;2A;2A249;2A249;2019;D709;8.90150465646717;41.67458181047887
94;2A;2A272;2A272;2019;D604;8.973138369052013;41.618776198784005
94;2A;2A247;2A247_0101;2019;D302;9.280423513528165;41.596693343569214
94;2A;2A249;2A249;2019;D302;8.906494096998301;41.67373600553533
94;2A;2A065;2A065;2019;D401;8.598401666400468;42.14444944219979
94;2A;2A247;2A247_0102;2019;D703;9.265341835043394;41.53613706472725
94;2A;2A240;2A240;2019;D603;8.891703665979781;42.17425030530311
94;2A;2A004;2A004_0903;2019;D709;8.772227462604246;41.95043209708469
94;2A;2A004;2A004_0203;2019;D110;8.731816533635582;41.9172917303672
94;2A;2A004;2A004_0702;2019;D602;8.750972206384807;41.93678319752819
94;2A;2A004;2A004_0702;2019;D603;8.750972206384807;41.93678319752819
94;2A;2A004;2A004_0901;2019;D603;8.789532246768625;41.934507024174394
94;2A;2A085;2A085;2019;D604;8.909081312144506;41.916214708449445
94;2A;2A004;2A004_0903;2019;D709;8.754301347100172;41.94484744868751
94;2A;2A004;2A004_0903;2019;D709;8.7715370949558;41.95073827243461
94;2A;2A004;2A004_0201;2019;D109;8.73819070642285;41.919363819248105
94;2A;2A004;2A004_0201;2019;D104;8.73819070642285;41.919363819248105
94;2A;2A004;2A004_0101;2019;D109;8.734817649909944;41.91978675344512
94;2A;2A004;2A004_0101;2019;D104;8.734817649909944;41.91978675344512
94;2A;2A004;2A004_0702;2019;D109;8.75088549237886;41.93415498997985
94;2A;2A004;2A004_0801;2019;D109;8.759630060411885;41.9340907894879
94;2A;2A004;2A004_0802;2019;D703;8.75637962523475;41.938673748203435
94;2A;2A004;2A004_0203;2019;D110;8.731816533635582;41.9172917303672
94;2A;2A004;2A004_0203;2019;D110;8.737962794473253;41.91651818090644
94;2A;2A004;2A004_0602;2019;D702;8.74004807168008;41.93433138521404
94;2A;2A247;2A247_0201;2019;D109;9.282352760698998;41.582587726479076
94;2A;2A004;2A004_0903;2019;D601;8.738197742924928;41.939146527972525
94;2A;2A004;2A004_0701;2019;D401;8.748137064838724;41.93580625103965
94;2A;2A004;2A004_0103;2019;D702;8.737998010014781;41.924563450429076
94;2A;2A004;2A004_0602;2019;D403;8.739207581243033;41.93293678134318
94;2A;2A272;2A272;2019;D403;8.972091061604377;41.62151416335999
94;2A;2A004;2A004_0202;2019;D403;8.735356476091567;41.91917740101677
94;2A;2A004;2A004_0302;2019;D103;8.737962794473253;41.91651818090644
94;2A;2A004;2A004_0903;2019;D603;8.738197742924928;41.939146527972525
94;2A;2A004;2A004_0903;2019;D603;8.738197742924928;41.939146527972525
94;2A;2A249;2A249;2019;D602;8.899943436449886;41.67435693337321
94;2A;2A004;2A004_0203;2019;D304;8.73514085024388;41.922992923337894
94;2A;2A272;2A272;2019;D201;8.97294327689296;41.620649570749315
94;2A;2A247;2A247_0101;2019;D209;9.275335862395481;41.59593209316404
94;2A;2A247;2A247_0102;2019;D209;9.277063815917543;41.597297884725904
94;2A;2A247;2A247_0101;2019;D211;9.276002535849898;41.59062903974759
94;2A;2A004;2A004_0302;2019;D208;8.727023152484673;41.91686533307455
94;2A;2A272;2A272;2019;D201;8.97294327689296;41.620649570749315
94;2A;2A004;2A004_0703;2019;D202;8.745622026282511;41.93581003381156
94;2A;2A004;2A004_0902;2019;D212;8.774527116359936;41.95226460522987
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0201;2019;D213;8.737405957529754;41.92125110099977
94;2A;2A004;2A004_0501;2019;D201;8.73318274343431;41.930147049899674
94;2A;2A247;2A247_0102;2019;D212;9.27630424074806;41.5981186663735
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A004;2A004_0302;2019;D209;8.726163001441453;41.91424731076627
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A247;2A247_0101;2019;D211;9.276303910930228;41.590136544541366
94;2A;2A004;2A004_0401;2019;D210;8.720326000145874;41.90987538013352
94;2A;2A004;2A004_0202;2019;D203;8.736245321483702;41.91868115950738
94;2A;2A004;2A004_0902;2019;D201;8.774527116359936;41.95226460522987
94;2A;2A004;2A004_0302;2019;D202;8.730822083323494;41.91580999622476
94;2A;2A348;2A348;2019;D201;8.794365032719721;42.16521022855352
94;2A;2A004;2A004_0302;2019;D201;8.729063890017528;41.91474127092692
94;2A;2A249;2A249;2019;D201;8.903594613245495;41.67574512970628
94;2A;2A247;2A247_0101;2019;D203;9.277590916110677;41.591179597181444
94;2A;2A004;2A004_0102;2019;D207;8.736600379243212;41.92878670950471
94;2A;2A004;2A004_0501;2019;D201;8.733505056130317;41.930976783160915
94;2A;2A247;2A247_0101;2019;D201;9.276561060858668;41.58916960693216
94;2A;2A004;2A004_0103;2019;D201;8.737433711335086;41.92281912839116
94;2A;2A004;2A004_0202;2019;D214;8.737050931758711;41.91886426468878
94;2A;2A004;2A004_0203;2019;D201;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A130;2A130;2019;D201;8.802390886742096;41.88979647099544
94;2A;2A004;2A004_0601;2019;D201;8.739941459853497;41.9351307460211
94;2A;2A001;2A001;2019;D201;8.796656465789347;41.98427947367605
94;2A;2A247;2A247_0101;2019;D208;9.2815362875933;41.59696953482452
94;2A;2A004;2A004_0302;2019;D201;8.729248648686548;41.91718886860231
94;2A;2A004;2A004_0103;2019;D201;8.73808161271275;41.92581210769958
94;2A;2A004;2A004_0501;2019;D201;8.733505056130317;41.930976783160915
94;2A;2A247;2A247_0101;2019;D201;9.276561060858668;41.58916960693216
94;2A;2A004;2A004_0102;2019;D201;8.739280210674101;41.93047630776212
94;2A;2A004;2A004_0802;2019;D208;8.75374727228843;41.93483828897902
94;2A;2A004;2A004_0102;2019;D211;8.737656872027904;41.92979982353795
94;2A;2A272;2A272;2019;D201;8.9725180876113;41.620142571226744
94;2A;2A004;2A004_0203;2019;D214;8.734657012708439;41.918211994076216
94;2A;2A065;2A065;2019;D201;8.597358461632876;42.135545652886584
94;2A;2A004;2A004_0802;2019;D208;8.75374727228843;41.93483828897902
94;2A;2A004;2A004_0201;2019;D207;8.735741981640135;41.9207674143119
94;2A;2A247;2A247_0101;2019;D208;9.283773656016526;41.58860371965982
94;2A;2A247;2A247_0101;2019;D201;9.276561060858668;41.58916960693216
94;2A;2A004;2A004_0501;2019;D201;8.73318274343431;41.930147049899674
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A004;2A004_0301;2019;D211;8.730268179746295;41.9176336902423
94;2A;2A004;2A004_0201;2019;D206;8.737253090593393;41.92050675528323
94;2A;2A004;2A004_0203;2019;D206;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D201;8.727433553854626;41.913214771380716
94;2A;2A031;2A031;2019;D201;9.05522410592928;42.00367332629966
94;2A;2A269;2A269;2019;D201;9.400775811812334;41.857851593207485
94;2A;2A004;2A004_0203;2019;D202;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0101;2019;D201;8.734840796276867;41.92715668063242
94;2A;2A004;2A004_0102;2019;D201;8.738383550610788;41.93038670131223
94;2A;2A004;2A004_0201;2019;D201;8.737227213333153;41.92172748958657
94;2A;2A004;2A004_0102;2019;D209;8.737283105770766;41.92920258799893
94;2A;2A004;2A004_0103;2019;D201;8.737885997185918;41.923643218134245
94;2A;2A032;2A032;2019;D201;8.826735208733597;41.922268147948735
94;2A;2A004;2A004_0301;2019;D211;8.730268179746295;41.9176336902423
94;2A;2A004;2A004_0201;2019;D207;8.737288005060856;41.920658342808544
94;2A;2A004;2A004_0103;2019;D212;8.734475246287513;41.92492604236013
94;2A;2A004;2A004_0203;2019;D212;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0203;2019;D212;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A130;2A130;2019;D201;8.80201720360137;41.88851425998898
94;2A;2A247;2A247_0101;2019;D201;9.277633284622686;41.590872126980486
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A004;2A004_0903;2019;D201;8.75325497924047;41.94791757043307
94;2A;2A004;2A004_0302;2019;D201;8.727091183615222;41.91334351040552
94;2A;2A004;2A004_0102;2019;D201;8.739215873671258;41.93017895587528
94;2A;2A004;2A004_0802;2019;D208;8.75374727228843;41.93483828897902
94;2A;2A004;2A004_0302;2019;D202;8.730909300998984;41.916705986586216
94;2A;2A189;2A189;2019;D201;8.921492361066056;41.721689179942345
94;2A;2A004;2A004_0103;2019;D201;8.737730388805362;41.922844884969656
94;2A;2A004;2A004_0902;2019;D212;8.774527116359936;41.95226460522987
94;2A;2A004;2A004_0102;2019;D212;8.737656872027904;41.92979982353795
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0202;2019;D203;8.737002346557917;41.91905750117395
94;2A;2A004;2A004_0501;2019;D209;8.73299876468437;41.93084773219402
94;2A;2A004;2A004_0102;2019;D209;8.737283105770766;41.92920258799893
94;2A;2A004;2A004_0803;2019;D201;8.758785236782208;41.94034274825471
94;2A;2A004;2A004_0703;2019;D207;8.749783162349786;41.94278311990168
94;2A;2A004;2A004_0101;2019;D201;8.737395284654239;41.92822125397954
94;2A;2A004;2A004_0302;2019;D214;8.730909300998984;41.916705986586216
94;2A;2A004;2A004_0203;2019;D201;8.73138616961725;41.91693175330994
94;2A;2A004;2A004_0703;2019;D202;8.745622026282511;41.93581003381156
94;2A;2A004;2A004_0701;2019;D201;8.747000693642343;41.93566698109373
94;2A;2A004;2A004_0203;2019;D201;8.73138616961725;41.91693175330994
94;2A;2A004;2A004_0902;2019;D212;8.774527116359936;41.95226460522987
94;2A;2A004;2A004_0102;2019;D212;8.737656872027904;41.92979982353795
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0103;2019;D210;8.73815366170326;41.92615650809331
94;2A;2A004;2A004_0703;2019;D201;8.749783162349786;41.94278311990168
94;2A;2A004;2A004_0203;2019;D203;8.735257612290091;41.91805118308703
94;2A;2A004;2A004_0203;2019;D203;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0703;2019;D201;8.74524655430249;41.9350359095985
94;2A;2A004;2A004_0202;2019;D201;8.737050931758711;41.91886426468878
94;2A;2A004;2A004_0902;2019;D201;8.783135985159156;41.954512097361885
94;2A;2A004;2A004_0203;2019;D201;8.735371763997856;41.91757524793802
94;2A;2A004;2A004_0701;2019;D201;8.74661071712739;41.93506695664437
94;2A;2A004;2A004_0201;2019;D203;8.736180120236455;41.9203364700443
94;2A;2A247;2A247_0101;2019;D211;9.276002535849898;41.59062903974759
94;2A;2A004;2A004_0703;2019;D202;8.745622026282511;41.93581003381156
94;2A;2A004;2A004_0102;2019;D201;8.736384122436275;41.929277027766986
94;2A;2A004;2A004_0202;2019;D207;8.737002346557917;41.91905750117395
94;2A;2A004;2A004_0302;2019;D201;8.726398153419803;41.914773002139235
94;2A;2A004;2A004_0101;2019;D201;8.737591600475188;41.928193468909896
94;2A;2A247;2A247_0101;2019;D201;9.275335862395481;41.59593209316404
94;2A;2A004;2A004_0601;2019;D201;8.739941459853497;41.9351307460211
94;2A;2A004;2A004_0203;2019;D207;8.735366231947673;41.91770291204481
94;2A;2A004;2A004_0302;2019;D201;8.726398153419803;41.914773002139235
94;2A;2A004;2A004_0302;2019;D201;8.728021710299235;41.915842951989404
94;2A;2A004;2A004_0203;2019;D212;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0602;2019;D201;8.740203622360987;41.93781875774565
94;2A;2A004;2A004_0203;2019;D212;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0202;2019;D201;8.737050931758711;41.91886426468878
94;2A;2A130;2A130;2019;D201;8.80201720360137;41.88851425998898
94;2A;2A004;2A004_0702;2019;D201;8.753408097296923;41.93658750639227
94;2A;2A004;2A004_0703;2019;D202;8.745622026282511;41.93581003381156
94;2A;2A004;2A004_0201;2019;D213;8.737405957529754;41.92125110099977
94;2A;2A004;2A004_0802;2019;D208;8.75374727228843;41.93483828897902
94;2A;2A247;2A247_0202;2019;D201;9.228363322631076;41.57712851731021
94;2A;2A249;2A249;2019;D201;8.916819564519692;41.67004135863201
94;2A;2A004;2A004_0902;2019;D212;8.774527116359936;41.95226460522987
94;2A;2A004;2A004_0102;2019;D212;8.737656872027904;41.92979982353795
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A065;2A065;2019;D201;8.596239713808691;42.13650561431044
94;2A;2A004;2A004_0302;2019;D213;8.730822083323494;41.91580999622476
94;2A;2A004;2A004_0602;2019;D208;8.740419838695766;41.932961932183474
94;2A;2A247;2A247_0101;2019;D211;9.276002535849898;41.59062903974759
94;2A;2A269;2A269;2019;D201;9.400775811812334;41.857851593207485
94;2A;2A249;2A249;2019;D201;8.902289434290733;41.67559218425896
94;2A;2A271;2A271;2019;D201;8.834250837345873;41.97978295997919
94;2A;2A004;2A004_0302;2019;D208;8.729248648686548;41.91718886860231
94;2A;2A004;2A004_0203;2019;D209;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D208;8.729248648686548;41.91718886860231
94;2A;2A247;2A247_0101;2019;D201;9.275851640578153;41.59664454827056
94;2A;2A004;2A004_0702;2019;D212;8.753687118541894;41.93897635946246
94;2A;2A004;2A004_0203;2019;D212;8.73529814547568;41.92355886656466
94;2A;2A004;2A004_0302;2019;D212;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0601;2019;D201;8.74230294388854;41.934445020482194
94;2A;2A004;2A004_0302;2019;D206;8.731230679537873;41.91697964934013
94;2A;2A004;2A004_0102;2019;D201;8.738383550610788;41.93038670131223
94;2A;2A247;2A247_0101;2019;D211;9.276002535849898;41.59062903974759
94;2A;2A001;2A001;2019;D201;8.796656465789347;41.98427947367605
94;2A;2A004;2A004_0601;2019;D201;8.74230294388854;41.934445020482194
94;2A;2A001;2A001;2019;D201;8.796568148121292;41.98338346758518
94;2A;2A004;2A004_0402;2019;D201;8.708446863161752;41.90891630725169
94;2A;2A004;2A004_0703;2019;D201;8.749783162349786;41.94278311990168
94;2A;2A004;2A004_0302;2019;D201;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0703;2019;D201;8.749783162349786;41.94278311990168
94;2A;2A004;2A004_0302;2019;D201;8.72764641546896;41.915635888337434
94;2A;2A004;2A004_0202;2019;D201;8.735390984514265;41.9185103343642
94;2A;2A004;2A004_0202;2019;D201;8.735390984514265;41.9185103343642
94;2A;2A004;2A004_0203;2019;D238;8.735371763997856;41.91757524793802
94;2A;2A004;2A004_0201;2019;D238;8.737544281950676;41.921979844475715
94;2A;2A004;2A004_0302;2019;D238;8.730012466024409;41.915389273699866
94;2A;2A004;2A004_0903;2019;D232;8.772949286922056;41.95181796761784
94;2A;2A103;2A103;2019;D232;8.853638837835083;41.98106610291514
