CODGEO;REG;DEP;PMUN19;PMUN18;PMUN17;PMUN16;PMUN15;PMUN14;PMUN13;PMUN12;PMUN11;PMUN10;PMUN09;PMUN08;PMUN07;PMUN06;PSDC99;PSDC90;PSDC82;PSDC75;PSDC68;PSDC62;PTOT54;PTOT36;PTOT1931;PTOT1926;PTOT1921;PTOT1911;PTOT1906;PTOT1901;PTOT1896;PTOT1891;PTOT1886;PTOT1881;PTOT1876
84001;93;84;2851;2860;2823;2786;2749;2671;2683;2684;2684;2685;2520;2486;2431;2375;1988;1600;1575;1288;1173;1070;987.0;927.0;938.0;891.0;883.0;985.0;925.0;990.0;1006.0;1022.0;1021.0;1023.0;1137.0
84002;93;84;1046;1035;1023;1040;1051;1086;1121;1157;1144;1125;1117;1109;1100;1105;1033;892;612;536;525;520;514.0;516.0;463.0;501.0;533.0;617.0;680.0;645.0;705.0;708.0;774.0;822.0;886.0
84003;93;84;11037;11011;11425;11710;11846;11885;12325;11979;12117;11755;11405;11144;11158;11229;11172;11506;11496;11288;9623;7466;6609.0;6201.0;6462.0;6467.0;5662.0;6336.0;6418.0;5948.0;5851.0;5725.0;5743.0;5708.0;5687.0
84004;93;84;5778;5719;5661;5602;5533;5404;5324;5244;5164;4864;4861;4740;4619;4498;3837;3347;2230;2126;1819;1635;1538.0;1514.0;1516.0;1507.0;1510.0;1568.0;1563.0;1591.0;1543.0;1511.0;1506.0;1529.0;1582.0
84005;93;84;193;199;206;212;207;201;195;189;182;182;184;182;180;178;156;128;126;113;132;137;157.0;213.0;255.0;305.0;323.0;362.0;408.0;427.0;489.0;518.0;552.0;544.0;630.0
84006;93;84;70;70;71;72;73;73;74;74;75;75;75;73;71;70;59;46;38;30;22;16;30.0;42.0;45.0;48.0;52.0;77.0;88.0;83.0;79.0;86.0;96.0;123.0;134.0
84007;93;84;91143;91729;91921;92378;92130;92209;90305;89380;90194;89683;89592;90109;91283;92454;85935;86939;89132;90786;86096;72717;62768.0;59472.0;57228.0;51685.0;46033.0;47110.0;46162.0;44809.0;43100.0;41519.0;39182.0;35981.0;36317.0
84008;93;84;639;638;629;632;650;668;682;669;656;643;631;620;618;615;569;499;437;348;369;362;344.0;365.0;435.0;390.0;436.0;521.0;559.0;549.0;592.0;607.0;682.0;706.0;826.0
84009;93;84;1614;1579;1566;1507;1448;1392;1339;1328;1318;1308;1314;1297;1241;1211;964;814;597;540;522;471;463.0;463.0;460.0;446.0;410.0;509.0;546.0;559.0;561.0;596.0;625.0;709.0;811.0
84010;93;84;873;855;817;780;742;705;706;701;719;736;754;741;737;729;677;505;381;259;179;153;135.0;131.0;132.0;118.0;143.0;178.0;167.0;179.0;201.0;204.0;214.0;252.0;270.0
84011;93;84;355;353;351;347;343;336;335;337;350;363;373;370;363;362;352;280;187;103;84;82;84.0;83.0;85.0;107.0;109.0;134.0;156.0;162.0;171.0;196.0;221.0;241.0;264.0
84012;93;84;2389;2398;2409;2404;2387;2387;2387;2388;2360;2305;2283;2262;2238;2185;2051;1784;1721;1631;1484;1386;1205.0;1266.0;1239.0;1246.0;1237.0;1359.0;1401.0;1405.0;1467.0;1429.0;1502.0;1487.0;1646.0
84013;93;84;280;267;255;251;249;247;245;245;244;239;226;214;199;193;194;219;206;139;102;135;118.0;111.0;95.0;108.0;118.0;114.0;97.0;121.0;114.0;118.0;113.0;140.0;147.0
84014;93;84;1134;1136;1137;1139;1142;1146;1120;1093;1067;1055;1031;1021;1011;1001;934;788;658;601;631;492;486.0;537.0;535.0;549.0;562.0;600.0;661.0;742.0;756.0;730.0;743.0;851.0;885.0
84015;93;84;296;288;280;282;285;292;299;306;309;311;317;322;328;322;286;260;240;185;203;194;188.0;213.0;210.0;229.0;250.0;292.0;303.0;333.0;344.0;378.0;416.0;440.0;453.0
84016;93;84;5316;5244;5171;5086;5051;5010;5060;5111;5183;5146;5140;5121;5103;5077;5110;4816;4238;3816;2986;2615;2031.0;1881.0;1900.0;1890.0;1816.0;2130.0;2181.0;2062.0;2049.0;2015.0;2185.0;2487.0;2672.0
