CODGEO;REG;DEP;PMUN19;PMUN18;PMUN17;PMUN16;PMUN15;PMUN14;PMUN13;PMUN12;PMUN11;PMUN10;PMUN09;PMUN08;PMUN07;PMUN06;PSDC99;PSDC90;PSDC82;PSDC75;PSDC68;PSDC62;PTOT54;PTOT36;PTOT1931;PTOT1926;PTOT1921;PTOT1911;PTOT1906;PTOT1901;PTOT1896;PTOT1891;PTOT1886;PTOT1881;PTOT1876
97401;4;974;11440;11246;11345;11471;11148;11315;11203;11181;10705;10580;10455;10336;10093;9180;7172;5935;5150;4863;4547;4118;3560.0;;;;;;;;;;;;
97402;4;974;13057;12768;12811;12722;12735;12887;12616;12298;11838;11725;11699;11404;11216;11028;9683;8455;6945;5941;5533;4824;3981.0;;;;;;;;;;;;
97403;4;974;6927;6914;6902;6894;6781;6634;6519;6405;6285;6133;6176;6022;5868;5713;5170;4260;3705;3745;3723;3567;;;;;;;;;;;;;
97404;4;974;14059;14108;13894;14230;14330;14103;13581;13647;13530;13467;13484;13367;13179;13266;11755;8769;7479;6610;6510;5672;5217.0;;;;;;;;;;;;
97405;4;974;12395;12308;12162;12236;12143;12035;11633;11564;11573;11566;11582;11692;11672;11282;10151;8852;7834;7961;7951;7302;6769.0;;;;;;;;;;;;
97406;4;974;6626;6568;6565;6365;6157;5950;5741;5574;5354;5213;5072;4940;4713;4518;3434;2676;2020;2062;2304;1981;1731.0;;;;;;;;;;;;
97407;4;974;32977;33531;34128;34810;35280;35653;35881;36952;37558;38418;38609;38279;38313;38148;38412;34692;30131;25068;19768;14906;10689.0;;;;;;;;;;;;
97408;4;974;32985;32633;33020;32973;32720;32261;31439;30653;30911;30373;30167;28798;27175;26242;21904;15614;11002;10112;7626;6783;6145.0;;;;;;;;;;;;
97409;4;974;56902;56747;56268;55628;55730;55900;56156;54721;55090;53955;52939;52956;51964;51817;43174;35049;30075;25231;22094;19255;15293.0;;;;;;;;;;;;
97410;4;974;37036;37274;37759;38142;37940;37738;36131;36025;35733;35063;34682;33802;33485;33187;31560;26187;23541;21658;19492;16783;12043.0;;;;;;;;;;;;
97411;4;974;153810;150535;147931;147920;146985;144642;142442;145238;145347;145022;145209;144238;140733;138314;131557;121999;109072;103512;85444;65275;41863.0;;;;;;;;;;;;
97412;4;974;37918;37517;37644;37629;37608;37362;37550;37069;36401;35976;35846;35062;34602;33509;30293;25630;23307;23653;22361;20127;15082.0;;;;;;;;;;;;
97413;4;974;34586;34196;33576;33697;33701;33575;33154;32971;31837;30966;30504;29925;29422;28969;25314;20931;18207;17396;16870;16137;13860.0;;;;;;;;;;;;
97414;4;974;53120;53589;53365;53220;53524;52803;52656;52614;52523;52038;51460;50717;50131;49455;43519;37420;31785;30291;26663;23998;;;;;;;;;;;;;
97415;4;974;103208;103492;104519;105482;105967;104634;104332;104646;103916;103346;103498;103008;101023;99291;87712;71669;58412;52554;43129;35528;28681.0;;;;;;;;;;;;
97416;4;974;84982;84961;84212;84169;84063;81583;81415;80823;80356;79228;77146;76247;75265;74480;68915;58846;50082;46060;40355;33947;27573.0;;;;;;;;;;;;
97417;4;974;5198;5149;5260;5235;5115;5101;5088;5072;5031;5086;5100;5114;5129;5030;4860;4005;3476;3453;3336;2938;2329.0;;;;;;;;;;;;
97418;4;974;34061;33234;33839;33160;32940;33042;32605;31596;29962;29951;30367;30815;31143;30596;26582;20158;17251;16566;14367;11414;10266.0;;;;;;;;;;;;
97419;4;974;6345;6296;6418;6520;6621;6722;6782;6777;6792;6806;6822;6809;6680;6664;6551;5761;5265;4850;4761;4614;3227.0;;;;;;;;;;;;
97420;4;974;24065;23718;23505;23224;23068;22406;22209;22388;22574;22421;22437;22411;21856;21714;18144;14695;13196;11984;11151;9794;8719.0;;;;;;;;;;;;
97421;4;974;7136;7224;7312;7400;7384;7132;7226;7320;7418;7510;7406;7294;7181;7065;7402;7004;6467;6462;7105;6590;5789.0;;;;;;;;;;;;
97422;4;974;79824;79385;78629;77283;76310;76796;76090;75631;74998;73365;72658;72026;70539;69849;60323;47593;40545;36107;31378;24335;;;;;;;;;;;;;
97423;4;974;7015;7076;7139;7111;7127;7198;7268;7339;7226;7121;7057;6994;6929;6807;6598;5767;5132;4864;4471;4195;3732.0;;;;;;;;;;;;
97424;4;974;5538;5492;5456;5403;5350;5295;5386;5440;5623;5807;5989;5994;5796;5838;6115;5856;5735;5672;5586;5199;;;;;;;;;;;;;
