CODGEO;REG;DEP;PMUN19;PMUN18;PMUN17;PMUN16;PMUN15;PMUN14;PMUN13;PMUN12;PMUN11;PMUN10;PMUN09;PMUN08;PMUN07;PMUN06;PSDC99;PSDC90;PSDC82;PSDC75;PSDC68;PSDC62;PTOT54;PTOT36;PTOT1931;PTOT1926;PTOT1921;PTOT1911;PTOT1906;PTOT1901;PTOT1896;PTOT1891;PTOT1886;PTOT1881;PTOT1876
97301;3;973;854;865;876;911;946;968;951;934;904;874;842;834;826;818;765;528;499;366;430;642;;;;;;;;;;;;;
97302;3;973;65493;63652;61268;60580;57614;55817;54709;55198;57229;55753;57047;57643;58008;58004;50594;41067;38091;30461;24518;18615;;;;;;;;;;;;;
97303;3;973;1748;1773;1799;1825;1878;1931;1967;1955;1943;1976;2008;2055;1975;1899;1430;1578;938;1239;1196;975;;;;;;;;;;;;;
97304;3;973;24903;24959;25685;26522;26221;25868;25793;25490;25260;25189;25514;25934;25688;23813;19107;13873;7061;4720;3117;659;;;;;;;;;;;;;
97305;3;973;16219;15602;14202;12804;11719;11209;10721;10358;9995;9640;9096;8583;8191;7799;5050;2069;446;490;384;586;;;;;;;;;;;;;
97306;3;973;11675;11234;10894;10566;10241;9916;9593;9334;9081;8952;8823;8697;8256;7837;5445;4945;1429;1063;875;1075;;;;;;;;;;;;;
97307;3;973;33458;32942;31956;32440;32427;31934;30244;29712;29235;28110;26383;25629;24893;24583;18032;10152;2532;1133;567;517;;;;;;;;;;;;;
97308;3;973;4245;4188;4131;4076;4020;3960;3907;3855;3946;4037;4129;3858;3605;3419;2153;1523;1199;1044;817;649;;;;;;;;;;;;;
97309;3;973;26358;26143;25122;25711;23976;21787;21638;20689;19894;19279;18873;18817;18511;17736;15555;11701;6773;2950;2062;1181;;;;;;;;;;;;;
97310;3;973;3458;3390;3783;3899;3713;3537;3293;3050;2609;2601;2594;2709;2823;2942;1791;1314;943;401;393;402;;;;;;;;;;;;;
97311;3;973;47621;45576;42612;43799;43600;44169;41515;40597;40462;38367;37524;35631;34149;33707;19211;13616;6971;5055;5031;3019;;;;;;;;;;;;;
97312;3;973;2875;2895;2919;2943;2957;2984;3011;3088;3165;3242;3196;3151;3110;3069;2783;3431;1991;2055;1913;1798;;;;;;;;;;;;;
97313;3;973;2957;2772;2589;2530;2473;2477;2480;2483;2346;2217;2131;2044;1958;1812;1037;500;333;377;333;204;;;;;;;;;;;;;
97314;3;973;242;220;200;182;165;147;135;124;109;94;82;84;85;86;92;82;89;121;157;255;;;;;;;;;;;;;
97352;3;973;152;152;152;151;150;148;150;151;153;155;158;158;158;158;160;63;67;119;90;417;;;;;;;;;;;;;
97353;3;973;11842;11994;13227;12798;11856;10984;10477;9970;9487;8473;7568;6556;5545;4507;3710;1748;1007;884;636;606;;;;;;;;;;;;;
97356;3;973;1864;1834;1805;1787;1769;1751;1707;1665;1645;1625;1605;1535;1469;1414;1032;748;554;399;276;295;;;;;;;;;;;;;
97357;3;973;8779;8698;7918;7428;6969;6656;6343;6029;5526;5065;4519;3973;3427;3351;2862;1786;754;1041;723;696;;;;;;;;;;;;;
97358;3;973;247;216;242;147;95;119;150;285;420;555;514;476;450;423;239;123;138;136;107;157;;;;;;;;;;;;;
97360;3;973;9482;9381;9241;8826;8431;8040;7649;7257;6975;6704;6581;6458;6357;5923;3628;2451;618;453;318;316;;;;;;;;;;;;;
97361;3;973;1449;1430;1411;1393;1379;1364;1350;1327;1305;1305;1306;1305;1251;1198;887;630;292;208;165;167;;;;;;;;;;;;;
97362;3;973;5757;6212;6668;8034;7266;6572;6335;6097;5860;4827;3976;3136;2296;1456;1650;750;297;410;284;274;;;;;;;;;;;;;
