CODGEO;REG;DEP;PMUN19;PMUN18;PMUN17;PMUN16;PMUN15;PMUN14;PMUN13;PMUN12;PMUN11;PMUN10;PMUN09;PMUN08;PMUN07;PMUN06;PSDC99;PSDC90;PSDC82;PSDC75;PSDC68;PSDC62;PTOT54;PTOT36;PTOT1931;PTOT1926;PTOT1921;PTOT1911;PTOT1906;PTOT1901;PTOT1896;PTOT1891;PTOT1886;PTOT1881;PTOT1876
97101;1;971;53514;53082;53491;54260;55306;56001;57960;58606;59311;58534;58836;59270;59404;60053;63054;62605;56165;53605;39911;30791;18425.0;;;;;;;;;;;;
97102;1;971;4001;4136;4275;4578;4881;5185;5114;5045;4910;4775;4640;4676;4712;4751;5023;4800;4570;4653;5136;5000;3842.0;;;;;;;;;;;;
97103;1;971;30837;31193;30929;30868;31209;30547;30015;29976;30201;30251;29241;29503;28379;27906;23389;15036;10475;8348;7398;7293;4782.0;;;;;;;;;;;;
97104;1;971;5203;5404;5605;5809;5739;5670;5479;5287;5094;5214;5337;5586;5836;6086;5837;6004;5612;5847;5214;5317;4482.0;;;;;;;;;;;;
97105;1;971;9861;10046;10058;10226;10443;10787;11150;11534;11730;11915;11894;12173;12451;12834;12410;14003;13656;15457;15690;13978;11837.0;;;;;;;;;;;;
97106;1;971;6847;6935;7024;7153;7282;7412;7446;7481;7513;7545;7576;7556;7536;7511;7336;6973;6649;6364;6890;6442;4869.0;;;;;;;;;;;;
97107;1;971;17741;18131;18270;18923;18980;19107;19201;19407;19448;19321;19104;19339;19520;19610;19568;19012;17472;18143;17912;16085;13339.0;;;;;;;;;;;;
97108;1;971;3298;3293;3301;3310;3310;3310;3309;3330;3352;3381;3409;3442;3455;3469;3559;3825;3983;5146;5039;5300;5740.0;;;;;;;;;;;;
97109;1;971;7760;7778;7795;7813;7808;7803;7786;7820;7855;7949;8043;8143;8088;8033;7642;6330;6399;6813;7066;6685;5114.0;;;;;;;;;;;;
97110;1;971;1419;1432;1448;1465;1481;1496;1510;1532;1554;1579;1583;1587;1591;1595;1620;1610;1602;1682;1559;1592;1610.0;;;;;;;;;;;;
97111;1;971;3998;4033;4081;4128;4114;4149;4185;4271;4356;4431;4394;4357;4322;4287;4039;3476;3485;3519;3305;3271;2531.0;;;;;;;;;;;;
