idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
immo-facile-43502077;pr;m;v;0;230;4365.0;7;494000;;;0;0;0;2;C;129.0;47.6185;-0.67076;Non;1.0;;;;0;B;;2.0;;;;;;;;;Radiateur;Individuel;a;n;;m;2021-02;49344;0000;493440000;Z;Z;4934400;49000;52;49;;;;;;;2147.83
immo-facile-99935940600;pr;m;v;0;200;4901.0;6;133414;;;0;0;1;1;VI;;47.5479;0.14606;Non;1.0;;;;0;G;;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2021-02;49228;0000;492280000;Z;Z;4922800;49000;52;49;;;;;;;667.07
ag340369-283699226;pr;m;v;0;201;10707.0;8;212470;;;0;0;2;1;VI;;47.58231;0.08511;Oui;;;1.0;True;sud-est;;;3.0;;;;;;;;Électrique, Bois;Cheminée;;network;n;;m;2021-02;49228;0000;492280000;Z;Z;4922800;49000;52;49;;;;;;;1057.06
immo-facile-adresse-12245314;pr;m;v;0;216;1228.0;10;399000;;;0;0;1;1;D;209.0;47.52803;-0.56486;Non;1.0;;;;0;F;1976.0;2.0;2.0;;;;;;;;Radiateur;Individuel;a;n;;m;2021-02;49055;0000;490550000;Z;Z;4905500;49000;52;49;;;;;;;1847.22
fnaim-46371449;pr;m;v;0;216;1228.0;10;399000;;;0;0;1;1;D;209.0;47.53484;-0.57821;Non;2.0;;0.0;False;0;F;1971.0;;2.0;;;;;;;;Radiateur;Individuel;a;n;;m;2021-02;49055;0000;490550000;Z;Z;4905500;49000;52;49;;;;;;;1847.22
immo-facile-adresse-12309836;pr;m;v;0;190;4393.0;9;232100;;;0;0;0;1;VI;;47.70823;-0.74428;Oui;2.0;;;;0;VI;1900.0;3.0;1.0;;;;;;;Électrique;;Individuel;a;n;;m;2021-02;49331;0204;493310204;H;H;4933101;49310;52;49;;;;;;;1221.58
ag751938-287631893;pr;m;v;0;150;9900.0;7;227990;;;0;1;1;1;C;130.0;47.67675;-0.81844;Non;;;1.0;True;sud-ouest;A;;;;;;;;;;Électrique;;Individuel;a;n;;m;2021-02;49331;0201;493310201;H;H;4933101;49310;52;49;;;;;;;1519.93
century-21-202_2658_4827;pr;m;v;0;217;1800.0;11;459800;;;0;0;0;1;D;193.0;47.50532;-0.7999;Non;;;0.0;;0;D;;1.0;0.0;;;;;;;Fioul;;Individuel;a;n;;m;2021-02;49026;0000;490260000;Z;Z;4902600;49000;52;49;;;;;;;2118.89
fnaim-46286854;pr;m;v;0;114;215.0;6;148500;;;0;0;1;1;0;;47.50885;-0.79226;Non;2.0;;0.0;False;0;;1800.0;;1.0;;;;;;;Fioul;Radiateur;Individuel;a;n;;m;2021-02;49026;0000;490260000;Z;Z;4902600;49000;52;49;;;;;;;1302.63
immo-facile-adresse-12201344;pr;m;v;0;107;608.0;5;230000;;;0;0;1;1;VI;;47.50814;-0.80983;Non;1.0;;;;0;VI;2008.0;1.0;1.0;;False;;;;;Électrique;;Individuel;a;n;;m;2021-02;49026;0000;490260000;Z;Z;4902600;49000;52;49;6.86;1.0;0.038;6.86;1.0;0.038;2149.53
