REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
27;39;39001;pr;a;m;v;6;B;165.0;300000.0;1818.18;;;0.0;1.0;1.0;1
27;39;39001;pr;a;m;v;6;E;151.0;199000.0;1317.88;;;0.0;0.0;1.0;1
27;39;39001;pr;a;m;v;7;C;174.0;273000.0;1568.97;;;0.0;1.0;1.0;1
27;39;39001;pr;m;m;v;10;VI;209.0;181000.0;866.03;;;0.0;1.0;2.0;1
27;39;39001;pr;m;m;v;5;B;140.0;290000.0;2071.43;6.17;0.036;0.0;0.0;1.0;1
27;39;39001;pr;network;m;v;10;VI;322.0;232100.0;720.81;;;0.0;1.0;2.0;1
27;39;39001;pr;network;m;v;5;D;112.0;179750.0;1604.91;6.17;0.046;0.0;1.0;0.0;2
27;39;39001;pr;network;m;v;5;E;105.0;192000.0;1828.57;6.17;0.04;0.0;0.0;1.0;1
27;39;39006;pr;a;m;v;10;0;243.0;130000.0;534.98;;;0.0;0.0;0.0;1
27;39;39006;pr;a;m;v;4;D;75.0;60000.0;803.57;;;0.0;1.0;0.0;2
27;39;39006;pr;a;m;v;6;VI;190.0;192600.0;1013.68;;;0.0;0.0;0.0;1
27;39;39006;pr;a;m;v;7;D;230.0;165850.0;721.09;;;0.0;0.0;0.0;1
27;39;39006;pr;m;m;v;5;D;80.0;68000.0;850.0;;;0.0;0.0;1.0;1
27;39;39007;pr;a;m;v;6;0;300.0;92650.0;308.83;;;0.0;1.0;0.0;1
27;39;39008;pr;a;m;v;4;E;82.0;168000.0;2048.78;;;0.0;0.0;1.0;1
27;39;39008;pr;a;m;v;6;0;190.0;179000.0;942.11;;;0.0;0.0;2.0;1
27;39;39008;pr;a;m;v;7;D;150.0;295000.0;1966.67;;;1.0;0.0;2.0;1
27;39;39008;pr;cm;m;v;3;0;110.0;300574.0;2732.49;;;0.0;0.0;0.0;1
27;39;39008;pr;cm;m;v;4;0;121.0;333637.0;2473.95;;;0.0;0.0;0.0;5
27;39;39008;pr;cm;m;v;4;A;105.0;255000.0;2428.57;;;0.0;0.0;0.0;1
27;39;39008;pr;cm;m;v;5;0;134.0;328849.0;2485.66;;;0.0;0.0;0.0;3
27;39;39008;pr;cm;m;v;5;A;82.5;227000.0;2751.1;;;0.0;0.0;0.0;2
27;39;39008;pr;cm;m;v;6;0;165.0;464650.5;2807.9;;;0.0;0.0;0.0;2
27;39;39008;pr;cm;m;v;6;A;125.0;292000.0;2336.0;;;0.0;0.0;0.0;1
27;39;39008;pr;m;m;v;4;D;99.0;315000.0;3181.82;;;0.0;1.0;0.0;1
27;39;39009;pr;a;m;v;17;E;394.0;580000.0;1472.08;;;0.0;2.0;1.0;1
27;39;39009;pr;a;m;v;17;VI;500.0;580000.0;1160.0;;;0.0;2.0;1.0;1
27;39;39009;pr;a;m;v;5;D;150.0;229000.0;1526.67;;;0.0;0.0;1.0;2
27;39;39009;pr;a;m;v;5;E;90.0;169000.0;1877.78;;;0.0;0.0;0.0;1
27;39;39009;pr;a;m;v;6;0;141.0;265000.0;1879.43;;;0.0;0.0;0.0;1
27;39;39009;pr;a;m;v;7;VI;111.0;129000.0;1162.16;;;0.0;0.0;0.0;1
27;39;39009;pr;a;m;v;9;VI;200.0;415000.0;2075.0;;;0.0;0.0;2.0;1
27;39;39009;pr;m;m;v;8;C;203.0;224700.0;1106.9;;;0.0;0.0;2.0;1
27;39;39010;pr;a;m;v;4;0;97.0;31000.0;319.59;;;0.0;0.0;1.0;1
27;39;39010;pr;a;m;v;7;G;290.0;41000.0;141.38;;;0.0;1.0;1.0;1
