idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
ag440414-501959903;pr;a;v;0;40;;2;110000;;;0;0;0;0;NS;;14.65552;-61.05855;Non;;;;;0;NS;;;;;False;;False;;;;;;m;n;;a;2025-12;97224;2406;972242406;H;H;9722424;9B601;2;972;13.83;3.0;0.06;14.65;33.0;0.064;2750.0
ag440414-502155113;pr;a;v;0;38;;2;105000;;;0;0;0;0;NS;;14.65552;-61.05855;Non;;;;;0;NS;;;;;False;;False;2.0;;;;;m;n;;a;2025-12;97224;2406;972242406;H;H;9722424;9B601;2;972;13.83;3.0;0.06;14.65;33.0;0.064;2763.16
iad-france-1966274;pr;m;v;0;120;638.0;5;270000;;;0;0;0;0;NS;;14.81889;-61.02624;Non;2.0;;;False;0;NS;2000.0;;;;False;;;;;;;;m;n;;m;2025-12;97216;0000;972160000;Z;Z;9721600;9B401;2;972;;;;;;;2250.0
ag340369-501711614;pr;m;v;0;530;10000.0;10;3400000;;;0;1;0;6;NS;;14.81889;-61.02624;Non;;;0.0;;Ouest;NS;;;;;;;;330.0;2820.0;;;;m;n;;m;2025-12;97216;0000;972160000;Z;Z;9721600;9B401;2;972;;;;;;;6415.09
safti-1-1570076;pr;a;v;0;31;;2;228000;;;0;0;0;1;NS;;14.5248;-61.07374;Oui;;;1.0;False;0;NS;2000.0;1.0;;;False;;False;3.0;;;;;m;n;;a;2025-12;97202;0000;972020000;Z;Z;9720200;9B000;2;972;13.89;1.0;0.023;13.89;1.0;0.023;7354.84
safti-1-1545403;pr;m;v;0;129;428.0;6;229000;;;0;1;0;2;NS;;14.48603;-60.90102;Oui;;;;False;0;NS;1971.0;2.0;;;False;;;;;;;;m;n;;m;2025-12;97220;2001;972202001;H;H;9722020;9B602;2;972;;;;;;;1775.19
ag971232-501970652;pr;m;v;0;83;;4;165000;;;0;0;2;1;NS;;14.86823;-61.11351;Oui;;;2.0;;0;NS;;2.0;;;;;;;;;;;m;n;;m;2025-12;97203;0000;972030000;Z;Z;9720300;9B102;2;972;11.76;1.0;0.071;11.76;1.0;0.071;1987.95
iad-france-1954828;pr;m;v;0;112;1095.0;4;618000;;;0;0;0;0;C;156;14.55963;-60.88475;Non;2.0;;;False;0;C;1980.0;;;;False;;;;;;;;m;n;;m;2025-12;97232;3202;972323202;H;H;9723232;9B602;2;972;16.39;4.0;0.036;17.76;42.0;0.039;5517.86
iad-france-1964081;pr;m;v;0;250;90.0;8;215000;;;0;0;0;0;NS;;14.54795;-60.83902;Non;3.0;;;False;0;NS;1970.0;;;;False;;;;;;;;m;n;;m;2025-12;97232;3201;972323201;H;H;9723232;9B602;2;972;;;;;;;860.0
la-residence-1-1400_106;pr;a;v;-1;58;9.0;3;168000;;;0;1;1;0;NS;;14.57223;-60.95109;Non;3.0;;1.0;;Sud;NS;1998.0;1.0;;;;;;3.0;;;;;a;n;;a;2025-12;97207;0703;972070703;H;H;9720707;9B602;2;972;16.0;21.0;0.066;14.72;64.0;0.061;2896.55
netty-company40919jqh-appt-4416;pr;a;v;0;117;;4;280000;;;0;1;2;0;C;25;14.57432;-60.9719;Oui;;;2.0;False;0;C;;2.0;1.0;;;15.0;False;;;;;;a;n;;a;2025-12;97207;0701;972070701;H;H;9720707;9B602;2;972;14.86;11.0;0.075;13.71;33.0;0.069;2393.16
safti-1-1570938;pr;m;v;0;110;169.0;6;299000;;;0;0;0;3;NS;;14.73791;-60.96318;Oui;;;;False;0;NS;1994.0;3.0;;;False;;;;;;;;m;n;;m;2025-12;97230;0101;972300101;H;H;9723001;9B401;2;972;;;;15.6;2.0;0.069;2718.18
ladresse-1-adresse-14229434;pr;a;v;3;87;;4;317500;;;0;0;2;0;NS;;14.74641;-60.94639;Non;4.0;;;;0;VI;;1.0;1.0;;;;False;;880.0;;;;a;n;;a;2025-12;97230;0104;972300104;H;H;9723001;9B401;2;972;14.94;3.0;0.049;11.74;12.0;0.039;3649.43
netty-company50555yqk-house-314;pr;m;v;0;101;500.0;4;685000;;;0;0;2;0;E;267;14.76663;-60.89902;Oui;2.0;;2.0;False;Nord;E;1993.0;2.0;1.0;;;;;;;;;;a;n;;m;2025-12;97230;0105;972300105;H;H;9723001;9B401;2;972;;;;10.83;14.0;0.019;6782.18
safti-1-1569107;pr;a;v;2;59;;3;209000;;;0;0;0;1;NS;;14.73845;-60.96383;Oui;5.0;;1.0;False;0;NS;2006.0;1.0;;;False;;False;192.0;1160.0;;;;m;n;;a;2025-12;97230;0101;972300101;H;H;9723001;9B401;2;972;18.0;7.0;0.061;13.62;63.0;0.046;3542.37
iad-france-1961258;pr;m;v;0;97;1635.0;5;390000;;;0;0;0;0;NS;;14.73608;-60.96231;Non;;;;False;0;NS;2004.0;;;;False;;;;;;;;m;n;;m;2025-12;97230;0101;972300101;H;H;9723001;9B401;2;972;9.66;1.0;0.029;11.68;4.0;0.035;4020.62
