REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
84;03;03001;pr;a;m;v;12;C;300.0;472500.0;1575.0;;;0.0;2.0;1.5;2
84;03;03001;pr;a;m;v;3;0;63.5;92150.0;1443.64;9.05;0.075;0.0;0.0;0.5;2
84;03;03001;pr;a;m;v;3;C;70.0;109000.0;1557.14;9.05;0.07;0.0;0.0;0.0;1
84;03;03001;pr;a;m;v;3;E;80.0;178200.0;2227.5;9.05;0.049;1.0;1.0;0.0;1
84;03;03001;pr;a;m;v;3;F;55.0;35000.0;636.36;9.05;0.171;0.0;1.0;0.0;1
84;03;03001;pr;a;m;v;3;G;78.0;69500.0;891.03;9.05;0.122;0.0;0.0;1.0;1
84;03;03001;pr;a;m;v;3;VI;46.0;27500.0;597.83;9.05;0.182;0.0;0.0;0.0;1
84;03;03001;pr;a;m;v;4;0;96.0;80000.0;833.33;8.02;0.092;0.0;0.33;0.33;3
84;03;03001;pr;a;m;v;4;C;140.0;255100.0;1744.11;8.02;0.057;0.0;0.0;0.0;2
84;03;03001;pr;a;m;v;4;D;103.0;173875.0;1829.82;8.02;0.051;0.0;0.0;1.0;4
84;03;03001;pr;a;m;v;4;E;98.0;144000.0;1142.86;8.02;0.076;0.0;0.0;0.4;5
84;03;03001;pr;a;m;v;5;0;100.0;180000.0;1500.0;;;0.2;0.2;1.0;5
84;03;03001;pr;a;m;v;5;C;126.0;205440.0;1418.78;;;0.33;0.33;0.67;3
84;03;03001;pr;a;m;v;5;D;130.0;100000.0;769.23;;;0.33;1.0;0.33;3
84;03;03001;pr;a;m;v;5;E;100.0;149350.0;1493.5;;;0.5;0.0;2.5;2
84;03;03001;pr;a;m;v;5;VI;91.0;70000.0;769.23;;;0.0;0.0;0.0;1
84;03;03001;pr;a;m;v;6;0;105.0;169000.0;1617.86;;;0.0;0.0;1.0;2
84;03;03001;pr;a;m;v;6;C;147.5;206450.0;1376.24;;;0.33;0.67;1.0;6
84;03;03001;pr;a;m;v;6;D;132.0;224500.0;1722.22;;;0.5;0.0;1.0;2
84;03;03001;pr;a;m;v;6;VI;150.0;159000.0;1060.0;;;0.0;1.0;1.0;1
84;03;03001;pr;a;m;v;7;B;170.0;290000.0;1705.88;;;0.0;0.0;0.0;1
