idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
century-21-202_504_11508;pr;m;l;0;74;633.0;3;550;;;0;0;0;1;E;226;47.58762;1.65846;0;;;1.0;;0;E;;1.0;0.0;;;;;;;Fioul;Radiateur;Individuel;a;n;8.0;m;2023-04;41074;0000;410740000;Z;Z;4107400;41000;24;41
immo-facile-52435754;pr;a;l;1;38;;2;380;;;0;0;0;0;E;324;47.66464;1.53351;0;;;;;0;B;1900.0;;;;;;False;;;;;Individuel;a;n;22.0;a;2023-04;41155;0000;411550000;Z;Z;4115500;41102;24;41
immo-facile-adresse-13245187;pr;m;l;0;65;400.0;3;682;;;0;0;1;0;NS;;47.52691;1.93117;0;;;1.0;;0;VI;;1.0;1.0;;False;;;;;Électrique;Radiateur;;a;n;8.0;m;2023-04;41231;0000;412310000;Z;Z;4123100;41000;24;41
century-21-202_3129_7849;pr;m;l;0;87;810.0;3;650;;;0;0;0;1;D;233;47.71193;0.96825;0;;;2.0;;0;B;;;0.0;;;;;;;Bois;Pompe à chaleur, Radiateur, Poêle à Bois;Individuel;a;n;8.0;m;2023-04;41001;0000;410010000;Z;Z;4100100;41000;24;41
apimo-82391251;pr;m;l;0;104;;5;900;;;0;0;0;0;D;223;47.73158;1.14469;0;;;;;0;C;;;;;;;;;;Électrique;Convecteur;Individuel;a;n;8.0;m;2023-04;41290;0000;412900000;Z;Z;4129000;41000;24;41
keller-williams-1-34_1_70-129588;pr;m;l;0;200;800.0;8;980;;;0;0;1;1;D;167;47.36618;1.79874;0;;;;;0;D;;1.0;;;;;;;;;;;m;n;8.0;m;2023-04;41282;0000;412820000;Z;Z;4128200;41000;24;41
century-21-202_502_32247;pr;m;l;0;70;;4;490;;;0;0;1;0;D;223;47.27448;1.67171;0;;;0.0;;0;C;;2.0;0.0;;;;;;;Électrique;;Individuel;a;n;22.0;m;2023-04;41097;0000;410970000;Z;Z;4109700;41000;24;41
century-21-202_503_14810;pr;a;l;2;19;;1;274;;;0;0;1;0;D;223;47.42509;2.05351;0;2.0;;0.0;;0;B;;1.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2023-04;41232;0000;412320000;Z;Z;4123200;41201;24;41
century-21-202_503_14821;pr;a;l;1;28;;2;316;;;0;0;0;1;E;275;47.42501;2.05334;0;2.0;;0.0;;0;B;;1.0;0.0;;False;;False;;;Électrique;;Individuel;a;n;;a;2023-04;41232;0000;412320000;Z;Z;4123200;41201;24;41
century-21-202_503_14811;pr;a;l;2;23;;1;320;;;0;0;1;0;D;160;47.43731;2.07248;0;3.0;;1.0;;0;D;;1.0;0.0;;True;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2023-04;41232;0000;412320000;Z;Z;4123200;41201;24;41
