idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
century-21-202_52_7246;pr;a;l;6;50;;2;1500;;;0;0;0;1;E;254.0;48.83919;2.41557;0;6.0;;0.0;;0;C;1984.0;0.0;0.0;;True;;True;;;Électrique;;Individuel;a;n;;a;2021-02;94067;0107;940670107;H;H;9406701;00851;11;94
hektor-cbimmo-2529;pr;a;l;0;104;;4;2700;;;0;0;0;1;E;301;48.83651;2.4196;0;2.0;;;True;0;E;1874.0;1.0;;;;;False;;;Gaz;Radiateur;Collectif;a;n;;a;2021-02;94067;0106;940670106;H;H;9406701;00851;11;94
immo-facile-43673528;pr;a;l;3;32;;2;942;;;0;0;0;1;E;246;48.84884;2.41696;0;;;;;0;F;;1.0;;;True;;;;;Gaz;Radiateur;Individuel;a;n;;a;2021-02;94067;0103;940670103;H;H;9406701;00851;11;94
hektor-immobiliermottin-2679;pr;a;l;1;37;;2;825;;;0;0;1;0;VI;;48.80552;2.40564;0;3.0;;;True;Est-Ouest;VI;1930.0;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2021-02;94081;0312;940810312;H;A;9408101;00851;11;94
hektor-immobiliermottin-2681;pr;a;l;3;40;;2;810;;;0;1;0;1;VI;;48.80295;2.4102;0;5.0;;;False;Ouest;VI;2007.0;1.0;;;;5.0;True;;;Électrique;Radiateur;Individuel;a;n;;a;2021-02;94081;0312;940810312;H;A;9408101;00851;11;94
nexity-441480;pr;a;l;3;73;;4;940;;;0;0;0;0;VI;;48.76034;2.32635;0;;;;False;0;VI;;;;False;False;;False;;;;;;a;n;;a;2021-02;94034;0107;940340107;H;A;9403401;00851;11;94
ag753633-287624630;pr;a;l;0;65;;3;1199;;;0;0;1;0;VI;;48.85277;2.45767;0;;;;False;0;;;;;;;;False;;;Électrique;;Individuel;a;n;;a;2021-02;94033;0119;940330119;H;H;9403301;00851;11;94
immo-facile-adresse-11060825;pr;a;l;0;45;;2;1000;;;0;0;0;1;D;186;48.85201;2.48208;0;6.0;;;;0;D;;1.0;;;;;;;;;;;a;n;;a;2021-02;94033;0112;940330112;H;H;9403301;00851;11;94
orpi-1-003020E1U6ZS;pr;a;l;1;56;;2;1590;;;0;0;0;1;C;132;48.84612;2.46644;0;1.0;;;;0;A;;;;;;;;;;;;Individuel;a;n;;a;2021-02;94033;0116;940330116;H;H;9403301;00851;11;94
pericles-14706686;pr;a;l;4;32;;2;696;;;0;0;1;0;E;289;48.8521;2.4563;0;5.0;;;;0;C;1930.0;1.0;0.0;;False;;True;;;Électrique;Convecteur;Individuel;a;n;;a;2021-02;94033;0102;940330102;H;H;9403301;00851;11;94
century-21-202_2414_8224;pr;a;l;7;66;;4;1090;;;0;1;1;0;D;153.5;48.7566;2.32465;0;11.0;;0.0;;0;E;1955.0;;0.0;;False;;True;;;;Sol;Collectif;a;n;;a;2021-02;94034;0102;940340102;H;A;9403401;00851;11;94
orpi-1-002029E1U4G7;pr;a;l;1;68;;3;1144;;;0;0;0;1;B;85;48.75128;2.32672;0;4.0;;1.0;;0;B;;;;;;;True;;;;;Collectif;a;n;;a;2021-02;94034;0101;940340101;A;A;9403401;00851;11;94
pericles-33233038;pr;a;l;0;63;;3;1200;;;0;0;1;0;G;451;48.84728;2.47298;0;4.0;;;;0;D;1930.0;1.0;0.0;;False;;False;;;Gaz;Radiateur;Individuel;a;n;;a;2021-02;94033;0117;940330117;H;H;9403301;00851;11;94
orpi-1-002068E0EROJ;pr;a;l;0;37;;2;827;;;0;0;0;1;0;;48.80097;2.33566;0;1.0;;;;0;;;;;;;;;;;;;Individuel;a;n;;a;2021-02;94003;0105;940030105;H;H;9400301;00851;11;94
ag640455-287816927;pr;a;l;1;64;;3;1230;;;0;0;0;1;B;59;48.80404;2.33188;0;;;1.0;;0;C;;;;;;;;;;;;Individuel;a;n;;a;2021-02;94003;0106;940030106;H;H;9400301;00851;11;94
laforet-immo-facile-17086141;pr;a;l;0;57;;4;1290;;;0;0;1;0;D;179;48.79966;2.33266;0;4.0;;;True;0;E;;1.0;;;True;;False;;;Gaz;;Individuel;a;n;;a;2021-02;94003;0107;940030107;H;H;9400301;00851;11;94
orpi-1-003045E1TYNT;pr;a;l;1;79;;4;1100;;;0;0;0;1;D;155.0;48.80311;2.55699;0;4.0;;1.0;;0;E;;;;;;;True;;;;;Collectif;a;n;;a;2021-02;94019;0107;940190107;H;H;9401901;00851;11;94
immo-facile-adresse-12434708;pr;a;l;0;44;;2;810;;;0;1;1;0;D;207;48.80577;2.58639;0;2.0;;2.0;;0;B;2009.0;1.0;;;True;;True;;;Électrique;Radiateur;Individuel;a;n;;a;2021-02;94059;0106;940590106;H;H;9405901;00851;11;94
guy-hoquet-immo-facile-4874609;pr;a;l;0;59;;3;1240;;;0;0;1;0;D;222;48.7933;2.37507;0;2.0;;1.0;True;0;B;2019.0;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;;a;2021-02;94081;0212;940810212;H;A;9408101;00851;11;94
guy-hoquet-immo-facile-4870187;pr;a;l;0;73;;3;1250;;;0;0;1;1;VI;;48.79842;2.38255;0;;;1.0;;0;VI;;;;;;;;;;;;;a;n;;a;2021-02;94081;0304;940810304;H;A;9408101;00851;11;94
iad-france-900594;pr;a;l;2;25;;2;849;;;0;0;0;0;VI;;48.80081;2.37958;0;;;;False;0;VI;;;;;False;;False;;;;;;m;n;;a;2021-02;94081;0303;940810303;H;A;9408101;00851;11;94
ag753610-287900402;pr;a;l;0;66;;3;1099;;;0;0;1;0;D;197;48.79782;2.37954;0;;;2.0;;Sud;E;;1.0;;;;;;;;Gaz;;Individuel;a;n;;a;2021-02;94081;0303;940810303;H;A;9408101;00851;11;94
hektor-1_immoteam-3046;pr;a;l;4;80;;3;1077;;;0;0;1;1;B;61;48.77916;2.40212;0;5.0;;2.0;False;0;D;2012.0;2.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;;a;2021-02;94081;0103;940810103;H;A;9408101;00851;11;94
