REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
52;49;49002;pr;a;a;l;1;G;14.0;240.0;0.0;1.0;0.0;1
52;49;49002;pr;a;a;l;3;E;50.0;440.0;0.0;1.0;0.0;1
52;49;49002;pr;a;a;l;5;0;85.0;585.0;0.0;1.0;1.0;1
52;49;49002;pr;a;m;l;3;VI;60.0;483.0;0.0;0.0;1.0;1
52;49;49002;pr;a;m;l;5;D;90.0;695.0;0.0;0.0;1.0;1
52;49;49002;pr;a;m;l;5;F;96.0;707.0;0.0;0.0;1.0;1
52;49;49003;pr;a;m;l;3;D;90.0;600.0;0.0;1.0;0.0;1
52;49;49003;pr;a;m;l;4;VI;100.0;660.0;0.0;1.0;0.0;2
52;49;49007;pa;a;a;l;1;0;17.0;380.0;0.4;0.2;0.2;5
52;49;49007;pa;a;a;l;1;C;24.0;410.0;0.0;0.0;1.0;1
52;49;49007;pa;a;a;l;1;D;27.0;570.0;0.0;0.0;0.0;1
52;49;49007;pa;a;a;l;1;F;22.0;350.0;1.0;0.0;0.0;1
52;49;49007;pa;a;a;l;2;0;45.0;500.0;0.33;0.2;0.53;15
52;49;49007;pa;a;a;l;2;C;54.0;500.0;0.0;0.0;0.0;1
52;49;49007;pa;a;a;l;2;D;56.0;790.0;0.33;0.33;1.0;3
52;49;49007;pa;a;a;l;3;0;63.0;700.0;0.8;0.0;0.4;5
52;49;49007;pa;a;a;l;3;C;61.0;750.0;0.0;0.0;0.0;1
52;49;49007;pa;a;a;l;3;D;65.0;500.0;1.0;0.0;1.0;1
52;49;49007;pa;a;a;l;4;0;75.0;398.0;0.0;0.0;1.0;1
52;49;49007;pa;a;a;l;5;0;62.0;515.0;1.5;0.0;0.5;2
52;49;49007;pa;a;a;l;5;E;110.0;1400.0;0.0;1.0;0.0;1
52;49;49007;pa;a;a;l;7;0;115.0;410.0;1.0;0.0;0.0;1
52;49;49007;pa;a;m;l;5;0;116.0;1150.0;0.0;1.0;1.0;1
52;49;49007;pr;a;a;l;1;0;22.0;399.0;0.03;0.44;0.18;119
52;49;49007;pr;a;a;l;1;A;23.0;381.5;0.11;0.44;0.61;18
52;49;49007;pr;a;a;l;1;B;23.0;380.0;0.0;0.56;0.28;25
52;49;49007;pr;a;a;l;1;C;29.0;450.0;0.07;0.65;0.44;54
52;49;49007;pr;a;a;l;1;D;25.0;418.0;0.22;0.58;0.43;309
52;49;49007;pr;a;a;l;1;E;22.0;398.0;0.08;0.64;0.34;464
52;49;49007;pr;a;a;l;1;F;20.0;390.0;0.05;0.67;0.33;160
52;49;49007;pr;a;a;l;1;G;21.0;376.5;0.03;0.55;0.33;78
52;49;49007;pr;a;a;l;1;NS;22.0;416.0;0.1;0.48;0.52;60
52;49;49007;pr;a;a;l;1;VI;21.0;420.0;0.05;0.73;0.19;147
52;49;49007;pr;a;a;l;2;0;40.0;520.0;0.12;0.37;0.17;115
52;49;49007;pr;a;a;l;2;A;42.0;530.0;0.39;0.59;0.31;75
52;49;49007;pr;a;a;l;2;B;45.5;584.0;0.45;0.65;0.28;40
52;49;49007;pr;a;a;l;2;C;47.0;550.0;0.62;0.43;0.57;103
52;49;49007;pr;a;a;l;2;D;45.0;551.5;0.81;0.42;0.54;318
52;49;49007;pr;a;a;l;2;E;37.0;520.0;0.11;0.59;0.45;317
52;49;49007;pr;a;a;l;2;F;36.0;495.0;0.05;0.6;0.35;78
52;49;49007;pr;a;a;l;2;G;35.0;460.0;0.06;0.65;0.44;34
52;49;49007;pr;a;a;l;2;NS;44.5;582.5;0.2;0.57;0.25;44
52;49;49007;pr;a;a;l;2;VI;38.0;550.0;0.12;0.67;0.25;123
52;49;49007;pr;a;a;l;3;0;63.0;720.0;0.31;0.26;0.44;54
