idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
hektor-bacoura-1006;pr;a;l;2;79;;4;880;;;0;1;2;0;NS;;4.92241;-52.31307;0;3.0;;2.0;False;0;NS;1960.0;2.0;;;;;False;;;;;;a;n;;a;2021-02;97302;0121;973020121;H;H;9730201;9C601;3;973
hektor-bacoura-1442;pr;a;l;0;68;;3;880;;;0;1;1;0;NS;;4.93751;-52.31222;0;5.0;;1.0;False;0;NS;2022.0;1.0;1.0;;;;True;;;;;;a;n;;a;2021-02;97302;0109;973020109;H;H;9730201;9C601;3;973
orpi-1-129008E1UBLX;pr;a;l;2;61;;3;956;;;0;0;0;1;0;;4.94077;-52.3085;0;2.0;;2.0;;0;;;;;;;;;;;;;;a;n;;a;2021-02;97302;0109;973020109;H;H;9730201;9C601;3;973
orpi-1-129008E1U70K;pr;a;l;1;84;;4;1225;;;0;0;0;1;0;;4.94078;-52.30848;0;3.0;;2.0;;0;;;;;;;;;;;;;;a;n;;a;2021-02;97302;0109;973020109;H;H;9730201;9C601;3;973
hektor-bacoura-1441;pr;a;l;0;55;;3;870;;;0;1;1;1;NS;;4.93065;-52.30614;0;3.0;;1.0;False;0;NS;2021.0;1.0;1.0;;;;False;;;;;;a;n;;a;2021-02;97302;0114;973020114;H;H;9730201;9C601;3;973
hektor-apsimmo-1477;pr;a;l;1;46;;2;650;;;0;1;1;1;0;;4.92201;-52.30573;0;1.0;;;False;0;;;1.0;;;;3.0;;;;;;;a;n;;a;2021-02;97302;0114;973020114;H;H;9730201;9C601;3;973
ag970477-287952824;pr;a;l;1;45;;2;642;;;0;0;1;0;VI;;4.9363;-52.30393;0;;;1.0;;0;;;1.0;;;;;;;;;;;a;n;;a;2021-02;97302;0112;973020112;H;H;9730201;9C601;3;973
ag970477-288102818;pr;a;l;1;41;;1;675;;;0;0;1;0;VI;;4.93472;-52.33376;0;;;;;0;;;1.0;;;;;;;;;;;a;n;;a;2021-02;97302;0102;973020102;H;H;9730201;9C601;3;973
ag970477-287039636;pr;a;l;0;69;;3;800;;;0;0;1;0;NS;;4.91586;-52.3201;0;;;2.0;;0;;;1.0;;;;;;;;;;;a;n;;a;2021-02;97302;0117;973020117;H;H;9730201;9C601;3;973
orpi-1-129008E1U7X2;pr;a;l;2;73;;3;1021;;;0;0;0;1;0;;4.93536;-52.31976;0;2.0;;;;0;;;;;;;;;;;;;;a;n;;a;2021-02;97302;0105;973020105;H;H;9730201;9C601;3;973
