REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
76;11;11001;pr;a;m;l;2;D;48.0;420.0;0.0;0.0;0.0;1
76;11;11001;pr;a;m;l;3;VI;35.0;360.0;0.0;1.0;0.0;1
76;11;11001;pr;a;m;l;4;D;79.0;690.0;0.0;1.0;0.0;1
76;11;11001;pr;a;m;l;5;D;83.0;464.0;0.0;1.0;0.0;1
76;11;11002;pr;a;a;l;3;0;60.0;480.0;0.0;1.0;0.0;1
76;11;11003;pr;a;a;l;3;VI;76.0;490.0;0.0;0.0;0.0;1
76;11;11003;pr;a;m;l;3;F;57.0;502.0;0.0;0.0;0.0;1
76;11;11004;pr;a;m;l;4;0;97.0;580.0;0.0;1.0;0.0;1
76;11;11005;pr;a;m;l;2;D;70.0;582.0;0.0;0.0;1.0;1
76;11;11005;pr;a;m;l;4;A;88.0;769.0;0.0;0.0;1.0;1
76;11;11005;pr;a;m;l;4;F;101.0;700.0;0.0;1.0;0.0;1
76;11;11005;pr;a;m;l;5;0;106.0;900.0;0.0;1.0;0.0;1
76;11;11008;pr;a;a;l;3;F;65.0;462.0;0.0;0.0;0.0;1
76;11;11008;pr;a;m;l;2;E;35.0;420.0;0.0;1.0;0.0;1
76;11;11008;pr;a;m;l;4;VI;100.0;695.0;0.0;0.0;1.0;1
76;11;11009;pa;a;m;l;3;D;59.0;300.0;0.0;0.0;1.0;1
76;11;11009;pr;a;a;l;3;0;65.0;536.0;0.67;1.0;0.0;3
76;11;11009;pr;a;a;l;3;C;72.0;602.5;0.0;1.0;0.0;2
76;11;11009;pr;a;a;l;3;D;65.0;550.0;1.0;1.0;0.0;1
76;11;11009;pr;a;a;l;3;E;59.0;550.0;0.0;1.0;0.0;1
76;11;11009;pr;a;a;l;3;VI;66.0;540.5;0.75;0.75;0.0;4
76;11;11009;pr;a;m;l;3;D;51.0;499.0;0.0;0.5;0.0;2
76;11;11009;pr;a;m;l;3;NS;70.0;572.0;0.0;0.0;0.0;1
76;11;11009;pr;a;m;l;3;VI;86.0;450.0;0.0;0.0;0.0;3
76;11;11009;pr;a;m;l;5;E;124.0;670.0;0.0;0.0;0.0;1
76;11;11009;pr;a;m;l;5;VI;161.0;590.0;0.0;0.0;0.0;1
76;11;11009;pr;a;m;l;6;F;121.0;850.0;0.0;0.0;1.0;1
76;11;11011;pa;a;m;l;5;0;100.0;650.0;0.0;0.0;1.0;1
76;11;11012;pr;a;m;l;3;C;80.0;550.0;0.0;1.0;0.0;1
76;11;11012;pr;a;m;l;4;A;90.0;850.0;0.0;1.0;0.0;1
76;11;11012;pr;a;m;l;4;VI;90.0;735.0;0.0;1.0;0.0;1
76;11;11013;pr;a;a;l;3;D;66.0;370.0;0.0;1.0;0.0;1
76;11;11014;pr;a;m;l;3;D;57.0;500.0;0.0;1.0;0.0;1
76;11;11014;pr;a;m;l;4;D;108.0;900.0;0.0;0.0;1.0;1
76;11;11014;pr;a;m;l;5;VI;110.0;790.0;1.0;1.0;1.0;1
76;11;11018;pa;a;m;l;2;0;62.0;450.0;0.0;1.0;1.0;1
76;11;11018;pr;a;m;l;2;VI;66.0;455.0;0.0;0.0;0.0;1
76;11;11018;pr;a;m;l;3;VI;58.0;497.0;0.0;0.0;0.0;1
76;11;11018;pr;a;m;l;4;F;84.0;660.0;1.0;1.0;0.0;1
76;11;11018;pr;a;m;l;4;VI;73.0;670.0;0.0;1.0;0.0;1
76;11;11018;pr;a;m;l;5;C;90.0;595.0;0.0;1.0;1.0;1
76;11;11022;pr;a;m;l;4;0;72.0;515.0;0.0;1.0;0.0;1
76;11;11022;pr;a;m;l;7;VI;124.0;840.0;0.0;0.0;1.0;1
76;11;11023;pr;a;m;l;3;B;105.0;730.0;0.0;1.0;0.0;1
76;11;11023;pr;a;m;l;5;C;131.0;850.0;0.0;1.0;1.0;1
76;11;11024;pr;a;a;l;1;E;23.0;500.0;0.0;1.0;0.0;1
76;11;11024;pr;a;a;l;2;A;38.0;443.5;0.0;1.0;0.0;2
76;11;11024;pr;a;m;l;4;D;94.0;670.0;0.0;1.0;0.0;1
76;11;11024;pr;a;m;l;5;D;95.0;1300.0;0.0;2.0;1.0;1
76;11;11025;pr;a;m;l;5;D;116.0;860.0;0.0;0.0;1.0;1
76;11;11026;pr;a;m;l;5;D;143.0;576.0;0.0;0.0;0.0;1
76;11;11027;pr;a;m;l;4;D;89.0;720.0;0.0;0.0;1.0;1
76;11;11027;pr;a;m;l;4;VI;87.0;450.0;0.0;2.0;0.0;1
76;11;11027;pr;a;m;l;5;VI;90.0;750.0;0.0;0.0;1.0;1
76;11;11027;pr;a;m;l;6;D;160.0;675.0;0.0;0.0;1.0;1
76;11;11032;pr;a;m;l;4;0;75.0;495.0;0.0;1.0;0.0;1
76;11;11033;pr;a;a;l;1;D;25.0;400.0;0.0;1.0;0.0;1
76;11;11033;pr;a;a;l;3;VI;70.0;515.0;0.0;0.0;1.0;1
76;11;11033;pr;a;a;l;4;VI;85.0;560.0;0.0;1.0;0.0;1
76;11;11033;pr;a;m;l;4;0;90.0;630.0;0.0;0.0;0.0;1
76;11;11033;pr;a;m;l;4;A;112.0;863.0;0.0;0.0;1.0;1
76;11;11033;pr;a;m;l;4;C;63.0;390.0;0.0;0.0;1.0;1
76;11;11033;pr;a;m;l;4;E;100.0;653.0;0.0;1.0;0.0;1
76;11;11033;pr;a;m;l;5;C;109.0;745.0;0.0;0.0;1.0;1
76;11;11033;pr;a;m;l;5;E;96.0;760.0;0.0;0.0;1.0;1
76;11;11034;pr;a;m;l;3;0;57.5;465.0;0.0;0.5;0.0;2
76;11;11034;pr;a;m;l;3;E;100.0;620.0;0.0;0.0;1.0;1
76;11;11034;pr;a;m;l;4;E;86.0;615.0;0.0;0.33;0.33;3
76;11;11034;pr;a;m;l;5;VI;117.0;673.5;0.0;0.5;0.0;2
76;11;11037;pa;a;a;l;2;0;40.0;450.0;0.0;1.0;0.0;1
76;11;11037;pr;a;a;l;2;D;45.0;369.5;0.7;0.0;1.0;10
76;11;11037;pr;a;a;l;3;C;52.0;440.0;0.6;0.0;0.8;5
76;11;11037;pr;a;a;l;3;D;52.0;439.0;0.75;0.0;1.0;4
76;11;11037;pr;a;m;l;3;0;73.0;550.0;0.0;0.0;1.0;1
76;11;11037;pr;a;m;l;3;C;73.0;550.0;0.0;0.0;1.0;1
76;11;11037;pr;a;m;l;3;D;73.5;580.0;0.0;0.0;1.0;2
76;11;11037;pr;a;m;l;4;VI;96.0;770.0;0.0;0.0;0.0;1
76;11;11037;pr;a;m;l;5;D;98.0;803.0;0.0;0.0;1.0;1
76;11;11039;pr;a;m;l;5;F;160.0;938.0;0.0;0.0;2.0;1
76;11;11040;pr;a;a;l;2;0;52.0;485.0;0.0;1.0;0.0;1
76;11;11040;pr;a;m;l;4;A;89.0;810.0;0.0;0.0;1.0;1
76;11;11040;pr;a;m;l;4;VI;90.0;685.0;0.0;1.0;0.0;1
76;11;11041;pr;a;a;l;2;D;43.0;458.5;0.0;1.0;0.0;2
76;11;11041;pr;a;a;l;3;E;70.0;530.0;0.0;0.0;1.0;1
76;11;11041;pr;a;a;l;3;F;33.0;440.0;0.0;1.0;0.0;1
76;11;11041;pr;a;a;l;3;VI;55.0;440.0;0.0;1.0;0.0;1
76;11;11041;pr;a;a;l;4;C;102.0;599.0;0.0;0.0;1.0;1
76;11;11041;pr;a;a;l;4;VI;98.0;600.0;0.0;0.0;1.0;1
76;11;11041;pr;a;m;l;2;0;36.0;400.0;0.0;0.0;0.0;1
76;11;11041;pr;a;m;l;4;D;87.0;673.0;0.0;0.0;1.0;1
76;11;11042;pr;a;m;l;3;NS;72.0;770.0;0.0;1.0;0.0;3
76;11;11042;pr;a;m;l;3;VI;57.0;395.0;0.0;1.0;0.0;1
76;11;11042;pr;a;m;l;4;C;112.0;620.0;0.0;1.0;1.0;1
76;11;11042;pr;a;m;l;5;NS;101.0;550.0;0.0;1.5;0.0;2
76;11;11043;pr;a;m;l;6;E;125.0;900.0;2.0;0.0;1.0;1
76;11;11048;pr;a;a;l;2;VI;46.0;335.0;0.0;0.0;1.0;1
