type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;0;75;;4;500;;;0;0;0;0;0;;49.74315;4.72563;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;08105;0803;081050803;H;08;44.0
pr;m;l;0;73;;4;655;;;0;0;0;1;E;312;49.7885;4.71125;0;;;;;0;F;;;;;False;;;;;;;;a;n;m;2020-08;08105;0101;081050101;H;08;44.0
pr;a;l;0;35;;2;375;;;0;0;0;1;VI;;49.73784;4.86262;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08491;0000;084910000;Z;08;44.0
pr;a;l;2;27;;1;290;;;0;0;1;0;VI;;49.76091;4.7167;0;3.0;;;;0;A;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-08;08105;0501;081050501;H;08;44.0
pr;a;l;1;35;;1;220;;;0;0;0;1;VI;;49.76093;4.71605;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0501;081050501;H;08;44.0
pr;a;l;0;30;;2;300;;;0;0;0;0;D;205;49.75259;4.73135;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-08;08105;0901;081050901;H;08;44.0
pr;a;l;0;23;;2;230;;;0;0;0;1;F;387;49.69966;4.95071;0;;;0.0;;0;D;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;08409;0302;084090302;H;08;44.0
pr;a;l;0;38;;1;360;;;0;0;0;1;G;574.0;49.69765;4.94896;0;;;0.0;;0;F;;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;08409;0302;084090302;H;08;44.0
pr;a;l;0;65;;3;500;;;0;0;0;0;0;;49.51038;4.35617;0;;;;False;0;;;;;;;;;;;;;;a;n;a;2020-08;08362;0101;083620101;H;08;44.0
pr;m;l;0;62;100.0;3;455;;;0;0;0;1;E;268;49.67804;4.65765;0;0.0;;0.0;False;0;C;;;1.0;;;;;;;Électrique;Convecteur;Individuel;a;n;m;2020-08;08503;0000;085030000;Z;08;44.0
pr;m;l;0;73;;4;600;;;0;0;1;0;VI;;49.81188;4.57328;0;;;;;0;A;;;;;False;;;;;;;;a;n;m;2020-08;08429;0000;084290000;Z;08;44.0
pr;a;l;0;52;;3;475;;;0;0;0;1;G;453;49.75398;4.72946;0;;;;;0;G;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0901;081050901;H;08;44.0
pr;a;l;0;22;;1;320;;;0;0;0;1;0;;49.50599;4.36815;0;3.0;;;;0;;;;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-08;08362;0101;083620101;H;08;44.0
pr;a;l;3;130;;4;767;;;0;0;1;1;E;268;49.77326;4.72022;0;;;0.0;;0;C;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;0;40;;2;400;;;0;0;0;0;F;354;49.77269;4.71666;0;;;;;0;G;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;0;32;;2;400;;;0;0;0;0;VI;;49.77549;4.72038;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;1;75;;2;480;;;0;0;1;1;VI;;49.77468;4.72288;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;1;53;;2;430;;;0;0;1;0;E;322;49.77439;4.72025;0;4.0;;;;0;F;;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;1;34;;2;355;;;0;0;1;0;E;253;49.77322;4.71749;0;;;;;0;F;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0401;081050401;H;08;44.0
pr;a;l;2;44;;2;425;;;0;1;1;0;VI;;49.75242;4.72048;0;4.0;;1.0;True;0;A;;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-08;08105;0701;081050701;H;08;44.0
pr;a;l;2;34;;1;363;;;0;1;0;1;E;293.0;49.69426;4.96022;0;;;1.0;;0;F;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;08043;0000;080430000;Z;08;44.0
pr;a;l;2;68;;3;552;;;0;1;0;1;D;205;49.6973;4.92926;0;;;1.0;;0;E;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;08409;0201;084090201;H;08;44.0
pr;a;l;0;28;;1;355;;;0;0;0;1;VI;;49.77033;4.71948;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;1;85;;3;605;;;0;0;0;1;VI;;49.67153;5.02963;0;;;;;0;A;;;;;False;;False;;;Gaz;;Individuel;a;n;a;2020-08;08145;0000;081450000;Z;08;44.0
pr;a;l;0;31;;1;350;;;0;0;1;0;VI;;49.76977;4.71424;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;2;53;;2;515;;;0;0;0;1;D;182.0;49.77152;4.71527;0;;;;;0;E;;;;;False;;False;;;;;;a;n;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;0;49;;2;364;;;0;0;0;1;VI;;49.7714;4.7137;0;3.0;;;;0;A;;;;;False;;False;;;Gaz;;Individuel;a;n;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;0;100;;4;800;;;0;0;0;0;0;;49.76975;4.7197;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;5;15;;1;450;;;0;0;1;0;VI;;49.7683;4.72339;0;;;1.0;;0;VI;;;0.0;;;;False;;;Électrique;Sol;Collectif;a;n;a;2020-08;08105;0402;081050402;H;08;44.0
pr;a;l;0;85;;4;634;;;0;0;0;1;E;307.5;49.77361;4.72244;0;;;;;0;F;;;;;False;;False;;;Gaz;;Individuel;a;n;a;2020-07;08105;0401;081050401;H;08;44.0
pr;a;l;2;47;;3;495;;;0;0;0;1;E;268.0;49.77313;4.71563;0;3.0;;;;0;B;;;;;False;;False;;;Électrique;;;a;n;a;2020-07;08105;0401;081050401;H;08;44.0
pr;a;l;3;87;;3;600;;;0;0;0;1;D;155.0;49.77057;4.72256;0;;;;;0;D;;;;;False;;False;;;;;;a;n;a;2020-07;08105;0401;081050401;H;08;44.0
pr;m;l;0;120;;4;970;;;0;0;1;1;B;82;49.7747;4.72004;0;2.0;;;True;0;C;;;;;False;;;;;Gaz;;Individuel;a;n;m;2020-07;08105;0401;081050401;H;08;44.0
