idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
ladresse-1-adresse-14235217;pr;m;l;0;123;100.0;4;880;;;0;0;1;0;C;161;43.23179;2.19527;0;1.0;;;;0;A;1947.0;2.0;;;;;;;;;Pompe à chaleur;Individuel;a;n;;m;2025-12;11340;0000;113400000;Z;Z;1134000;11000;76;11
ag313862-501004571;pr;a;l;1;63;;3;703;;;0;0;0;1;C;150;43.20679;3.07589;0;;;;False;0;A;;;;;True;;False;;;Électrique;;Individuel;a;n;;a;2025-12;11441;0000;114410000;Z;Z;1144100;11102;76;11
hektor-pontimmo11-409;pr;m;l;0;228;;6;1200;;;0;0;2;1;D;212;43.26729;2.87256;0;3.0;;;;0;B;1948.0;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2025-12;11164;0000;111640000;Z;Z;1116400;11000;76;11
netty-company51682yrk-appt-4449;pr;a;l;1;81;;3;610;;;0;0;1;0;D;202;43.24536;3.05958;0;3.0;;;;0;B;;1.0;;;;;;;;;;Individuel;a;n;;a;2025-12;11106;0102;111060102;H;H;1110601;11205;76;11
guy-hoquet-immo-facile-7450846;pr;m;l;0;80;;4;950;;;0;0;0;0;C;137;43.22804;2.94496;0;1.0;;;;0;A;;;;;;;;;;;;;a;n;;m;2025-12;11258;0000;112580000;Z;Z;1125800;11000;76;11
nestenn-1-99933335644;pr;m;l;0;71;40.0;3;682;;;0;0;0;1;D;185;43.18176;2.2593;0;;;1.0;False;Est-Ouest;A;2006.0;1.0;1.0;;False;;;;;Électrique;Radiateur;Individuel;a;n;8.0;m;2025-12;11199;0000;111990000;Z;Z;1119900;11000;76;11
nestenn-1-99939380519;pr;m;l;0;138;618.0;5;1100;;;0;0;1;1;A;42;43.15531;2.30438;0;1.0;;1.0;False;Sud-Est;A;2021.0;2.0;1.0;;False;;;;;;;Individuel;a;n;;m;2025-12;11102;0000;111020000;Z;Z;1110200;11000;76;11
century-21-202_2809_7184;pr;m;l;0;145;500.0;6;900;;;0;0;3;0;C;138;43.21203;1.93129;0;;;0.0;;0;A;;2.0;0.0;;;;;;;Électrique, Bois;Poêle à Bois;Individuel;a;n;;m;2025-12;11162;0000;111620000;Z;Z;1116200;11000;76;11
hektor-6_ericmey-112518;pr;m;l;0;157;;6;855;;;0;0;1;1;B;107;43.2207;2.03849;0;2.0;;;;0;A;1948.0;2.0;;;;;;;;;;Individuel;a;n;;m;2025-12;11418;0000;114180000;Z;Z;1141800;11000;76;11
ladresse-1-adresse-13592878;pr;a;l;1;66;;4;600;;;0;0;0;0;D;;43.06314;2.18347;0;2.0;;;;0;VI;;;;;;;;;;;;;a;n;;a;2025-12;11214;0000;112140000;Z;Z;1121400;11000;76;11
century-21-202_2809_7055;pr;a;l;1;80;;4;590;;;0;0;1;1;E;248;42.98325;2.00752;0;3.0;;0.0;;0;E;;;0.0;;False;;False;;;Fioul;Sol;Collectif;a;n;;a;2025-12;11091;0000;110910000;Z;Z;1109100;11000;76;11
hektor-agenceepi-31558;pr;a;l;2;40;;2;520;;;0;0;1;0;D;245;43.25533;2.26648;0;3.0;;;False;0;B;1940.0;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-12;11288;0000;112880000;Z;Z;1128800;11000;76;11
hektor-agenceepi-31555;pr;a;l;0;45;;2;520;;;0;0;1;0;C;147;43.25533;2.26648;0;2.0;;;;0;C;1940.0;1.0;;;;;False;;;Gaz;;Individuel;a;n;;a;2025-12;11288;0000;112880000;Z;Z;1128800;11000;76;11
hektor-agenceepi-31556;pr;a;l;1;51;;2;520;;;0;0;1;0;D;189;43.25533;2.26648;0;3.0;;;False;0;A;1940.0;1.0;;;;;False;;;;;Individuel;a;n;;a;2025-12;11288;0000;112880000;Z;Z;1128800;11000;76;11
ag340360-501941096;pr;m;l;0;79;;4;912;;;0;0;0;0;A;48;43.31843;2.87237;0;1.0;;;False;0;A;;;;;;;;;;;;Individuel;a;n;;m;2025-12;11041;0000;110410000;Z;Z;1104100;11000;76;11
netty-company51682yrk-appt-15925;pr;a;l;0;72;;3;690;;;0;0;1;0;C;166;43.2306;3.13741;0;2.0;;;False;0;A;;1.0;1.0;;;;False;;;;;Individuel;a;n;;a;2025-12;11145;0000;111450000;Z;Z;1114500;11203;76;11
hektor-agenceaulis3-8303;pr;a;l;1;52;;3;550;;;0;0;1;0;D;203;43.22994;3.13426;0;;;1.0;;0;B;;2.0;;;;;;;;Électrique;;Individuel;a;n;;a;2025-12;11145;0000;111450000;Z;Z;1114500;11203;76;11
hektor-6_ericmey-86187;pr;m;l;0;57;300.0;3;700;;;0;0;0;1;D;203;43.23567;2.10876;0;1.0;;;;0;B;;1.0;;;;;;;;;;;a;n;;m;2025-12;11049;0000;110490000;Z;Z;1104900;11107;76;11
ag110806-501481211;pr;a;l;0;31;;1;450;;;0;0;1;0;C;176;43.29478;2.04443;0;;;;;0;A;;;;;;;;;;Électrique;;Individuel;a;n;;a;2025-12;11192;0000;111920000;Z;Z;1119200;11000;76;11
iad-france-1961737;pr;a;l;0;52;;3;595;;;0;0;0;0;C;142;43.13612;2.6988;0;4.0;;;False;0;A;;;;;False;;False;;;Électrique;Radiateur;Individuel;m;n;8.0;a;2025-12;11132;0000;111320000;Z;Z;1113200;11000;76;11
nestenn-1-99933330489;pr;m;l;0;83;25.0;3;680;;;0;0;1;0;D;211;43.28617;2.44082;0;2.0;;;False;Sud-Ouest;B;2000.0;1.0;1.0;;;;;;;;;;a;n;;m;2025-12;11426;0000;114260000;Z;Z;1142600;11000;76;11
century-21-202_3544_5197;pr;m;l;0;99;;4;850;;;0;0;1;0;C;124;43.15742;2.02616;0;1.0;;0.0;;0;A;;1.0;0.0;;;;;;;Gaz, Électrique;Climatisation révérsible;Individuel;a;n;;m;2025-12;11139;0000;111390000;Z;Z;1113900;11000;76;11
netty-company51682yrk-house-10844;pr;m;l;0;56;;3;560;;;0;0;1;0;D;184;43.17596;2.78654;0;3.0;;;False;0;A;;;;;;;;;;;;Individuel;a;n;8.0;m;2025-12;11210;0000;112100000;Z;Z;1121000;11000;76;11
century-21-202_2809_7141;pr;m;l;0;155;200.0;4;780;;;0;0;1;0;NS;;43.18138;1.86288;0;;;2.0;;0;A;;2.0;1.0;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;;m;2025-12;11184;0000;111840000;Z;Z;1118400;11000;76;11
