idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
hektor-5_immovital-3452;pr;m;l;0;125;1854.0;5;1300;;;0;0;1;0;B;89.35;16.02987;-61.61276;0;1.0;;3.0;;0;;;1.0;2.0;;;;;;;;;;a;n;;m;2021-12;97107;0102;971070102;H;H;9710701;9A401;1;971
hektor-patri-immo-1732;pr;a;l;0;90;;5;790;;;0;0;0;0;0;;16.24086;-61.53341;0;;;;;0;;;;;;;;;;;;;;a;n;;a;2021-12;97120;0105;971200105;H;H;9712001;9A701;1;971
hektor-AGETIS2021-649;pr;a;l;2;48;;2;840;;;0;2;1;0;G;40;16.24077;-61.53321;0;3.0;;1.0;True;0;;1977.0;1.0;;;;;False;;;;;;a;n;;a;2021-12;97120;0105;971200105;H;H;9712001;9A701;1;971
hektor-patri-immo-1729;pr;a;l;0;97;;5;990;;;0;0;0;0;0;;16.239;-61.53531;0;;;;;0;;;;;;;;;;;;;;a;n;;a;2021-12;97120;0104;971200104;H;H;9712001;9A701;1;971
hektor-clickimmo-1394;pr;m;l;0;110;200.0;5;1490;;;0;0;2;0;VI;;16.27064;-61.50577;0;2.0;;2.0;;0;VI;2000.0;3.0;2.0;;;;;;;;;;a;n;;m;2021-12;97101;0101;971010101;H;H;9710101;9A701;1;971
hektor-AGETIS2021-584;pr;m;l;0;94;264.0;5;1200;;;0;0;0;3;0;;16.27692;-61.50871;0;2.0;;1.0;;0;;1970.0;3.0;1.0;;;;;;;;;;a;n;;m;2021-12;97101;0101;971010101;H;H;9710101;9A701;1;971
hektor-1_immovital-3448;pr;a;l;-2;59;;3;900;;;0;0;0;1;C;92;16.22672;-61.52495;0;;;1.0;False;0;;2003.0;1.0;1.0;;;;;;;;;;a;n;;a;2021-12;97101;0114;971010114;H;H;9710101;9A701;1;971
ag970718-325883358;pr;a;l;0;35;;1;600;;;0;0;0;1;NS;;16.27191;-61.50151;0;;;2.0;;0;;;;;;;;False;;;;;;a;n;;a;2021-12;97101;0103;971010103;H;H;9710101;9A701;1;971
hektor-AGETIS2021-650;pr;m;l;0;94;;5;1200;;;0;0;2;0;0;;16.26893;-61.50331;0;1.0;;;;0;;;3.0;;;;;;;;;;;a;n;;m;2021-12;97101;0103;971010103;H;H;9710101;9A701;1;971
orpi-1-129004E15T59;pr;m;l;0;90;500.0;4;1425;;;0;0;0;2;0;;16.25478;-61.48981;0;;;2.0;;0;G;;;1.0;;;;;;;;;;a;n;;m;2021-12;97101;0121;971010121;H;H;9710101;9A701;1;971
hektor-2_ASOMBIM-11203;pr;m;l;0;100;;4;1600;;;0;0;0;0;0;;16.26795;-61.58708;0;1.0;;;;0;;;;;;;;;;;;;;a;n;;m;2021-12;97103;0106;971030106;H;H;9710301;9A701;1;971
orpi-1-129004E25QUM;pr;m;l;0;50;100.0;4;1200;;;0;0;0;0;A;24.0;16.2412;-61.59477;0;;;2.0;;0;G;;;1.0;;;;;;;;;;a;n;;m;2021-12;97103;0102;971030102;H;H;9710301;9A701;1;971
hektor-agil-gp-673;pr;a;l;0;64;;3;760;;;0;0;1;0;NS;;16.23112;-61.62113;0;1.0;;1.0;False;0;NS;2021.0;1.0;1.0;;;;False;;;;;;a;n;8.0;a;2021-12;97103;0102;971030102;H;H;9710301;9A701;1;971
hektor-patri-immo-1728;pr;a;l;0;63;;3;990;;;0;0;0;0;0;;16.23201;-61.62012;0;;;;;0;;;;;;;;;;;;;;a;n;;a;2021-12;97103;0102;971030102;H;H;9710301;9A701;1;971
hektor-immobilierenguadeloupe-3168;pr;a;l;1;69;;3;1100;;;0;0;1;0;0;;16.24528;-61.57935;0;;;1.0;False;0;;2015.0;1.0;;;;;False;;;;;;a;n;8.0;a;2021-12;97103;0105;971030105;A;H;9710301;9A701;1;971
hektor-capitalimmo-542;pr;m;l;0;100;;4;1123;;;0;0;2;0;F;370.0;16.33355;-61.34706;0;;;;;0;;2010.0;2.0;1.0;;;;;;;;;;a;n;;m;2021-12;97117;0106;971170106;H;H;9711701;9A701;1;971
ag442040-324809181;pr;a;l;2;51;;2;650;;;0;1;1;1;0;;16.27064;-61.50577;0;;;;;0;;;;;;;;;;;;;Individuel;a;n;;a;2021-12;97101;0101;971010101;H;H;9710101;9A701;1;971
hektor-2_ASOMBIM-11184;pr;a;l;2;60;;3;800;;;0;0;0;0;0;;16.27064;-61.50577;0;4.0;;1.0;False;0;;2008.0;;1.0;;;;;;;;;;a;n;;a;2021-12;97101;0101;971010101;H;H;9710101;9A701;1;971
hektor-immobilierenguadeloupe-3178;pr;m;l;0;76;;3;750;;;0;0;1;0;0;;16.26663;-61.51666;0;;;2.0;;0;;;1.0;;;;;;;;;;;a;n;;m;2021-12;97101;0101;971010101;H;H;9710101;9A701;1;971
hektor-1_BAIEMAHAULT-2598;pr;m;l;0;118;;5;1450;;;0;0;1;1;NS;;16.02507;-61.69853;0;1.0;;;;0;NS;1960.0;2.0;2.0;;;;;;;;;;a;n;;m;2021-12;97124;0103;971240103;H;H;9712401;9A501;1;971
hektor-promo-invest-sarl-272;pr;a;l;0;125;700.0;4;1200;;;0;0;1;1;A;;16.23021;-61.3799;0;;;;;0;;;3.0;;;;;;;;;;;a;n;;a;2021-12;97128;0101;971280101;H;H;9712801;9A701;1;971
