idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
citya-immobilier-36-GES00480001-540;pr;a;l;0;52;;2;495;;;0;0;0;0;D;216;47.64036;6.85521;0;;;0.0;;0;E;;;0.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2023-01;90010;0403;900100403;H;H;9001001;00555;27;90
immo-facile-51528688;pr;a;l;2;49;;3;510;;;0;0;0;1;D;159;47.65174;6.85213;0;3.0;;;;0;E;;1.0;;;;;False;;;Gaz;Radiateur;;a;n;;a;2023-01;90010;0103;900100103;H;H;9001001;00555;27;90
hektor-girardi-belfort-2384;pr;a;l;4;71;;3;610;;;0;0;0;1;0;;47.63286;6.85777;0;;;;True;Sud;;;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2023-01;90010;0501;900100501;H;H;9001001;00555;27;90
hektor-girardi-belfort-2380;pr;a;l;1;137;;6;1200;;;0;0;0;1;0;;47.63139;6.86004;0;4.0;;;True;0;;1930.0;1.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;;a;2023-01;90010;0501;900100501;H;H;9001001;00555;27;90
hektor-PREVOT21-4766;pr;a;l;0;73;;3;570;;;0;0;0;1;VI;;47.6377;6.86186;0;;;;True;0;VI;1947.0;1.0;;;;;;;;Gaz;;Individuel;a;n;10.0;a;2023-01;90010;0502;900100502;H;H;9001001;00555;27;90
citya-immobilier-36-LAPP5103180;pr;a;l;0;44;;2;500;;;0;0;1;0;D;161;47.6499;6.85822;0;2.0;;1.0;;0;E;;;0.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2023-01;90010;0504;900100504;H;H;9001001;00555;27;90
nexity-FL0763144;pr;a;l;1;65;;3;620;;;0;1;0;1;C;148;47.6491;6.85852;0;2.0;;;False;0;C;;;;;True;;True;;;;;;a;n;;a;2023-01;90010;0504;900100504;H;H;9001001;00555;27;90
nexity-FL0764554;pr;a;l;2;40;;2;445;;;0;1;1;0;C;138;47.6506;6.8586;0;4.0;;1.0;False;0;D;;1.0;;;False;;True;;;;;;a;n;;a;2023-01;90010;0504;900100504;H;H;9001001;00555;27;90
immo-facile-3330608;pr;a;l;1;105;;5;700;;;0;0;1;0;E;286;47.50597;6.99496;0;1.0;;;;0;E;;1.0;;;;;False;;;Gaz;Radiateur;Individuel;a;n;;a;2023-01;90033;0102;900330102;H;H;9003301;90301;27;90
hektor-PREVOT21-4730;pr;m;l;0;130;8000.0;6;1200;;;0;0;1;1;0;;47.69946;6.82451;0;1.0;;;;0;;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;10.0;m;2023-01;90057;0000;900570000;Z;Z;9005700;00555;27;90
