idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
apimo-86482689;pr;a;l;3;39;;1;570;;;0;0;0;0;E;262;49.33383;-0.40408;0;;;;;Sud;B;;;1.0;;;;;;;Électrique;Convecteur;Collectif;a;n;;a;2025-12;14066;0000;140660000;Z;Z;1406600;14302;28;14
century-21-202_3795_2154;pr;a;l;2;36;;2;600;;;0;0;1;0;F;358;49.13485;0.22888;0;4.0;;1.0;;0;C;;1.0;0.0;;False;;False;;;Électrique;Radiateur;Collectif;a;n;;a;2025-12;14366;0201;143660201;H;H;1436601;14401;28;14
century-21-202_3795_2188;pr;a;l;2;27;;1;550;;;0;0;1;0;D;237;49.13276;0.22735;0;3.0;;1.0;;0;B;;1.0;0.0;;False;;False;;;Électrique;Convecteur;Individuel;a;n;;a;2025-12;14366;0201;143660201;H;H;1436601;14401;28;14
immo-facile-59649304;pr;a;l;2;74;;4;580;;;0;0;0;0;E;326;49.01851;-0.62661;0;4.0;;;True;0;B;;;;;;;;;;;;;a;n;;a;2025-12;14027;0000;140270000;Z;Z;1402700;14113;28;14
immo-facile-59648655;pr;a;l;1;28;;2;545;;;0;0;0;0;E;289;49.3189;-0.3534;0;4.0;;;;0;B;;;;;;;False;;;;;;a;n;;a;2025-12;14384;0000;143840000;Z;Z;1438400;14302;28;14
immo-facile-59674629;pr;m;l;0;73;203.0;4;920;;;0;0;3;0;E;306;49.31572;-0.35005;0;2.0;;1.0;;0;B;1998.0;3.0;;;;;;;;Électrique;;Individuel;a;n;;m;2025-12;14384;0000;143840000;Z;Z;1438400;14302;28;14
immo-facile-56089137;pr;m;l;0;124;;4;835;;;0;0;0;0;D;189;48.91789;-0.88986;0;;;;;0;B;;;;;;;;;;;;;a;n;;m;2025-12;14061;0000;140610000;Z;Z;1406100;14000;28;14
immo-facile-52366683;pr;a;l;0;84;;3;880;;;0;0;0;1;D;242;49.29193;0.18977;0;4.0;;;True;0;B;2007.0;1.0;;;True;;True;;;Électrique;;;a;n;;a;2025-12;14514;0000;145140000;Z;Z;1451400;14120;28;14
century-21-202_3450_3136;pr;m;l;0;106;198.0;5;1395;;;0;0;0;1;A;10;49.23671;-0.29821;0;;;1.0;;0;A;;2.0;0.0;;;;;;;Électrique;Sol;Individuel;a;n;;m;2025-12;14076;0000;140760000;Z;Z;1407600;14202;28;14
century-21-202_3450_3134;pr;m;l;0;127;256.0;6;1595;;;0;0;1;1;A;10;49.23671;-0.29821;0;;;1.0;;0;A;;2.0;0.0;;;;;;;Électrique;Sol;Individuel;a;n;;m;2025-12;14076;0000;140760000;Z;Z;1407600;14202;28;14
