idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
citya-immobilier-5023-GES03090015-97;pr;a;l;1;47;;2;491;;;0;0;0;1;D;205;43.07293;0.13952;0;3.0;;1.0;;Est;B;;;1.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;65059;0101;650590101;H;H;6505901;65301;76;65
netty-company51115pel-appt-2960;pr;a;l;4;54;;4;690;;;0;0;1;0;E;256;43.06323;0.14904;0;5.0;;;True;0;B;;;;;;;True;;;Électrique;;Individuel;a;n;;a;2025-11;65059;0101;650590101;H;H;6505901;65301;76;65
netty-squarehabitatpg-appt-8859;pr;a;l;0;71;;4;670;;;0;0;0;1;C;175;42.97303;-0.08007;0;;;1.0;;0;A;;;;;;;;;;Électrique;;;a;n;;a;2025-11;65001;0000;650010000;Z;Z;6500100;65101;76;65
netty-squarehabitatpg-appt-8975;pr;a;l;0;71;;3;710;;;0;0;1;0;E;263;43.02378;-0.06948;0;;;1.0;;0;B;;2.0;;;;;;;;Électrique;;;a;n;;a;2025-11;65098;0000;650980000;Z;Z;6509800;65000;76;65
netty-squarehabitatpg-appt-9085;pr;a;l;0;91;;3;735;;;0;0;1;0;E;305;43.41152;0.02569;0;;;1.0;;0;B;;;1.0;;;;;;;Électrique;;Individuel;a;n;;a;2025-11;65119;0000;651190000;Z;Z;6511900;65000;76;65
netty-squarehabitatpg-house-1279;pr;m;l;0;138;;4;950;;;0;0;1;1;C;142;43.23432;-0.00037;0;;;;;0;C;;;1.0;;;;;;;Gaz;;Individuel;a;n;;m;2025-11;65226;0000;652260000;Z;Z;6522600;65000;76;65
netty-squarehabitatpg-house-1277;pr;m;l;0;108;216.0;5;950;;;0;0;0;0;D;196;43.10295;-0.16864;0;;;;;0;D;;;;;;;;;;Gaz;;Individuel;a;n;;m;2025-11;65395;0000;653950000;Z;Z;6539500;65000;76;65
hektor-edouardduparc334-7859;pr;m;l;0;167;700.0;7;1300;;;0;0;1;1;D;203;43.19479;0.05498;0;2.0;;;;0;D;;2.0;;;;;;;;Gaz;;;a;n;;m;2025-11;65331;0000;653310000;Z;Z;6533100;65501;76;65
netty-company51115pel-house-1494;pr;m;l;0;61;300.0;4;650;;;0;1;1;0;E;326;42.95131;0.22624;0;3.0;;1.0;False;Sud;B;1900.0;1.0;1.0;;;6.0;;;;;;Individuel;a;n;;m;2025-11;65123;0000;651230000;Z;Z;6512300;65301;76;65
hektor-immoeuropeenne-lourdes-16361;pr;a;l;1;37;;2;500;;;0;0;1;0;C;173;43.09202;-0.02404;0;3.0;;1.0;False;Est-Ouest;A;1940.0;;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;65286;0106;652860106;D;H;6528601;65302;76;65
hektor-immoeuropeenne-lourdes-16333;pr;a;l;3;25;;1;580;;;0;1;0;1;D;221;43.09932;-0.05027;0;6.0;;1.0;True;Nord;D;;;;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2025-11;65286;0108;652860108;A;H;6528601;65302;76;65
hektor-immoeuropeenne-lourdes-16332;pr;a;l;2;46;;2;650;;;0;1;1;0;D;186;43.08873;-0.04882;0;5.0;;;True;Sud-Ouest;D;1966.0;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2025-11;65286;0102;652860102;H;H;6528601;65302;76;65
ag753199-496240958;pr;a;l;0;25;;1;510;;;0;0;0;1;C;158;43.09176;-0.05475;0;;;;False;0;A;;;;;;;True;;;;;;network;n;;a;2025-11;65286;0102;652860102;H;H;6528601;65302;76;65
hektor-immoeuropeenne-lourdes-14632;pr;a;l;3;53;;3;352;;;0;0;1;0;C;171;43.09511;-0.0456;0;4.0;;;True;Sud-Ouest;A;1850.0;1.0;;;;;False;;;;Radiateur;Individuel;a;n;;a;2025-11;65286;0103;652860103;H;H;6528601;65302;76;65
ag753199-489466769;pr;a;l;0;28;;1;420;;;0;0;0;1;C;135;43.1051;-0.05553;0;;;;False;0;A;;;;;;;True;;;;;;network;n;;a;2025-11;65286;0109;652860109;H;H;6528601;65302;76;65
century-21-202_3447_3580;pr;a;l;1;67;;3;690;;;0;0;1;0;D;228;43.23358;0.07944;0;3.0;;0.0;;0;B;;1.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;65440;0204;654400204;H;H;6544001;65501;76;65
ag320163-495394841;pr;a;l;5;50;;3;615;;;0;1;1;0;D;188;43.22894;0.07701;0;11.0;;;True;Sud;E;;1.0;;;;;True;;;;;;a;n;;a;2025-11;65440;0205;654400205;H;H;6544001;65501;76;65
iad-france-1921053;pr;m;l;0;81;465.0;4;990;;;0;0;0;0;D;211;43.10137;-0.02806;0;5.0;;;False;0;D;1972.0;;;;False;;;;;Gaz;Radiateur;;m;n;12.0;m;2025-10;65286;0105;652860105;H;H;6528601;65302;76;65
hektor-immoeuropeenne-lourdes-16240;pr;a;l;1;98;;4;681;;;0;0;2;0;C;148;43.09586;-0.04613;0;4.0;;;True;Nord-Sud;A;1890.0;2.0;1.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-10;65286;0102;652860102;H;H;6528601;65302;76;65
