type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;198;626.0;6;365000;;;0;0;2;0;E;280.0;47.17385;-1.59171;Non;2.0;;0.0;False;0;B;1900.0;;0.0;;;;;;;Électrique;Convecteur;Individuel;a;n;m;2020-08;44020;0106;440200106;A;44;52.0;;;;10.0;1.0;0.065;1843.43
pr;m;v;0;80;213.0;3;159900;;;0;0;0;0;VI;;47.18978;-1.68245;Oui;1.0;;;False;0;VI;1850.0;;;;False;;;;;;;;m;n;m;2020-08;44101;0102;441010102;H;44;52.0;;;;;;;1998.75
pr;a;v;3;34;;2;139900;;;0;0;1;0;D;203.0;47.23896;-1.53123;Oui;;;1.0;False;0;B;2009.0;1.0;1.0;;;;True;41.0;702.0;Électrique;;Individuel;a;n;a;2020-08;44109;1005;441091005;H;44;52.0;12.68;4.0;0.037;13.64;1087.0;0.04;4114.71
pr;a;v;7;68;;4;199500;;;0;1;0;1;D;230;47.23901;-1.52875;Oui;3.0;;1.0;True;0;E;1965.0;1.0;;;;;True;330.0;1445.0;Gaz;;;a;n;a;2020-08;44109;1005;441091005;H;44;52.0;19.18;3.0;0.078;11.69;231.0;0.048;2933.82
pr;a;v;0;78;;3;308850;;;0;0;0;1;A;;47.21328;-1.62253;Non;6.0;;2.0;;0;;;1.0;;;;;;;;;;;a;n;a;2020-08;44162;0503;441620503;H;44;52.0;11.08;4.0;0.034;11.06;118.0;0.034;3959.62
pr;a;v;0;86;;5;176220;;;0;0;1;0;C;;47.18558;-1.55754;Oui;4.0;;1.0;True;Est-Ouest;D;1974.0;1.0;;;False;;False;210.0;1800.0;Gaz;Sol;Collectif;a;n;a;2020-08;44143;0401;441430401;H;44;52.0;;;;8.74;6.0;0.051;2049.07
pr;a;v;3;72;;4;134375;;;0;3;1;0;D;172;47.18765;-1.56009;Non;4.0;;;True;0;E;1965.0;1.0;;;False;;False;976.0;1400.0;;;Collectif;a;n;a;2020-08;44143;0401;441430401;H;44;52.0;;;;10.24;27.0;0.066;1866.32
pr;a;v;3;72;;4;151900;;;0;0;0;1;VI;;47.18393;-1.56063;Oui;;;0.0;;0;VI;1965.0;;0.0;;;;False;0.0;1538.0;Gaz;Sol;Collectif;a;n;a;2020-08;44143;0401;441430401;H;44;52.0;;;;10.24;27.0;0.058;2109.72
pr;m;v;0;150;2500.0;6;360000;;;0;0;0;0;D;182;47.39039;-1.66543;Oui;1.0;;;False;0;A;1900.0;;;;False;;;;;;;;m;n;m;2020-08;44073;0000;440730000;Z;44;52.0;;;;;;;2400.0
pr;m;v;0;285;100000.0;6;571945;;;0;0;0;0;NS;;47.34894;-1.39054;Non;1.0;;;;0;;;;;;False;;;;;;;;m;n;m;2020-08;44028;0000;440280000;Z;44;52.0;;;;;;;2006.82
pr;m;v;0;168;1023.0;7;458700;;;0;0;2;0;C;97;47.33985;-1.43379;Oui;;;3.0;True;0;A;2002.0;2.0;2.0;;;;;;;;;Individuel;a;n;m;2020-08;44094;0000;440940000;Z;44;52.0;;;;;;;2730.36
pr;m;v;0;150;800.0;5;441950;;;0;0;0;0;B;89.4;47.30214;-1.39476;Non;;;;;0;A;;;;;False;;;;;;;;m;n;m;2020-08;44094;0000;440940000;Z;44;52.0;;;;;;;2946.33
pr;m;v;0;260;2945.0;10;603200;;;0;0;2;1;VI;;47.19298;-1.77246;Non;1.0;;6.0;;Nord-Sud;G;1880.0;4.0;2.0;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-08;44120;0000;441200000;Z;44;52.0;;;;;;;2320.0
