type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;0;28;;1;300;;;0;0;0;0;F;336;46.98874;3.16692;Oui;;;;;0;F;;;;;;;;;;;;;a;;a;2020-08;58194;0101;581940101;H;58;27.0
pr;a;l;0;40;;2;400;;;0;0;0;0;0;;46.9866;3.1496;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;58194;0117;581940117;H;58;27.0
pr;a;l;2;64;;3;501;;;0;1;0;1;E;233;46.99537;3.1389;0;;;1.0;;0;C;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;58194;0117;581940117;H;58;27.0
pr;m;l;0;80;10.0;3;502;;;0;0;1;0;F;351.0;47.17955;3.02045;0;;;;False;0;F;;;;;;;;;;Gaz;;Individuel;a;n;m;2020-08;58059;0101;580590101;H;58;27.0
pr;a;l;1;50;;2;430;;;0;0;0;1;F;351;47.18438;3.01788;0;;;;True;Est;G;;1.0;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;58059;0101;580590101;H;58;27.0
pr;a;l;0;58;;2;430;;;0;0;0;0;VI;;47.17935;3.02017;0;2.0;;;False;0;VI;;1.0;;;;;;;;Gaz;;Individuel;a;n;a;2020-08;58059;0101;580590101;H;58;27.0
pr;m;l;0;86;;4;660;;;0;0;1;0;E;275.0;47.17999;3.01974;0;;;;False;0;C;2008.0;1.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-08;58059;0101;580590101;H;58;27.0
pr;a;l;0;51;;2;520;;;0;0;0;1;C;139;46.99442;3.17347;0;;;1.0;;0;D;;;0.0;;;;False;;;Gaz;Sol;Collectif;a;n;a;2020-08;58194;0101;581940101;H;58;27.0
pr;a;l;0;26;;1;490;;;0;0;1;0;VI;;46.98815;3.15536;0;2.0;;;;0;VI;;1.0;;;;;;;;;;Collectif;a;n;a;2020-08;58194;0102;581940102;H;58;27.0
pr;a;l;1;50;;2;400;;;0;0;0;0;D;182;46.9881;3.15665;0;;;;False;0;E;;;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;58194;0102;581940102;H;58;27.0
