type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;2;23;;1;395000;;;0;0;1;0;NS;;48.83927;2.26666;Non;4.0;;;;Ouest;;;1.0;;;;;True;;;;;;a;n;a;2020-08;75116;6102;751166102;H;75;11.0;39.87;9.0;0.028;41.67;1041.0;0.029;17173.91
pr;a;v;2;44;;2;725000;;;0;0;1;0;NS;;48.83927;2.26666;Non;;;;;Sud;;;1.0;;;;;True;;;;;;a;n;a;2020-08;75116;6102;751166102;H;75;11.0;30.36;16.0;0.022;35.71;1155.0;0.026;16477.27
pr;a;v;4;84;;4;1430000;;;0;0;2;0;NS;;48.83927;2.26666;Non;;;;;Sud;;;2.0;;;;;True;;;;;;a;n;a;2020-08;75116;6102;751166102;H;75;11.0;32.22;5.0;0.023;31.49;381.0;0.022;17023.81
pr;a;v;5;154;;6;3250000;;;0;1;2;1;NS;;48.83927;2.26666;Non;;;;;Sud;;;3.0;;;;;True;;;;;;a;n;a;2020-08;75116;6102;751166102;H;75;11.0;;;;29.58;101.0;0.017;21103.9
pr;a;v;5;112;;5;1960000;;;0;1;3;0;NS;;48.83927;2.26666;Non;;;;;Sud;;;2.0;;;;;;;;;;;a;n;a;2020-08;75116;6102;751166102;H;75;11.0;;;;30.3;272.0;0.021;17500.0
pr;a;v;0;54;;3;667000;;;0;0;0;1;E;323.0;48.83923;2.26048;Oui;6.0;;;True;Nord-Est;F;;1.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;75116;6105;751166105;H;75;11.0;30.61;6.0;0.03;34.0;727.0;0.033;12351.85
pr;a;v;5;44;;2;443000;;;0;1;0;1;0;;48.83949;2.25991;Non;6.0;;;;0;;1940.0;1.0;0.0;;True;;False;0.0;0.0;Électrique;Radiateur;Individuel;a;n;a;2020-08;75116;6105;751166105;H;75;11.0;28.78;15.0;0.034;35.71;1155.0;0.043;10068.18
pr;a;v;3;44;;2;449440;;;0;0;0;1;D;213.0;48.85378;2.40069;Oui;;;;;0;E;;1.0;;;;;True;;2537.48;Gaz;Radiateur;Collectif;a;n;a;2020-08;75120;8015;751208015;H;75;11.0;26.71;10.0;0.031;29.21;480.0;0.034;10214.55
pr;a;v;3;54;;3;699000;;;0;0;1;0;C;150.0;48.8929;2.32593;Non;6.0;;;;0;C;1905.0;1.0;0.0;;True;;False;0.0;0.0;Gaz;Radiateur;Individuel;a;n;a;2020-08;75117;6808;751176808;H;75;11.0;27.12;9.0;0.025;31.62;400.0;0.029;12944.44
pr;a;v;4;100;;5;1295000;;;0;0;2;0;0;;48.88038;2.30073;Non;6.0;;;;0;;1900.0;2.0;0.0;;True;;False;0.0;0.0;Gaz;Radiateur;Collectif;a;n;a;2020-08;75117;6606;751176606;H;75;11.0;31.72;6.0;0.029;30.61;127.0;0.028;12950.0
pr;a;v;3;137;;5;1490000;;;0;1;2;0;C;123;48.84689;2.40496;Oui;8.0;;1.0;True;0;B;;2.0;;;True;;True;16.0;5900.0;Fioul;;Collectif;a;n;a;2020-08;75112;4513;751124513;H;75;11.0;;;;25.93;25.0;0.029;10875.91
pr;a;v;0;49;;2;740000;;;0;0;1;0;VI;;48.84599;2.40595;Oui;7.0;;;;0;VI;1964.0;1.0;1.0;;True;;True;182.0;3084.0;Gaz;Radiateur;Collectif;a;n;a;2020-08;75112;4513;751124513;H;75;11.0;30.26;10.0;0.024;30.36;471.0;0.024;15102.04
pr;a;v;6;33;;2;510000;;;0;0;0;1;0;;48.85604;2.34004;Oui;6.0;;;;0;;;1.0;;;True;;False;33.0;1408.0;Électrique;;Individuel;a;n;a;2020-08;75106;2102;751062102;H;75;11.0;46.67;29.0;0.036;41.96;437.0;0.033;15454.55
pr;a;v;5;62;;3;695000;;;0;0;0;1;VI;;48.83151;2.29515;Non;;;;True;0;;;1.0;;;;;;;;Gaz;;Individuel;a;n;a;2020-08;75115;5705;751155705;H;75;11.0;31.13;9.0;0.033;29.59;659.0;0.032;11209.68
pr;a;v;0;80;;3;999500;;;0;0;1;1;VI;;48.86301;2.35338;Oui;5.0;;;True;0;G;1900.0;2.0;;;;;True;65.0;2268.0;Gaz;Radiateur;Individuel;a;n;a;2020-08;75103;1204;751031204;H;75;11.0;29.82;12.0;0.029;33.33;111.0;0.032;12493.75
pr;a;v;1;14;;1;223000;;;0;0;1;0;NS;;48.86349;2.35459;Oui;5.0;;;;Est;;;;;;True;;False;;;Électrique;;Individuel;m;n;a;2020-08;75103;1204;751031204;H;75;11.0;37.78;18.0;0.028;43.75;295.0;0.033;15928.57
pr;a;v;0;45;;2;579000;;;0;0;0;0;VI;;48.86447;2.35222;Non;4.0;;;;0;G;1600.0;;;;True;;False;11.0;1344.0;Électrique;;Individuel;a;n;a;2020-08;75103;1204;751031204;H;75;11.0;38.61;16.0;0.036;39.71;333.0;0.037;12866.67
pr;a;v;0;85;;5;1093000;;;0;0;0;1;D;153.0;48.87839;2.34592;Oui;6.0;;;True;0;D;1900.0;1.0;;;True;;False;75.0;2920.0;Gaz;Radiateur;Individuel;a;n;a;2020-08;75109;3601;751093601;H;75;11.0;27.27;1.0;0.025;29.9;33.0;0.028;12858.82
pr;a;v;1;50;;3;495000;;;0;0;0;1;VI;;48.87086;2.37104;Oui;6.0;;;True;0;G;1900.0;1.0;;;True;;True;41.0;1322.0;Gaz;;Individuel;a;n;a;2020-08;75110;4003;751104003;H;75;11.0;27.27;5.0;0.033;30.39;140.0;0.037;9900.0
pr;a;v;6;5;;1;75000;;;0;0;0;0;0;;48.87748;2.34864;Non;6.0;;;;0;;;;;;;;;54.0;136.0;;;Individuel;a;n;a;2020-08;75109;3601;751093601;H;75;11.0;42.11;11.0;0.034;42.14;336.0;0.034;15000.0
pr;a;v;0;28;;1;365400;;;0;1;1;0;E;278.0;48.8773;2.34811;Oui;6.0;;;True;Sud-Est;F;;1.0;;;True;;True;142.0;1984.0;Électrique;;Collectif;a;n;a;2020-08;75109;3601;751093601;H;75;11.0;42.11;11.0;0.039;42.14;336.0;0.039;13050.0
pr;a;v;0;20;;2;234000;;;0;0;0;0;0;;48.87178;2.37021;Non;;;0.0;;0;;;;;;;;;18.0;696.0;;;;a;n;a;2020-08;75110;4003;751104003;H;75;11.0;35.66;16.0;0.037;33.33;376.0;0.034;11700.0
pr;a;v;0;55;;3;529000;;;0;0;0;0;D;187;48.8707;2.37152;Oui;;;;False;0;E;;;;;False;;False;154.0;1900.0;Gaz;;Individuel;m;n;a;2020-08;75110;4003;751104003;H;75;11.0;27.27;5.0;0.034;30.39;140.0;0.038;9618.18
pr;a;v;0;26;;2;315000;;;0;0;1;0;E;256.0;48.85512;2.39553;Oui;4.0;;;;0;B;;1.0;;;True;;;;940.0;Électrique;Radiateur;Individuel;a;n;a;2020-08;75120;8026;751208026;H;75;11.0;28.98;8.0;0.029;29.21;480.0;0.029;12115.38
pr;a;v;0;23;;1;258000;;;0;0;1;0;B;73.0;48.89662;2.32818;Non;7.0;;;False;Sud;C;;1.0;;;;;True;;;;;Collectif;a;n;a;2020-08;75117;6809;751176809;H;75;11.0;53.33;5.0;0.057;41.67;778.0;0.045;11217.39
pr;a;v;0;64;;3;703000;;;0;0;0;0;B;;48.89348;2.32689;Oui;;;0.0;;0;;;;;;;;;60.0;0.0;;;;a;n;a;2020-08;75117;6809;751176809;H;75;11.0;30.0;6.0;0.033;31.62;400.0;0.035;10984.38
pr;a;v;3;16;;1;246000;;;0;0;0;1;0;;48.85998;2.31542;Oui;3.0;;;;0;;;;;;;;;92.0;750.0;;;Individuel;a;n;a;2020-08;75107;2602;751072602;H;75;11.0;39.09;12.0;0.031;45.24;354.0;0.035;15375.0
pr;a;v;10;70;3.0;3;780000;;;0;0;0;0;0;;48.82849;2.38147;Non;15.0;;;;0;;;;;;;;True;35.0;1700.0;;;Collectif, Individuel;a;n;a;2020-08;75113;5016;751135016;H;75;11.0;;;;27.32;258.0;0.029;11142.86
pr;a;v;10;33;3.0;1;428000;;;0;0;0;0;0;;48.82849;2.38147;Non;15.0;;;;0;;;;;;;;True;35.0;800.0;;;Collectif, Individuel;a;n;a;2020-08;75113;5016;751135016;H;75;11.0;38.34;2.0;0.035;36.11;429.0;0.033;12969.7
pr;a;v;1;162;;6;1880000;;;0;0;1;1;D;;48.8792;2.32589;Non;6.0;;;;0;E;1900.0;2.0;0.0;;True;;True;0.0;0.0;Gaz;Radiateur;Individuel;a;n;a;2020-08;75108;3208;751083208;A;75;11.0;25.97;5.0;0.027;30.05;49.0;0.031;11604.94
pr;a;v;0;18;;1;255000;;;0;0;0;0;NS;;48.85326;2.29354;Non;;;;;0;;;;;;True;;True;;;;;;a;n;a;2020-08;75115;5916;751155916;H;75;11.0;35.77;3.0;0.03;36.36;998.0;0.031;14166.67
pr;a;v;7;120;;5;1549000;;;0;1;0;1;E;238;48.85527;2.26907;Non;8.0;;;;0;F;1959.0;2.0;0.0;;True;;True;0.0;0.0;Gaz;Radiateur;Collectif;a;n;a;2020-08;75116;6205;751166205;H;75;11.0;;;;30.3;272.0;0.028;12908.33
pr;a;v;7;110;;5;1549000;;;0;1;0;1;E;238;48.85527;2.26907;Non;8.0;;;;0;F;1959.0;2.0;0.0;;True;;True;0.0;0.0;Gaz;Radiateur;Collectif;a;n;a;2020-08;75116;6205;751166205;H;75;11.0;;;;30.3;272.0;0.026;14081.82
