Ville,Type_logement,Titre_annonce,ID_publication,ID_annonce,Code_postal,Code_INSEE,Surface,Prix,NB_pieces,nb_chambres,date_observation,heure-min,code_depart,annonce_exclusive,quartier,site_source,type_annonceur,categorie_annonceur,type_transaction,logement_neuf,prix_m_carre,statut_annonce
Longeville-sur-Mer,Maison/Villa,Maison Longeville Sur Mer 7 pièce(s),4117,immo-facile-adresse-10752537,85560,85127,140,315900,7,5,2020-01-22,20:19:29.192350,85,Oui,Longeville-sur-Mer,bienici,Pro,Agence,Vente,Non,2256.4285714285716,Active
Sainte-Hermine,Maison/Villa,Maison spacieuse et ancien local commercial,1279V,hektor-achetezvendeeim-409,85210,85223,131.94,55640,7,4,2020-01-22,20:19:29.192350,85,Oui,Sainte-Hermine,bienici,Pro,Agence,Vente,Non,394.1185387297256,Active
La Châtaigneraie,Maison/Villa,Maison La Chataigneraie 7 pièce(s),224964PER,ag440414-234437395,85120,85059,136,152990,7,4,2020-01-22,20:19:29.192350,85,Non,La Châtaigneraie,bienici,Pro,Mandataire,Vente,Non,1124.9264705882354,Active
La Garnache,Maison/Villa,Maison rénovée,1_C0277M,hektor-1_vrignaudbiron-15789,85710,85096,133,219100,4,3,2020-01-22,20:19:29.192350,85,Oui,La Garnache,bienici,Pro,Agence,Vente,Non,1647.3684210526317,Active
Lairoux,Maison/Villa,Maison en pierre-plain pied,1255,immo-facile-35165774,85400,85117,140,158250,4,3,2020-01-22,20:19:29.192350,85,Oui,Lairoux,bienici,Pro,Agence,Vente,Non,1130.357142857143,Active
Challans,Maison/Villa,Maison Challans 6 pièce(s),6947,immo-facile-adresse-10961207,85300,85047,132.7,184900,6,4,2020-01-22,20:19:29.192350,85,Oui,Croix Maraud,bienici,Pro,Agence,Vente,Non,1318.7641296156746,Active
Saint-Révérend,Maison/Villa,Maison Saint Reverend 5 pièce(s) 136 m2,11140,immo-facile-99932870149,85220,85268,136,275400,5,4,2020-01-22,20:19:29.192350,85,Oui,Saint-Révérend,bienici,Pro,Agence,Vente,Non,1911.764705882353,Active
Saint-Hilaire-le-Vouhis,Maison/Villa,Charmante maison de campagne,5731,hektor-cabinetfruchet-11736,85480,85232,140,138450,8,6,2020-01-22,20:19:29.192350,85,Oui,Saint-Hilaire-le-Vouhis,bienici,Pro,Agence,Vente,Non,928.5714285714286,Active
Les Épesses,Maison/Villa,Maison de charme -Secteur Les Epesses - 3 Chambres- 140 m2 - Magnifique Parc arboré de 8370 M2,219612FVO,ag440414-224720770,85590,85082,140,249500,7,3,2020-01-22,20:19:29.192350,85,Non,Les Epesses,bienici,Pro,Mandataire,Vente,Non,1782.142857142857,Active
Dompierre-sur-Yon,Maison/Villa,DOMPIERRE SUR YON MAISON A VENDRE EXCLUSIVITE AMEPI,7705,immo-facile-adresse-10897828,85170,85081,135,140000,5,4,2020-01-22,20:19:29.192350,85,Oui,Dompierre-sur-Yon,bienici,Pro,Agence,Vente,Non,1037.037037037037,Active
Fontenay-le-Comte,Maison/Villa,Maison Fontenay Le Comte 6 pièce(s) 128 m2,6994,immo-facile-34018681,85200,85092,140,144450,6,4,2020-01-22,20:19:29.192350,85,Oui,Commerce - Marchoux,bienici,Pro,Agence,Vente,Non,964.2857142857143,Active
L'Orbrie,Maison/Villa,Beau Plain Pied récent  situation recherchée,215575MCM,ag440414-218990643,85200,85167,137,248000,8,43,2020-01-22,20:19:29.192350,85,Non,L'Orbrie,bienici,Pro,Mandataire,Vente,Non,1740.8759124087592,Active
Fontenay-le-Comte,Maison/Villa,Maison Fontenay Le Comte,3405,immo-facile-adresse-10651094,85200,85092,135,86800,5,3,2020-01-22,20:19:29.192350,85,Oui,Le Porteau - Rabelais,bienici,Pro,Agence,Vente,Non,592.5925925925926,Active
Saint-Hilaire-des-Loges,Maison/Villa,Maison 1900 et anciens bâtiments XVIè  en campagne,206960MCM,ag440414-206132352,85240,85227,132,105990,7,3,2020-01-22,20:19:29.192350,85,Non,Saint-Hilaire-des-Loges,bienici,Pro,Mandataire,Vente,Non,757.5757575757576,Active
Mareuil-sur-Lay-Dissais,Maison/Villa,MAISON DE CARACTERE AVEC FORT POTENTIEL,1_PB6012,ag850426-201704328,85320,85135,134,262250,5,2,2020-01-22,20:19:29.192350,85,Oui,Mareuil-sur-Lay-Dissais,bienici,Pro,Agence,Vente,Non,1865.6716417910447,Active
Auchay-sur-Vendée,Maison/Villa,Jolie Maison de campagne à restaurer,4,ag790287-185657799,85200,85044,140,93000,5,2,2020-01-22,20:19:29.192350,85,Non,Chaix,bienici,Pro,Agence,Vente,Non,628.5714285714286,Active
Longeville-sur-Mer,Maison/Villa,Maison Longeville Sur Mer 6 pièce(s) 133 m2,4104,immo-facile-adresse-9945538,85560,85127,133,179900,6,3,2020-01-22,20:19:29.192350,85,Oui,Longeville-sur-Mer,bienici,Pro,Agence,Vente,Non,1352.6315789473683,Active
Vix,Maison/Villa,Maison en pierres 3 chambres,222945,ag440414-230400919,85770,85303,135,155990,4,3,2020-01-22,20:19:29.192350,85,Non,Vix,bienici,Pro,Mandataire,Vente,Non,1111.111111111111,Active
Angles,Maison/Villa,MAISON 4 CHAMBRES DONT UNE SUITE PARENTALE,02363r,immo-facile-34936716,85750,85004,137,242200,5,4,2020-01-22,20:19:29.192350,85,Oui,Angles,bienici,Pro,Agence,Vente,Non,1678.8321167883212,Active
