codepostal;ville;nb_pieces;prix_m2
06200;nice;2;16,05
31200;toulouse;3;10,75
30000;nimes;2;12,13
06000;nice;2;16
06000;nice;1;19,58
34070;montpellier;3;11,3
30900;nimes;4;10,04
06200;nice;2;16,13
75016;paris-16eme;3;21,43
75016;paris-16eme;3;29,23
31300;toulouse;2;18,07
06000;nice;1;1,98
33000;bordeaux;2;20,39
06100;nice;1;2,26
06000;nice;1;25,24
06400;cannes;2;4380
59000;lille;1;27,57
06100;nice;1;17,85
34000;montpellier;2;17,19
76100;rouen;3;11,33
06400;cannes;2;18,89
34090;montpellier;3;12,33
76000;rouen;1;20,45
31000;toulouse;3;13,98
13100;aix-en-provence;1;30,69
34090;montpellier;2;17,02
06300;nice;1;25,2
06000;nice;1;26,07
34000;montpellier;2;13,67
30900;nimes;3;9,15
06400;cannes;4;6227,27
75016;paris-16eme;1;33,17
06000;nice;1;30,67
31200;toulouse;3;10,23
13100;aix-en-provence;1;31,67
31000;toulouse;2;16,77
13100;aix-en-provence;4;15,93
83000;toulon;2;13,18
31200;toulouse;1;1,49
13100;aix-en-provence;1;24,97
06000;nice;1;32,03
59000;lille;1;22,91
31400;toulouse;1;21,67
76000;rouen;1;22,11
30900;nimes;1;16,27
06000;nice;1;22,2
31200;toulouse;2;13,21
31300;toulouse;2;11,87
06300;nice;1;24,14
13100;aix-en-provence;4;14,33
13100;aix-en-provence;1;2,47
34090;montpellier;3;13,33
59000;lille;1;24,21
59000;lille;1;19,84
13090;aix-en-provence;1;24,22
06000;nice;1;17,81
13100;aix-en-provence;1;15,35
06200;nice;1;17,43
06000;nice;1;25,62
75016;paris-16eme;4;42,35
31300;toulouse;2;12,74
75016;paris-16eme;1;68
06000;nice;1;20,68
06000;nice;1;16,87
13100;aix-en-provence;1;24,47
13100;aix-en-provence;1;36,9
75016;paris-16eme;2;26,33
31400;toulouse;2;12,39
06000;nice;2;31,95
31300;toulouse;1;32,14
75016;paris-16eme;2;35,89
06300;nice;1;34,12
06000;nice;2;20,7
06000;nice;1;35,67
13090;aix-en-provence;2;17,65
30900;nimes;2;13,26
31000;toulouse;4;14,56
06000;nice;1;30,83
83000;toulon;2;14,41
34000;montpellier;3;12,91
31000;toulouse;4;9,29
33000;bordeaux;2;4400,53
13100;aix-en-provence;4;10,59
31200;toulouse;3;10,98
31000;toulouse;2;14,11
75016;paris-16eme;2;28,02
34000;montpellier;3;12,01
06200;nice;2;15,52
31400;toulouse;3;11,17
06400;cannes;2;20,29
31200;toulouse;2;12,33
06000;nice;1;33
33000;bordeaux;3;11,12
30900;nimes;2;12,93
06200;nice;1;17,64
76000;rouen;2;13,69
31400;toulouse;3;10,46
31000;toulouse;5;11,77
34090;montpellier;3;14,75
30000;nimes;2;13,71
06000;nice;1;28,7
31200;toulouse;1;23,42
31200;toulouse;1;23,33
06000;nice;1;32,5
31400;toulouse;2;13,4
31200;toulouse;3;11,66
34000;montpellier;3;11,7
06300;nice;1;28,79
31200;toulouse;2;11,6
75016;paris-16eme;5;36,92
06100;nice;3;14,41
76000;rouen;1;13,71
33000;bordeaux;3;11,94
34080;montpellier;3;12,09
31200;toulouse;4;1,06
34000;montpellier;2;14,43
31200;toulouse;2;12,89
06200;nice;1;16,83
13100;aix-en-provence;1;25
06400;cannes;4;6890
13090;aix-en-provence;1;19,46
34000;montpellier;2;9,38
34090;montpellier;2;13,26
76100;rouen;2;9,92
33000;bordeaux;2;14,64
31400;toulouse;1;18,51
31500;toulouse;3;12,7
30000;nimes;2;8,77
31500;toulouse;2;12,35
59800;lille;1;25,08
06100;nice;1;26,45
13090;aix-en-provence;1;23,13
31200;toulouse;3;10,8
13090;aix-en-provence;3;21,13
13100;aix-en-provence;5;21,06
75016;paris-16eme;4;25,86
06400;cannes;1;21,41
06000;nice;1;36,67
34000;montpellier;2;19,82
31000;toulouse;1;19,7
13080;aix-en-provence;1;26,5
06200;nice;1;27,22
06400;cannes;1;1,89
13100;aix-en-provence;1;24,44
34090;montpellier;2;14,04
34000;montpellier;2;15,46
75016;paris-16eme;2;28,7
31200;toulouse;2;22,06
33000;bordeaux;2;19,17
33000;bordeaux;2;17,74
31000;toulouse;1;18,17
13100;aix-en-provence;1;17,67
34070;montpellier;2;3253,25
06000;nice;2;13,16
06000;nice;1;13,73
13100;aix-en-provence;1;27,27
06000;nice;2;21,9
13100;aix-en-provence;1;17,9
31100;toulouse;1;19,09
30900;nimes;1;14,96
31500;toulouse;4;11,12
59800;lille;1;2,25
31300;toulouse;2;12,43
06200;nice;2;12,9
59000;lille;3;10,29
59000;lille;2;13,17
83000;toulon;2;14,03
06000;nice;2;1,16
06000;nice;2;42,73
06300;nice;2;24,88
59000;lille;3;13,47
13100;aix-en-provence;1;33,18
59000;lille;3;16,4
83000;toulon;3;12,27
13100;aix-en-provence;1;19,03
31000;toulouse;3;12,95
06000;nice;1;30
06400;cannes;2;14,71
76000;rouen;2;13,75
06300;nice;1;27,37
13100;aix-en-provence;1;24,91
31000;toulouse;1;20
34000;montpellier;2;12,8
13100;aix-en-provence;1;18,33
13100;aix-en-provence;1;26,73
75016;paris-16eme;2;34,11
06200;nice;1;19,72
