codepostal;ville;nb_pieces;prix_m2
34080;montpellier;4;2264,49
06000;nice;1;4647,06
06400;cannes;3;5257,58
31400;toulouse;3;3596,77
31100;toulouse;2;3406,39
30900;nimes;6;3118,81
06400;cannes;2;5102,33
31300;toulouse;1;4411,9
83100;toulon;2;2085,11
06400;cannes;3;9626,87
13080;aix-en-provence;4;4198,47
31100;toulouse;4;962,5
31200;toulouse;2;2323,26
34000;montpellier;2;4710,53
33000;bordeaux;1;0
59000;lille;4;0
06000;nice;4;5737,27
06400;cannes;3;5700
75016;paris-16eme;4;11490,38
06000;nice;2;10300,61
06400;cannes;3;8759,69
06200;nice;2;4751,69
06000;nice;4;5888,89
13100;aix-en-provence;1;6500
06400;cannes;1;3648,65
75116;paris-16eme;5;12727,27
31200;toulouse;3;0
06000;nice;3;2824,06
13080;aix-en-provence;5;4193,94
06000;nice;4;4071,43
31500;toulouse;3;2897,1
06400;cannes;3;9743,59
31100;toulouse;1;0
13080;aix-en-provence;3;5852,63
33000;bordeaux;2;5288,46
06400;cannes;4;6690,14
06000;nice;5;4891,34
30000;nimes;2;2544,38
06000;nice;3;7692,31
34000;montpellier;2;2766,67
83000;toulon;2;2358,97
06000;nice;2;4682,54
33000;bordeaux;1;6854,84
06400;cannes;2;6396,15
83000;toulon;5;1734,55
06400;cannes;3;5887,64
75016;paris-16eme;2;11869,03
13100;aix-en-provence;3;2892,16
06400;cannes;4;10242,42
06400;cannes;3;7139,53
06150;cannes;1;4019,4
06300;nice;2;7233,33
33000;bordeaux;2;5808,62
76000;rouen;5;2706,52
76000;rouen;4;2996,06
31100;toulouse;4;0
76000;rouen;4;805,19
31000;toulouse;2;6222,22
06400;cannes;3;5000
59000;lille;1;3660
30000;nimes;4;1039,47
06200;nice;1;5380,95
30000;nimes;2;1585,19
06200;nice;4;3191,36
33000;bordeaux;2;5775
06000;nice;3;0
34000;montpellier;3;2311,25
31000;toulouse;4;6701,03
13100;aix-en-provence;1;4618,38
33800;bordeaux;2;5913,79
06000;nice;2;10844,56
75016;paris-16eme;7;15121,21
33000;bordeaux;2;0
76000;rouen;3;2632,35
75116;paris-16eme;2;1219,85
06300;nice;1;4833,33
83200;toulon;4;2390,8
30000;nimes;4;1225
06400;cannes;4;1084,16
83100;toulon;4;1536,23
06400;cannes;1;6862,07
06000;nice;3;4874,35
06400;cannes;2;7150,89
31000;toulouse;4;4345,24
34000;montpellier;4;6448,6
33000;bordeaux;2;4680,85
06400;cannes;2;4968,29
33000;bordeaux;2;6140
06200;nice;3;3830,65
06100;nice;2;3481,48
06400;cannes;2;0
30000;nimes;5;1737,39
59000;lille;2;4056,82
76000;rouen;2;2552,32
33300;bordeaux;3;6976,56
30000;nimes;4;1710,53
06400;cannes;2;6549,22
06000;nice;3;4165,28
06400;cannes;2;6711,54
06400;cannes;2;3283,58
31500;toulouse;3;5486,11
75016;paris-16eme;4;12542,65
75116;paris-16eme;5;16950,35
31500;toulouse;3;4666,67
13100;aix-en-provence;4;2914,45
06000;nice;1;6625
83000;toulon;1;0
30000;nimes;2;2725
34000;montpellier;4;3071,91
34070;montpellier;2;2770,83
34000;montpellier;1;4431,58
06400;cannes;4;0
31500;toulouse;4;2645,04
06400;cannes;3;6337,84
31500;toulouse;3;1323,53
75116;paris-16eme;7;9925
06150;cannes;3;6065,57
34000;montpellier;2;3780
34070;montpellier;4;2115,38
75116;paris-16eme;2;14893,62
06000;nice;2;5303,03
76000;rouen;1;2826,09
06000;nice;4;4761,9
59000;lille;2;3220
34070;montpellier;4;3923,08
06400;cannes;4;3653,62
34000;montpellier;3;5720
06000;nice;2;3148,94
83000;toulon;3;2083,33
76100;rouen;4;2363,75
06400;cannes;4;4000
33000;bordeaux;3;#DIV/0!
06100;nice;4;4317,31
31000;toulouse;4;4008,33
06400;cannes;3;6370,47
75016;paris-16eme;3;11007,83
13100;aix-en-provence;4;4604,71
06400;cannes;2;6625
06200;nice;1;0
06200;nice;2;3635,18
31100;toulouse;4;0
59000;lille;1;4039,29
31200;toulouse;3;11,64
31200;toulouse;2;0
83000;toulon;4;2578,31
76000;rouen;4;3089,82
31000;toulouse;3;6545,23
06200;nice;4;3928,57
06000;nice;3;2750
33300;bordeaux;4;3618,83
34000;montpellier;2;3022,73
34000;montpellier;2;3566,67
33000;bordeaux;1;5330
83200;toulon;4;1782,61
33000;bordeaux;4;6008,89
06000;nice;4;8604,65
30000;nimes;1;184,43
06100;nice;3;4889,98
06400;cannes;3;5462,16
31100;toulouse;4;818,18
83000;toulon;4;3512,2
06000;nice;1;8066,67
13090;aix-en-provence;1;2875
31000;toulouse;2;1972,15
06000;nice;3;2676,92
34000;montpellier;4;5919,54
31500;toulouse;4;2879,94
33000;bordeaux;4;4833,33
06000;nice;2;4627,91
06300;nice;3;17250
06300;nice;3;4198,15
75016;paris-16eme;2;10631,58
34000;montpellier;1;2363,18
83;toulon;4;2912
76100;rouen;1;2719,03
31100;toulouse;3;2619,54
06400;cannes;3;17804,88
33100;bordeaux;3;3645,68
34000;montpellier;5;2600
34090;montpellier;2;4891,3
83000;toulon;1;3300
76000;rouen;2;3944,66
13100;aix-en-provence;4;5400
34000;montpellier;2;3093,55
34000;montpellier;2;3900
76000;rouen;2;2450
83000;toulon;5;3846,15
59000;lille;2;5013,89
06300;nice;3;3513,51
31400;toulouse;1;0
30000;nimes;3;1621,21
06400;cannes;1;4363,64
06000;nice;1;7520
34090;montpellier;4;2606,56
06400;cannes;3;5098,56
06000;nice;1;0
34070;montpellier;4;0
06400;cannes;3;6990
33000;bordeaux;7;4936,55
59000;lille;4;3130,63
06300;nice;2;3250
06300;nice;1;0
06400;cannes;2;7500
06400;cannes;2;7950
06200;nice;2;4422,54
06000;nice;3;5000
06300;nice;2;448,4
31100;toulouse;4;2853,58
06300;nice;3;7766,67
59000;lille;1;6082,04
06000;nice;2;796,13
06100;nice;4;1699,1
31200;toulouse;3;2403,23
13100;aix-en-provence;4;6673,73
06400;cannes;2;0
31100;toulouse;3;1410,26
06300;nice;4;5320
31000;toulouse;2;6178,76
76000;rouen;5;1244,19
06300;nice;2;9459,72
06000;nice;2;8653,85
06100;nice;2;7167,07
06400;cannes;4;21790,48
06000;nice;2;3801,1
06400;cannes;1;8244,44
06100;nice;2;5333,33
34000;montpellier;2;5257,14
06000;nice;3;5300
06200;nice;2;347,26
06400;cannes;3;5962,5
06150;cannes;3;6780,82
30000;nimes;2;1899,54
34000;montpellier;4;1736,11
06400;cannes;3;10135,14
06400;cannes;2;0
34000;montpellier;2;3440
30900;nimes;4;3170,45
76100;rouen;1;2072,22
06000;nice;2;6625
30900;nimes;3;4062,5
06150;cannes;3;5593,34
06000;nice;3;5987,65
59000;lille;4;2647,06
30000;nimes;3;2445,65
06000;nice;1;8050
33300;bordeaux;2;6697,67
13100;aix-en-provence;4;6724,14
34000;montpellier;3;2400
33100;bordeaux;4;4676,67
06400;cannes;3;5197,37
06400;cannes;2;6408,45
34000;montpellier;2;2600
06150;cannes;4;7779,94
06400;cannes;3;4123,08
30000;nimes;2;2159,09
06150;cannes;3;4241,94
34090;montpellier;2;5000
31000;toulouse;4;5639,53
06000;nice;3;7304,35
83000;toulon;4;4806,63
06000;nice;3;3591,55
13100;aix-en-provence;4;6478,2
33000;bordeaux;5;7940,86
06400;cannes;3;14383,56
34000;montpellier;2;2977,78
06300;nice;1;6378,68
34000;montpellier;2;3562,5
34070;montpellier;3;4407,77
83100;toulon;4;2176,87
13100;aix-en-provence;5;8890,91
06000;nice;2;5386,89
13100;aix-en-provence;2;6107,87
06400;cannes;2;8676,47
31400;toulouse;4;4022,99
06000;nice;4;2307,92
31200;toulouse;4;2121,74
31300;toulouse;3;2594,13
83000;toulon;4;1690,77
06400;cannes;1;3281,25
34000;montpellier;3;0
83000;toulon;4;2440,48
34000;montpellier;2;0
06000;nice;2;6233,51
34000;montpellier;2;5114,29
76000;rouen;4;857,83
59000;lille;4;0
34000;montpellier;2;3368,42
30900;nimes;4;1069,44
33300;bordeaux;1;9842,86
06150;cannes;3;4441,86
30000;nimes;4;3222,22
06100;nice;4;7833,33
31130;toulouse;4;2642,28
06000;nice;3;4458,82
06400;cannes;3;9624,28
34070;montpellier;1;3855,07
31500;toulouse;1;4315,79
33000;bordeaux;3;5911,51
33000;bordeaux;2;5483,33
30900;nimes;4;1136,84
34070;montpellier;2;3098
06400;cannes;3;6022,1
06000;nice;1;7415,73
34080;montpellier;4;1194,44
06300;nice;3;9135,8
13100;aix-en-provence;2;6072,46
06400;cannes;4;10030,24
83000;toulon;1;1913,04
30000;nimes;2;2167,59
59000;lille;2;2763,89
06400;cannes;2;7535,24
06000;nice;2;473
06200;nice;1;0
06400;cannes;3;20000
13090;aix-en-provence;3;8750
30000;nimes;2;2388,46
06000;nice;3;3357,14
06400;cannes;1;5835,24
30000;nimes;1;2714,29
13100;aix-en-provence;3;4462,69
34000;montpellier;2;3906,25
06000;nice;2;6913,18
34000;montpellier;1;3540,52
06000;nice;3;4511,89
75116;paris-16eme;3;12046,26
31100;toulouse;1;2810,34
06000;nice;2;6166,67
34000;montpellier;3;4956,52
06400;cannes;3;8791,04
34000;montpellier;2;1420
06400;cannes;2;5000
30000;nimes;5;1546,01
76000;rouen;2;3162,56
06000;nice;2;7500
34090;montpellier;3;3068,18
34000;montpellier;2;2042,46
76000;rouen;3;0
06300;nice;2;10972,67
06000;nice;2;3958,33
06000;nice;2;3680,56
34000;montpellier;2;1944,44
34000;montpellier;4;6381,58
06150;cannes;3;5875
34000;montpellier;1;4853,4
83000;toulon;4;1700
06400;cannes;2;8939,39
34000;montpellier;5;5495,87
30900;nimes;3;1971,83
76000;rouen;1;3812,5
34000;montpellier;3;4596,77
33000;bordeaux;5;7315,34
06000;nice;3;892,35
06200;nice;2;3566,04
06400;cannes;3;5879,91
59000;lille;3;3434,38
34000;montpellier;3;4868,42
13090;aix-en-provence;3;4600
83200;toulon;3;2393,94
06300;nice;4;1436,46
31500;toulouse;4;2879,94
06400;cannes;1;7894,74
33000;bordeaux;4;6446,98
06000;nice;2;10300,61
59000;lille;2;5562,5
06300;nice;2;6467,66
06150;cannes;2;4909,09
06400;cannes;2;8032,74
06400;cannes;2;8065,22
83000;toulon;3;1524,39
30000;nimes;4;0
33800;bordeaux;2;5795,45
34000;montpellier;2;5781,25
06400;cannes;3;8507,77
34080;montpellier;3;1666,67
06000;nice;2;2241,72
83000;toulon;4;2557,69
30000;nimes;3;1472,22
06400;cannes;3;4782,61
31100;toulouse;2;0
34000;montpellier;2;2500
34000;montpellier;3;2647,66
06200;nice;3;4601,63
83000;toulon;3;2623,95
64000;cannes;1;5468,75
33000;bordeaux;6;0
06300;nice;6;9898,99
30000;nimes;2;0
06100;nice;5;3033,33
33000;bordeaux;4;5295,45
33000;bordeaux;4;5252,63
83100;toulon;4;1962,96
31000;toulouse;6;4913,79
06400;cannes;4;7642,04
33000;bordeaux;1;4848,48
33000;bordeaux;2;4422,22
06200;nice;3;3663,1
06400;cannes;3;1022,22
31200;toulouse;3;0
06400;cannes;3;6678,98
06400;cannes;1;5747,62
33000;bordeaux;2;4927,27
06400;cannes;3;5368,2
33800;bordeaux;4;0
34070;montpellier;2;4602,56
06300;nice;1;0
06000;nice;3;3952,38
34080;montpellier;1;0
31000;toulouse;4;1777,28
30000;nimes;3;1547,95
30000;nimes;2;0
83000;toulon;3;5266,67
13100;aix-en-provence;4;4719,1
06400;cannes;4;6197,08
34000;montpellier;2;3000
06400;cannes;4;8928,57
30000;nimes;2;2267,57
75116;paris-16eme;5;15086,96
75016;paris-16eme;1;10500
59000;lille;2;5234,66
13100;aix-en-provence;4;7300
06300;nice;3;3173,33
83000;toulon;3;2008,82
31000;toulouse;1;4474,38
06400;cannes;3;11538,46
31000;toulouse;3;4391,8
31300;toulouse;3;2650
06400;cannes;3;9600
13100;aix-en-provence;2;7000
06400;cannes;2;6839,47
34070;montpellier;3;3181,49
30000;nimes;4;2100
06400;cannes;2;14666,67
06400;cannes;3;7173,91
31300;toulouse;1;4000
06300;nice;3;4976,55
34000;montpellier;4;3750
33800;bordeaux;3;4003,14
06400;cannes;4;22187,47
59000;lille;3;3289,55
30000;nimes;3;4647,89
83100;toulon;4;1536,23
34090;montpellier;2;3822,22
83100;toulon;3;2125
06400;cannes;4;5424,53
06400;cannes;4;8463,54
06000;nice;3;15656,57
06400;cannes;2;4629,97
06400;cannes;3;868,85
83000;toulon;4;1716,42
06100;nice;7;4600
06200;nice;1;5480
06400;cannes;3;7676,92
06400;cannes;2;6250
06000;nice;4;4835,16
34070;montpellier;2;2866,67
30000;nimes;6;1578,95
31400;toulouse;1;3571,43
06400;cannes;4;0
06400;cannes;3;4846,15
06400;cannes;3;4655,56
06400;cannes;5;3838,66
06400;cannes;2;6914,89
75016;paris-16eme;2;10333,33
06400;cannes;3;7796,88
33200;bordeaux;5;0
75016;paris-16eme;5;9625
31100;toulouse;3;1738,46
06300;nice;2;0
06000;nice;3;4014,08
33000;bordeaux;3;5493,24
31000;toulouse;2;0
34000;montpellier;5;960,6
83000;toulon;2;5593,75
33000;bordeaux;6;4907,41
30000;nimes;3;1578,95
06000;nice;4;5100
06400;cannes;4;6297,3
30000;nimes;3;2338,24
06000;nice;3;6793,09
06000;nice;4;4276,19
34090;montpellier;2;4000
83000;toulon;2;1888,89
83000;toulon;3;2750
06400;cannes;3;6357,14
34000;montpellier;3;2615,38
83000;toulon;5;2255,56
34000;montpellier;1;4106,25
06000;nice;2;0
83000;toulon;3;1628,57
06300;nice;2;4029,55
06000;nice;4;5285,71
34000;montpellier;4;4240,58
13100;aix-en-provence;1;5454,55
34070;montpellier;2;4227,27
34000;montpellier;3;3115,94
06000;nice;3;8211,27
06000;nice;5;5578,23
06400;cannes;1;5235,29
06400;cannes;3;5465,75
33000;bordeaux;1;0
06000;nice;2;5142,86
06200;nice;4;4309,73
83000;toulon;7;2128,38
06000;nice;5;0
33000;bordeaux;5;4211,23
06000;nice;3;8593,75
33300;bordeaux;1;4752,23
06400;cannes;4;8673,47
06200;nice;2;2782,61
31400;toulouse;4;1893,94
34000;montpellier;4;3063,56
34070;montpellier;3;3196,97
34070;montpellier;4;2306,67
06400;cannes;2;835,7
06100;nice;4;3445,78
30000;nimes;3;1896,3
33000;bordeaux;2;4411,76
31200;toulouse;2;4358,97
06000;nice;3;3892,31
34070;montpellier;2;3766,23
06000;nice;2;0
06000;nice;3;3615,38
34090;montpellier;4;6018,52
06400;cannes;3;12260,27
06300;nice;2;3488,89
34000;montpellier;4;2625
33000;bordeaux;2;4714,29
31400;toulouse;1;4350
31100;toulouse;1;2343,75
06200;nice;3;4020,69
06200;nice;2;4545,23
33200;bordeaux;4;2324,42
06400;cannes;4;320,88
34000;montpellier;2;0
30000;nimes;4;926,47
34000;montpellier;5;1862,5
06000;nice;1;3174,08
76000;rouen;2;2966,69
06400;cannes;1;10857,14
06000;nice;1;3475,8
06000;nice;6;8641,62
06400;cannes;3;2537,31
83000;toulon;2;2363,64
31400;toulouse;1;6673,53
06300;nice;2;1630,75
33000;bordeaux;3;4096,62
13540;aix-en-provence;2;4684,21
59800;lille;4;3273,42
75116;paris-16eme;5;19764,71
06400;cannes;3;6513,16
06400;cannes;5;5578,95
13090;aix-en-provence;4;4290
06400;cannes;6;3676,17
06400;cannes;3;9071,43
06000;nice;1;0
06200;nice;4;3965,52
06400;cannes;2;8214,29
59000;lille;2;4300
06000;nice;2;4280,16
06400;cannes;3;6600
34000;montpellier;2;2680,85
31300;toulouse;1;4376,84
06300;nice;2;0
34080;montpellier;3;3738,1
06400;cannes;4;7272,73
34080;montpellier;4;1752,69
34000;montpellier;2;2933,91
83100;toulon;3;2500
83000;toulon;2;3652,17
06000;nice;3;4436,62
06200;nice;2;7489,8
06400;cannes;9;8405,8
33000;bordeaux;2;6948,53
75016;paris-16eme;6;9025,97
06400;cannes;3;5049,38
06200;nice;3;5859,95
06000;nice;3;6005,5
31100;toulouse;2;1693,7
33000;bordeaux;3;5507,25
59000;lille;2;2566,76
31200;toulouse;4;2625
06400;cannes;3;4136,36
34070;montpellier;1;3236,84
06200;nice;1;6333,33
34000;montpellier;2;4673,91
76000;rouen;3;1072,58
06200;nice;4;4071,43
33000;bordeaux;4;5402,91
06000;nice;3;6531,57
34000;montpellier;3;2177,42
13100;aix-en-provence;1;6071,43
33000;bordeaux;4;6586,67
33800;bordeaux;9;4324,71
34000;montpellier;4;5297,06
13100;aix-en-provence;2;6000
76000;rouen;1;4500
83000;toulon;1;1900
83000;toulon;4;2785,71
06100;nice;4;13214,29
33200;bordeaux;3;4893,62
34070;montpellier;2;3000
06000;nice;2;6836,36
13100;aix-en-provence;2;5854,24
31400;toulouse;2;3733,43
06100;nice;4;3968,25
31300;toulouse;4;3709,46
34000;montpellier;2;3289,47
06000;nice;2;2288,28
06000;nice;3;6212,77
31000;toulouse;4;3289,47
83000;toulon;1;2636,36
83000;toulon;5;7600
31300;toulouse;5;2765,63
06400;cannes;2;5205,88
30900;nimes;5;706,52
31500;toulouse;3;2335,94
33000;bordeaux;3;5468,75
76100;rouen;2;0
34000;montpellier;3;2985,07
31100;toulouse;4;4134,79
33000;bordeaux;2;6022,69
06000;nice;3;2250
33000;bordeaux;3;6128,21
13100;aix-en-provence;4;5293,55
34000;montpellier;2;0
06100;nice;3;4245,95
06000;nice;3;7842,11
31500;toulouse;3;1919,98
75016;paris-16eme;4;13095,24
76100;rouen;4;2107,53
34000;montpellier;2;3520
34000;montpellier;4;5000
13100;aix-en-provence;2;5523,81
06400;cannes;3;4428,57
83100;toulon;1;2857,14
06100;nice;4;523,86
06000;nice;1;8000
31400;toulouse;4;2293,97
34070;montpellier;4;1844,44
83000;toulon;4;1710,84
06300;nice;4;3284,09
33000;bordeaux;4;3216,1
06000;nice;3;4143,95
34000;montpellier;2;0
06300;nice;3;1975,38
76000;rouen;2;1145,83
06100;nice;2;4004,93
83000;toulon;1;5444,44
06300;nice;2;9940,78
75116;paris-16eme;3;9450
06300;nice;3;17797,62
06200;nice;1;4774,19
06300;nice;3;8071,43
34000;montpellier;5;6684,62
75016;paris-16eme;6;10057,47
34090;montpellier;2;2901,96
06000;nice;2;9565,22
31500;toulouse;3;1363,64
30000;nimes;2;2836,88
06400;cannes;5;6805,56
34000;montpellier;1;0
06400;cannes;3;6978,49
83000;toulon;3;2650
31500;toulouse;3;2881,84
13100;aix-en-provence;2;5083,78
34000;montpellier;3;4361,59
06000;nice;1;6756,76
06000;nice;3;8389,83
83100;toulon;4;2588,24
06400;cannes;6;5922,5
13100;aix-en-provence;3;6607,14
83100;toulon;4;0
06400;cannes;2;8977,27
30000;nimes;2;2634,62
06000;nice;2;3286,38
83000;toulon;4;1932,5
59000;lille;2;4047,37
34000;montpellier;2;3795,45
06400;cannes;2;5250
13100;aix-en-provence;5;4758,99
33200;bordeaux;6;6592,59
06400;cannes;3;8500
34090;montpellier;2;3337,5
06200;nice;2;0
34090;montpellier;3;3057,14
31300;toulouse;3;2582,26
76100;rouen;3;1768,84
34070;montpellier;3;2238,91
06000;nice;4;3965,52
75016;paris-16eme;7;1019,25
06000;nice;5;5014,5
06000;nice;3;4825,4
06100;nice;2;5729,73
06200;nice;2;5111,11
06400;cannes;3;4027,03
75016;paris-16eme;2;12833,31
13100;aix-en-provence;4;3892,16
34000;montpellier;4;5000
33300;bordeaux;3;4517,86
34000;montpellier;3;2613,33
06400;cannes;3;6000
34070;montpellier;2;2814,81
83200;toulon;3;2485,29
06400;cannes;1;5560
31200;toulouse;2;2859,38
83000;toulon;1;0
59000;lille;2;3666,67
33000;bordeaux;2;3673,18
06000;nice;3;6071,43
34070;montpellier;4;2000
76000;rouen;2;3676,47
06300;nice;3;11274,51
06000;nice;2;3440
33200;bordeaux;4;4244,19
30000;nimes;2;2880
13090;aix-en-provence;4;3642,86
34070;montpellier;2;15,44
31400;toulouse;3;2842,19
34000;montpellier;3;1125
34000;montpellier;3;4110
06400;cannes;2;3534,58
06300;nice;3;9218,75
06000;nice;3;4151,79
34000;montpellier;3;1372,3
34000;montpellier;2;3552,63
06000;nice;2;13363,23
13100;aix-en-provence;4;4684,81
33000;bordeaux;4;5308,51
33000;bordeaux;3;5612,5
76000;rouen;3;2098,59
34000;montpellier;4;2164,71
31000;toulouse;1;3314,92
83000;toulon;4;1771,05
06200;nice;2;2789,83
06200;nice;4;4137,93
30000;nimes;3;1311,48
83000;toulon;2;2043,9
31100;toulouse;4;1397,59
06200;nice;1;5750
06000;nice;3;3552,63
06400;cannes;2;0
33000;bordeaux;3;4978,87
31500;toulouse;2;0
34000;montpellier;3;1467,47
06150;cannes;1;4792,09
83000;toulon;2;2718,26
06200;nice;3;2468,57
06400;cannes;3;8115,94
06300;nice;2;3260
83200;toulon;4;2320,51
06200;nice;4;7053,57
06000;nice;2;8948,06
33000;bordeaux;4;4619,05
75116;paris-16eme;4;13703,7
06300;nice;1;6371,52
34000;montpellier;2;2454,55
34070;montpellier;4;2391,89
31200;toulouse;3;3661,29
13100;aix-en-provence;1;5055,56
34000;montpellier;2;1566,04
06000;nice;2;6849,82
06000;nice;3;4807,23
33200;bordeaux;3;4602,27
06400;cannes;6;2871,62
06400;cannes;5;6056,02
83000;toulon;4;2071,62
31100;toulouse;3;1219,18
30000;nimes;3;3043,48
33000;bordeaux;1;5041,67
06000;nice;3;5422,29
06400;cannes;2;5098
06400;cannes;4;8926,32
06000;nice;4;4266,67
30000;nimes;3;0
06200;nice;2;5225
31200;toulouse;4;1958,9
76000;rouen;5;3878,05
06400;cannes;3;6594,5
06100;nice;3;5578,95
06400;cannes;2;10000
13090;aix-en-provence;4;2312,5
83000;toulon;2;2066,67
06000;nice;2;8750
31300;toulouse;2;3527,27
06400;cannes;3;6162,79
30900;nimes;3;1718,31
06000;nice;2;11375,55
31300;toulouse;4;2208,33
06400;cannes;3;10529,41
33300;bordeaux;4;3455,75
34090;montpellier;2;3552,24
83200;toulon;4;0
59000;lille;4;4077,67
31200;toulouse;3;4015,63
31000;toulouse;3;10,88
06300;nice;1;0
06400;cannes;3;5986,84
06400;cannes;1;9000
30000;nimes;4;2034,09
06000;nice;2;6889,63
76000;rouen;1;3109,38
06400;cannes;2;6404,49
33000;bordeaux;3;3967,74
31400;toulouse;5;2745,64
34000;montpellier;3;2657,14
06000;nice;5;0
83000;toulon;4;2337,66
06200;nice;2;4071,29
13100;aix-en-provence;2;6875
83000;toulon;1;2826,09
33000;bordeaux;1;8447,37
33000;bordeaux;2;5937,5
06200;nice;2;3541,67
06000;nice;3;3383,72
06400;cannes;3;8533,54
06400;cannes;2;5450,85
31100;toulouse;4;3527,27
34000;montpellier;3;1851,66
30000;nimes;4;1098,9
06100;nice;3;3888,89
34000;montpellier;3;1895,52
33100;bordeaux;6;4519,54
06400;cannes;4;5786,03
31400;toulouse;3;2700
06000;nice;4;4164,56
30000;nimes;2;2315,79
34070;montpellier;3;2055,56
06400;cannes;3;4342,32
34000;montpellier;2;4550
34090;montpellier;3;0
31000;toulouse;4;1787,88
06000;nice;4;6227,36
13100;aix-en-provence;4;3126,87
06200;nice;2;4551,02
76000;rouen;3;3685,71
31400;toulouse;3;3279,13
33000;bordeaux;1;0
13100;aix-en-provence;5;6068,97
31500;toulouse;3;2321,43
83000;toulon;4;2041,1
75016;paris-16eme;6;11647,06
30000;nimes;1;2324,23
59000;lille;2;4313,73
31500;toulouse;2;2270
30000;nimes;5;1821,43
31000;toulouse;5;2761,73
33000;bordeaux;2;#DIV/0!
06000;nice;5;4489,34
06000;nice;3;6236,56
34090;montpellier;2;3117,65
06000;nice;1;5808,22
76000;rouen;2;1847,83
06000;nice;3;4894,74
59000;lille;1;3928,57
06200;nice;3;2680,14
06400;cannes;3;23267,33
75016;paris-16eme;2;10000
06400;cannes;3;6850
83000;toulon;3;2196
31000;toulouse;7;5435,29
31400;toulouse;1;0
06000;nice;3;5818,18
83000;toulon;2;5995,15
33000;bordeaux;4;6341,18
06200;nice;4;2575,34
33000;bordeaux;3;4138,89
31500;toulouse;4;1746,03
33800;bordeaux;5;4661,42
75016;paris-16eme;2;9913,79
13100;aix-en-provence;1;6000
06000;nice;2;3884,05
06000;nice;4;4936,71
33300;bordeaux;2;3653,85
34080;montpellier;3;2365,08
31200;toulouse;2;2588,24
76000;rouen;1;2845,98
06000;nice;2;6012,66
34000;montpellier;2;4542,86
34000;montpellier;2;3071,43
06400;cannes;1;4777,78
31200;toulouse;3;3782,26
31300;toulouse;2;360,42
06000;nice;6;4213,82
06300;nice;1;4666,67
06000;nice;3;5250
13100;aix-en-provence;6;3646,02
33000;bordeaux;3;3632
06000;nice;4;6701,03
34000;montpellier;3;1520,83
31500;toulouse;5;2857,14
06400;cannes;2;5400
06400;cannes;2;7882,35
83000;toulon;3;16,3
83200;toulon;4;2005,97
34000;montpellier;3;2068,18
83100;toulon;3;2954,48
06400;cannes;3;7111,11
06400;cannes;2;5526,32
06200;nice;2;4013,96
34000;montpellier;4;5395
33000;bordeaux;4;6632,98
83000;toulon;2;2844,44
34000;montpellier;1;4844,81
34000;montpellier;1;5425
83200;toulon;4;2205,1
06150;cannes;2;3312,5
13100;aix-en-provence;2;6000
06300;nice;2;8750
31000;toulouse;3;4941,18
34000;montpellier;3;2242,86
34000;montpellier;2;0
06000;nice;2;5689,66
31500;toulouse;3;2857,14
06000;nice;2;4967,74
33800;bordeaux;2;4244,68
75016;paris-16eme;3;15000
06400;cannes;2;5114,29
06000;nice;3;4573,17
75016;paris-16eme;2;11923,08
83100;toulon;2;1568,18
13090;aix-en-provence;2;4846,15
06000;nice;2;5353,65
06000;nice;2;2773,79
34000;montpellier;5;3231,29
06000;nice;3;2662,34
06300;nice;2;8958,33
06200;nice;3;5764,86
30000;nimes;4;1862,5
59000;lille;4;3259,62
33000;bordeaux;3;3836,07
30000;nimes;4;3991,03
34090;montpellier;1;3759,4
75016;paris-16eme;5;15145,99
06000;nice;1;0
13100;aix-en-provence;3;4492,01
06000;nice;2;8545,45
06100;nice;2;3977,27
06400;cannes;6;8750
06100;nice;3;2715,97
75016;paris-16eme;5;9442,45
06000;nice;3;9000
34000;montpellier;3;5921,88
34000;montpellier;2;5371,43
34070;montpellier;4;3548,39
06200;nice;3;3615,38
33000;bordeaux;3;5175,77
06000;nice;3;2941,18
06000;nice;3;1946,15
83200;toulon;4;2146,15
06200;nice;2;3041,67
06400;cannes;4;9340,66
06400;cannes;3;7384,62
31000;toulouse;3;3641,54
30000;nimes;3;3333,32
31500;toulouse;4;3382,35
06000;nice;4;2972,97
06000;nice;2;4819,63
34070;montpellier;4;2291,77
06400;cannes;2;4701,49
30000;nimes;3;2730,77
34000;montpellier;4;5904,76
33000;bordeaux;1;2634,7
06400;cannes;4;6438,85
83100;toulon;4;2215,38
31200;toulouse;4;2713,31
06100;nice;4;2573,17
06400;cannes;2;5730,77
59000;lille;5;3923,77
76000;rouen;3;2409,09
83000;toulon;1;4375
31000;toulouse;2;3863,64
34000;montpellier;3;3750
59000;lille;3;4459,46
06000;nice;3;2263,06
31400;toulouse;3;3611,65
06400;cannes;2;6225
06100;nice;4;3791,47
33000;bordeaux;2;5857,82
06400;cannes;3;9358,97
06000;nice;2;8636,36
06000;nice;3;9344,26
06100;nice;4;3762,5
06200;nice;2;3897,44
06200;nice;2;4081,25
30000;nimes;2;0
33000;bordeaux;6;6064,52
06200;nice;3;3532,26
06000;nice;2;6083,35
83200;toulon;4;2894,12
83000;toulon;1;5181,48
06400;cannes;1;0
06300;nice;1;5515,91
13100;aix-en-provence;1;0
34000;montpellier;1;3171,43
33000;bordeaux;4;6326,93
06000;nice;5;4233,58
06400;cannes;2;0
34080;montpellier;2;2171,43
34070;montpellier;2;3762,5
33000;bordeaux;4;7663,33
