libcom_source;Nombre d’habitants de la commune;Mise en commun d'agents de police municipale entre communes;nb_agents de police municipale;nb_ASVP;Nombre de gardes-champêtres;Nombre de maîtres chiens de police municipale;Nombre de chiens de patrouille de police municipale;Nombre de communes ou EPCI doté(e)s d’une brigade canine;DEP;INSEE_COM
Ambérieu en Bugey;14586.0;1;8;0;0;0;0;0;01;01004
Ambérieux en Dombes;1792.0;0;0;0;1;0;0;0;01;01005
Ambronay;2915.0;0;0;1;0;0;0;0;01;01007
Anglefort;1130.0;0;0;1;0;0;0;0;01;01010
Arbent;3367.0;0;3;0;0;0;0;0;01;01014
Attignat;3300.0;0;1;0;0;0;0;0;01;01024
Bage dommartin;4171.0;0;1;0;0;0;0;0;01;01025
Balan;2615.0;0;1;0;0;0;0;0;01;01027
Belley;9520.0;0;5;2;0;0;0;0;01;01034
Bellignat;3800.0;0;3;0;0;0;0;0;01;01031
Beynost;4800.0;1;4;1;0;0;0;0;01;01043
Biziat;903.0;0;0;0;1;0;0;0;01;01046
BOURG EN BRESSE;41527.0;1;26;9;0;3;3;1;01;01053
Cerdon;790.0;0;0;0;1;0;0;0;01;01068
Cessy;4808.0;1;3;0;0;0;0;0;01;01071
Ceyzériat;3200.0;0;1;0;0;0;0;0;01;01072
Chalamont;2484.0;0;0;1;0;0;0;0;01;01074
Châtillon sur chalaronne;5200.0;0;3;1;0;0;0;0;01;01093
Civrieux;1882.0;0;0;0;1;0;0;0;01;01105
Coligny;1200.0;0;1;0;0;0;0;0;01;01108
Collonges;6200.0;1;2;0;0;0;0;0;01;01109
Culoz;3068.0;0;2;0;0;0;0;0;01;01138
Dagneux;4834.0;0;1;0;0;0;0;0;01;01142
Divonne les Bains;10190.0;1;9;0;0;0;0;0;01;01143
Dortan;1905.0;0;1;0;0;0;0;0;01;01148
Ferney Voltaire;10026.0;0;6;2;0;0;0;0;01;01160
Gex;13391.0;0;7;1;0;1;1;1;01;01173
Groissiat;1291.0;0;0;0;1;0;0;0;01;01181
Jassans Riottier;6458.0;0;4;1;0;0;0;0;01;01194
La boisse;3200.0;1;1;0;0;0;0;0;01;01049
Lagnieu;7404.0;0;0;1;1;0;0;0;01;01202
Loyettes;3500.0;0;1;0;0;0;0;0;01;01224
Manziat;1996.0;0;1;0;0;0;0;0;01;01231
Massieux;2700.0;0;1;0;0;0;0;0;01;01238
Meximieux;8001.0;1;2;1;0;0;0;0;01;01244
Mionnay;2300.0;0;1;0;0;0;0;0;01;01248
Miribel;10122.0;0;4;0;0;0;0;0;01;01249
Montluel;7000.0;0;2;2;0;0;0;0;01;01262
Montmerle sur Saone;3794.0;0;1;0;0;0;0;0;01;01263
Montréal la Cluse;3456.0;0;2;0;0;0;0;0;01;01265
Montrevel en Bresse;2556.0;0;0;1;0;0;0;0;01;01266
Nantua;3324.0;0;1;1;0;0;0;0;01;01269
Neyron;2569.0;0;1;0;0;0;0;0;01;01275
Nievroz;1605.0;0;0;1;0;0;0;0;01;01276
Ornex;4653.0;0;2;1;0;0;0;0;01;01281
Oyonnax;22392.0;0;23;7;0;4;4;1;01;01283
Peronnas;6500.0;0;2;0;0;0;0;0;01;01289
Plateau d’hauteville;3050.0;0;1;0;0;0;0;0;01;01185
Poncin;1760.0;0;0;0;1;0;0;0;01;01303
Pont d’Ain;2977.0;0;1;0;0;0;0;0;01;01304
Pont de Vaux;2200.0;0;1;1;0;0;0;0;01;01305
Prevessin Moëns;8711.0;0;4;0;0;0;0;0;01;01313
Reyrieux;5160.0;0;2;0;0;0;0;0;01;01322
Saint André de Corcy;3386.0;0;1;0;0;0;0;0;01;01333
Saint Bernard;1506.0;0;0;0;2;0;0;0;01;01339
Saint Denis en Bugey;2288.0;1;1;0;0;0;0;0;01;01345
Saint Denis les Bourg;5870.0;0;1;0;0;0;0;0;01;01344
Saint Didier sur Chalaronne;2960.0;0;1;0;0;0;0;0;01;01348
Saint Genis Pouilly;12725.0;0;4;2;0;0;0;0;01;01354
Saint Jean le Vieux;2000.0;0;1;0;0;0;0;0;01;01363
Saint Laurent sur Saône;1717.0;0;1;0;0;0;0;0;01;01370
Saint Maurice de Beynost;4001.0;0;4;0;0;0;0;0;01;01376
Saint Rambert en Bugey;2221.0;0;0;1;0;0;0;0;01;01384
Saint Trivier de courtes;1112.0;0;0;1;0;0;0;0;01;01388
Sault Brenaz;980.0;0;0;0;1;0;0;0;01;01396
Seyssel;1012.0;0;0;2;0;0;0;0;01;01407
Thoiry;6900.0;0;4;1;0;0;0;0;01;01419
Thoissey;1698.0;0;0;1;0;0;0;0;01;01420
Trévoux;7055.0;1;3;0;0;0;0;0;01;01427
Valserhône;16300.0;0;0;3;0;0;0;0;01;01033
Versonnex;2213.0;0;0;0;1;0;0;0;01;01435
Villars les Dombes;5073.0;0;2;0;0;0;0;0;01;01443
Villieu-Loyes-Mollon;3751.0;0;1;0;0;0;0;0;01;01450
Viriat;6745.0;1;1;0;0;0;0;0;01;01451
Vonnas;3240.0;0;0;1;1;0;0;0;01;01457
Athies-sous-Laon;2666.0;0;0;1;0;0;0;0;02;02028
Beautor;2749.0;0;0;0;1;0;0;0;02;02059
Belleu;3820.0;0;1;0;0;0;0;0;02;02064
Bohain-en-Vermandois;5700.0;0;1;0;0;0;0;0;02;02095
Braine;2260.0;0;0;1;0;0;0;0;02;02110
Charly-sur-Marne;2690.0;0;0;2;0;0;0;0;02;02163
Château-Thierry;15351.0;0;4;1;0;0;0;0;02;02168
Chauny;12072.0;0;7;2;0;0;0;0;02;02173
Fère-en-Tardenois;3056.0;0;0;1;0;0;0;0;02;02305
Fontaine-Notre-Dame;400.0;0;0;0;2;0;0;0;02;02322
Flavy-le-Martel;1750.0;0;0;0;1;0;0;0;02;02315
Fresnoy-le-Grand;3028.0;0;1;0;0;0;0;0;02;02334
Gauchy;5500.0;0;2;0;0;0;0;0;02;02340
Guise;4991.0;0;3;0;0;0;0;0;02;02361
Harly;1613.0;0;1;0;0;0;0;0;02;02371
La Fère;3000.0;0;0;0;1;0;0;0;02;02304
La Ferté-Milon;2236.0;0;0;0;1;0;0;0;02;02307
Laon;24304.0;0;9;3;0;0;0;0;02;02408
Marle;2342.0;0;1;0;0;0;0;0;02;02468
Montigny-en-Arrouaise;296.0;0;0;0;2;0;0;0;02;02511
Oulchy-le-Château;832.0;0;0;0;1;0;0;0;02;02580
Saint-Quentin;52325.0;0;32;6;0;0;0;0;02;02691
Soissons;30000.0;0;20;6;0;0;0;0;02;02722
Ribemont;1969.0;0;1;0;0;0;0;0;02;02648
Tergnier;13456.0;0;0;2;0;0;0;0;02;02738
Vailly-sur-Aisne;2049.0;0;1;0;0;0;0;0;02;02758
Vendhuile;580.0;0;0;0;2;0;0;0;02;02776
Vervins;2683.0;0;1;0;0;0;0;0;02;02789
Villeneuve-Saint-Germain;2554.0;0;1;0;0;0;0;0;02;02805
Villers-Cotterêts;10600.0;0;8;0;0;0;0;0;02;02810
Viry-Noureuil;1734.0;0;1;0;0;0;0;0;02;02820
Ainay le Château;994.0;0;0;0;1;0;0;0;03;03003
Abrest;2968.0;0;1;0;0;0;0;0;03;03001
Avermes;4900.0;0;1;0;0;0;0;0;03;03013
Bellerive-sur-Allier;8866.0;0;4;0;0;0;0;0;03;03023
Bourbon-l’Archambault;2572.0;0;1;0;0;0;0;0;03;03036
Commentry;6239.0;0;2;0;0;0;0;0;03;03082
Cosne-d’Allier;2039.0;0;1;0;0;0;0;0;03;03084
Cusset;13171.0;0;4;1;0;0;0;0;03;03095
Domérat;8780.0;0;0;0;1;0;0;0;03;03101
Gannat;6021.0;0;3;0;0;0;0;0;03;03118
Lavault Sainte Anne;1165.0;0;0;0;1;0;0;0;03;03140
Lapalisse;3214.0;0;0;0;1;0;0;0;03;03138
Le Mayet de Montagne;1468.0;0;1;0;0;0;0;0;03;03165
Montluçon;35653.0;0;0;7;0;0;0;0;03;03185
Moulins;20000.0;0;8;3;0;0;0;0;03;03190
Néris-les-Bains;2553.0;0;1;0;0;0;0;0;03;03195
Saint-Germain-des-Fossés;3687.0;0;2;0;0;0;0;0;03;03236
Saint-Pourçain-sur-Sioule;5339.0;1;3;0;0;0;0;0;03;03254
Saint-Yorre;2613.0;0;1;0;0;0;0;0;03;03264
Varennes-sur-Allier;3666.0;0;2;0;0;0;0;0;03;03298
Vichy;25184.0;0;23;10;0;4;2;1;03;03310
Yzeure;13300.0;0;4;1;0;0;0;0;03;03321
DIGNE LES BAINS;17404.0;0;6;2;0;0;0;0;04;04070
ALLOS;832.0;0;1;3;0;0;0;0;04;04006
BARCELONNETTE;2762.0;0;0;2;0;0;0;0;04;04019
CHATEAU ARNOUX/ SAINT-AUBAN;5197.0;0;3;0;0;0;0;0;04;04049
CASTELLANE;1509.0;0;1;1;0;0;0;0;04;04039
CORBIERES-EN-PROVENCE;1251.0;0;1;0;0;0;0;0;04;04063
ENCHASTRAYES;400.0;0;0;1;0;0;0;0;04;04073
ESPARRON DE VERDON;396.0;0;0;3;0;0;0;0;04;04081
FORCALQUIER;5209.0;0;5;2;0;0;0;0;04;04088
GREOUX LES BAINS;2687.0;0;3;2;0;0;0;0;04;04094
MANOSQUE;23197.0;0;25;5;0;2;2;1;04;04112
MALIJAI;2005.0;0;1;1;0;0;0;0;04;04108
MOUSTIERS-STE-MARIE;735.0;0;0;0;1;0;0;0;04;04135
ORAISON;5941.0;0;3;1;0;0;0;0;04;04143
PEYRUIS;2856.0;0;1;0;1;0;0;0;04;04149
PIERREVERT;4031.0;0;3;0;0;0;0;0;04;04152
REILLANNE;1717.0;0;0;1;0;0;0;0;04;04160
RIEZ;1765.0;0;1;2;0;0;0;0;04;04166
SAINT-TULLE;3520.0;0;3;0;0;0;0;0;04;04197
SAINTE-CROIX-DE-VERDON;123.0;0;0;1;0;0;0;0;04;04176
SISTERON;7834.0;0;7;2;0;0;0;0;04;04209
UVERNET-FOURS;608.0;0;1;2;0;0;0;0;04;04226
VALENSOLE;3235.0;0;1;1;0;0;0;0;04;04230
VILLENEUVE;4401.0;0;2;0;0;0;0;0;04;04242
VOLX;3281.0;0;1;0;0;0;0;0;04;04245
BRIANCON;11084.0;0;8;3;0;1;2;1;05;05023
CHORGES;3055.0;0;1;1;0;0;0;0;05;05040
EMBRUN;6236.0;0;2;2;0;0;0;0;05;05046
GAP;40559.0;0;13;4;0;0;0;0;05;05061
GUILLESTRE;2334.0;0;0;2;0;0;0;0;05;05065
L'ARGENTIERE-LA BESSEE;2268.0;0;0;1;0;0;0;0;05;05006
LA SALLE LES ALPES;959.0;0;2;2;0;0;0;0;05;05161
LARAGNE MONTEGLIN;3537.0;0;1;1;0;0;0;0;05;05070
LE DÉVOLUY;941.0;0;0;2;0;0;0;0;05;05139
LE MONETIER LES BAINS;1056.0;0;2;0;0;0;0;0;05;05079
LES ORRES;556.0;0;0;5;0;0;0;0;05;05098
MONTGENEVRE;456.0;0;0;3;1;0;0;0;05;05085
ORCIERES;670.0;0;2;2;0;0;0;0;05;05096
PUY SAINT VINCENT;296.0;0;0;3;0;0;0;0;05;05110
RISOUL;647.0;0;1;5;0;0;0;0;05;05119
SAINT ANDRE D'EMBRUN;677.0;0;0;0;1;0;0;0;05;05128
SAINT BONNET EN CHAMPSAUR;2048.0;0;0;1;0;0;0;0;05;05132
SAINT CHAFFREY;1567.0;0;2;2;0;0;0;0;05;05133
SERRES;1285.0;0;2;0;0;0;0;0;05;05166
ST MICHEL DE CHAILLOL;346.0;0;0;1;0;0;0;0;05;05153
TALLARD;2246.0;0;1;0;0;0;0;0;05;05170
VALLOUISE-PELVOUX;1178.0;0;0;1;0;0;0;0;05;05101
VARS;525.0;0;2;0;0;0;0;0;05;05177
VEYNES;3199.0;0;1;0;0;0;0;0;05;05179
VILLAR D'ARENE;300.0;0;0;1;0;0;0;0;05;05181
VILLAR SAINT PANCRACE;1476.0;0;0;1;0;0;0;0;05;05183
Saint Cézaire Sur Siagne;3903.0;0;2;0;0;0;0;0;06;06118
Tourrette-Levens;5000.0;0;2;0;0;0;0;0;06;06147
Cagnes sur mer;52669.0;0;32;15;0;0;0;0;06;06027
Falicon;1974.0;0;1;1;0;0;0;0;06;06060
Tourrette-sur-loup;4200.0;0;2;0;1;0;0;0;06;06148
Mouans-Sartoux;9911.0;0;14;3;0;0;0;0;06;06084
Peymeinade;8400.0;0;7;0;0;0;0;0;06;06095
Cannes;74686.0;0;194;57;0;5;5;1;06;06029
Mandelieu-La-Napoule;22903.0;0;40;21;0;0;0;0;06;06079
Valbonne;14040.0;0;17;5;0;2;2;1;06;06152
Beaulieu-Sur-Mer;3700.0;1;6;2;0;0;0;0;06;06011
Villefranche-Sur-Mer;5060.0;1;14;3;0;0;0;0;06;06159
Grasse;49594.0;0;49;15;0;0;0;0;06;06069
Levens;4772.0;0;1;0;1;0;0;0;06;06075
Villeneuve-Loubet;16008.0;0;28;7;0;0;0;0;06;06161
Antibes;74047.0;0;76;9;0;0;0;0;06;06004
Vallauris;27000.0;0;38;7;0;0;0;0;06;06155
Vence;18026.0;0;15;3;0;0;0;0;06;06157
Saint-Laurent-du-Var;30000.0;0;39;7;0;0;0;0;06;06123
Biot;9746.0;0;16;0;0;0;0;0;06;06018
Carros;12500.0;0;17;1;0;0;0;0;06;06033
Nice;342669.0;0;445;170;0;9;10;1;06;06088
Colomars;3453.0;0;2;0;0;0;0;0;06;06046
Opio;2212.0;1;1;1;0;0;0;0;06;06089
Saint-Paul-de-Vence;3411.0;0;6;1;0;0;0;0;06;06128
Cap d’Ail;4602.0;0;3;3;0;0;0;0;06;06032
Pégomas;8000.0;0;6;0;0;0;0;0;06;06090
Castagniers;1671.0;1;1;0;0;0;0;0;06;06034
Eze;2239.0;1;5;2;0;0;0;0;06;06059
Théoule-Sur-Mer;1440.0;0;5;0;1;0;0;0;06;06138
Roquebrune Cap Martin;13000.0;0;17;12;0;0;0;0;06;06104
Tende;800.0;0;1;0;0;0;0;0;06;06163
Menton;30231.0;0;36;14;0;0;0;0;06;06083
Beausoleil;13600.0;1;16;7;9;1;2;1;06;06012
La Roquette sur Siagne;5631.0;0;3;3;0;0;0;0;06;06108
La Trinité;10500.0;0;12;5;0;1;2;1;06;06149
Saint-Jeannet;4234.0;0;3;0;0;0;0;0;06;06122
Le Tignet;3119.0;0;2;0;0;0;0;0;06;06140
La Gaude;7115.0;0;3;2;0;0;0;0;06;06065
Le Bar Sur Loup;3000.0;0;1;1;0;0;0;0;06;06010
Mougins;19046.0;0;0;42;3;0;0;0;06;06085
Le Cannet;41824.0;0;68;22;0;0;0;0;06;06030
Breil-sur-Roya;2137.0;0;1;0;0;0;0;0;06;06023
Spéracèdes;1238.0;0;1;1;0;0;0;0;06;06137
La Colle Sur Loup;7898.0;0;7;2;0;0;0;0;06;06044
La Gaude;7010.0;0;2;2;0;0;0;0;06;06065
La Turbie;3036.0;0;5;1;0;0;0;0;06;06150
Le Rouret;4003.0;1;2;0;0;0;0;0;06;06112
Mougins;19046.0;0;42;3;0;0;0;0;06;06085
Saint-André-de-la-Roche;5695.0;0;3;1;0;0;0;0;06;06114
Saint-Jean-Cap-Ferrat;1688.0;1;8;1;0;0;0;0;06;06121
Contes;7626.0;0;0;0;1;0;0;0;06;06048
Drap;1697.0;0;0;0;1;0;0;0;06;06054
Cabris;1400.0;0;0;0;1;0;0;0;06;06026
Berre-Les-Alpes;1261.0;0;0;1;0;0;0;0;06;06015
Puget-Theniers;1932.0;0;0;1;0;0;0;0;06;06099
Blausasc;1670.0;0;0;0;1;0;0;0;06;06019
Isola;665.0;0;1;0;0;0;0;0;06;06073
ALBA LA ROMAINE;1499.0;0;0;1;0;0;0;0;07;07005
ANNONAY;16920.0;0;7;2;1;0;0;0;07;07010
AUBENAS;13255.0;0;7;2;0;0;0;0;07;07019
BEAUCHASTEL;1874.0;1;1;0;0;0;0;0;07;07027
BOULIEU LES ANNONAY;2441.0;0;1;0;0;0;0;0;07;07041
BOURG ST ANDEOL;7352.0;0;5;0;0;0;0;0;07;07042
CHARMES-SUR-RHONE;3053.0;1;1;0;0;0;0;0;07;07055
CHOMERAC;3188.0;0;0;0;1;0;0;0;07;07066
CRUAS;3129.0;0;1;0;0;0;0;0;07;07076
DAVEZIEUX;3255.0;0;1;0;0;0;0;0;07;07078
GUILHERAND-GRANGES;10977.0;1;6;0;0;0;0;0;07;07102
JOYEUSE;1780.0;0;1;0;0;0;0;0;07;07110
LABEAUME;682.0;0;0;3;0;0;0;0;07;07115
LABEGUDE;1380.0;0;1;1;0;0;0;0;07;07116
LABLACHERE;2241.0;0;0;1;0;0;0;0;07;07117
LAMASTRE;2393.0;0;0;1;0;0;0;0;07;07129
LA VOULTE-SUR-RHONE;4906.0;1;4;0;0;0;0;0;07;07349
LE CHEYLARD;3033.0;0;1;0;0;0;0;0;07;07064
LE POUZIN;2918.0;0;2;0;0;0;0;0;07;07181
LE TEIL;9043.0;0;3;2;0;0;0;0;07;07319
LES VANS;2713.0;0;2;1;0;0;0;0;07;07334
PRIVAS;8747.0;0;3;2;0;0;0;0;07;07186
RUOMS;2305.0;0;1;3;0;0;0;0;07;07201
SARRAS;2263.0;0;1;0;0;0;0;0;07;07308
ST PAUL LE JEUNE;979.0;0;0;1;0;0;0;0;07;07280
THUEYTS;1241.0;0;0;1;0;0;0;0;07;07322
TOURNON SUR RHONE;11137.0;0;5;2;0;0;0;0;07;07324
UCEL;2134.0;0;1;0;0;0;0;0;07;07325
VALLON PONT D’ARC;2451.0;0;0;1;0;0;0;0;07;07330
VALS LES BAINS;3595.0;0;1;1;0;0;0;0;07;07331
VILLENEUVE DE BERG;3116.0;0;1;0;0;0;0;0;07;07341
VIVIERS;3755.0;0;2;0;0;0;0;0;07;07346
Bazeilles;2411.0;0;1;0;0;0;0;0;08;08053
Bogny sur Meuse;5018.0;0;1;0;1;0;0;0;08;08081
Carignan;2923.0;0;2;0;0;0;0;0;08;08090
CHARLEVILLE-MEZIERES;44419.0;0;35;6;0;0;0;0;08;08105
Chooz;760.0;0;1;0;0;0;0;0;08;08122
Donchery;2000.0;1;1;0;0;0;0;0;08;08142
Floing;2500.0;1;1;0;0;0;0;0;08;08174
Fromelennes;1043.0;0;1;0;0;0;0;0;08;08183
Fumay;3200.0;0;3;0;0;0;0;0;08;08185
Givet;6761.0;0;4;1;0;0;0;0;08;08190
Hargnies;488.0;1;1;0;0;0;0;0;08;08214
Haybes;1847.0;1;1;0;0;0;0;0;08;08222
La Francheville;1712.0;0;1;0;0;0;0;0;08;08180
Les Hautes rivières;1485.0;0;1;0;0;0;0;0;08;08218
Lumes;1152.0;0;0;0;1;0;0;0;08;08263
Monthermé;2321.0;0;1;0;0;0;0;0;08;08302
Mouzon;2345.0;0;1;0;0;0;0;0;08;08311
Nouvion sur Meuse;2278.0;0;0;1;0;0;0;0;08;08327
Nouzonville;5760.0;0;5;0;0;0;0;0;08;08328
Revin;5960.0;0;5;0;0;0;0;0;08;08363
Rethel;7800.0;0;4;0;0;0;0;0;08;08362
Rimogne;1380.0;0;1;0;0;0;0;0;08;08365
Rocroi;2375.0;0;1;0;0;0;0;0;08;08367
Sedan;16429.0;0;8;2;0;0;0;0;08;08409
Villers Semeuse;3643.0;0;1;0;0;0;0;0;08;08480
Vireux Wallerand;2009.0;0;1;0;0;0;0;0;08;08487
Vivier au Court;3000.0;0;2;0;0;0;0;0;08;08488
Vouziers;4203.0;0;2;0;0;0;0;0;08;08490
Vrigne aux Bois;3800.0;0;2;0;0;0;0;0;08;08491
Warcq;1222.0;0;1;0;0;0;0;0;08;08497
Ax les Thermes;1354.0;0;1;1;0;0;0;0;09;09032
FOIX;10000.0;0;4;1;0;0;0;0;09;09122
La bastide de Serou;1000.0;0;0;1;0;0;0;0;09;09042
La Tour du Crieu;3193.0;0;0;1;0;0;0;0;09;09312
Laroque d’Olmes;2433.0;0;1;0;0;0;0;0;09;09157
Luzenac;538.0;0;0;1;0;0;0;0;09;09176
Massat;659.0;0;0;0;1;0;0;0;09;09182
Montbel;104.0;0;0;1;0;0;0;0;09;09200
Montferrier;515.0;0;0;1;0;0;0;0;09;09206
Montgailhard;1474.0;0;0;0;1;0;0;0;09;09207
Mirepoix;3300.0;0;2;0;0;0;0;0;09;09194
Pamiers;15675.0;0;7;5;0;0;0;0;09;09225
Saint Girons;6418.0;0;3;0;0;0;0;0;09;09261
Saint Jean du Falga;2922.0;0;0;0;1;0;0;0;09;09265
Saint Lizier;1407.0;0;0;0;1;0;0;0;09;09268
Saint Quirc;379.0;0;0;0;1;0;0;0;09;09275
Saverdun;5686.0;0;2;0;1;0;0;0;09;09282
Mazères;3956.0;0;1;0;0;0;0;0;09;09185
Montaut;710.0;0;0;0;1;0;0;0;09;09199
Bar-sur-Aube;4900.0;0;3;1;1;0;0;0;10;10033
Bar-sur-Seine;3500.0;0;2;0;0;0;0;0;10;10034
Bréviandes;2907.0;0;0;2;0;0;0;0;10;10060
Brienne-le-Château;2704.0;0;2;0;0;0;0;0;10;10064
Chapelle Saint-Luc (La);12006.0;0;8;0;0;1;1;1;10;10081
Creney-près-Troyes;1982.0;0;0;1;0;0;0;0;10;10115
Estissac;1851.0;0;0;1;0;0;0;0;10;10142
Noës-près-Troyes (Les);3282.0;0;3;0;0;0;0;0;10;10265
Nogent-sur-Seine;5987.0;0;8;1;0;0;0;0;10;10268
Rivière-de-Corps (La);3503.0;0;1;1;0;0;0;0;10;10321
Romilly-sur-Seine;15000.0;0;14;0;0;0;0;0;10;10323
Saint-André-les-Vergers;12784.0;0;4;0;0;0;0;0;10;10333
Saint-Julien-les-Villas – Mutualisation;6910.0;1;4;0;0;0;0;0;10;10343
Saint-Lyé;2947.0;0;1;0;0;0;0;0;10;10349
Saint-Parres-aux-Tertres – Mutualisation;3218.0;1;1;0;0;0;0;0;10;10357
Sainte Savine;10409.0;0;5;0;0;0;0;0;10;10362
TROYES;62147.0;0;48;7;3;0;0;0;10;10387
Vendeuvre-sur-Barse;2400.0;0;1;1;0;0;0;0;10;10401
Villenauxe-la-Grande;2783.0;0;0;1;0;0;0;0;10;10420
AIGUES-VIVES;580.0;10;2;0;0;0;0;0;11;11001
ARGELIERS;2400.0;2;2;0;0;0;0;0;11;11012
BIZE-MINERVOIS;1240.0;0;0;0;1;0;0;0;11;11041
Bram;3265.0;0;2;0;0;0;0;0;11;11049
CARCASONNE;47000.0;0;38;7;0;0;0;0;11;11069
Castelnaudary;12694.0;0;4;0;0;0;0;0;11;11076
CAUNES MINERVOIS;1673.0;0;1;1;0;0;0;0;11;11081
CONQUES-SUR-ORBIEL;2636.0;0;2;0;0;0;0;0;11;11099
COURSAN;6000.0;0;4;0;0;0;0;0;11;11106
CRUSCADES;942.0;1;0;0;0;0;0;0;11;11111
DOUZENS;765.0;1;1;0;0;0;0;0;11;11122
ESPERAZA;1800.0;0;2;0;0;0;0;0;11;11129
FERRALS LES CORBIERES;1235.0;1;1;0;0;0;0;0;11;11140
FITOU;1060.0;0;0;1;0;0;0;0;11;11144
LA PALME;1800.0;0;1;1;0;0;0;0;11;11188
LAGRASSE;544.0;0;0;4;0;0;0;0;11;11185
LASBORDES;840.0;0;0;1;0;0;0;0;11;11192
Leucate;4700.0;0;12;0;0;0;0;0;11;11202
LEZIGNAN CORBIERES;11537.0;0;14;4;0;0;0;0;11;11203
MARCORIGNAN;1341.0;0;1;0;0;0;0;0;11;11217
MONTJARDIN;83.0;1;0;0;0;0;0;0;11;11249
OUVEILLAN;2613.0;0;1;1;0;0;0;0;11;11269
PENNAUTIER;2574.0;0;2;0;0;0;0;0;11;11279
PEYRIAC DE MER;1200.0;0;1;0;0;0;0;0;11;11285
PORT LA NOUVELLE;5863.0;0;8;0;0;0;0;0;11;11266
PORTEL-DES-CORBIERES;1377.0;0;1;1;0;0;0;0;11;11295
Quillan;3238.0;0;2;1;0;0;0;0;11;11304
Rennes-Les-Bains;202.0;0;0;1;0;0;0;0;11;11310
RIEUX-MINERVOIS;1975.0;10;2;0;0;0;0;0;11;11315
Saint Couat d'Aude;399.0;0;0;0;1;0;0;0;11;11337
SAINT MARCEL SUR AUDE;2058.0;1;1;0;0;0;0;0;11;11353
SAISSAC;955.0;0;0;1;0;0;0;0;11;11367
SALLELES D'AUDE;3000.0;0;0;3;0;0;0;0;11;11369
Trausse;595.0;1;0;0;0;0;0;0;11;11396
TREBES;5600.0;0;6;1;0;0;0;0;11;11397
TUCHAN;804.0;0;0;1;0;0;0;0;11;11401
VERDUN-EN-LAURAGAIS;286.0;0;0;1;0;0;0;0;11;11407
VILLEMOUSTAUSSOU;4800.0;1;3;0;0;0;0;0;11;11429
VILLENEUVE MINERVOIS;993.0;1;0;2;0;0;0;0;11;11433
Capdenac;4534.0;0;1;0;0;0;0;0;12;12052
Decazeville;5529.0;0;1;1;0;0;0;0;12;12089
Espalion;4750.0;1;1;2;0;0;0;0;12;12096
Estaing;482.0;1;0;0;0;0;0;0;12;12098
Flavin;2410.0;0;0;0;1;0;0;0;12;12102
Gabriac;545.0;0;0;0;1;0;0;0;12;12106
Laguiole;1262.0;0;0;1;0;0;0;0;12;12119
Lassouts;315.0;1;0;0;0;0;0;0;12;12124
Millau;22659.0;0;11;4;0;0;0;0;12;12145
Onet-Le-Château;12259.0;0;8;0;0;0;0;0;12;12176
RODEZ;26410.0;0;10;7;0;0;0;0;12;12202
Saint Affrique;8658.0;0;4;1;0;0;0;0;12;12208
Saint George de Luzençon;1661.0;0;0;0;1;0;0;0;12;12225
Séverac d’Aveyron;4191.0;0;0;0;1;0;0;0;12;12270
Tremouilles;500.0;0;0;0;1;0;0;0;12;12283
Villefranche-De-Rouergue;12153.0;0;8;3;0;0;0;0;12;12300
AIX-EN-PROVENCE;144199.0;0;108;59;0;6;6;1;13;13001
ALLAUCH;21597.0;0;17;11;0;0;0;0;13;13002
ALLEINS;2700.0;0;2;0;0;0;0;0;13;13003
ARLES;53000.0;0;25;9;0;0;0;0;13;13004
AUBAGNE;47208.0;0;54;8;0;2;2;1;13;13005
AURIOL;12084.0;0;12;0;0;0;0;0;13;13007
BARBENTANE;4354.0;0;2;0;0;0;0;0;13;13010
LES BAUX-DE-PROVENCE;368.0;0;1;3;0;0;0;0;13;13011
BELCODENE;1950.0;0;1;0;0;0;0;0;13;13013
BERRE L'ETANG;13737.0;0;23;4;0;0;0;0;13;13014
BOUC-BEL-AIR;15143.0;0;11;0;0;0;0;0;13;13015
LA BOUILLADISSE;6250.0;0;5;0;0;0;0;0;13;13016
BOULBON;1527.0;0;1;0;0;0;0;0;13;13017
CABANNES;4500.0;0;3;0;0;0;0;0;13;13018
CABRIES;10083.0;0;9;0;0;0;0;0;13;13019
CADOLIVE;2128.0;0;1;0;0;0;0;0;13;13020
CARNOUX-EN-PROVENCE;6564.0;0;4;0;0;0;0;0;13;13119
CARRY-LE-ROUET;5891.0;0;8;2;0;0;0;0;13;13021
CASSIS;6905.0;0;18;6;0;0;0;0;13;13022
CEYRESTE;4500.0;0;5;0;0;0;0;0;13;13023
CHARLEVAL;2600.0;0;0;0;1;0;0;0;13;13024
CHATEAUNEUF-LES-MARTIGUES;17667.0;0;30;6;0;0;0;0;13;13026
CHATEAURENARD;16315.0;0;12;10;0;0;0;0;13;13027
LA CIOTAT;36374.0;0;53;27;0;1;1;1;13;13028
CORNILLON-CONFOUX;1460.0;0;1;0;0;0;0;0;13;13029
COUDOUX;3702.0;0;4;1;0;0;0;0;13;13118
CUGES-LES-PINS;5300.0;0;3;1;0;0;0;0;13;13030
LA DESTROUSSE;3800.0;0;2;0;0;0;0;0;13;13031
EGUILLES;7957.0;0;6;0;0;0;0;0;13;13032
ENSUES-LA-REDONNE;5700.0;0;8;0;0;0;0;0;13;13033
EYGALIERES;1850.0;0;1;1;0;0;0;0;13;13034
