INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
02168;02;21680101;26.2;12850;17700;23650;0.61;0.283;70.2;60.2;4.3;5.7;26.9;7.8;10.6;2.9;4.9;2.8
02168;02;21680201;16.4;15570;21210;29030;0.63;0.284;70.4;58.7;3.2;8.5;29.4;11.0;6.8;2.2;3.0;1.6
02168;02;21680401;18.9;14690;19570;25410;0.55;0.256;65.6;58.8;3.1;3.7;32.2;8.2;8.8;2.6;4.0;2.2
02168;02;21680501;;10330;13160;18110;0.59;0.228;55.6;48.1;7.2;0.3;23.8;2.6;26.3;7.8;11.6;6.9
02168;02;21680601;;16770;22620;29230;0.55;0.283;66.3;55.0;2.8;8.5;38.2;9.2;4.8;2.0;1.9;0.9
02168;02;21680701;;13190;16950;23130;0.59;0.244;65.3;58.6;4.0;2.7;28.6;3.9;14.6;5.6;5.7;3.3
02173;02;21730101;36.2;11380;15360;20790;0.61;0.254;53.2;47.9;4.1;1.2;34.5;4.1;18.5;4.5;9.3;4.7
02173;02;21730201;24.8;13220;18380;24840;0.63;0.28;63.7;54.7;3.3;5.7;33.7;7.1;9.9;2.8;4.7;2.4
02173;02;21730301;17.9;15370;20840;26870;0.55;0.265;67.5;57.6;2.6;7.3;33.5;7.0;7.8;2.2;3.8;1.8
02408;02;24080101;49.4;10070;13250;17900;0.59;0.243;44.4;37.5;6.1;0.8;34.0;3.6;26.2;5.1;14.0;7.1
02408;02;24080102;64.8;9820;11880;14420;0.39;0.195;40.2;;;;22.5;1.4;41.3;12.2;18.5;10.6
02408;02;24080201;25.0;13190;17580;22980;0.56;0.232;58.0;53.4;3.1;1.5;36.6;5.2;12.4;4.0;5.9;2.5
02408;02;24080301;22.9;13910;19680;26890;0.66;0.287;62.1;53.7;2.7;5.7;35.3;9.9;8.7;1.8;4.4;2.5
02408;02;24080401;;14920;21950;29150;0.65;0.278;57.8;51.8;2.6;3.4;41.2;10.6;7.4;2.2;3.8;1.4
02408;02;24080402;29.5;12390;16370;21360;0.55;0.22;58.7;53.2;4.7;0.8;32.8;2.7;16.5;2.9;9.1;4.5
02408;02;24080501;27.8;12560;18940;27730;0.8;0.354;74.9;60.8;3.6;10.5;23.7;9.2;10.9;2.2;5.5;3.2
02408;02;24080601;21.4;13710;19420;25460;0.61;0.263;64.1;57.0;2.8;4.3;33.2;7.2;9.8;2.7;4.6;2.5
02408;02;24080801;29.7;12180;17140;22890;0.62;0.261;55.3;47.9;3.6;3.8;37.0;5.1;14.8;3.4;7.6;3.8
02408;02;24080901;;17990;22540;29010;0.49;0.259;66.9;60.9;2.1;3.9;36.9;9.1;5.5;1.8;2.6;1.1
02691;02;26910101;19.7;14200;21850;32700;0.85;0.384;75.0;56.1;2.3;16.6;26.5;13.9;7.4;1.7;3.6;2.1
02691;02;26910102;20.2;14600;22730;35460;0.92;0.389;77.4;57.6;2.3;17.5;26.6;14.1;6.7;1.6;3.2;1.9
02691;02;26910103;29.0;12310;18430;27240;0.81;0.369;70.6;58.9;3.4;8.3;23.5;12.4;10.3;1.9;5.3;3.1
02691;02;26910104;26.6;12710;18610;26310;0.73;0.345;67.6;55.6;3.6;8.4;25.7;11.6;12.1;2.7;6.1;3.3
02691;02;26910201;21.8;14010;20190;27790;0.68;0.307;71.6;60.7;3.1;7.8;28.2;7.4;9.1;2.3;4.5;2.3
02691;02;26910202;16.1;15140;20510;26750;0.57;0.247;67.0;61.9;2.5;2.6;35.9;5.8;6.6;1.9;3.2;1.5
02691;02;26910203;20.0;14300;19760;26970;0.64;0.289;57.4;49.1;2.9;5.4;43.3;7.5;8.3;2.0;4.2;2.1
02691;02;26910204;52.2;9660;12900;17570;0.61;0.271;44.5;37.4;4.8;2.3;29.5;5.2;30.2;9.1;13.7;7.4
02691;02;26910205;59.3;9500;11970;15570;0.51;0.215;38.8;;;;26.8;2.0;38.1;8.7;19.5;9.9
02691;02;26910206;47.7;9920;13530;18980;0.67;0.251;31.5;;;;50.7;4.1;22.2;5.8;10.6;5.8
02691;02;26910207;35.3;11370;15250;20080;0.57;0.23;37.9;;;;48.8;4.5;18.1;4.1;9.2;4.8
02691;02;26910208;16.0;16340;22100;29340;0.59;0.282;67.8;60.7;2.2;4.9;34.1;9.5;6.5;2.1;3.0;1.4
02691;02;26910209;19.2;14440;20740;30020;0.75;0.32;71.7;61.0;2.3;8.4;29.2;8.7;8.4;2.2;4.0;2.2
02691;02;26910301;31.7;12120;16260;21200;0.56;0.255;63.5;55.8;4.5;3.2;26.9;4.3;16.8;4.0;8.4;4.4
02691;02;26910302;20.1;14170;18840;22880;0.46;0.222;64.1;58.0;3.1;3.0;34.7;4.4;9.6;2.6;4.8;2.2
02691;02;26910303;34.9;11750;15460;19830;0.52;0.211;44.0;39.1;4.4;0.5;40.3;2.6;21.5;4.4;11.7;5.4
02691;02;26910304;29.2;12290;16690;21970;0.58;0.241;58.6;52.0;4.1;2.5;32.2;4.4;16.0;4.0;8.0;4.0
02691;02;26910401;24.6;13180;18030;23400;0.57;0.254;56.5;49.0;3.3;4.2;37.3;5.6;13.4;3.6;6.6;3.2
02691;02;26910402;26.2;12910;17380;21900;0.52;0.232;64.2;57.2;4.0;3.0;29.6;3.4;14.0;3.0;7.8;3.2
02691;02;26910403;20.8;14020;19050;23940;0.52;0.214;58.0;53.9;3.0;1.1;38.3;4.3;11.3;3.4;5.5;2.4
02691;02;26910501;26.4;12980;17480;22740;0.56;0.261;61.3;54.1;3.3;3.9;31.5;6.2;13.6;3.4;6.9;3.3
02691;02;26910502;23.4;13730;18380;24430;0.58;0.278;64.9;57.9;2.8;4.2;29.3;7.3;12.5;3.5;6.3;2.7
02691;02;26910503;;10380;13580;18170;0.57;0.235;50.3;42.0;5.8;2.5;27.3;3.0;27.8;5.7;15.1;7.0
02691;02;26910504;17.9;14800;19670;24600;0.5;0.242;58.1;51.2;2.0;4.9;41.7;4.8;9.1;2.9;4.5;1.7
02691;02;26910601;25.1;13140;18240;23500;0.57;0.273;65.9;58.0;3.3;4.6;30.2;6.7;11.2;3.1;5.5;2.6
02722;02;27220101;46.3;10420;13810;19500;0.66;0.3;43.4;36.3;4.1;3.0;37.8;8.4;21.0;6.4;9.4;5.2
02722;02;27220102;59.5;9390;12120;15070;0.47;0.221;47.3;;;;18.7;1.5;38.3;10.1;19.2;9.0
02722;02;27220103;49.2;10230;13280;18040;0.59;0.242;53.3;44.8;7.0;1.5;26.4;4.0;25.1;6.4;12.4;6.3
02722;02;27220201;27.1;12950;16960;21090;0.48;0.216;51.8;;;;41.6;4.0;13.0;3.4;6.1;3.5
02722;02;27220301;;18920;24800;32980;0.57;0.289;64.1;53.7;1.8;8.6;37.0;11.9;3.5;1.3;1.4;0.8
02722;02;27220401;34.9;11870;15050;19730;0.52;0.231;49.3;42.9;5.8;0.6;34.8;4.8;19.8;3.2;11.3;5.3
02722;02;27220501;10.1;16970;23010;29950;0.56;0.307;64.7;55.3;2.2;7.2;34.7;16.1;4.4;1.5;1.8;1.1
02722;02;27220502;24.0;13370;19650;27020;0.69;0.314;58.1;49.8;2.8;5.5;36.9;11.6;9.4;1.9;5.1;2.4
02722;02;27220503;20.9;14100;20190;28480;0.71;0.353;67.9;53.1;2.6;12.2;30.1;15.4;7.7;1.9;3.6;2.2
02722;02;27220601;;10830;14120;18690;0.56;0.225;61.2;54.9;5.6;0.7;17.9;2.8;26.8;8.7;11.9;6.2
02722;02;27220701;17.3;15240;20240;26110;0.54;0.268;69.3;61.2;3.3;4.8;31.5;7.5;7.7;2.2;3.6;1.9
