IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
2B0490000;94;2B;2B000;2B049;ZZZZZZ;2B04900;Z;5;1025;320;34;670;676;302;100;274;325;177;132;33;10
2B0500101;94;2B;2B201;2B050;ZZZZZZ;2B05001;H;4;833;340;10;483;485;211;92;182;222;130;100;30;3
2B0500102;94;2B;2B201;2B050;ZZZZZZ;2B05001;H;4;1455;533;21;901;922;365;186;371;449;245;169;47;11
2B0510000;94;2B;2B000;2B051;ZZZZZZ;2B05100;Z;5;42;19;2;21;22;9;5;8;16;4;1;0;0
2B0520000;94;2B;2B000;2B052;ZZZZZZ;2B05200;Z;5;10;4;0;7;7;1;1;5;6;1;0;0;0
2B0530000;94;2B;2B000;2B053;ZZZZZZ;2B05300;Z;5;11;7;0;5;5;2;0;3;4;0;0;1;0
2B0540000;94;2B;2B000;2B054;ZZZZZZ;2B05400;Z;5;102;42;6;54;54;18;9;26;37;10;5;2;0
2B0550000;94;2B;2B000;2B055;ZZZZZZ;2B05500;Z;5;63;28;3;32;34;7;5;21;23;4;5;1;0
2B0570000;94;2B;2B000;2B057;ZZZZZZ;2B05700;Z;5;153;44;6;103;106;29;19;58;71;25;8;1;1
2B0580000;94;2B;2B000;2B058;ZZZZZZ;2B05800;Z;5;170;82;6;83;84;26;13;45;57;13;12;2;0
2B0590000;94;2B;2B000;2B059;ZZZZZZ;2B05900;Z;5;51;20;4;27;27;11;1;15;16;4;7;0;0
2B0630000;94;2B;2B000;2B063;ZZZZZZ;2B06300;Z;5;16;6;1;9;9;4;1;4;5;3;1;0;0
2B0670000;94;2B;2B000;2B067;ZZZZZZ;2B06700;Z;5;17;6;1;10;11;2;3;6;7;4;0;0;0
2B0680000;94;2B;2B000;2B068;ZZZZZZ;2B06800;Z;5;13;5;1;7;7;1;2;4;7;0;0;0;0
2B0690000;94;2B;2B000;2B069;ZZZZZZ;2B06900;Z;5;38;12;3;23;24;8;4;12;13;6;4;1;1
2B0720000;94;2B;2B000;2B072;ZZZZZZ;2B07200;Z;5;24;8;0;16;18;6;1;11;12;4;2;0;0
2B0730000;94;2B;2B000;2B073;ZZZZZZ;2B07300;Z;5;55;20;3;31;32;8;6;18;26;2;3;1;0
2B0740000;94;2B;2B000;2B074;ZZZZZZ;2B07400;Z;5;169;51;2;116;118;53;16;49;63;30;18;5;2
2B0750000;94;2B;2B000;2B075;ZZZZZZ;2B07500;Z;5;33;11;1;21;21;6;1;14;14;4;2;1;0
2B0770000;94;2B;2B202;2B077;ZZZZZZ;2B07700;Z;5;291;89;7;195;200;93;34;73;93;54;44;10;0
2B0780000;94;2B;2B000;2B078;ZZZZZZ;2B07800;Z;5;17;10;0;7;7;4;0;2;3;0;3;0;0
2B0790000;94;2B;2B000;2B079;ZZZZZZ;2B07900;Z;5;190;43;8;139;145;58;23;64;83;28;26;6;2
2B0800000;94;2B;2B000;2B080;ZZZZZZ;2B08000;Z;5;77;28;4;44;44;17;8;19;27;13;3;1;0
2B0810000;94;2B;2B000;2B081;ZZZZZZ;2B08100;Z;5;22;8;0;15;15;3;1;11;13;0;2;0;0
2B0820000;94;2B;2B000;2B082;ZZZZZZ;2B08200;Z;5;19;4;3;12;13;1;3;9;10;1;2;0;0
2B0830000;94;2B;2B000;2B083;ZZZZZZ;2B08300;Z;5;76;19;4;53;55;15;15;25;38;12;4;1;0
2B0840000;94;2B;2B000;2B084;ZZZZZZ;2B08400;Z;5;99;32;5;62;62;22;8;31;37;14;6;4;1
2B0860000;94;2B;2B000;2B086;ZZZZZZ;2B08600;Z;5;108;42;0;66;66;20;8;38;46;12;7;1;0
2B0870000;94;2B;2B000;2B087;ZZZZZZ;2B08700;Z;5;1038;379;48;611;624;231;101;292;357;134;107;23;3
2B0880000;94;2B;2B000;2B088;ZZZZZZ;2B08800;Z;5;111;46;3;62;63;28;12;24;38;17;7;1;0
2B0930000;94;2B;2B000;2B093;ZZZZZZ;2B09300;Z;5;444;158;8;278;282;90;49;143;172;70;31;6;3
2B0950000;94;2B;2B000;2B095;ZZZZZZ;2B09500;Z;5;67;30;3;34;36;8;10;18;31;3;2;0;0
2B0960101;94;2B;2B203;2B096;ZZZZZZ;2B09601;H;4;1625;961;87;577;581;211;137;233;302;148;101;26;4
2B0960102;94;2B;2B203;2B096;ZZZZZZ;2B09601;H;4;2077;1156;70;851;860;373;157;330;422;230;166;28;14
2B0970000;94;2B;2B000;2B097;ZZZZZZ;2B09700;Z;5;33;16;1;16;18;3;3;12;14;3;0;0;1
2B1010000;94;2B;2B000;2B101;ZZZZZZ;2B10100;Z;5;36;13;1;22;23;9;5;10;14;5;3;1;0
2B1020000;94;2B;2B000;2B102;ZZZZZZ;2B10200;Z;5;33;10;3;20;20;5;7;9;15;3;3;0;0
2B1050000;94;2B;2B000;2B105;ZZZZZZ;2B10500;Z;5;54;17;2;35;36;8;8;19;28;3;5;0;0
2B1060000;94;2B;2B000;2B106;ZZZZZZ;2B10600;Z;5;6;3;0;3;3;1;2;0;2;0;0;1;0
2B1070000;94;2B;2B000;2B107;ZZZZZZ;2B10700;Z;5;84;33;5;46;46;8;5;32;37;2;5;1;0
2B1090000;94;2B;2B000;2B109;ZZZZZZ;2B10900;Z;5;106;39;3;64;67;26;9;32;41;18;8;0;0
2B1100000;94;2B;2B000;2B110;ZZZZZZ;2B11000;Z;5;32;8;0;24;25;12;2;10;11;9;3;1;0
2B1110000;94;2B;2B000;2B111;ZZZZZZ;2B11100;Z;5;34;21;0;14;14;0;4;10;12;1;0;1;0
2B1120000;94;2B;2B000;2B112;ZZZZZZ;2B11200;Z;5;101;29;1;71;72;24;23;25;34;24;9;3;1
2B1130000;94;2B;2B000;2B113;ZZZZZZ;2B11300;Z;5;30;11;2;17;18;1;5;12;13;5;0;0;0
2B1160000;94;2B;2B000;2B116;ZZZZZZ;2B11600;Z;5;11;5;0;7;7;5;1;1;1;3;3;0;0
2B1200000;94;2B;2B501;2B120;ZZZZZZ;2B12000;Z;5;2257;607;55;1595;1655;755;267;633;833;419;321;72;10
2B1210000;94;2B;2B000;2B121;ZZZZZZ;2B12100;Z;5;181;83;6;92;96;31;11;54;65;20;10;2;0
2B1220000;94;2B;2B000;2B122;ZZZZZZ;2B12200;Z;5;32;15;1;16;16;2;2;12;13;2;1;0;0
2B1230000;94;2B;2B102;2B123;ZZZZZZ;2B12300;Z;5;1892;694;127;1072;1091;489;220;382;553;265;195;62;15
2B1240000;94;2B;2B000;2B124;ZZZZZZ;2B12400;Z;5;126;62;6;57;57;14;9;34;44;11;2;0;0
2B1250000;94;2B;2B000;2B125;ZZZZZZ;2B12500;Z;5;23;10;0;13;13;4;2;8;10;1;3;0;0
2B1260000;94;2B;2B000;2B126;ZZZZZZ;2B12600;Z;5;29;12;0;17;18;9;0;9;9;5;4;0;0
2B1340000;94;2B;2B103;2B134;ZZZZZZ;2B13400;Z;5;1467;617;53;797;807;313;174;320;393;236;129;38;12
2B1350000;94;2B;2B000;2B135;ZZZZZZ;2B13500;Z;5;179;89;8;82;84;19;25;40;61;12;9;1;0
2B1360000;94;2B;2B000;2B136;ZZZZZZ;2B13600;Z;5;88;39;0;49;49;10;9;29;36;9;3;0;0
2B1370000;94;2B;2B000;2B137;ZZZZZZ;2B13700;Z;5;11;3;1;7;8;1;2;4;7;1;0;0;0
2B1380000;94;2B;2B000;2B138;ZZZZZZ;2B13800;Z;5;80;36;1;42;42;16;9;17;19;15;8;0;0
2B1400000;94;2B;2B000;2B140;ZZZZZZ;2B14000;Z;5;56;24;0;33;34;4;6;24;26;7;0;1;0
2B1430000;94;2B;2B000;2B143;ZZZZZZ;2B14300;Z;5;501;170;4;327;339;127;43;169;205;72;40;18;4
2B1450000;94;2B;2B000;2B145;ZZZZZZ;2B14500;Z;5;99;37;7;55;59;20;20;18;34;13;9;2;0
2B1470000;94;2B;2B000;2B147;ZZZZZZ;2B14700;Z;5;61;27;4;30;31;9;7;15;21;6;1;3;0
2B1480000;94;2B;2B301;2B148;ZZZZZZ;2B14800;Z;5;2511;777;35;1699;1722;752;374;596;731;525;346;91;28
2B1490000;94;2B;2B000;2B149;ZZZZZZ;2B14900;Z;5;33;10;1;22;23;10;3;10;14;5;4;0;0
2B1500000;94;2B;2B000;2B150;ZZZZZZ;2B15000;Z;5;562;215;10;336;342;93;41;208;238;61;37;5;1
2B1520000;94;2B;2B000;2B152;ZZZZZZ;2B15200;Z;5;371;135;6;230;236;75;54;107;145;51;26;11;3
2B1530000;94;2B;2B000;2B153;ZZZZZZ;2B15300;Z;5;63;34;2;28;29;13;2;14;19;6;3;1;0
2B1550000;94;2B;2B000;2B155;ZZZZZZ;2B15500;Z;5;26;10;0;16;16;1;4;11;15;1;0;0;0
2B1560000;94;2B;2B000;2B156;ZZZZZZ;2B15600;Z;5;8;1;1;6;6;1;3;2;3;3;0;0;0
2B1570000;94;2B;2B000;2B157;ZZZZZZ;2B15700;Z;5;16;7;1;8;8;1;1;6;8;0;0;0;0
2B1590000;94;2B;2B000;2B159;ZZZZZZ;2B15900;Z;5;62;35;2;24;24;7;0;17;21;2;1;0;0
2B1610000;94;2B;2B000;2B161;ZZZZZZ;2B16100;Z;5;47;27;0;21;21;6;1;14;18;2;0;0;0
2B1620000;94;2B;2B000;2B162;ZZZZZZ;2B16200;Z;5;317;114;9;194;199;75;44;81;115;46;31;6;1
2B1640000;94;2B;2B000;2B164;ZZZZZZ;2B16400;Z;5;15;9;2;4;4;1;1;2;2;2;0;0;0
2B1650000;94;2B;2B000;2B165;ZZZZZZ;2B16500;Z;5;145;47;8;90;92;37;11;45;55;17;12;7;1
2B1660000;94;2B;2B301;2B166;ZZZZZZ;2B16600;Z;5;236;58;10;168;170;93;27;50;65;50;41;11;3
2B1670000;94;2B;2B000;2B167;ZZZZZZ;2B16700;Z;5;212;75;6;131;134;34;34;67;85;30;14;5;1
2B1680000;94;2B;2B103;2B168;ZZZZZZ;2B16800;Z;5;865;244;19;602;612;231;94;287;336;163;88;21;4
2B1690000;94;2B;2B000;2B169;ZZZZZZ;2B16900;Z;5;464;156;3;305;313;126;77;110;158;88;52;14;2
2B1700000;94;2B;2B000;2B170;ZZZZZZ;2B17000;Z;5;64;27;0;38;38;9;5;24;24;10;3;1;0
2B1710000;94;2B;2B000;2B171;ZZZZZZ;2B17100;Z;5;20;10;0;10;10;3;3;4;8;2;0;0;0
2B1720000;94;2B;2B000;2B172;ZZZZZZ;2B17200;Z;5;283;101;7;174;176;69;34;73;107;42;24;3;0
2B1730000;94;2B;2B000;2B173;ZZZZZZ;2B17300;Z;5;119;50;3;66;67;23;15;29;37;18;9;3;0
2B1750000;94;2B;2B000;2B175;ZZZZZZ;2B17500;Z;5;56;24;0;33;33;10;6;17;22;5;5;1;0
2B1760000;94;2B;2B000;2B176;ZZZZZZ;2B17600;Z;5;35;17;1;17;17;6;3;8;12;2;2;0;1
2B1770000;94;2B;2B000;2B177;ZZZZZZ;2B17700;Z;5;36;17;1;18;18;5;5;8;13;4;1;0;0
2B1780000;94;2B;2B000;2B178;ZZZZZZ;2B17800;Z;5;41;19;0;21;23;5;5;13;15;7;1;0;0
2B1790000;94;2B;2B000;2B179;ZZZZZZ;2B17900;Z;5;30;10;4;16;17;4;7;5;9;5;1;1;0
2B1800000;94;2B;2B000;2B180;ZZZZZZ;2B18000;Z;5;50;28;2;20;20;4;4;12;16;3;1;0;0
2B1820000;94;2B;2B000;2B182;ZZZZZZ;2B18200;Z;5;126;46;2;78;78;25;14;39;50;18;10;0;0
2B1830000;94;2B;2B000;2B183;ZZZZZZ;2B18300;Z;5;49;21;1;27;29;12;4;14;22;4;3;0;0
2B1840000;94;2B;2B000;2B184;ZZZZZZ;2B18400;Z;5;39;10;3;26;26;9;4;12;19;4;2;0;0
2B1850000;94;2B;2B000;2B185;ZZZZZZ;2B18500;Z;5;722;219;17;487;503;190;87;225;284;126;74;16;3
2B1870000;94;2B;2B000;2B187;ZZZZZZ;2B18700;Z;5;76;30;2;44;44;13;10;21;34;7;0;2;0
2B1880000;94;2B;2B000;2B188;ZZZZZZ;2B18800;Z;5;207;56;3;148;150;67;31;51;72;43;27;7;2
2B1900000;94;2B;2B000;2B190;ZZZZZZ;2B19000;Z;5;105;51;4;50;50;10;9;31;35;10;4;1;0
2B1920000;94;2B;2B000;2B192;ZZZZZZ;2B19200;Z;5;68;23;5;40;40;20;11;10;18;17;4;2;0
2B1930000;94;2B;2B000;2B193;ZZZZZZ;2B19300;Z;5;249;80;17;152;155;76;25;54;74;33;41;7;1
2B1940000;94;2B;2B000;2B194;ZZZZZZ;2B19400;Z;5;13;6;0;7;7;1;1;5;6;1;0;0;0
2B1950000;94;2B;2B000;2B195;ZZZZZZ;2B19500;Z;5;58;19;2;37;39;16;5;17;22;11;5;0;0
2B1990000;94;2B;2B000;2B199;ZZZZZZ;2B19900;Z;5;90;43;1;45;46;20;10;16;20;18;6;1;0
2B2010000;94;2B;2B000;2B201;ZZZZZZ;2B20100;Z;5;88;32;2;54;56;22;11;23;35;14;6;1;0
2B2020000;94;2B;2B000;2B202;ZZZZZZ;2B20200;Z;5;11;4;0;7;8;1;2;5;6;2;0;0;0
2B2050000;94;2B;2B000;2B205;ZZZZZZ;2B20500;Z;5;383;131;12;240;246;94;42;110;135;66;37;6;1
2B2060000;94;2B;2B000;2B206;ZZZZZZ;2B20600;Z;5;16;3;1;12;13;3;1;9;13;0;0;0;0
2B2070000;94;2B;2B202;2B207;ZZZZZZ;2B20700;Z;5;1547;529;25;993;1014;419;216;379;520;276;168;38;11
2B2080000;94;2B;2B000;2B208;ZZZZZZ;2B20800;Z;5;45;12;6;27;29;15;2;12;20;3;4;2;0
2B2100000;94;2B;2B000;2B210;ZZZZZZ;2B21000;Z;5;59;18;0;41;42;11;10;21;29;10;1;1;1
2B2130000;94;2B;2B000;2B213;ZZZZZZ;2B21300;Z;5;34;16;1;16;20;5;5;9;13;4;2;0;0
2B2140000;94;2B;2B000;2B214;ZZZZZZ;2B21400;Z;5;17;9;0;7;7;2;2;3;5;1;1;0;0
2B2160000;94;2B;2B000;2B216;ZZZZZZ;2B21600;Z;5;11;7;0;4;4;1;2;1;3;1;0;0;0
