INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
92002;92;920020101;;30620;43260;58820;0.65;0.347;87.9;75.8;2.3;9.8;25.0;21.5;1.0;0.4;0.4;0.2
92002;92;920020102;;28620;38640;49350;0.54;0.248;93.3;85.4;1.9;6.0;21.9;11.0;1.1;0.5;0.4;0.2
92002;92;920020103;10.6;19440;28130;36740;0.61;0.275;87.6;81.2;2.3;4.1;23.6;6.9;2.9;1.6;0.7;0.6
92002;92;920020104;;24150;32950;43680;0.59;0.279;93.3;86.5;2.1;4.7;18.0;12.0;1.9;0.9;0.6;0.4
92002;92;920020105;;25250;35040;47100;0.62;0.298;91.5;85.5;2.0;4.0;20.4;12.7;1.6;0.7;0.6;0.3
92002;92;920020106;;23760;32040;41460;0.55;0.259;88.4;83.5;1.8;3.1;24.1;9.4;1.8;0.9;0.6;0.3
92002;92;920020107;;26280;34880;47840;0.62;0.286;83.0;73.2;1.8;8.0;30.9;12.3;1.3;0.5;0.5;0.3
92002;92;920020201;;27530;37120;47510;0.54;0.252;89.0;83.1;1.9;4.0;26.0;10.5;1.3;0.7;0.4;0.2
92002;92;920020202;10.1;17810;23470;30770;0.55;0.234;85.8;80.7;3.0;2.1;21.0;4.2;5.9;2.0;2.6;1.3
92002;92;920020203;;25810;33830;44360;0.55;0.259;92.3;86.3;1.7;4.3;20.6;10.8;1.5;0.9;0.4;0.2
92002;92;920020204;8.6;21270;28580;37250;0.56;0.252;92.4;86.7;2.6;3.1;19.8;5.6;3.0;1.4;1.1;0.5
92002;92;920020205;12.5;16690;25250;36590;0.79;0.3;87.4;78.9;3.2;5.3;21.6;6.8;5.0;2.3;1.7;1.0
92002;92;920020301;9.7;19910;28260;36900;0.6;0.271;87.0;80.5;2.6;3.9;23.0;8.7;3.2;1.1;1.4;0.7
92002;92;920020302;21.8;14330;20030;26530;0.61;0.257;93.9;86.7;4.5;2.7;11.3;3.8;7.4;2.4;2.6;2.4
92002;92;920020303;;25520;33990;42920;0.51;0.238;92.0;85.4;2.4;4.2;22.0;8.2;2.1;1.1;0.7;0.3
92002;92;920020304;;25070;34750;45940;0.6;0.263;92.6;85.2;1.7;5.7;20.7;10.6;1.5;0.8;0.4;0.3
92002;92;920020305;12.6;17540;27210;36700;0.7;0.287;94.3;88.8;2.6;2.9;16.6;6.2;4.1;2.0;1.4;0.7
92002;92;920020306;;12210;16030;21500;0.58;0.249;69.2;64.0;4.0;1.2;25.3;2.8;14.6;5.4;6.3;2.9
92002;92;920020307;28.7;12620;17390;22510;0.57;0.245;75.3;69.7;4.1;1.5;22.4;2.6;12.1;4.7;4.9;2.5
92002;92;920020308;12.5;18170;26690;37640;0.73;0.304;82.8;75.8;2.3;4.7;25.4;9.9;3.7;1.6;1.4;0.7
92002;92;920020401;7.0;23540;32200;41690;0.56;0.278;90.4;85.4;2.2;2.8;22.7;9.6;2.3;0.9;1.0;0.4
