IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
974010101;974;9D402;97401;ZZZZZZ;9740101;H;5997;1356;988;1294;1363;731;264;1801;3478;718;4619;49;183;400;714;891;499;741;1142;5960;37;129;5985;12
974010102;974;9D402;97401;ZZZZZZ;9740101;H;3414;669;577;697;840;431;200;905;2071;439;2735;59;110;219;425;574;343;484;521;3391;23;41;3396;18
974010201;974;9D402;97401;ZZZZZZ;9740102;H;1927;457;304;383;430;224;128;603;1072;251;1469;23;61;20;167;327;184;278;409;1889;38;38;1927;0
974010202;974;9D402;97401;ZZZZZZ;9740102;D;8;0;0;0;8;0;0;0;8;0;8;3;3;0;0;0;3;0;0;8;0;3;8;0
974020101;974;9D301;97402;ZZZZZZ;9740201;H;3379;827;640;686;647;441;138;1107;1879;392;2558;33;70;139;324;576;322;436;657;3356;23;51;3379;0
974020102;974;9D301;97402;ZZZZZZ;9740201;H;3133;701;525;593;844;350;120;949;1877;306;2431;48;79;150;342;555;304;342;610;3130;3;28;3126;7
974020103;974;9D301;97402;ZZZZZZ;9740201;H;1804;382;311;316;466;253;76;514;1084;206;1422;46;54;39;161;268;214;232;409;1791;13;15;1804;0
974020104;974;9D301;97402;ZZZZZZ;9740201;H;4480;1120;1043;862;958;348;149;1429;2690;361;3360;19;85;93;378;887;615;348;935;4441;39;69;4444;36
974020105;974;9D301;97402;ZZZZZZ;9740201;D;15;0;5;5;5;0;0;5;10;0;15;3;0;0;5;0;0;0;8;15;0;0;15;0
974030101;974;9D601;97403;ZZZZZZ;9740301;H;3549;756;611;668;803;474;237;996;2054;498;2850;15;115;115;364;628;384;528;702;3535;14;33;3469;80
974030102;974;9D601;97403;ZZZZZZ;9740301;H;3347;723;498;686;731;481;226;952;1898;497;2541;50;100;105;399;468;314;553;553;3326;21;47;3347;0
974030103;974;9D601;97403;ZZZZZZ;9740301;D;6;0;2;0;4;0;0;1;5;0;25;0;0;0;10;0;10;0;5;6;0;0;6;0
974040101;974;9D402;97404;974312;9740401;H;4591;1000;775;918;1077;580;241;1320;2694;577;3591;40;126;206;592;712;456;566;893;4580;11;29;4591;0
974040102;974;9D402;97404;974301;9740401;H;2870;660;568;624;612;280;126;874;1692;303;2206;18;73;174;277;519;327;343;475;2847;22;40;2870;0
974040201;974;9D402;97404;974301;9740402;H;2567;572;418;565;606;323;84;734;1568;266;1995;30;111;117;233;391;346;298;470;2552;15;33;2567;0
974040301;974;9D402;97404;974312;9740403;H;1974;382;263;339;516;361;114;513;1145;317;1593;13;104;245;277;221;66;375;292;1967;8;15;1972;2
974040401;974;9D402;97404;974301;9740404;H;1072;279;197;201;255;107;33;368;633;71;793;48;38;35;92;174;81;107;218;1059;13;20;1072;0
974040501;974;9D402;97404;974312;9740405;H;819;193;110;175;193;98;50;226;486;108;626;5;35;63;145;93;40;115;130;819;0;8;819;0
974050101;974;9D302;97405;ZZZZZZ;9740501;H;2942;583;424;538;625;558;213;765;1631;546;2359;51;72;112;283;509;216;599;517;2919;22;50;2942;0
974050102;974;9D302;97405;ZZZZZZ;9740501;H;4943;1137;912;940;1020;679;255;1496;2809;638;3806;78;136;96;443;817;474;732;1029;4925;18;45;4943;0
974050103;974;9D302;97405;ZZZZZZ;9740501;H;2176;396;354;467;487;358;114;530;1327;319;1780;67;87;111;256;305;192;335;426;2154;22;30;2176;0
974050104;974;9D302;97405;ZZZZZZ;9740501;D;62;14;19;14;10;5;0;19;38;5;48;13;3;0;5;8;5;5;10;62;0;0;62;0
974050201;974;9D302;97405;ZZZZZZ;9740502;H;2039;389;281;393;503;325;148;514;1185;340;1650;33;45;22;188;294;252;340;476;2034;5;10;2039;0
974060000;974;9D101;97406;ZZZZZZ;9740600;Z;6565;1787;1169;1265;1294;765;284;2306;3561;698;4762;114;212;134;470;1037;696;874;1226;6548;17;45;6525;40
974070101;974;9D602;97407;974361;9740701;H;2398;680;546;420;469;197;87;941;1255;202;1719;0;54;13;123;343;333;176;677;2347;51;79;2398;0
974070102;974;9D602;97407;974361;9740701;H;2320;415;431;408;484;373;208;573;1325;422;1913;8;128;66;204;356;212;387;552;2252;68;140;2295;25
974070201;974;9D602;97407;974351;9740702;H;3706;868;844;615;799;385;195;1233;2050;423;2840;3;81;41;278;539;497;358;1045;3632;74;164;3691;15
974070301;974;9D602;97407;974351;9740703;H;3206;726;628;518;654;422;257;1000;1745;461;2480;0;54;15;182;469;421;390;947;3102;104;158;3206;0
974070302;974;9D602;97407;974351;9740703;H;2635;539;569;424;575;417;112;742;1574;320;2096;0;15;0;148;445;394;318;776;2602;33;74;2635;0
974070401;974;9D602;97407;974331;9740704;H;3135;838;751;627;509;320;90;1110;1820;206;2297;3;13;18;181;496;460;246;880;3056;79;210;3135;0
974070402;974;9D602;97407;974331;9740704;H;1725;439;384;290;333;211;67;597;954;173;1283;8;43;8;99;275;178;135;537;1712;13;88;1725;0
974070501;974;9D602;97407;974341;9740705;H;1663;338;295;302;372;279;76;478;935;251;1319;0;31;8;121;265;263;231;401;1640;23;54;1663;0
974070502;974;9D602;97407;974341;9740705;H;1701;401;362;268;383;226;61;576;945;180;1300;5;33;23;134;294;195;193;423;1678;23;73;1701;0
974070503;974;9D602;97407;974341;9740705;H;2463;676;565;431;480;241;71;927;1338;197;1787;0;28;5;145;432;270;178;730;2382;81;155;2463;0
974070504;974;9D602;97407;974341;9740705;H;2377;693;592;352;461;213;66;974;1236;167;1684;2;15;28;168;324;306;152;688;2315;63;105;2377;0
974070601;974;9D602;97407;974331;9740706;H;3451;722;791;652;743;396;147;1001;2091;359;2731;2;42;60;240;431;399;308;1248;3402;49;66;2934;517
974070602;974;9D602;97407;974331;9740706;H;2605;667;624;387;540;299;88;920;1446;240;1938;0;59;18;116;352;384;220;789;2577;28;55;2605;0
974070701;974;9D602;97407;974361;9740707;A;494;113;143;116;101;16;5;156;326;13;381;0;4;5;18;164;81;8;103;472;23;25;389;105
974070702;974;9D602;97407;974331;9740707;A;56;10;13;5;18;8;3;13;38;5;46;0;2;0;13;5;10;0;15;51;5;8;56;0
974070703;974;9D602;97407;974361;9740707;A;192;34;22;50;46;31;10;46;122;24;158;1;5;7;36;20;14;33;43;191;1;3;163;29
974080101;974;9D602;97408;974371;9740801;H;2584;721;572;487;452;238;113;896;1433;255;1859;5;60;89;240;419;242;252;552;2527;57;120;2573;11
974080102;974;9D602;97408;974371;9740801;H;2700;484;554;519;587;394;163;639;1690;371;2220;0;84;218;457;370;230;418;444;2665;35;78;2610;90
974080103;974;9D602;97408;974371;9740801;H;2822;649;512;586;604;350;121;900;1603;319;2173;5;126;212;399;384;193;333;521;2807;15;41;2822;0
974080201;974;9D602;97408;974381;9740802;H;4723;1230;1048;977;993;407;69;1622;2858;243;3495;5;102;250;561;796;483;341;957;4693;31;90;4723;0
974080301;974;9D602;97408;974381;9740803;H;7784;2266;1703;1849;1205;595;165;2880;4423;481;5516;5;181;393;1045;1198;767;561;1368;7728;55;160;7777;7
974080302;974;9D602;97408;974391;9740803;D;16;10;0;6;0;0;0;10;6;0;6;0;0;0;0;3;3;0;0;16;0;0;16;0
974080303;974;9D602;97408;974391;9740803;D;105;30;20;32;17;2;2;35;67;2;75;0;10;2;0;20;15;0;27;102;2;2;105;0
974080304;974;9D602;97408;974391;9740803;D;88;5;18;12;20;22;11;10;45;33;83;0;0;0;8;10;14;33;18;88;0;0;88;0
974080401;974;9D602;97408;974381;9740804;H;3418;845;549;734;834;378;78;1062;2085;270;2572;0;114;263;566;444;298;346;541;3409;9;34;3418;0
974080501;974;9D602;97408;974391;9740805;H;4038;1107;690;846;936;384;77;1389;2396;253;2931;16;112;276;588;558;371;309;702;4012;26;77;4038;0
974080601;974;9D602;97408;974391;9740806;H;3042;729;513;714;720;283;83;969;1857;216;2314;6;103;334;482;354;273;272;489;3000;42;81;3042;0
974080602;974;9D602;97408;974391;9740806;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
974080701;974;9D602;97408;974391;9740807;H;1700;410;272;361;346;205;106;521;968;212;1290;15;55;30;123;279;187;232;369;1694;6;14;1700;0
974090101;974;9D502;97409;974401;9740901;H;2830;649;544;457;550;361;270;887;1459;483;2195;18;105;54;190;409;244;447;729;2747;83;118;2645;185
974090102;974;9D502;97409;974401;9740901;H;4067;808;945;660;940;546;169;1146;2454;467;3259;8;122;76;312;664;344;476;1257;3938;129;157;4067;0
974090103;974;9D502;97409;974441;9740901;H;2087;598;390;360;453;180;107;757;1126;204;1490;0;38;54;126;337;167;171;597;2037;50;74;2087;0
974090104;974;9D502;97409;974431;9740901;H;3342;909;784;577;647;347;79;1170;1894;278;2431;0;89;28;130;552;230;280;1123;3266;76;336;3322;20
974090105;974;9D502;97409;974401;9740901;H;6604;2029;1585;1317;1076;466;131;2554;3674;376;4575;20;144;83;477;915;763;408;1765;6562;43;118;6604;0
974090201;974;9D502;97409;974411;9740902;H;2515;547;556;446;580;231;155;785;1434;296;1968;8;63;51;201;446;259;258;683;2480;36;36;2515;0
974090202;974;9D502;97409;974411;9740902;H;4010;1008;924;655;831;437;155;1371;2282;357;3002;2;111;88;260;667;432;381;1061;3920;89;89;4010;0
974090203;974;9D502;97409;974411;9740902;H;3478;1018;673;716;687;286;99;1299;1924;256;2458;3;126;73;245;556;355;256;845;3455;24;44;3454;24
974090301;974;9D502;97409;974421;9740903;H;7856;2149;1616;1628;1603;671;189;2817;4512;527;5705;31;299;277;851;1234;723;594;1696;7743;113;145;7854;2
974090401;974;9D502;97409;974421;9740904;H;4481;1286;824;936;907;384;143;1622;2495;364;3195;18;150;121;429;685;457;348;988;4445;36;53;4461;20
974090501;974;9D502;97409;974421;9740905;H;3391;736;729;577;811;371;167;1067;1952;372;2656;49;122;74;209;507;353;326;1016;3371;20;38;3329;62
974090601;974;9D502;97409;974431;9740906;H;2029;505;398;336;428;250;111;658;1112;258;1520;3;28;45;142;322;189;273;518;2008;21;23;2015;14
974090602;974;9D502;97409;974431;9740906;H;2487;646;457;499;483;361;40;856;1389;241;1841;8;35;15;99;353;314;181;835;2484;3;15;2487;0
974090701;974;9D502;97409;974441;9740907;H;4058;1180;916;799;744;361;58;1525;2318;216;2878;18;129;83;242;629;383;283;1112;4027;31;73;4033;24
974090801;974;9D502;97409;974441;9740908;H;3033;697;554;578;756;357;91;912;1854;267;2337;57;97;109;260;478;326;309;701;3023;10;45;3033;0
974100101;974;9D404;97410;974451;9741001;H;4013;1259;932;651;623;389;159;1649;1985;378;2772;3;43;71;212;544;292;395;1212;3893;120;180;4013;0
974100102;974;9D404;97410;974451;9741001;H;3503;863;711;583;613;516;216;1171;1821;511;2642;0;58;63;151;518;350;507;997;3434;69;86;3438;65
974100103;974;9D404;97410;974461;9741001;H;1567;336;362;259;359;189;63;500;919;148;1231;0;25;10;101;239;190;163;504;1547;20;28;1567;0
974100104;974;9D404;97410;974461;9741001;H;1939;538;440;367;385;174;35;697;1139;103;1401;0;18;3;83;362;226;98;611;1931;8;8;1939;0
974100105;974;9D404;97410;974461;9741001;H;3329;869;727;559;662;324;189;1163;1821;345;2462;8;60;58;206;463;289;340;1038;3251;78;88;3321;8
974100106;974;9D404;97410;974471;9741001;H;3920;1097;865;646;791;409;112;1445;2124;350;2816;63;78;58;210;524;343;338;1202;3918;3;31;3774;146
