INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
78003;78;780030000;Z;5;379.404859909269;160.079566744466;656.008228769057;428.796018147884;372.168414256949;198.906287970211;196.748998523388
78005;78;780050101;A;3;30.4629306240762;3.80796969551358;25.1962530920748;23.9431369305511;22.0674057790882;17.1358636298111;39.2223682739298
78005;78;780050102;A;3;21.1979314378169;0.0;15.6248117279158;6.01153407103383;4.34160947604679;6.02446093161489;0.0
78005;78;780050103;H;1;618.262873434245;134.829441219762;576.23525103935;544.214190233537;383.730320757223;299.322509545204;417.383956987069
78005;78;780050104;H;1;359.743895890625;78.2190244948668;365.152773066955;263.093883001273;117.323697165641;102.004226517514;102.674485299211
78005;78;780050105;H;1;466.737285230299;124.037422735073;425.27697625129;331.085164859762;167.920738731675;121.991929391851;76.5532114445181
78005;78;780050106;H;1;479.069417853591;103.425747555064;509.735011674868;342.206195167645;243.284421584503;200.29008741246;199.906334560373
78005;78;780050107;H;1;242.917877000326;58.5339569617382;357.498796136818;214.762192696967;152.662712822736;188.188152523701;210.062594372376
78005;78;780050108;H;1;302.665861271454;93.7092643379125;426.558647292393;260.365140096349;220.184888707291;135.078974729343;203.26531487585
78005;78;780050109;H;1;437.390331948506;154.3141045367;805.655181083463;491.810299238066;493.845355519059;487.924904349674;531.191022249732
78006;78;780060000;Z;5;75.0;35.0;125.0;95.0;72.0;53.0;76.0
78007;78;780070000;Z;5;52.1670774771877;35.1241833193013;74.8378731664514;101.042031302641;88.2779667365575;141.146311483735;252.02646323903
78009;78;780090000;Z;5;39.9545454545455;13.3181818181818;67.6153846153846;45.0769230769231;28.6853146853147;15.3671328671329;18.4405594405594
78010;78;780100000;Z;5;119.863166825322;31.8959497796239;173.54607206512;131.44965847379;135.901769130753;104.111696615602;192.705773171857
78013;78;780130000;Z;5;41.912237173475;8.14779694669096;74.6551944513029;61.1837965950676;54.8503812866546;44.757903350804;38.5913740082653
78015;78;780150101;H;1;196.211519336882;66.0337001431354;306.407417018308;221.791755108345;147.964424982246;128.550166088523;199.770672330733
78015;78;780150102;H;1;182.373259319451;77.1301590228621;361.669167411329;353.964846726125;279.071089588745;227.998235029404;489.523847974968
78015;78;780150103;H;1;180.360897771133;68.6493071654572;262.649841773378;210.793535330068;226.942193389107;216.12066628509;219.066828040072
78015;78;780150104;H;1;302.269577425643;91.7856861027147;325.548022094774;331.86902330737;293.334552812704;260.947679255754;352.029850856688
78015;78;780150105;H;1;164.782586535633;60.7111240454129;210.186632113711;219.339626847361;225.965717587539;205.835849475388;252.447599982275
78015;78;780150106;H;1;136.373725644908;46.7654676484966;198.813101462427;300.064298247926;280.992383195756;186.519234152101;308.860831809925
78020;78;780200000;Z;5;82.0735643930761;31.4393781504591;166.076857505671;135.40722481895;106.122620034027;72.6686991397053;65.8651485784216
78029;78;780290101;H;1;235.986646431203;84.4086294467836;395.506538704639;278.677397727308;265.687435669604;167.957748963997;147.446001481244
78029;78;780290102;H;1;512.009727498214;114.333747173867;560.188161866538;313.780570853228;297.157645739189;175.983663178945;139.258598064601
78029;78;780290103;H;1;311.367149132585;75.1082184852759;312.43091553508;227.539234827021;120.401522449318;111.736398761024;82.1425274367958
78029;78;780290104;H;1;357.544248829276;78.503469957639;301.336977762609;166.64638697843;78.6687739749128;44.7233843129729;44.6673851084742
78029;78;780290105;H;1;396.620683668559;66.4918967989276;484.681544616109;197.173945204151;116.675602728812;68.9412739183441;48.6115306838204
