IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
110010000;76;11;11000;11001;ZZZZZZ;1100100;Z;5;254;75;0;180;180;84;15;81;81;31;58;5;5
110020000;76;11;11000;11002;ZZZZZZ;1100200;Z;5;64;10;0;54;54;25;0;30;35;5;15;0;0
110030000;76;11;11000;11003;ZZZZZZ;1100300;Z;5;97;44;0;54;58;24;0;34;44;5;10;0;0
110040000;76;11;11000;11004;ZZZZZZ;1100400;Z;5;147;48;15;84;84;28;15;41;60;14;5;0;4
110050000;76;11;11000;11005;ZZZZZZ;1100500;Z;5;545;131;10;403;408;178;81;149;154;121;94;29;9
110060000;76;11;11000;11006;ZZZZZZ;1100600;Z;5;44;19;0;24;24;5;0;19;19;5;0;0;0
110070000;76;11;11000;11007;ZZZZZZ;1100700;Z;5;68;29;0;39;39;15;5;20;24;5;10;0;0
110080000;76;11;11000;11008;ZZZZZZ;1100800;Z;5;224;109;5;109;109;36;10;62;62;26;21;0;0
110090000;76;11;11000;11009;ZZZZZZ;1100900;Z;5;655;220;15;420;425;135;100;190;240;65;90;25;5
110100000;76;11;11000;11010;ZZZZZZ;1101000;Z;5;131;47;0;84;88;33;9;46;46;24;14;0;4
110110000;76;11;11000;11011;ZZZZZZ;1101100;Z;5;216;81;5;129;129;43;20;67;72;25;28;4;0
110120000;76;11;11000;11012;ZZZZZZ;1101200;Z;5;876;187;5;684;684;269;86;329;395;101;152;36;0
110130000;76;11;11000;11013;ZZZZZZ;1101300;Z;5;170;60;0;110;110;35;10;65;70;25;15;0;0
110140000;76;11;11000;11014;ZZZZZZ;1101400;Z;5;657;160;5;491;501;185;60;256;301;85;95;15;5
110150000;76;11;11000;11015;ZZZZZZ;1101500;Z;5;122;49;5;68;73;24;19;29;34;24;10;0;5
110160000;76;11;11000;11016;ZZZZZZ;1101600;Z;5;44;15;0;30;30;10;0;20;30;0;0;0;0
110170000;76;11;11000;11017;ZZZZZZ;1101700;Z;5;39;15;0;24;24;10;0;15;15;5;5;0;0
110180000;76;11;11000;11018;ZZZZZZ;1101800;Z;5;532;153;5;374;378;144;60;174;189;85;63;33;7
110190000;76;11;11000;11019;ZZZZZZ;1101900;Z;5;37;16;0;21;21;5;0;16;16;0;0;5;0
110200000;76;11;11000;11020;ZZZZZZ;1102000;Z;5;15;0;0;15;15;5;0;10;10;5;0;0;0
110210000;76;11;11000;11021;ZZZZZZ;1102100;Z;5;259;101;10;148;148;54;10;85;90;34;19;5;0
110220000;76;11;11000;11022;ZZZZZZ;1102200;Z;5;535;185;5;345;350;113;57;180;216;72;41;10;10
110230000;76;11;11000;11023;ZZZZZZ;1102300;Z;5;322;93;0;228;228;88;31;109;119;47;52;5;5
110240000;76;11;11000;11024;ZZZZZZ;1102400;Z;5;391;130;5;255;255;89;36;130;141;47;57;5;5
110250000;76;11;11000;11025;ZZZZZZ;1102500;Z;5;131;40;0;91;91;35;25;30;35;20;30;5;0
110260000;76;11;11000;11026;ZZZZZZ;1102600;Z;5;76;25;0;51;51;30;5;15;20;15;10;0;5
110270000;76;11;11000;11027;ZZZZZZ;1102700;Z;5;328;106;0;222;222;116;34;72;82;68;53;14;5
110280000;76;11;11000;11028;ZZZZZZ;1102800;Z;5;187;62;5;120;125;34;20;71;91;20;15;0;0
110290000;76;11;11000;11029;ZZZZZZ;1102900;Z;5;29;10;0;20;20;5;0;15;15;5;0;0;0
110300000;76;11;11000;11030;ZZZZZZ;1103000;Z;5;46;10;5;31;31;10;5;15;15;5;10;0;0
110310000;76;11;11000;11031;ZZZZZZ;1103100;Z;5;15;5;0;10;10;0;0;10;10;0;0;0;0
110320000;76;11;11000;11032;ZZZZZZ;1103200;Z;5;103;30;0;74;74;30;10;34;39;10;20;5;0
110330000;76;11;11000;11033;ZZZZZZ;1103300;Z;5;559;191;40;328;328;116;70;141;166;70;73;19;0
110340000;76;11;11000;11034;ZZZZZZ;1103400;Z;5;446;177;5;263;263;76;41;147;177;30;41;10;5
110350000;76;11;11000;11035;ZZZZZZ;1103500;Z;5;135;55;0;80;80;15;10;55;60;10;10;0;0
110360000;76;11;11000;11036;ZZZZZZ;1103600;Z;5;88;44;0;44;44;10;0;34;34;10;0;0;0
110370000;76;11;11501;11037;ZZZZZZ;1103700;Z;5;437;168;14;255;255;106;77;72;101;82;38;29;5
110380000;76;11;11000;11038;ZZZZZZ;1103800;Z;5;30;15;0;15;15;0;10;5;5;10;0;0;0
110390000;76;11;11000;11039;ZZZZZZ;1103900;Z;5;23;9;0;14;14;5;0;9;9;0;5;0;0
110400000;76;11;11000;11040;ZZZZZZ;1104000;Z;5;695;202;10;483;483;237;49;197;227;113;109;20;15
110410000;76;11;11000;11041;ZZZZZZ;1104100;Z;5;571;193;0;377;377;111;106;160;179;102;82;15;0
110420000;76;11;11000;11042;ZZZZZZ;1104200;Z;5;100;40;5;55;55;25;5;25;25;20;10;0;0
110430000;76;11;11000;11043;ZZZZZZ;1104300;Z;5;97;26;0;72;77;26;5;46;51;10;10;5;0
110440000;76;11;11000;11044;ZZZZZZ;1104400;Z;5;52;24;10;19;19;5;5;10;14;0;5;0;0
110450000;76;11;11000;11045;ZZZZZZ;1104500;Z;5;54;18;0;36;36;14;0;23;23;5;9;0;0
110460000;76;11;11000;11046;ZZZZZZ;1104600;Z;5;23;9;0;14;14;9;0;5;5;5;5;0;0
110470000;76;11;11000;11047;ZZZZZZ;1104700;Z;5;29;15;0;15;15;0;0;15;15;0;0;0;0
110480000;76;11;11000;11048;ZZZZZZ;1104800;Z;5;325;100;0;225;225;95;15;115;130;35;50;5;5
110490000;76;11;11107;11049;ZZZZZZ;1104900;Z;5;1434;482;30;922;922;313;130;479;519;170;144;54;34
110510000;76;11;11000;11051;ZZZZZZ;1105100;Z;5;65;15;0;50;50;15;10;25;25;10;5;5;5
110520000;76;11;11000;11052;ZZZZZZ;1105200;Z;5;165;45;10;110;110;35;5;70;70;15;25;0;0
110530000;76;11;11000;11053;ZZZZZZ;1105300;Z;5;117;29;0;88;88;24;15;49;54;10;15;10;0
110540000;76;11;11000;11054;ZZZZZZ;1105400;Z;5;130;40;5;85;90;35;5;50;55;25;10;0;0
110550000;76;11;11000;11055;ZZZZZZ;1105500;Z;5;124;48;5;71;71;5;24;43;48;5;19;0;0
110560000;76;11;11000;11056;ZZZZZZ;1105600;Z;5;90;40;0;50;55;0;20;35;35;5;10;5;0
110570000;76;11;11000;11057;ZZZZZZ;1105700;Z;5;16;5;5;5;5;5;0;0;0;5;0;0;0
110580000;76;11;11000;11058;ZZZZZZ;1105800;Z;5;119;30;10;79;79;30;5;45;55;10;5;5;5
110590000;76;11;11000;11059;ZZZZZZ;1105900;Z;5;59;15;0;44;44;20;0;24;24;10;5;0;5
