INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
43001;43;430010000;Z;178.0;17.3908045977011;28.6436781609195;16.367816091954;49.1034482758621;39.8965517241379;26.5977011494253;27.6206896551724;100.252873563218;50.1264367816092;158.563218390805;10.2298850574713;5.11494252873563;10.2298850574713;5.11494252873563;15.3448275862069;35.8045977011494;61.3793103448276;15.3448275862069;175.954022988506;2.04597701149425;3.06896551724138;178.0;0.0
43002;43;430020000;Z;1473.0;159.0646998172;196.499118245666;185.963608719166;328.989862618715;371.381850439736;231.100860159518;228.889539368623;782.880907786105;461.229552845272;1282.45059296642;0.0;53.1272874625081;123.591959851323;217.641735526598;180.933960732136;63.7243986849174;518.571206701274;124.860044007667;1437.43332179395;35.5666782060454;59.0518060422541;1429.00531456147;43.9946854385278
43003;43;430030000;Z;874.0;92.6242897547144;83.1184857613037;113.853092204751;208.081775338745;205.894931131999;170.427425808486;119.695323303113;447.786290373427;306.51838632346;779.873574019409;38.5144984669835;39.7865307397925;9.97237504496532;73.5303473699164;112.988937858884;100.068238767008;275.335430670675;129.677215101184;851.608519195397;22.3914808046028;25.3405679514732;765.954191072868;108.045808927132
43004;43;430040000;Z;119.0;15.2564102564103;12.2051282051282;9.15384615384615;42.7179487179487;23.3931623931624;16.2735042735043;21.3589743589744;66.1111111111111;31.5299145299145;106.794871794872;35.5982905982906;0.0;0.0;0.0;10.1709401709402;5.08547008547009;45.7692307692308;10.1709401709402;116.965811965812;2.03418803418803;6.1025641025641;119.0;0.0
43006;43;430060000;Z;129.0;13.0;12.0;18.0;26.0;43.0;17.0;17.0;73.0;39.0;115.0;20.0;0.0;0.0;10.0;10.0;20.0;50.0;5.0;129.0;0.0;1.0;129.0;0.0
43007;43;430070000;Z;602.0;111.966430959326;85.1261330270024;80.0962411278917;152.323972635338;118.392281657813;54.0949405926294;142.44221141289;322.199662691731;137.358125895379;489.265489840494;10.0676186369874;30.3590431234924;20.1356146769055;35.4379434089892;96.0932456527997;101.204301457035;140.425364614711;55.5423582695748;597.954156940911;4.04584305908935;8.11029337474228;602.0;0.0
43010;43;430100000;Z;1193.0;258.709176841264;154.75749151493;246.338669541061;240.00488331945;224.146912509689;69.0428662736067;328.441356609417;660.325120667606;204.233522722977;921.637685745285;20.0680586157845;39.7847397354981;78.8965302711977;170.942810492251;161.639996930471;117.466339827068;205.705922427879;127.133287445135;1177.76644324788;15.2335567521189;13.6693075629173;1193.0;0.0
43012;43;430120000;Z;6142.0;1208.0;863.0;1120.0;1193.0;1109.0;649.0;1611.0;3166.0;1365.0;4945.0;5.0;170.0;305.0;855.0;750.0;550.0;1595.0;715.0;6025.0;117.0;173.0;6031.0;111.0
43014;43;430140000;Z;56.0;4.22641509433962;4.22641509433962;9.50943396226415;15.8490566037736;14.7924528301887;7.39622641509434;7.39622641509434;33.811320754717;14.7924528301887;47.5471698113207;15.8490566037736;5.28301886792453;5.28301886792453;0.0;5.28301886792453;0.0;15.8490566037736;0.0;56.0;0.0;0.0;56.0;0.0
43016;43;430160000;Z;898.0;126.943081105912;118.227427835038;147.142685595155;200.554390553667;200.731893966168;104.40052094406;159.957162644636;510.183677997051;227.859159358313;742.027817689541;60.1580363866381;20.074495242311;15.0208229638309;70.144021307529;90.1530845301554;115.178482666846;281.08042774732;90.2184468449108;884.968861227867;13.0311387721332;20.0520684123031;898.0;0.0
43017;43;430170000;Z;282.0;53.734270442762;30.4508574436284;51.3386754176218;61.124336552335;63.6824858967459;21.6693742469069;61.8974246906739;161.739418433344;58.3631568759816;216.012430612041;15.3303143832136;10.1551424731325;9.87473228851398;40.6276368514095;30.2773259084297;35.3584470630271;49.3736614425699;25.0151702017444;281.003295903784;0.996704096216479;4.0063299441324;282.0;0.0
43018;43;430180000;Z;1376.0;249.171398665932;231.473165215041;251.156828137375;286.821303122141;248.178683930216;109.198620929295;349.30174222562;768.592426486954;258.105831287425;1120.15784791665;39.7085894288343;34.74501575023;64.5264578218555;178.688652429753;168.835366433138;192.994541174875;302.777994394864;137.881230483104;1360.11656422847;15.8834357715337;24.7446128918337;1333.21589007311;42.7841099268908
