INSEE_COM;DEP;IRIS;TYP_IRIS;MODIF_IRIS;P19_POP1564;P19_POP1524;P19_POP2554;P19_POP5564;P19_ACT1564;P19_ACT1524;P19_ACT2554;P19_ACT5564;P19_ACTOCC1564;P19_ACTOCC1524;P19_ACTOCC2554;P19_ACTOCC5564;P19_CHOM1564;P19_CHOM1524;P19_CHOM2554;P19_CHOM5564;P19_CHOM_DIPLMIN;P19_CHOM_BEPC;P19_CHOM_CAPBEP;P19_CHOM_BAC;P19_CHOM_SUP2;P19_CHOM_SUP34;P19_CHOM_SUP5;P19_ACT_DIPLMIN;P19_ACT_BEPC;P19_ACT_CAPBEP;P19_ACT_BAC;P19_ACT_SUP2;P19_ACT_SUP34;P19_ACT_SUP5;P19_INACT1564;P19_HINACT1564;P19_FINACT1564;P19_ETUD1564;P19_HETUD1564;P19_FETUD1564;P19_RETR1564;P19_AINACT1564;C19_ACT1564;C19_ACT1564_CS1;C19_ACT1564_CS2;C19_ACT1564_CS3;C19_ACT1564_CS4;C19_ACT1564_CS5;C19_ACT1564_CS6;C19_ACTOCC1564;C19_ACTOCC1564_CS1;C19_ACTOCC1564_CS2;C19_ACTOCC1564_CS3;C19_ACTOCC1564_CS4;C19_ACTOCC1564_CS5;C19_ACTOCC1564_CS6;P19_ACTOCC15P;P19_SAL15P;P19_NSAL15P;P19_ACTOCC15P_TP;P19_SAL15P_TP;P19_HSAL15P_TP;P19_FSAL15P_TP;P19_NSAL15P_TP;P19_SAL15P_CDI;P19_SAL15P_CDD;P19_SAL15P_INTERIM;P19_SAL15P_EMPAID;P19_SAL15P_APPR;P19_NSAL15P_INDEP;P19_NSAL15P_EMPLOY;P19_NSAL15P_AIDFAM;P19_ACTOCC15P_ILT1;P19_ACTOCC15P_ILT2P;P19_ACTOCC15P_ILT2;P19_ACTOCC15P_ILT3;P19_ACTOCC15P_ILT4;P19_ACTOCC15P_ILT5;C19_ACTOCC15P;C19_ACTOCC15P_PAS;C19_ACTOCC15P_MAR;C19_ACTOCC15P_VELO;C19_ACTOCC15P_2ROUESMOT;C19_ACTOCC15P_VOIT;C19_ACTOCC15P_TCOM
37001;37;370010000;Z;0;612.28920653958;97.3491438188421;362.016035795075;152.924026925663;440.652618668638;44.6487930267465;330.346484357319;65.6573412845733;391.818847664886;31.7343219846511;302.506040292735;57.5784853874998;48.8337710037524;12.9144710420954;27.8404440645835;8.07885589707347;8.07771544303254;8.97389259472783;23.8001573361924;4.93477417092863;3.04723145887105;0.0;0.0;49.7443742973696;33.8420830333936;200.319489161174;84.3230799029227;41.7445631073324;17.8325677375985;12.846461428848;171.636587870941;82.0736026423999;89.5629852285414;47.8042266015118;22.3788000494299;25.4254265520819;69.0104619259879;54.8218993434416;448.330142015599;4.95668854905624;40.2675319976406;9.80091967913474;80.1718578764343;143.798588281467;169.334555631866;413.137597508952;4.95668854905624;40.2675319976406;9.80091967913474;70.1374355607997;128.919934835754;159.055086886567;395.905834920577;325.496205015817;70.4096299047602;60.5096193302888;50.5749606085885;10.7900043314152;39.7849562771734;9.9346587217003;279.853160228446;29.9177029366541;6.84768047378767;3.94402766004142;4.9336337168877;39.9711259677946;27.4869822913274;2.95152164563819;120.260171667522;275.645663253055;172.309553941508;2.99879927860611;99.3459723231294;0.991337709811247;413.137597508952;29.6276738753597;0.0;0.0;10.0402638385945;368.512971245941;4.95668854905624
37002;37;370020000;Z;0;1138.95569456634;178.257694843149;735.85363257092;224.844367152267;852.571730359969;64.638092807304;686.257905300525;101.67573225214;775.431435835201;49.815806195898;635.136913154278;90.478716485025;77.1402945247688;14.822286611406;51.1209921462477;11.1970157671152;10.757265109555;6.87925895677324;24.7572716460526;15.7820692417249;9.96298408830165;4.98008905044856;4.02135643191282;71.5809692478288;43.3306981335513;268.257032206705;199.330979259906;135.516355296979;78.5943501961159;55.9613460188838;286.383964206367;150.220469765193;136.163494441174;109.839819542052;51.050432930561;58.7893866114909;86.7923964759004;89.7517481884143;826.44089523679;0.0;39.1506525129083;67.8195511322019;258.232446311511;255.510354708274;201.074651703133;747.185774673488;0.0;39.1506525129083;62.557558523446;238.584497391462;225.193462686336;181.699603559336;782.644619686617;682.871597872547;99.7730218140703;117.832004002095;106.726812371445;18.7294309445763;87.9973814268691;11.1051916306496;608.719422279419;40.1004419141377;6.84047786586112;2.96895791016164;24.2422979029679;52.7529574500541;45.1297197510735;1.8903446129427;160.460293655701;622.184326030916;594.039787182196;3.89869895182191;23.3151921231457;0.930647773752289;757.709759891;24.9144751892654;19.2030041047284;0.0;28.7954388361723;670.387646678768;14.4091950820655
37003;37;370030101;H;0;1659.35163653654;329.954072659855;987.035272760339;342.362291116348;1215.44949101403;161.848052736314;886.617533726621;166.983904551094;1024.95605825213;111.672464436751;776.808463029206;136.475130786169;190.493432761903;50.1755882995626;109.809070697415;30.5087737649253;25.0760750601649;14.8185720198702;63.2226241061708;45.8924106361274;10.6022875145526;13.9525076378153;16.9289557872023;105.769726582828;48.3851517397886;381.816052632802;280.736499453696;162.480850373636;128.672877081203;107.588333150076;443.902145522514;212.090104000581;231.812041521933;146.764213381266;79.8843743732669;66.8798390079989;144.918499591896;152.219432549352;1213.44953618734;3.32021889683171;66.3576284057636;156.272346391388;311.969729697867;345.475867233795;312.545363404663;1014.95628411869;3.32021889683171;60.7019071024043;144.557511470935;279.445188087836;281.739815768939;245.191642791742;1052.37336785026;922.139062543476;130.234305306781;163.769785975292;129.809087533928;47.3468123735045;82.4622751604238;33.9606984413636;793.4066223985;88.6322202064931;16.2231092176824;4.6778103254775;19.1993003953237;53.6380457447641;76.5962595620169;0.0;466.695442869223;585.677924981034;407.210212973283;119.604592486986;58.8631195207652;0.0;1042.37359371682;100.125914625471;107.732662363537;15.5045612533173;18.2591933459666;689.899489298856;110.851772829672
37003;37;370030102;H;0;1159.10095708192;230.023792625696;614.446204589169;314.630959867058;873.793023639524;126.481993316166;570.917147414754;176.393882908604;728.421328233204;101.974786151191;476.605824517614;149.840717564399;145.37169540632;24.5072071649754;94.31132289714;26.5531653442048;41.0836688215208;16.5727402413993;39.4504224385894;15.2021061624249;7.92767244291329;17.7389797031776;7.3961055962949;96.6443603942841;45.3972917618419;251.201198787143;145.315476948646;99.0080384190117;131.605153544354;104.621503784243;285.307933442399;115.502356147778;169.805577294621;88.753070166658;38.7015648725694;50.0515052940886;116.837423652343;79.7174396233988;873.793023639524;0.0;49.2288660352957;125.598459879951;235.747340264094;288.5726580402;164.713785641365;728.421328233204;0.0;49.2288660352957;118.206573725591;207.701095789351;229.334359107226;123.95043357574;747.114706761981;653.648447346587;93.4662594153939;162.352448569857;144.699152608315;44.8308688940093;99.8682837143057;17.6532959615423;502.522873732683;74.4021066234123;21.0390812399146;8.27986329193944;47.404522458638;58.3627960917713;35.1034633236226;0.0;366.137738024829;380.976968737152;280.752705015063;70.3145387185571;29.9097250035319;0.0;747.114706761981;44.7295980929907;86.7480128236469;28.0760654498325;17.0305453831762;541.832027858351;28.6984571539841
37003;37;370030103;H;0;1670.20465027334;356.658817002087;1056.75637377099;256.789459500265;1217.478100293;156.907255087513;946.226953452135;114.343891753357;956.502573737694;92.8656586768322;767.991931763119;95.6449832977423;260.975526555311;64.0415964106808;178.235021689016;18.6989084556144;69.2239970865368;10.6863027466591;106.554070197129;37.7747317298695;18.84312653741;14.9810374189289;2.91226083877786;162.713455136993;48.8534963664897;401.399691644835;244.837218573198;201.504353223566;84.9563777379619;73.2135076099606;452.726549980338;167.31439667086;285.412153309478;185.744876308578;80.8968010159807;104.848075292597;124.537601172008;142.444072499752;1217.478100293;3.88301445170382;57.6123613819825;119.340273925412;262.598070260474;377.440951660019;374.709900948199;956.502573737694;3.88301445170382;52.2525532063573;112.790858720764;222.96438785312;289.152714816482;275.459044689267;968.182546962842;899.393692794112;68.7888541687296;150.569122628095;143.291215696348;42.5361584322342;100.755057264113;7.27790693174741;739.466211474268;92.7245223366648;28.7620215866795;5.34630484075706;33.0946325557424;23.486948178771;45.3019059899586;0.0;390.94787551931;577.234671443532;467.591843297314;87.7502471022366;20.9218274310551;0.970753612925954;968.182546962842;12.2162311429012;24.7879818675173;0.970753612925954;20.0960578435495;868.306983669333;41.8045388266141
37003;37;370030104;H;0;1251.21441902806;283.511690565149;680.920210198326;286.782518264586;907.052761114405;160.438626215031;602.266417914953;144.347716984421;723.769711910078;133.863425580295;474.863078158639;115.043208171143;183.283049204327;26.5752006347358;127.403339756314;29.3045088132774;47.7790401705117;0.999977413343786;64.414745027378;39.0586109890575;18.4453453369911;5.97802849703007;6.607301770015;147.830031116682;60.598768967724;276.060253836588;180.287904734369;109.628841349874;78.6460927031219;54.0008684060463;344.161657913656;145.92035663196;198.241301281696;92.2143102280106;38.3384269915856;53.875883236425;103.354283433101;148.593064252545;904.052828874374;6.607301770015;43.0322991642296;78.9740414587098;164.296552876712;306.159290340602;295.252746284205;725.769666736766;6.607301770015;39.7286482792221;76.2996638466872;131.741917488114;242.229402229855;229.162733122871;738.72772104239;661.531460426109;77.1962606162811;153.272231995193;143.740172845589;42.8831163155741;100.857056530014;9.53205914960423;464.60127979866;108.461358439376;11.303423524096;13.1544969546053;64.0109017093723;43.250541040088;32.9457421628493;0.999977413343786;283.411992764094;455.315728278296;338.030293053015;103.24063429107;14.0448009342098;0.0;739.727698455734;13.3179861064972;94.8251995400681;20.9371889916777;18.3484149298525;573.853362520904;18.4455463667344
37003;37;370030105;H;0;1513.2946170086;262.640967026914;862.203124447605;388.450525534081;1065.71306041327;66.6632241693779;819.966239527272;179.083596716625;982.818974916919;57.0100958916009;764.446194103794;161.362684921524;82.894085496355;9.65312827777698;55.5200454234774;17.7209117951006;11.8498889299017;2.110221549682;23.9077070812534;10.0168466529699;18.7349885763765;11.8046875913284;4.46974511484321;39.8089877246586;38.908942784912;304.052737361429;171.730516525015;198.996518133634;176.955555886956;135.25980199667;447.581556595325;201.08980845864;246.491748136685;182.78241491639;81.1547476999575;101.627667216432;165.866107732283;98.9330339466521;1059.71319593321;7.04478875769236;80.0235318719477;245.285487647478;329.080505838165;211.46023677716;179.209488670494;976.819110436857;7.04478875769236;80.0235318719477;239.700100523756;311.361269692142;182.112393338087;156.577026253232;1063.85252155763;941.315964416922;122.536557140711;140.583571229987;115.907329679345;25.020338777854;90.8869909014914;24.6762415506419;770.993012674654;75.6497801267436;10.9941695480519;6.12874091402915;77.5502611534435;63.5384765497587;58.9980805909526;0.0;361.512281988724;702.340239568909;480.850867719123;174.848078136098;43.6748488742436;2.96644483944417;1080.85213758448;38.6727161766826;50.8004569776503;31.2647425708459;8.00010940619037;877.042211201622;75.071901251487
37004;37;370040000;Z;0;244.126980903803;35.8121324413695;152.249504793909;56.0653436685248;188.439290305586;15.2903159510031;144.092389771363;29.0565845832201;175.252153710077;12.2075047848416;134.989591884299;28.0550570409359;13.1871365955097;3.08281116616153;9.10279788706397;1.00152754228422;0.0;1.02379037834504;8.11271037590618;2.02531792062925;2.02531792062925;0.0;0.0;16.1136130610594;10.1602897800725;79.8458633604474;34.5313855085176;22.4032200443121;16.2926960226115;9.09222252856579;55.6876905982167;30.3477858640379;25.3399047341788;20.5218164903664;13.3324037796983;7.18941271066809;23.0134771016242;12.1523970062261;207.490802250287;10.0718435484536;10.2385223621661;14.9681670795706;45.5687354900125;75.9497280055779;40.3427388272228;192.132097601582;10.0718435484536;10.2385223621661;14.9681670795706;40.5610977785915;75.9497280055779;40.3427388272228;176.242732041422;148.821667354423;27.4210646869993;38.5047771856269;34.4312626049029;6.07656560755781;28.3546969973451;4.07351458072401;122.513699922181;18.2066970874622;6.0648821877298;0.0;2.03638815704995;11.1845723460791;16.2364923409202;0.0;29.5142778096672;146.728454231755;132.438192009785;3.09400376580165;11.1962584561681;0.0;192.132097601582;10.1265896031463;0.0;0.0;4.95289165672841;172.044978630287;5.00763771142108
37006;37;370060000;Z;0;1647.31371879481;232.032815043058;997.96725232881;417.313651422939;1300.74374405332;98.6015548708094;972.071894483951;230.070294698565;1215.08986810494;78.6820488363025;923.269104699408;213.138714569233;85.6538759483806;19.9195060345069;48.8027897845422;16.9315801293315;5.97585181035216;3.9839012069011;26.8913331465846;19.9195060345075;15.9356048276057;7.96780241380286;4.97987650862679;62.7464440086983;52.7866909914438;377.474639353915;274.8891832762;250.985776034791;152.38422116398;129.476789224297;346.569974741482;158.360072974334;188.209901767148;121.479556551544;58.7625428017954;62.7170137497489;165.331900086416;59.7585181035218;1294.76789224297;19.9195060345074;109.557283189789;149.396295258803;403.369997198772;373.490738147014;234.054195905461;1185.21060905318;19.9195060345074;109.557283189789;129.476789224296;378.470614655638;343.611479095253;204.1749368537;1226.04559642392;1083.6211282772;142.424468146727;197.203109741622;180.27152961229;29.8792590517609;150.39227056053;16.9315801293313;967.092017975329;73.702172327677;10.955728318979;4.97987650862679;26.8913331465842;88.6418018535578;51.7907156897187;1.99195060345073;157.364097672609;1068.68149875131;1021.87065957022;15.9356048276054;30.8752343534858;0.0;1205.13011508769;64.7383946121483;34.8591355603882;4.97987650862667;14.9396295258806;1045.77406681163;39.8390120690149
37007;37;370070000;Z;0;98.0;13.0;54.0;31.0;69.0;4.0;52.0;13.0;61.0;4.0;48.0;9.0;8.0;0.0;4.0;4.0;1.0;0.0;1.0;1.0;5.0;0.0;0.0;5.0;5.0;27.0;9.0;16.0;4.0;3.0;29.0;12.0;17.0;9.0;2.0;7.0;16.0;4.0;70.0;5.0;5.0;0.0;15.0;30.0;15.0;55.0;5.0;5.0;0.0;10.0;20.0;15.0;64.0;45.0;19.0;12.0;9.0;4.0;5.0;3.0;35.0;5.0;2.0;2.0;1.0;10.0;8.0;1.0;13.0;51.0;43.0;0.0;8.0;0.0;60.0;0.0;0.0;0.0;0.0;60.0;0.0
