IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
2A0040902;94;2A;2A501;2A004;Ajaccio;2A0081;2A00409;H;1;1075;1018;14;43;712;363;16;126;262;414;200;8;24;121;221;266;241;136;977;2;5;48;674;134;112;644;1;5;37;423;117;60;332;1;0;12;251;17;51;95;164;179;580;703;248;16;67;2.0;140.0;647.0;730;964;1004;59
2A0040903;94;2A;2A501;2A004;Ajaccio;2A0081;2A00409;H;1;1711;1608;56;47;570;1141;102;275;545;491;195;35;119;270;522;351;183;129;1472;9;49;34;885;213;282;534;9;11;27;357;65;65;938;0;38;7;528;148;217;221;427;286;674;667;910;453;31;8.0;520.0;922.0;1042;1492;1550;124
2A0060000;94;2A;2A000;2A006;Alata;ZZZZZZ;2A00600;Z;5;1472;1303;143;26;1322;139;12;63;169;510;548;16;23;60;143;312;362;387;1297;34;25;71;576;299;293;1191;31;19;65;524;286;265;97;2;6;6;47;12;24;120;195;221;767;1066;164;1;73;4.0;170.0;627.0;1020;1263;1295;36
2A0080000;94;2A;2A000;2A008;Albitreccia;ZZZZZZ;2A00800;Z;5;1678;751;785;142;902;767;41;112;189;173;236;32;62;131;110;101;129;186;675;47;15;36;217;200;159;462;40;10;25;129;150;107;205;7;6;11;87;43;52;106;140;130;375;523;183;1;44;13.0;91.0;505.0;538;722;717;33
2A0110000;94;2A;2A000;2A011;Altagène;ZZZZZZ;2A01100;Z;5;65;25;38;1;40;25;0;2;5;8;10;0;1;3;7;8;2;6;23;15;0;0;2;4;2;15;10;0;0;2;2;1;8;5;0;0;0;2;1;1;5;5;15;21;2;0;3;0.0;1.0;14.0;10;23;25;1
2A0140000;94;2A;2A000;2A014;Ambiegna;ZZZZZZ;2A01400;Z;5;37;26;11;0;33;2;0;5;7;5;9;2;2;4;3;10;2;3;25;12;1;3;4;3;2;22;11;1;2;4;3;1;2;1;0;1;0;0;0;1;2;2;21;23;2;0;1;0.0;1.0;12.0;10;24;26;6
2A0170000;94;2A;2A105;2A017;Appietto;ZZZZZZ;2A01700;Z;5;1183;735;441;7;1018;155;10;64;142;196;323;10;32;71;92;159;178;192;713;26;16;37;300;171;161;643;25;15;34;273;154;141;62;1;1;3;27;13;16;89;117;113;416;555;128;0;53;3.0;97.0;420.0;606;707;729;28
2A0180000;94;2A;2A000;2A018;Arbellara;ZZZZZZ;2A01800;Z;5;139;74;65;0;93;46;2;9;19;31;14;0;7;8;20;15;10;15;66;23;3;9;8;13;11;48;11;3;6;7;11;11;19;13;0;3;1;2;0;11;18;12;34;53;20;0;1;0.0;16.0;28.0;34;69;72;2
2A0190000;94;2A;2A000;2A019;Arbori;ZZZZZZ;2A01900;Z;5;85;35;46;4;76;8;1;5;10;15;5;0;2;4;20;5;4;1;34;25;0;4;2;2;2;32;23;0;4;2;2;2;2;2;0;0;0;0;0;1;5;9;21;31;1;0;3;0.0;0.0;19.0;6;27;34;1
2A0210000;94;2A;2A000;2A021;Argiusta-Moriccio;ZZZZZZ;2A02100;Z;5;142;40;97;5;115;27;0;5;11;12;12;0;2;13;8;11;2;4;40;8;7;7;11;7;0;37;5;7;7;11;7;0;3;3;0;0;0;0;0;4;4;5;27;30;5;0;5;0.0;8.0;8.0;20;31;40;0
