IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
731170000;73;73109;73117;ZZZZZZ;7311700;Z;676;76;117;115;126;134;108;95;387;194;570;5;25;20;80;105;70;210;55;575;101;137;676;0
731190000;73;73000;73119;ZZZZZZ;7311900;Z;103;19;16;17;20;22;8;23;60;20;81;0;0;0;10;25;5;30;10;101;2;3;103;0
731200000;73;73000;73120;ZZZZZZ;7312000;Z;576;116;82;107;119;107;45;148;317;110;441;10;25;26;102;25;86;120;46;538;38;41;576;0
731210000;73;73401;73121;ZZZZZZ;7312100;Z;1898;342;311;347;422;290;186;457;1081;360;1530;0;36;109;202;300;249;410;226;1801;97;133;1846;52
731220000;73;73000;73122;ZZZZZZ;7312200;Z;401;67;39;85;114;68;27;88;239;74;317;5;24;34;96;29;38;72;19;400;1;14;401;0
731230000;73;73000;73123;ZZZZZZ;7312300;Z;403;56;43;72;91;89;53;70;227;106;340;0;67;0;62;52;41;82;36;390;13;18;403;0
731240000;73;73401;73124;ZZZZZZ;7312400;Z;3013;504;386;508;623;714;278;670;1644;698;2517;5;139;249;368;318;224;875;338;2913;100;166;3005;8
731280000;73;73601;73128;ZZZZZZ;7312800;Z;4545;889;675;902;1058;750;272;1145;2662;739;3641;5;189;453;682;557;458;891;406;4383;162;273;4531;14
731290000;73;73000;73129;ZZZZZZ;7312900;Z;1242;245;199;249;273;199;77;326;734;182;982;5;70;55;150;195;170;257;80;1215;27;58;1242;0
731300000;73;73401;73130;ZZZZZZ;7313000;Z;2119;391;277;413;461;388;189;516;1180;423;1735;0;126;96;231;251;282;493;256;2044;75;136;2107;12
731310000;73;73000;73131;ZZZZZZ;7313100;Z;307;47;35;40;99;54;32;60;185;62;249;0;15;20;40;25;41;98;10;298;9;11;307;0
731320000;73;73000;73132;ZZZZZZ;7313200;Z;757;131;120;135;194;118;59;177;451;129;606;54;55;25;108;69;60;168;68;749;8;12;757;0
731330000;73;73000;73133;ZZZZZZ;7313300;Z;352;70;58;66;84;54;20;99;199;54;305;15;20;35;50;35;30;70;50;352;0;3;352;0
731350000;73;73000;73135;ZZZZZZ;7313500;Z;1074;203;136;179;245;211;100;254;589;231;875;0;36;60;132;162;71;318;96;1050;24;36;1074;0
731370000;73;73601;73137;ZZZZZZ;7313700;Z;3984;438;1309;595;634;560;448;835;2339;810;3490;10;60;335;530;530;240;925;860;3770;214;317;3618;366
731380000;73;73301;73138;ZZZZZZ;7313800;Z;503;74;61;78;116;126;48;93;290;120;420;5;40;25;55;75;65;125;30;496;7;10;503;0
731390000;73;73000;73139;ZZZZZZ;7313900;Z;267;37;34;42;78;52;23;53;162;51;217;5;15;30;55;10;20;60;20;262;5;7;267;0
731400000;73;73000;73140;ZZZZZZ;7314000;Z;293;46;45;50;81;52;19;70;170;52;265;20;10;46;51;26;20;26;66;285;8;9;293;0
731410000;73;00270;73141;ZZZZZZ;7314100;Z;671;140;109;126;161;92;43;176;392;103;548;5;25;56;117;86;76;116;66;652;19;37;671;0
731420000;73;73000;73142;ZZZZZZ;7314200;Z;825;162;113;216;175;115;44;206;521;98;645;15;50;25;165;140;75;125;50;794;31;37;825;0
731450000;73;00360;73145;ZZZZZZ;7314500;Z;454;97;56;100;107;68;26;130;252;72;351;0;40;20;45;60;30;96;59;435;19;25;454;0
731460000;73;73000;73146;ZZZZZZ;7314600;Z;764;150;110;171;149;116;68;188;439;137;617;19;25;54;99;79;85;197;59;742;22;30;761;3
731470000;73;73000;73147;ZZZZZZ;7314700;Z;205;37;27;43;47;37;14;49;119;37;170;5;10;15;25;25;10;70;10;203;2;3;205;0
731490000;73;73000;73149;ZZZZZZ;7314900;Z;318;63;26;68;81;52;27;75;180;63;241;10;25;15;80;15;20;60;15;313;5;8;318;0
731500000;73;73201;73150;ZZZZZZ;7315000;Z;3638;684;514;826;893;508;213;861;2284;492;2921;17;256;197;665;479;408;605;295;3508;130;144;3632;6
