IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
090010000;76;09;09000;09001;ZZZZZZ;0900100;Z;5;37;10;5;21;21;10;5;5;5;10;5;0;0
090020000;76;09;09000;09002;ZZZZZZ;0900200;Z;5;280;59;16;206;215;91;10;114;125;36;45;10;0
090030000;76;09;09000;09003;ZZZZZZ;0900300;Z;5;202;54;5;143;143;57;15;71;86;36;21;0;0
090040000;76;09;09000;09004;ZZZZZZ;0900400;Z;5;64;25;0;39;39;15;0;25;25;10;5;0;0
090050000;76;09;09000;09005;ZZZZZZ;0900500;Z;5;78;44;0;34;34;10;10;15;15;15;5;0;0
090060000;76;09;09000;09006;ZZZZZZ;0900600;Z;5;24;9;0;14;14;5;0;9;9;5;0;0;0
090070000;76;09;09000;09007;ZZZZZZ;0900700;Z;5;30;5;0;25;25;10;0;15;15;5;5;0;0
090080000;76;09;09000;09008;ZZZZZZ;0900800;Z;5;67;34;0;34;34;5;14;14;24;0;5;5;0
090090000;76;09;09000;09009;ZZZZZZ;0900900;Z;5;109;36;0;73;73;36;16;21;26;16;26;5;0
090110000;76;09;09000;09011;ZZZZZZ;0901100;Z;5;41;25;0;15;15;5;5;5;5;5;5;0;0
090120000;76;09;09000;09012;ZZZZZZ;0901200;Z;5;10;5;0;5;5;5;0;0;0;0;5;0;0
090130000;76;09;09000;09013;ZZZZZZ;0901300;Z;5;31;10;10;10;10;5;0;5;5;5;0;0;0
090140000;76;09;09000;09014;ZZZZZZ;0901400;Z;5;96;35;5;56;56;10;10;35;40;10;5;0;0
090150000;76;09;09201;09015;ZZZZZZ;0901500;Z;5;328;104;0;224;224;78;40;106;117;35;63;9;0
090160000;76;09;09000;09016;ZZZZZZ;0901600;Z;5;90;24;9;57;57;19;5;33;38;5;5;9;0
090170000;76;09;09000;09017;ZZZZZZ;0901700;Z;5;65;35;0;30;30;10;0;20;25;0;0;5;0
090180000;76;09;09000;09018;ZZZZZZ;0901800;Z;5;38;14;0;24;24;9;5;9;9;0;14;0;0
090190000;76;09;09000;09019;ZZZZZZ;0901900;Z;5;256;85;0;171;171;70;10;90;100;30;25;10;5
090200000;76;09;09000;09020;ZZZZZZ;0902000;Z;5;26;5;0;21;21;5;0;16;16;5;0;0;0
090210000;76;09;09000;09021;ZZZZZZ;0902100;Z;5;58;12;0;47;47;23;6;17;17;12;12;6;0
090220000;76;09;09000;09022;ZZZZZZ;0902200;Z;5;93;20;5;69;69;25;15;29;29;20;15;5;0
090230000;76;09;09000;09023;ZZZZZZ;0902300;Z;5;55;20;0;35;35;10;5;20;25;5;5;0;0
090240000;76;09;09000;09024;ZZZZZZ;0902400;Z;5;111;43;0;69;69;27;5;37;42;16;11;0;0
090250000;76;09;09000;09025;ZZZZZZ;0902500;Z;5;35;20;0;15;15;5;0;10;15;0;0;0;0
090260000;76;09;09000;09026;ZZZZZZ;0902600;Z;5;65;25;0;40;40;15;10;15;25;10;5;0;0
090270000;76;09;09000;09027;ZZZZZZ;0902700;Z;5;41;20;0;20;20;5;5;10;10;5;5;0;0
090290000;76;09;09000;09029;ZZZZZZ;0902900;Z;5;83;39;0;44;49;20;5;25;29;15;5;0;0
090300000;76;09;09000;09030;ZZZZZZ;0903000;Z;5;239;102;5;132;132;38;19;75;89;15;5;19;4
090310000;76;09;09000;09031;ZZZZZZ;0903100;Z;5;25;10;0;15;15;5;5;5;5;5;0;5;0
090320000;76;09;09000;09032;ZZZZZZ;0903200;Z;5;642;296;15;331;331;89;79;163;178;99;44;5;5
090330000;76;09;09000;09033;ZZZZZZ;0903300;Z;5;21;15;0;5;5;0;5;0;0;5;0;0;0
090340000;76;09;09000;09034;ZZZZZZ;0903400;Z;5;17;11;0;6;6;6;0;0;0;6;0;0;0
090350000;76;09;09000;09035;ZZZZZZ;0903500;Z;5;116;45;0;70;70;25;15;30;40;20;5;5;0
090370000;76;09;09000;09037;ZZZZZZ;0903700;Z;5;20;5;0;15;15;0;5;10;10;5;0;0;0
090380000;76;09;09000;09038;ZZZZZZ;0903800;Z;5;174;60;5;109;109;64;0;45;64;25;15;5;0
090390000;76;09;09000;09039;ZZZZZZ;0903900;Z;5;160;60;0;100;100;55;15;30;40;35;20;0;5
090400000;76;09;09000;09040;ZZZZZZ;0904000;Z;5;114;30;0;84;84;45;5;35;35;15;25;10;0
090410000;76;09;09000;09041;ZZZZZZ;0904100;Z;5;90;36;0;54;54;18;22;13;13;22;18;0;0
090420000;76;09;09000;09042;ZZZZZZ;0904200;Z;5;436;157;25;254;263;69;69;125;140;65;44;10;5
090430000;76;09;09000;09043;ZZZZZZ;0904300;Z;5;354;159;5;190;190;54;20;116;131;25;29;5;0
090440000;76;09;09000;09044;ZZZZZZ;0904400;Z;5;66;20;0;46;46;20;10;15;20;15;10;0;0
090450000;76;09;09000;09045;ZZZZZZ;0904500;Z;5;96;29;0;68;68;19;5;43;48;10;10;0;0
090460000;76;09;09000;09046;ZZZZZZ;0904600;Z;5;40;15;0;25;25;0;15;10;20;5;0;0;0
090470000;76;09;09000;09047;ZZZZZZ;0904700;Z;5;510;180;10;320;320;95;55;170;205;70;30;10;5
090480000;76;09;09000;09048;ZZZZZZ;0904800;Z;5;41;21;0;21;21;5;5;10;10;5;0;5;0
090490000;76;09;09000;09049;ZZZZZZ;0904900;Z;5;81;25;0;56;56;20;10;25;41;5;10;0;0
090500000;76;09;09401;09050;ZZZZZZ;0905000;Z;5;190;45;5;140;140;70;0;70;75;25;35;5;0
090510000;76;09;09000;09051;ZZZZZZ;0905100;Z;5;73;24;0;48;53;15;10;29;39;5;5;5;0
090520000;76;09;09000;09052;ZZZZZZ;0905200;Z;5;71;20;5;46;46;25;0;20;20;15;5;5;0
090530000;76;09;09000;09053;ZZZZZZ;0905300;Z;5;10;5;0;5;5;5;0;0;0;5;0;0;0
090540000;76;09;09000;09054;ZZZZZZ;0905400;Z;5;159;67;0;91;91;43;0;48;53;24;10;5;0
090550000;76;09;09000;09055;ZZZZZZ;0905500;Z;5;51;25;0;25;25;5;5;15;15;5;5;0;0
