INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
05003;05;050030000;Z;397.0;48.1313216195569;35.5753246753247;52.2063414670681;114.416031546308;80.9657828906964;65.7051978010455;58.5946524064171;220.707594481643;117.69775311194;358.227100465855;0.0;20.9266615737204;26.1583269671505;20.7646122620171;73.2433155080214;25.6721790320406;149.770731287167;41.6912738357375;385.490336134454;11.5096638655462;23.8387917733938;322.270588235294;74.7294117647057
05004;05;050040000;Z;917.0;140.047239459258;112.086472652193;163.224108422515;195.512604194752;206.163832550327;99.9657427209556;180.30826176884;490.932405799105;245.759332432055;778.767295322212;34.4205638854192;34.8317626119918;25.1246324456785;143.536908882902;129.277566915696;49.9776696338023;297.094274771337;64.5039161753859;910.075145968749;6.92485403125064;11.8816871912367;917.0;0.0
05006;05;050060000;Z;2255.0;358.505390804337;307.58252451234;373.742226438684;537.655110362362;405.532637788075;271.982110094202;471.545832996073;1270.71941208756;512.734754916368;1868.88905460968;9.97433278495532;73.0407056100982;114.735302450865;344.647278101745;357.634065682567;248.824043094025;527.574699014203;192.458627871222;2044.1709618529;210.8290381471;263.167607036204;2189.00894520433;65.991054795674
05009;05;050090000;Z;99.0;4.0;14.0;8.0;22.0;31.0;20.0;11.0;44.0;44.0;80.0;0.0;5.0;5.0;0.0;5.0;10.0;55.0;0.0;99.0;0.0;1.0;99.0;0.0
05010;05;050100000;Z;803.0;116.0;89.0;117.0;156.0;193.0;132.0;159.0;382.0;262.0;705.0;60.0;25.0;5.0;70.0;70.0;80.0;300.0;95.0;773.0;30.0;44.0;789.0;14.0
05011;05;050110000;Z;419.0;81.92302807779;56.5060265473824;89.965771769821;104.368993189411;66.5016539349213;19.7345264806747;107.06443994752;245.438857736961;66.4967023155185;333.957870098439;20.9725912419451;26.1711766504904;10.4225482131054;36.517475452515;52.1132352967623;67.9382394191978;77.9537940086053;41.8688098158173;415.870698037708;3.12930196229235;3.1242269655709;419.0;0.0
05012;05;050120000;Z;620.0;112.720859022634;76.1360188135336;120.642853202025;116.699493800086;133.485227789962;60.3155473717604;140.406684045737;326.332498862085;153.260817092178;504.277527206521;0.0;19.7755893022165;9.88779465110826;113.709638487745;118.653535813299;39.551178604433;163.148611743286;39.551178604433;600.224410697783;19.7755893022165;28.674604488214;616.998386229155;3.0016137708445
05013;05;050130000;Z;127.0;13.0735294117647;14.0073529411765;22.4117647058824;32.6838235294118;32.6838235294118;12.1397058823529;19.6102941176471;79.375;28.0147058823529;112.058823529412;0.0;0.0;14.0073529411765;14.0073529411765;14.0073529411765;14.0073529411765;42.0220588235294;14.0073529411765;120.463235294118;6.53676470588235;9.33823529411765;127.0;0.0
05017;05;050170000;Z;2562.0;569.11949861643;341.377517721291;527.724119276189;570.019641890521;385.899578233628;167.859644261941;711.5464551991;1464.0008963877;386.452648413201;2102.44891331901;10.396589188227;91.9252612956372;101.612070644594;399.032680191428;437.9916785577;292.93567772628;510.393689207496;258.161266507643;2507.47280794365;54.5271920563544;122.162863742064;2562.0;0.0
05018;05;050180000;Z;325.0;69.0;24.0;61.0;69.0;74.0;28.0;78.0;183.0;64.0;250.0;5.0;20.0;20.0;40.0;20.0;20.0;95.0;30.0;321.0;4.0;14.0;325.0;0.0
