IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
560010000;56;00452;56001;ZZZZZZ;5600100;Z;3854;702;511;637;842;736;426;908;2038;908;3154;60;140;144;404;418;488;1037;464;3792;62;80;3663;191
560020000;56;56000;56002;ZZZZZZ;5600200;Z;1817;300;231;310;420;372;183;401;1019;397;1490;51;60;85;216;219;210;525;124;1799;18;31;1800;17
560030101;56;56202;56003;ZZZZZZ;5600301;H;2181;248;184;211;457;603;478;342;957;882;1937;10;104;208;228;100;65;995;227;2167;14;37;2122;59
560030102;56;56202;56003;ZZZZZZ;5600301;H;3159;498;468;422;674;697;400;734;1577;848;2694;10;124;331;389;301;103;959;476;3127;33;51;3090;69
560040000;56;56000;56004;ZZZZZZ;5600400;Z;1656;336;231;314;296;368;111;428;868;360;1365;35;45;55;135;190;305;425;175;1636;20;30;1639;17
560050000;56;56102;56005;ZZZZZZ;5600500;Z;2073;116;137;218;360;767;475;165;887;1021;1955;0;127;51;102;231;164;1132;148;2055;18;32;2056;17
560060000;56;56000;56006;ZZZZZZ;5600600;Z;1547;315;224;301;261;305;140;392;818;337;1219;55;35;35;121;222;222;403;126;1517;30;36;1547;0
560070101;56;56401;56007;ZZZZZZ;5600701;H;4523;802;823;843;935;692;429;1104;2579;841;3726;14;109;302;506;641;552;975;626;4320;203;277;4519;4
560070102;56;56401;56007;ZZZZZZ;5600701;H;2492;489;427;453;536;375;211;663;1384;445;2002;3;58;112;218;346;341;509;415;2274;217;205;2452;40
560070103;56;56401;56007;ZZZZZZ;5600701;A;1481;274;259;303;242;234;169;350;823;308;1209;9;47;83;174;208;149;380;159;1452;28;46;1344;137
560070104;56;56401;56007;ZZZZZZ;5600701;H;2453;308;376;304;531;611;323;480;1262;712;2159;13;98;216;281;246;193;807;306;2396;58;82;2418;35
560070105;56;56401;56007;ZZZZZZ;5600701;H;2678;200;581;360;365;534;637;315;1377;985;2483;4;91;145;322;310;233;1067;311;2652;26;50;2380;298
560080000;56;56000;56008;ZZZZZZ;5600800;Z;4340;654;441;633;988;1151;473;890;2251;1199;3635;25;240;330;495;405;190;1500;450;4302;38;80;4309;31
560090000;56;56000;56009;ZZZZZZ;5600900;Z;999;174;107;169;222;224;103;225;514;260;815;15;60;75;75;110;115;270;95;995;4;10;999;0
560100000;56;56204;56010;ZZZZZZ;5601000;Z;6261;1119;903;1094;1378;1067;700;1496;3360;1405;5217;80;296;231;753;798;869;1557;633;6160;101;152;6161;100
560110000;56;56000;56011;ZZZZZZ;5601100;Z;1404;224;129;237;252;420;142;283;695;426;1175;30;40;50;100;140;180;495;140;1358;46;54;1395;9
560120000;56;56000;56012;ZZZZZZ;5601200;Z;1863;470;401;429;264;209;89;554;1085;224;1424;10;56;241;208;294;167;272;175;1812;51;67;1672;191
560130000;56;56217;56013;ZZZZZZ;5601300;Z;3711;502;402;523;799;883;602;645;1919;1147;3267;34;146;167;277;455;348;1478;361;3695;16;39;3618;93
560140000;56;56000;56014;ZZZZZZ;5601400;Z;1531;292;212;313;296;276;143;384;836;311;1249;15;50;15;173;204;288;331;174;1497;34;42;1488;43
560150000;56;56000;56015;ZZZZZZ;5601500;Z;1904;505;254;458;323;253;111;618;1012;274;1405;15;50;95;285;230;245;320;165;1889;15;25;1904;0
560170000;56;56000;56017;ZZZZZZ;5601700;Z;2791;491;401;499;586;601;213;653;1549;589;2254;75;106;30;292;267;433;791;261;2745;46;63;2742;49
560180000;56;56000;56018;ZZZZZZ;5601800;Z;959;152;140;195;184;190;98;194;546;219;815;10;55;80;135;55;70;270;140;951;8;23;860;99
560190000;56;56000;56019;ZZZZZZ;5601900;Z;353;53;45;51;100;63;41;65;198;90;305;16;5;5;63;37;47;95;37;348;5;6;353;0
560200000;56;56000;56020;ZZZZZZ;5602000;Z;830;213;119;197;162;103;35;278;459;92;620;5;15;10;162;108;108;128;84;817;13;19;830;0
560210000;56;56000;56021;ZZZZZZ;5602100;Z;1429;383;179;356;213;227;71;457;769;203;1012;5;25;61;187;198;157;261;117;1427;2;12;1429;0
560220000;56;56000;56022;ZZZZZZ;5602200;Z;1280;281;172;268;286;169;104;350;727;202;972;15;45;15;140;215;190;212;140;1271;9;14;1280;0
560230000;56;56401;56023;ZZZZZZ;5602300;Z;6637;1274;980;1267;1424;1116;575;1746;3636;1255;5334;80;275;375;869;872;567;1508;788;6552;85;130;6352;285
560240000;56;56000;56024;ZZZZZZ;5602400;Z;2305;349;306;385;478;484;303;492;1231;582;1948;50;91;30;161;277;352;654;333;2204;101;119;2012;293
560250000;56;56000;56025;ZZZZZZ;5602500;Z;186;35;20;27;38;42;24;40;94;52;150;15;0;5;20;5;5;80;20;176;10;10;186;0
560260000;56;56000;56026;ZZZZZZ;5602600;Z;2374;343;273;363;492;482;420;452;1190;731;2030;120;45;50;174;284;334;850;174;2312;62;69;2310;64
560270000;56;56000;56027;ZZZZZZ;5602700;Z;534;126;56;108;105;79;59;151;279;104;409;26;21;11;21;57;77;170;27;523;11;13;526;8
560280000;56;56000;56028;ZZZZZZ;5602800;Z;1630;281;206;264;333;390;156;356;863;411;1339;31;72;31;133;169;251;446;205;1597;33;40;1630;0
560290000;56;56000;56029;ZZZZZZ;5602900;Z;1206;291;183;320;230;133;50;368;712;127;930;20;25;56;193;152;152;199;132;1194;12;24;1206;0
560300000;56;56000;56030;ZZZZZZ;5603000;Z;1007;169;125;171;212;243;87;213;555;238;817;25;60;15;75;141;151;295;55;1000;7;15;1000;7
560310000;56;56107;56031;ZZZZZZ;5603100;Z;3030;628;334;623;592;585;267;782;1613;634;2361;10;179;109;328;353;418;751;214;2978;52;59;3030;0
560320000;56;56000;56032;ZZZZZZ;5603200;Z;1903;397;267;385;381;333;139;493;1078;332;1518;10;56;81;212;268;273;379;239;1888;15;24;1870;33
560330000;56;56000;56033;ZZZZZZ;5603300;Z;3165;474;350;478;729;678;457;595;1690;880;2690;97;77;102;251;312;568;1024;259;3109;56;67;3064;101
560340101;56;56215;56034;ZZZZZZ;5603401;H;2039;255;199;288;497;547;254;343;1097;599;1757;25;119;79;129;244;174;719;268;2019;20;32;2029;10
560340102;56;56215;56034;ZZZZZZ;5603401;H;2212;208;205;262;428;578;531;278;1000;934;2087;15;140;100;195;300;143;996;199;2199;13;35;2212;0
560350000;56;56000;56035;ZZZZZZ;5603500;Z;1151;228;144;211;262;184;122;288;623;240;880;50;30;50;75;150;170;295;60;1127;24;24;1151;0
560360101;56;56210;56036;ZZZZZZ;5603601;H;2351;427;365;370;415;400;374;555;1128;669;1846;5;59;74;238;282;183;658;346;2289;62;74;2248;103
560360102;56;56210;56036;ZZZZZZ;5603601;H;1865;300;244;253;463;466;140;414;1012;440;1629;20;129;114;208;198;163;564;233;1808;58;60;1863;2
560360103;56;56210;56036;ZZZZZZ;5603601;H;2622;419;340;388;707;526;242;564;1530;528;2262;20;64;173;332;361;272;673;367;2610;11;35;2410;212
560390000;56;56000;56039;ZZZZZZ;5603900;Z;980;208;134;193;206;165;73;263;550;167;746;10;10;20;90;100;210;215;90;950;30;36;980;0
