IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
971010101;971;9A701;97101;971031;9710101;H;3176;506;521;520;786;502;340;725;1819;632;2675;5;125;127;300;438;280;634;767;3070;105;114;3115;61
971010102;971;9A701;97101;971031;9710101;H;2261;533;410;393;500;277;148;741;1199;321;1724;0;48;22;220;453;201;328;452;2161;100;127;2183;78
971010103;971;9A701;97101;971051;9710101;H;3431;601;641;653;673;490;373;858;1918;655;2839;7;101;108;335;613;264;669;742;3122;309;293;3419;12
971010104;971;9A701;97101;971011;9710101;H;1594;383;329;292;333;206;50;509;915;170;1211;2;65;7;129;317;181;184;324;1498;96;114;1594;0
971010105;971;9A701;97101;971011;9710101;H;858;170;220;123;173;150;22;259;496;103;687;2;12;21;70;183;79;120;201;800;58;48;858;0
971010106;971;9A701;97101;971011;9710101;H;1385;365;265;248;246;225;36;449;781;155;1020;5;53;25;141;259;108;175;254;1246;138;123;1385;0
971010107;971;9A701;97101;971021;9710101;H;2140;406;471;350;428;358;126;592;1214;334;1734;2;84;25;241;359;189;327;505;2004;135;163;2140;0
971010108;971;9A701;97101;971021;9710101;H;2871;725;617;532;565;318;114;973;1602;297;2152;0;76;38;205;545;272;299;717;2581;290;235;2864;8
971010109;971;9A701;97101;971021;9710101;H;2198;339;312;368;440;366;373;459;1114;625;1861;0;83;56;271;342;108;651;350;2113;85;92;1917;281
971010110;971;9A701;97101;971031;9710101;H;3107;753;505;568;579;465;237;984;1615;508;2354;13;93;77;304;475;240;560;593;3023;85;89;3107;0
971010111;971;9A701;97101;971031;9710101;H;2660;703;560;448;590;249;111;954;1448;258;1957;2;81;41;187;480;239;249;677;2353;307;243;2660;0
971010112;971;9A701;97101;971041;9710101;H;3919;631;563;603;1018;705;399;865;2235;818;3288;5;121;95;291;711;406;800;858;3776;143;121;3919;0
971010113;971;9A701;97101;971041;9710101;H;2799;434;440;420;703;521;281;649;1538;613;2365;2;67;33;245;454;338;611;614;2747;52;48;2799;0
971010114;971;9A701;97101;971071;9710101;H;2794;387;771;431;506;439;260;678;1594;523;2407;5;67;34;176;346;289;522;969;2478;316;322;2794;0
971010115;971;9A701;97101;971061;9710101;H;1844;208;431;317;403;292;194;418;1029;397;1637;5;51;71;293;247;133;382;455;1684;160;142;1743;101
971010116;971;9A701;97101;971071;9710101;H;3477;799;686;605;658;466;262;1060;1877;539;2676;5;135;39;138;510;291;507;1049;2795;681;641;3475;2
971010117;971;9A701;97101;971071;9710101;H;1361;326;217;254;207;207;150;385;713;262;1032;2;45;17;75;158;139;258;338;990;371;299;1333;28
971010118;971;9A701;97101;971061;9710101;H;3166;714;635;677;601;339;201;991;1769;407;2452;5;96;181;462;499;204;410;596;3031;135;136;3145;21
971010119;971;9A701;97101;971051;9710101;H;1651;279;209;265;332;384;182;380;853;418;1372;0;88;23;119;199;148;442;353;1521;130;118;1651;0
971010120;971;9A701;97101;971061;9710101;H;2756;449;435;455;664;511;242;612;1574;569;2307;2;147;134;303;388;285;554;493;2602;153;146;2756;0
971010121;971;9A701;97101;971051;9710101;H;1778;287;289;301;488;269;143;392;1110;276;1491;3;75;46;181;300;245;296;346;1698;80;101;1778;0
971010122;971;9A701;97101;971041;9710101;H;2265;485;435;327;563;309;145;669;1260;336;1779;0;108;32;222;392;240;321;465;2159;105;81;2265;0
971020101;971;9A103;97102;ZZZZZZ;9710201;D;1446;199;239;179;365;267;197;298;783;365;1245;20;50;15;105;230;120;330;375;1427;19;19;1446;0
971020102;971;9A103;97102;ZZZZZZ;9710201;D;2829;431;396;389;748;595;270;638;1548;643;2405;70;95;60;265;405;315;720;475;2807;22;25;2829;0
971030101;971;9A701;97103;971081;9710301;H;2923;535;448;489;733;517;201;755;1642;527;2388;13;124;178;355;453;221;504;541;2836;88;97;2923;0
971030102;971;9A701;97103;971081;9710301;H;7949;1837;1219;1665;1921;976;331;2396;4682;871;6126;16;414;749;1259;1168;451;911;1157;7765;184;267;7936;13
971030103;971;9A701;97103;971081;9710301;H;3217;702;587;637;706;455;129;972;1847;398;2515;11;130;238;431;608;180;440;477;3128;88;102;3217;0
971030104;971;9A701;97103;971091;9710301;H;4343;813;629;836;932;864;268;1135;2415;794;3530;6;175;285;567;627;269;884;717;4237;105;136;4343;0
