DEP;IRIS;COM;DISP_TP6018;DISP_Q118;DISP_MED18;DISP_Q318;DISP_EQ18;DISP_GI18;DISP_PACT18;DISP_PTSA18;DISP_PCHO18;DISP_PBEN18;DISP_PPEN18;DISP_PPAT18;DISP_PPSOC18;DISP_PPFAM18;DISP_PPMINI18;DISP_PPLOGT18
62;620410101;62041;29,6;12450.0;16510.0;22010.0;0,58;0,247;68,1;62,2;3,4;2,5;25,9;3,1;15,8;4,6;7,4;3,8
62;620410102;62041;55,0;9380.0;12540.0;16550.0;0,57;0,238;49,9;;;;23,0;2,0;33,0;6,8;17,8;8,4
62;620410103;62041;16,3;14780.0;19620.0;24530.0;0,50;0,218;62,0;56,9;2,9;2,2;41,4;5,1;6,2;3,0;2,1;1,1
62;620410201;62041;42,6;10760.0;14200.0;20360.0;0,68;0,304;71,6;62,8;4,8;4,0;17,9;3,4;21,1;6,2;9,5;5,4
62;620410202;62041;;10810.0;14530.0;19910.0;0,63;0,245;57,5;51,1;4,3;2,1;28,5;4,3;21,1;6,2;9,4;5,5
62;620410301;62041;29,8;12500.0;16670.0;21880.0;0,56;0,226;60,0;53,9;4,5;1,6;36,0;3,5;13,3;3,5;6,0;3,8
62;620410401;62041;20,2;14290.0;20680.0;28760.0;0,70;0,309;82,6;72,9;2,8;6,9;21,9;7,8;7,5;2,7;3,0;1,8
62;620410501;62041;;20250.0;29150.0;40990.0;0,71;0,333;80,8;63,7;2,3;14,8;28,5;14,9;2,6;0,9;1,1;0,6
62;620410601;62041;13,3;16590.0;22650.0;30810.0;0,63;0,286;75,8;68,8;2,6;4,4;30,3;8,4;5,3;1,2;2,5;1,6
62;620410701;62041;22,6;13640.0;19080.0;27080.0;0,70;0,317;78,7;66,6;3,7;8,4;24,5;6,8;8,8;1,9;4,3;2,6
62;620410801;62041;19,4;14870.0;22660.0;31970.0;0,76;0,340;78,1;66,0;3,4;8,7;28,0;11,1;5,6;1,0;2,8;1,8
62;620410901;62041;36,5;11420.0;15300.0;21680.0;0,67;0,311;70,9;63,3;4,6;3,0;22,9;5,1;16,4;4,1;7,6;4,7
62;620411001;62041;17,4;15500.0;22640.0;31880.0;0,72;0,296;74,8;66,4;2,8;5,6;29,7;7,9;6,4;1,7;2,8;1,9
62;620411101;62041;27,6;12540.0;17480.0;23700.0;0,64;0,268;68,1;62,1;3,0;3,0;28,3;4,9;12,9;4,8;5,1;3,0
62;620411201;62041;20,0;14310.0;20520.0;27490.0;0,64;0,293;73,2;67,5;3,0;2,7;29,7;6,4;8,3;2,2;3,9;2,2
62;620411301;62041;16,7;15840.0;21650.0;28580.0;0,59;0,257;83,8;78,2;2,8;2,8;21,4;5,8;6,6;1,7;2,9;2,0
62;620480101;62048;28,5;12450.0;16070.0;20580.0;0,51;0,215;60,7;54,6;3,4;2,7;33,7;2,7;14,4;4,4;6,4;3,6
62;620480102;62048;33,6;12000.0;15540.0;20390.0;0,54;0,217;55,4;50,0;3,4;2,0;34,6;3,5;16,9;5,4;7,4;4,1
62;620480103;62048;38,9;10750.0;14600.0;19680.0;0,61;0,255;58,3;51,7;4,2;2,4;28,0;5,3;20,5;6,0;8,8;5,7
