INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
01004;01;10040101;20.5;14280;19400;25320;0.57;0.241;69.1;63.3;3.1;2.7;27.7;6.9;9.9;3.4;4.3;2.2
01004;01;10040102;26.0;13010;17490;23370;0.59;0.242;68.8;62.1;4.2;2.5;25.6;5.5;12.7;4.0;5.6;3.1
01004;01;10040201;18.7;14500;19670;26010;0.59;0.256;70.5;62.7;3.2;4.6;28.9;7.2;8.1;2.9;3.2;2.0
01004;01;10040202;9.0;18450;24310;31050;0.52;0.322;71.0;64.6;2.5;3.9;23.0;20.1;4.3;2.0;1.5;0.8
01033;01;10330102;21.3;14000;20050;28350;0.72;0.321;76.2;69.4;4.2;2.6;24.4;7.3;5.9;1.7;2.6;1.6
01033;01;10330103;15.8;16190;23560;33820;0.75;0.313;82.3;76.7;4.0;1.6;20.8;7.3;4.2;1.6;1.6;1.0
01033;01;10330201;14.8;16810;23780;34250;0.73;0.321;78.8;72.4;3.3;3.1;25.9;6.6;3.8;1.6;1.3;0.9
01033;01;10330202;22.8;13420;18860;26260;0.68;0.294;70.3;64.6;3.9;1.8;29.7;4.0;8.8;3.1;3.7;2.0
01033;01;10330301;17.3;14580;20210;28580;0.69;0.298;82.1;77.6;3.6;0.9;19.8;4.2;6.1;3.1;1.8;1.2
01033;01;10330401;6.8;20530;27730;39470;0.68;0.294;84.7;79.5;2.5;2.7;19.8;8.3;2.6;1.2;0.9;0.5
01053;01;10530101;20.1;14340;19760;28130;0.7;0.33;74.5;65.9;3.2;5.4;23.2;12.1;8.0;1.6;4.2;2.2
01053;01;10530102;16.3;15180;20850;27950;0.61;0.269;55.8;50.5;2.7;2.6;43.1;11.0;6.7;1.5;3.3;1.9
01053;01;10530103;19.3;15220;21740;31230;0.74;0.358;65.1;55.7;3.2;6.2;32.8;16.5;6.0;1.5;2.8;1.7
01053;01;10530201;16.0;15090;20120;26780;0.58;0.287;66.2;60.7;2.9;2.6;33.0;10.0;7.2;2.0;3.4;1.8
01053;01;10530202;29.8;12310;16910;23110;0.64;0.276;65.3;57.6;4.8;2.9;27.7;7.4;13.1;4.0;5.9;3.2
01053;01;10530203;17.5;15030;20420;26500;0.56;0.256;69.4;63.8;3.0;2.6;30.3;7.5;8.0;2.4;3.7;1.9
01053;01;10530301;10.9;17280;23090;30840;0.59;0.288;72.2;66.0;2.6;3.6;31.5;10.7;5.3;1.2;2.8;1.3
01053;01;10530302;21.8;13850;19520;25890;0.62;0.297;67.9;61.2;3.1;3.6;32.4;7.3;8.6;2.5;3.9;2.2
01053;01;10530401;20.8;14080;19330;26700;0.65;0.267;64.3;56.9;2.8;4.6;35.4;6.9;8.2;3.3;3.1;1.8
01053;01;10530402;8.9;17670;22830;28870;0.49;0.23;67.2;61.5;3.3;2.4;37.0;6.9;5.4;2.1;2.1;1.2
01053;01;10530501;;17910;23310;30270;0.53;0.288;56.1;50.1;1.6;4.4;46.6;11.3;4.2;1.3;1.9;1.0
01053;01;10530502;19.6;14530;20390;28410;0.68;0.305;62.6;55.2;2.5;4.9;36.7;11.7;6.6;2.6;2.6;1.4
