INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POPH;P19_H0014;P19_H1529;P19_H3044;P19_H4559;P19_H6074;P19_H75P;P19_H0019;P19_H2064;P19_H65P;P19_POPF;P19_F0014;P19_F1529;P19_F3044;P19_F4559;P19_F6074;P19_F75P;P19_F0019;P19_F2064;P19_F65P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
58001;58;580010000;Z;160.0;21.2295487836579;11.1202398390589;20.218617889198;24.2201693402305;43.3435120813544;39.8679120665004;81.6323696904093;15.1639634168985;6.06558536675939;10.109308944599;13.1210155645751;26.1787729389397;10.9937234586376;17.1858252058183;37.3622709682092;27.0842735163819;78.3676303095907;6.06558536675939;5.05465447229949;10.109308944599;11.0991537756553;17.1647391424147;28.8741886078627;8.08744715567919;32.3287025593132;37.9514805945983;25.2732723614975;69.6909735275224;65.0357541109802;140.792313005262;5.05465447229949;5.05465447229949;0.0;15.1639634168985;5.05465447229949;5.05465447229949;95.3004227545665;10.109308944599;154.987517654508;5.01248234549241;6.02341323995231;125.355430913027;34.6445690869726
58002;58;580020000;Z;905.0;138.852013057671;116.20239390642;153.623503808487;176.273122959739;228.465723612622;91.5832426550598;456.931447225245;73.8574537540805;60.0707290533188;79.766050054407;87.6441784548422;117.187159956474;38.4058759521219;94.5375408052231;246.191512513602;116.20239390642;448.068552774755;64.9945593035909;56.1316648531012;73.8574537540805;88.6289445048966;111.278563656148;53.177366702938;82.7203482045702;244.221980413493;121.126224156692;177.257889009793;490.413492927095;237.328618063112;782.889009793254;19.6953210010881;9.84766050054407;39.3906420021763;73.8574537540805;128.019586507073;128.019586507073;290.50598476605;93.5527747551687;881.365614798694;23.6343852013058;30.5277475516866;905.0;0.0
58003;58;580030000;Z;607.0;67.0;60.0;80.0;125.0;182.0;93.0;299.0;28.0;33.0;42.0;68.0;91.0;37.0;46.0;162.0;91.0;308.0;39.0;27.0;38.0;57.0;91.0;56.0;50.0;142.0;116.0;96.0;304.0;207.0;530.0;20.0;30.0;15.0;55.0;40.0;85.0;235.0;50.0;581.0;26.0;36.0;606.0;1.0
58004;58;580040000;Z;377.0;50.3318260307853;38.0023843449405;46.6718403564245;90.7127953982514;90.9325367266104;60.3486171429879;189.735593079743;26.6861084036494;18.0831614988767;23.4299381745735;47.6561908332704;50.5045447507448;23.3756494186282;36.9188180104368;93.8504731460244;58.9663019232817;187.264406920257;23.645717627136;19.9192228460637;23.241902181851;43.056604564981;40.4279919758656;36.9729677243597;35.2044734944877;89.8212417534588;62.2386916723105;72.1232915049245;183.671714899483;121.204993595592;342.638756163896;0.0;19.7624118362489;10.5435675342252;33.4890824127117;42.7072302831914;47.7213145655184;126.601918461657;61.8132310703438;363.241290634321;13.7587093656791;17.8066367299089;377.0;0.0
58005;58;580050000;Z;224.0;27.0246415849902;26.0943398421235;37.0206132004692;48.326494554769;50.6265441112473;34.9073667064008;113.999055993204;15.3919477810599;13.632448752553;21.5098171565567;27.7046231772489;23.8400672197753;11.9201519060097;23.1467687415635;63.059263621567;27.7930236300731;110.000944006796;11.6326938039303;12.4618910895705;15.5107960439125;20.62187137752;26.786476891472;22.9872148003911;20.2761379665324;48.8949105749504;40.8298954653136;43.4229067080959;111.954174196517;68.6229190953867;191.955514893269;5.03739330319927;0.0;9.84438509410189;9.54497912303195;34.3448426618452;24.4244457044582;89.2905981491181;19.4688708575145;219.053598787437;4.94640121256341;8.77982463098864;224.0;0.0
58006;58;580060000;Z;244.0;26.2166666666667;27.225;30.25;62.5;60.5;37.3083333333333;128.05;13.1083333333333;17.1416666666667;15.125;35.2833333333333;31.2583333333333;16.1333333333333;23.1916666666667;66.5416666666667;38.3166666666667;115.95;13.1083333333333;10.0833333333333;15.125;27.2166666666667;29.2416666666667;21.175;16.1333333333333;58.475;41.3416666666667;39.325;125.016666666667;79.6583333333333;221.833333333333;0.0;5.04166666666667;10.0833333333333;20.1666666666667;25.2083333333333;30.25;75.625;55.4583333333333;229.883333333333;14.1166666666667;12.1;242.0;2.00000000000001
58007;58;580070000;Z;340.0;71.8213260199618;39.2371871488369;68.4297704372147;58.9253607671627;80.5646482584388;21.0217073683852;181.522780790401;42.4744172271255;20.1060655046955;34.1878163212341;32.9628322591041;40.7832049522601;11.0084445259822;49.5284046240412;95.1578142186625;36.8365619476977;158.477219209599;29.3469087928363;19.1311216441414;34.2419541159805;25.9625285080586;39.7814433061787;10.013262842403;35.3989076252486;88.245454828937;34.8328567554129;84.9273122492899;183.4032690476;71.6694187031106;275.610874837851;15.1666644342897;4.94255385507969;10.0527824092576;20.1400539734412;35.3039713891997;75.1133013417871;94.7855278659762;20.1060195688202;340.0;0.0;4.01439703283983;340.0;0.0
58009;58;580090000;Z;128.0;19.456;4.096;15.36;22.528;38.912;27.648;62.464;10.24;2.048;5.12;15.36;16.384;13.312;12.288;28.672;21.504;65.536;9.216;2.048;10.24;7.168;22.528;14.336;9.216;30.72;25.6;21.504;59.392;47.104;97.28;0.0;0.0;10.24;20.48;15.36;5.12;40.96;5.12;126.976;1.024;6.144;128.0;0.0
58010;58;580100000;Z;683.0;82.89534217746;81.8460340486308;84.9939584351164;136.310464880304;172.086533127888;124.867667330601;332.580880904957;40.9230170243158;43.0216332819726;39.8737088954866;71.3031568266377;89.1911909504296;48.2681739261149;60.8598714720593;154.198499004097;117.522510428801;350.419119095043;41.9723251531443;38.8244007666582;45.1202495396298;65.007308053666;82.8953421774581;76.5994934044864;61.9091796008878;158.395731519411;130.114207974744;122.769051072947;312.594230523507;247.636718403546;592.361133451086;20.9861625765717;67.7070690367919;20.9861625765716;41.9723251531435;99.6842722387161;68.205028373859;215.108166409859;57.711947085573;648.47242361607;34.5275763839302;40.8234251569017;683.0;0.0
58011;58;580110000;Z;283.0;52.9917204691792;26.9993439483691;47.9962470370341;70.0031869131361;57.0058350028067;28.0036666294748;148.000845477956;28.9959248832073;12.9994685160134;22.9985632926092;34.0015570551433;35.0036571843526;14.0016745466297;32.9954357300909;82.0018254559653;33.0035842918993;134.999154522044;23.9957955859719;13.9998754323557;24.9976837444249;36.0016298579928;22.0021778184541;14.0019920828451;28.9950783327708;76.0004425015497;30.003633687724;61.9905140628617;158.002267957515;63.0072179796233;230.009972441346;0.0;9.99983540325053;9.99983540325053;40.0035748691792;15.0002822478966;44.9997884016488;65.0079260005129;44.9987301156072;279.99994353922;3.00005646078038;6.0001129103597;283.0;0.0
