IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
263620502;84;26;00651;26362;260171;2636205;H;1;1626;846;29;751;758;227;78;453;498;110;113;25;12
263620503;84;26;00651;26362;260171;2636205;H;1;1985;994;46;945;945;323;200;422;485;222;152;68;18
263620504;84;26;00651;26362;260171;2636205;H;1;1187;616;22;549;549;166;165;218;256;116;104;54;19
263620601;84;26;00651;26362;260181;2636206;H;1;1870;763;34;1073;1074;463;129;481;529;193;211;117;25
263620602;84;26;00651;26362;260181;2636206;H;1;1065;376;9;680;683;274;81;328;389;103;100;71;20
263620701;84;26;00651;26362;260191;2636207;H;1;975;327;26;623;629;332;108;189;226;103;132;113;56
263620702;84;26;00651;26362;260191;2636207;H;1;1064;329;13;722;732;323;162;247;320;124;125;106;57
263620801;84;26;00651;26362;260181;2636208;H;1;1197;459;5;733;736;336;105;295;368;119;123;84;42
263620802;84;26;00651;26362;260191;2636208;H;2;610;128;17;465;472;281;84;107;166;62;81;101;63
263620803;84;26;00651;26362;260191;2636208;H;2;639;220;9;410;410;200;99;112;128;60;72;95;57
263630000;84;26;26000;26363;ZZZZZZ;2636300;Z;5;15;5;0;10;10;5;0;5;5;0;5;0;0
263640000;84;26;26000;26364;ZZZZZZ;2636400;Z;5;151;52;5;93;93;43;5;45;51;19;19;5;0
263650000;84;26;26000;26365;ZZZZZZ;2636500;Z;5;260;80;0;180;185;75;10;100;110;30;35;10;0
263670000;84;26;26000;26367;ZZZZZZ;2636700;Z;5;301;92;5;204;204;83;5;116;136;20;29;19;0
263680000;84;26;26000;26368;ZZZZZZ;2636800;Z;5;170;52;10;108;108;51;15;41;57;15;15;10;10
263690000;84;26;26000;26369;ZZZZZZ;2636900;Z;5;34;20;0;15;15;0;0;15;15;0;0;0;0
263700000;84;26;26000;26370;ZZZZZZ;2637000;Z;5;61;20;0;41;41;15;0;25;25;5;10;0;0
263710000;84;26;26000;26371;ZZZZZZ;2637100;Z;5;20;5;0;15;15;5;5;5;5;5;0;5;0
263720000;84;26;26000;26372;ZZZZZZ;2637200;Z;5;26;11;0;16;16;0;5;11;11;0;5;0;0
263730000;84;26;26000;26373;ZZZZZZ;2637300;Z;5;115;37;0;78;78;31;16;31;47;16;10;5;0
263740000;84;26;26000;26374;ZZZZZZ;2637400;Z;5;5;5;0;0;0;0;0;0;0;0;0;0;0
263750000;84;26;26000;26375;ZZZZZZ;2637500;Z;5;11;6;0;6;6;0;0;6;6;0;0;0;0
263760000;84;26;26000;26376;ZZZZZZ;2637600;Z;5;66;31;0;36;36;0;5;31;31;0;5;0;0
263770000;84;26;26000;26377;ZZZZZZ;2637700;Z;5;530;162;5;362;368;97;49;222;238;49;54;27;0
263780000;84;26;26000;26378;ZZZZZZ;2637800;Z;5;10;5;0;5;5;0;5;0;0;0;5;0;0
263790000;84;26;26000;26379;ZZZZZZ;2637900;Z;5;393;92;0;301;301;112;31;158;168;51;66;15;0
263800000;84;26;26000;26380;ZZZZZZ;2638000;Z;5;230;60;5;165;165;95;5;65;65;50;35;10;5
263810000;84;26;26000;26381;ZZZZZZ;2638100;Z;5;330;60;0;270;275;110;40;125;135;35;75;25;5
263820000;84;26;26000;26382;ZZZZZZ;2638200;Z;5;214;49;5;161;161;78;10;73;78;29;44;5;5
