IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
460010000;46;46101;46001;ZZZZZZ;4600100;Z;525;59;52;63;127;151;73;75;291;159;461;10;25;30;40;50;35;231;40;478;47;61;524;1
460020000;46;46000;46002;ZZZZZZ;4600200;Z;70;9;9;12;12;20;9;12;40;18;53;14;5;0;10;5;0;19;0;70;0;0;70;0
460030000;46;46000;46003;ZZZZZZ;4600300;Z;720;121;81;98;180;158;81;160;381;178;610;36;42;21;78;68;57;224;83;687;33;42;720;0
460040000;46;46000;46004;ZZZZZZ;4600400;Z;214;35;26;45;44;45;19;46;123;45;155;0;0;5;30;30;25;60;5;209;5;6;214;0
460050000;46;46102;46005;ZZZZZZ;4600500;Z;326;44;38;39;73;91;40;57;165;104;289;10;15;29;20;24;54;117;20;308;18;23;326;0
460060000;46;46000;46006;ZZZZZZ;4600600;Z;365;67;46;67;83;68;34;86;213;66;286;0;24;15;44;29;34;116;24;340;25;26;365;0
460070000;46;46000;46007;ZZZZZZ;4600700;Z;994;159;114;156;216;194;155;204;509;281;844;5;35;30;147;96;132;328;71;972;22;45;934;60
460080000;46;46000;46008;ZZZZZZ;4600800;Z;195;21;12;30;37;59;36;30;92;74;177;0;0;15;25;15;5;103;15;166;29;32;195;0
460090000;46;46000;46009;ZZZZZZ;4600900;Z;651;104;71;101;129;129;117;143;300;207;515;5;20;25;49;69;70;223;54;638;13;19;610;41
460100000;46;46000;46010;ZZZZZZ;4601000;Z;364;69;33;68;74;96;24;87;186;91;271;0;15;30;30;44;30;113;10;347;17;18;364;0
