INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
39001;39;390010000;Z;5;338.466324520557;74.6456253384216;0.0;263.820699182136;263.820699182136;117.782401811776;40.5027027714472;105.535594598912;110.561099103622;55.7275700094778;61.402471604308;36.1295584647272;0.0
39006;39;390060000;Z;5;191.090156242261;56.1290692230562;5.04485147456992;129.916235544635;129.916235544635;59.3454515550737;4.98771482015198;65.583069169409;65.583069169409;29.8697993811403;24.7126159416737;9.75075105241164;0.0
39009;39;390090000;Z;5;220.88511062408;61.4717671254162;4.96861742813456;154.444726070529;154.444726070529;70.4219328234473;24.5487825104092;59.4740107366726;88.8375201026537;19.4262745097119;28.0458767872255;18.1350546709379;0.0
39010;39;390100000;Z;5;40.4347826086956;10.1086956521739;0.0;30.3260869565217;30.3260869565217;10.1086956521739;5.05434782608696;15.1630434782609;20.2173913043478;5.05434782608696;5.05434782608696;0.0;0.0
39011;39;390110000;Z;5;189.044825633946;62.964113668193;0.0;126.080711965753;130.924105324844;38.7471468727341;9.68678671818353;82.4901717339266;87.3335650930184;24.2169667954588;9.68678671818353;9.68678671818353;0.0
39013;39;390130000;Z;5;1604.68494175783;720.535279282977;9.81467531697328;874.334987157876;874.334987157876;257.997484283087;131.802635542366;484.534867332423;596.183316750785;121.215011423423;113.642087291307;30.5833374476529;12.7112342447091
39016;39;390160000;Z;5;490.993344510122;192.986761938511;0.0;298.006582571611;298.006582571611;95.7756558311596;29.1486876667954;173.082239073656;191.986324008448;29.3139074885798;53.0347951183439;14.2682621419069;9.40329381433216
39017;39;390170000;Z;5;544.515050167224;171.421404682274;10.0836120401338;363.010033444816;363.010033444816;146.21237458194;45.376254180602;171.421404682274;176.463210702341;100.836120401338;70.5852842809364;15.1254180602007;0.0
39018;39;390180000;Z;5;216.705865545108;55.3709515324992;0.0;161.334914012609;161.334914012609;70.5706521984726;20.2345869748332;70.5296748393033;80.5372354582669;30.3587513403461;30.2249598853981;20.213967328598;0.0
39022;39;390220000;Z;5;324.124749371446;91.5231848692204;10.1387919736894;222.462772528536;227.456722681296;90.68883647826;30.3860163133821;106.381869889654;131.668176062923;30.3556567056961;45.3820052010406;15.0419357576821;5.00894895395379
39025;39;390250000;Z;5;140.820925150354;59.2380977583069;5.01690409721067;76.5659232948362;76.5659232948362;36.4306905171508;0.0;40.1352327776853;49.4826833003645;14.0211757840187;13.062064210453;0.0;0.0
39026;39;390260000;Z;5;81.3483146067416;25.4213483146067;0.0;55.9269662921348;55.9269662921348;25.4213483146067;0.0;30.5056179775281;30.5056179775281;10.1685393258427;15.252808988764;0.0;0.0
39030;39;390300000;Z;5;370.0;110.0;10.0;250.0;250.0;95.0;20.0;135.0;150.0;30.0;55.0;10.0;5.0
39032;39;390320000;Z;5;145.0;25.0;0.0;120.0;120.0;50.0;5.0;65.0;65.0;30.0;25.0;0.0;0.0
39041;39;390410000;Z;5;79.0123456790123;29.6296296296296;4.93827160493827;44.4444444444444;44.4444444444444;14.8148148148148;9.87654320987654;19.7530864197531;24.6913580246914;14.8148148148148;4.93827160493827;0.0;0.0
39042;39;390420000;Z;5;201.098340437746;47.5974993101519;0.0;153.500841127595;153.500841127595;76.8083014091689;10.2256719624568;66.4668677559689;76.5226068171562;29.8273513810229;28.6717089469364;18.4791739824791;0.0
39043;39;390430000;Z;5;619.6480355114;206.549345170467;4.91784155167777;408.180848789255;408.180848789255;157.370929653689;83.6033063785222;167.206612757044;186.877978963755;88.5211479301999;98.3568310335555;24.5892077583889;9.83568310335555
39047;39;390470000;Z;5;235.009952026415;74.515593785061;0.0;160.494358241354;160.494358241354;69.4885609379536;4.82806541633635;86.1777318870636;95.8338627197363;28.5089220465796;23.2213861788048;8.75905304447426;4.17113425175854
39050;39;390500000;Z;5;78.0246913580247;19.5061728395062;0.0;58.5185185185185;58.5185185185185;19.5061728395062;9.75308641975309;29.2592592592593;34.1358024691358;14.6296296296296;4.87654320987654;4.87654320987654;0.0
39056;39;390560000;Z;5;808.768016472209;446.047815145282;9.8032486845116;352.916952642415;357.818576984671;117.638984214137;44.114619080302;196.064973690232;205.868222374743;73.5243651338366;49.016243422557;19.6064973690227;9.80324868451116
39059;39;390590000;Z;5;726.520803384043;229.511725403169;15.1298111304506;481.879266850423;486.727867654074;224.077857646244;50.4893342430753;212.160675764755;227.248014039026;125.586956148754;99.4167736585023;34.4761238077915;0.0
39063;39;390630000;Z;5;107.68148032227;35.1566614184384;0.0;72.5248189038315;72.5248189038315;31.7128440454383;0.0;40.8119748583933;45.9757704257397;0.0;10.4719790093911;10.6183855405299;5.45868392817082
39068;39;390680000;Z;5;144.757609540834;48.5146399654757;0.0;96.2429695753582;96.2429695753582;31.2819883041114;14.4955722153037;50.4654090559431;60.2364656163921;4.72451565485471;27.1411880487727;4.14080025533866;0.0
39078;39;390780000;Z;5;299.935906081271;79.115857157786;9.97342357330733;210.846625350178;210.846625350178;75.9503644960745;35.0339633854073;99.8622974686958;109.878048001614;45.1343678375462;45.5174660887063;5.11477352227614;5.2019699000352
39083;39;390830000;Z;5;145.0;45.0;5.0;95.0;95.0;40.0;5.0;50.0;55.0;15.0;20.0;5.0;0.0
