IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
2A2790000;2A;2A000;2A279;ZZZZZZ;2A27900;Z;127;13;6;26;29;29;24;17;72;38;114;4;21;8;10;9;8;40;12;125;2;4;127;0
2A2820000;2A;2A000;2A282;ZZZZZZ;2A28200;Z;146;7;13;19;24;40;42;9;57;80;139;5;11;4;9;11;9;77;13;139;7;9;146;0
2A2840000;2A;2A000;2A284;ZZZZZZ;2A28400;Z;363;34;31;52;82;110;53;46;190;127;329;13;19;13;36;53;31;130;33;344;19;23;363;0
2A2850000;2A;2A000;2A285;ZZZZZZ;2A28500;Z;78;2;5;6;15;30;20;2;32;44;76;2;2;7;2;8;2;47;6;78;0;1;78;0
2A2880000;2A;2A000;2A288;ZZZZZZ;2A28800;Z;1371;207;201;250;308;264;140;286;779;306;1164;11;111;52;152;217;101;338;183;1280;91;122;1371;0
2A2950000;2A;2A000;2A295;ZZZZZZ;2A29500;Z;110;17;13;18;38;15;8;23;74;12;93;3;3;9;16;16;10;17;17;108;2;3;110;0
2A3000000;2A;2A000;2A300;ZZZZZZ;2A30000;Z;1110;167;152;201;264;211;115;222;633;255;943;6;93;44;97;162;128;270;143;950;160;179;1110;0
2A3080000;2A;2A000;2A308;ZZZZZZ;2A30800;Z;424;37;43;51;90;114;89;48;211;166;387;3;21;12;37;66;32;159;57;406;18;23;423;1
2A3100000;2A;2A000;2A310;ZZZZZZ;2A31000;Z;100;17;12;19;17;23;12;21;52;27;83;2;6;3;4;11;10;31;16;95;5;5;100;0
2A3120000;2A;2A000;2A312;ZZZZZZ;2A31200;Z;439;67;47;95;87;88;55;84;252;103;372;7;27;17;31;67;40;127;57;420;19;31;438;1
2A3220000;2A;2A000;2A322;ZZZZZZ;2A32200;Z;110;11;14;15;25;27;17;20;53;37;99;4;5;0;5;19;10;40;15;108;2;2;110;0
2A3230000;2A;2A000;2A323;ZZZZZZ;2A32300;Z;369;54;51;90;93;49;32;69;236;64;315;0;14;12;61;87;28;72;41;362;7;9;369;0
2A3240000;2A;2A000;2A324;ZZZZZZ;2A32400;Z;401;54;41;73;78;95;60;63;207;131;347;12;23;13;41;60;32;132;34;382;19;23;401;0
2A3260000;2A;2A000;2A326;ZZZZZZ;2A32600;Z;125;7;14;16;39;35;14;13;73;39;118;1;10;3;15;20;10;43;17;122;3;3;125;0
2A3300000;2A;2A000;2A330;ZZZZZZ;2A33000;Z;501;67;83;78;130;93;50;102;291;108;434;12;22;27;52;85;42;113;81;492;9;12;501;0
2A3310000;2A;2A000;2A331;ZZZZZZ;2A33100;Z;65;3;8;14;8;12;20;7;31;27;62;1;4;0;3;9;5;31;9;64;1;1;65;0
2A3360000;2A;2A000;2A336;ZZZZZZ;2A33600;Z;444;95;72;92;91;60;35;125;244;76;349;1;17;18;55;75;48;80;56;425;19;23;444;0
2A3450000;2A;2A000;2A345;ZZZZZZ;2A34500;Z;579;111;95;121;114;71;67;148;319;112;468;3;29;19;67;91;51;119;89;563;16;28;579;0
2A3480000;2A;2A000;2A348;ZZZZZZ;2A34800;Z;912;107;118;137;186;221;142;145;479;287;805;15;63;17;76;150;64;309;111;866;46;67;883;29
2A3490000;2A;2A104;2A349;ZZZZZZ;2A34900;Z;814;142;123;156;177;162;54;183;478;153;672;11;66;33;88;140;72;166;96;726;88;87;814;0
2A3510000;2A;2A000;2A351;ZZZZZZ;2A35100;Z;362;47;41;78;88;81;28;56;234;72;315;4;10;41;59;64;30;77;29;358;4;11;362;0
2A3570000;2A;2A000;2A357;ZZZZZZ;2A35700;Z;43;9;4;10;9;9;2;10;25;8;34;2;3;2;3;6;7;7;6;42;1;1;43;0
2A3580000;2A;2A000;2A358;ZZZZZZ;2A35800;Z;59;5;4;9;15;10;16;6;30;23;54;11;0;0;6;9;6;17;5;59;0;0;59;0
2A3590000;2A;2A000;2A359;ZZZZZZ;2A35900;Z;229;15;21;24;55;78;36;21;118;90;214;11;10;2;22;24;10;96;39;229;0;1;229;0
2A3600000;2A;2A000;2A360;ZZZZZZ;2A36000;Z;130;5;9;18;30;40;28;6;68;56;125;6;4;8;12;18;6;61;10;129;1;1;130;0
2A3620000;2A;2A000;2A362;ZZZZZZ;2A36200;Z;2722;511;364;523;568;489;268;638;1512;572;2209;19;177;75;263;413;294;590;380;2331;391;420;2722;0
2A3630000;2A;2A000;2A363;ZZZZZZ;2A36300;Z;54;2;2;6;11;12;20;2;22;30;52;0;4;3;5;4;3;31;2;54;0;0;54;0
