IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
510010000;51;51000;51001;ZZZZZZ;5100100;Z;162;29;29;34;31;27;12;36;96;30;135;0;0;5;30;25;35;30;10;161;1;2;162;0
510020000;51;51000;51002;ZZZZZZ;5100200;Z;1426;220;196;221;321;312;157;299;782;344;1215;71;45;40;146;151;192;449;121;1416;10;35;1357;69
510030000;51;51000;51003;ZZZZZZ;5100300;Z;275;56;37;57;58;43;25;67;153;55;204;0;0;0;45;40;50;60;10;274;1;2;275;0
510040000;51;51000;51004;ZZZZZZ;5100400;Z;111;16;15;21;25;25;8;23;67;21;92;5;5;10;5;14;14;19;19;110;1;1;111;0
510050000;51;51000;51005;ZZZZZZ;5100500;Z;164;25;30;27;31;32;19;39;87;37;136;5;5;9;9;19;33;33;23;158;6;6;164;0
510060000;51;51000;51006;ZZZZZZ;5100600;Z;142;21;16;16;29;42;17;23;76;43;126;0;10;5;14;14;19;43;19;141;1;2;142;0
510070000;51;51000;51007;ZZZZZZ;5100700;Z;970;210;142;184;218;148;68;263;546;161;770;66;30;61;111;66;142;208;86;965;5;7;970;0
510080000;51;51000;51008;ZZZZZZ;5100800;Z;226;43;24;42;62;44;10;51;138;37;171;15;5;20;40;30;25;20;15;224;2;5;226;0
510090000;51;51000;51009;ZZZZZZ;5100900;Z;879;152;110;162;196;187;73;198;495;186;731;5;31;30;76;135;112;238;103;863;16;29;879;0
510100000;51;51000;51010;ZZZZZZ;5101000;Z;146;23;20;28;38;23;15;30;87;29;115;0;10;5;10;10;26;37;16;143;3;4;142;4
510120000;51;51000;51012;ZZZZZZ;5101200;Z;70;20;6;16;16;9;3;21;42;7;50;10;5;0;10;5;10;10;0;70;0;0;70;0
510130000;51;51000;51013;ZZZZZZ;5101300;Z;100;24;11;31;25;9;0;31;60;9;65;5;5;10;10;10;20;0;5;100;0;0;100;0
510140000;51;51000;51014;ZZZZZZ;5101400;Z;313;50;25;57;69;54;59;59;167;87;262;5;14;20;14;19;34;82;74;309;4;8;258;55
510150000;51;51000;51015;ZZZZZZ;5101500;Z;117;26;18;26;19;22;6;32;65;21;82;5;0;10;10;10;5;36;5;117;0;0;117;0
510160000;51;51000;51016;ZZZZZZ;5101600;Z;244;35;24;29;68;59;30;50;129;65;215;5;10;21;10;31;21;77;41;240;4;5;242;2
510170000;51;51000;51017;ZZZZZZ;5101700;Z;327;49;47;54;90;59;27;73;199;54;292;5;5;10;45;60;55;60;50;326;1;2;327;0
510180000;51;51000;51018;ZZZZZZ;5101800;Z;887;181;105;168;197;116;121;221;467;200;689;0;30;40;120;100;105;228;65;877;10;24;805;82
510190000;51;51000;51019;ZZZZZZ;5101900;Z;238;52;35;50;52;23;25;62;143;33;175;15;5;10;24;34;29;44;15;238;0;1;238;0
510200000;51;51000;51020;ZZZZZZ;5102000;Z;53;14;6;7;15;11;0;17;30;6;45;0;5;5;5;10;5;5;10;53;0;1;53;0
510220000;51;51000;51022;ZZZZZZ;5102200;Z;181;46;15;44;36;26;14;52;101;28;150;5;0;5;10;35;20;65;10;176;5;5;181;0
