INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
35024;35;350240101;7.7;18320;23580;30260;0.51;0.225;85.6;78.5;2.7;4.4;19.6;5.7;6.2;2.5;2.5;1.2
35024;35;350240102;;25980;33070;40940;0.45;0.252;78.2;70.0;2.4;5.8;30.0;13.5;1.8;0.8;0.6;0.4
35024;35;350240103;;18750;24080;31520;0.53;0.243;78.8;72.6;2.6;3.6;23.9;8.5;5.6;1.8;2.6;1.2
35024;35;350240104;;21260;26800;33590;0.46;0.221;71.6;64.9;1.8;4.9;34.5;9.0;2.7;1.5;0.8;0.4
35047;35;350470101;9.7;18310;23810;31310;0.55;0.245;80.8;73.4;2.9;4.5;24.3;7.6;5.0;2.0;1.9;1.1
35047;35;350470102;;18950;24090;31270;0.51;0.26;67.9;61.6;2.0;4.3;34.8;8.3;4.7;1.9;1.8;1.0
35047;35;350470103;;18860;23840;30850;0.5;0.248;71.2;64.2;1.9;5.1;31.9;8.7;6.2;2.0;2.8;1.4
35047;35;350470104;10.1;17410;23040;29620;0.53;0.278;83.3;77.1;2.8;3.4;18.0;10.7;6.2;2.1;2.6;1.5
35047;35;350470105;;21590;29780;39710;0.61;0.344;79.5;71.4;2.4;5.7;20.3;21.8;2.3;1.0;0.6;0.7
35047;35;350470106;;22600;28990;35680;0.45;0.246;87.0;80.7;1.8;4.5;21.0;9.9;2.5;1.3;0.7;0.5
35051;35;350510101;5.5;21390;28780;37610;0.56;0.256;76.7;70.4;2.2;4.1;29.8;11.8;2.7;1.0;1.1;0.6
35051;35;350510102;8.6;19020;26530;37100;0.68;0.315;82.2;71.8;2.3;8.1;24.1;12.8;4.2;1.1;1.9;1.2
35051;35;350510103;7.5;20600;28480;36950;0.57;0.266;78.3;71.2;2.1;5.0;28.4;10.0;3.8;1.1;1.6;1.1
35051;35;350510203;;25550;32130;43140;0.55;0.224;68.7;63.9;1.1;3.7;41.0;11.7;1.5;0.7;0.5;0.3
35051;35;350510204;;19820;26050;33800;0.54;0.241;59.9;54.9;2.2;2.8;45.3;9.7;3.9;1.3;1.7;0.9
35055;35;350550101;;19620;25140;33060;0.53;0.237;72.3;67.5;2.5;2.3;33.1;8.4;4.2;1.2;2.0;1.0
35055;35;350550102;13.2;16430;22310;29440;0.58;0.238;84.8;78.0;3.1;3.7;19.7;5.4;7.2;2.4;3.1;1.7
35055;35;350550103;;19290;26200;33270;0.53;0.262;65.3;58.0;2.3;5.0;36.5;13.2;4.4;1.4;1.9;1.1
35093;35;350930101;;18980;27560;37770;0.68;0.351;43.7;33.4;2.1;8.2;58.0;20.2;2.1;0.4;1.2;0.5
35093;35;350930102;;18710;26740;36750;0.67;0.32;36.5;29.2;2.1;5.2;62.1;21.1;2.2;0.2;1.4;0.6
35093;35;350930103;16.9;15140;20400;27660;0.61;0.263;49.6;43.8;3.3;2.5;49.7;8.6;7.0;1.2;3.8;2.0
35093;35;350930104;8.6;18900;25930;36550;0.68;0.289;52.2;42.8;2.2;7.2;51.0;14.2;2.8;0.8;1.4;0.6
35115;35;351150101;16.0;15360;20410;27250;0.58;0.307;65.7;56.6;2.6;6.5;30.6;12.7;7.4;1.5;3.9;2.0
35115;35;351150102;13.4;15740;19850;24370;0.43;0.214;66.0;60.2;2.9;2.9;32.1;6.1;8.4;1.6;4.7;2.1
35115;35;351150103;;13280;18020;23430;0.56;0.26;62.4;57.1;2.5;2.8;31.5;5.8;12.4;3.8;5.9;2.7
35115;35;351150104;15.7;15440;19130;23740;0.43;0.205;56.5;53.4;2.2;0.9;39.4;7.0;9.1;2.9;4.4;1.8
35115;35;351150105;;16330;19990;25530;0.46;0.23;65.3;59.1;3.0;3.2;32.9;7.0;8.3;1.8;4.5;2.0
35115;35;351150106;30.6;12140;16410;20860;0.53;0.253;52.4;45.5;4.1;2.8;36.5;6.5;15.0;3.7;7.6;3.7
35115;35;351150107;12.0;16040;19850;24490;0.43;0.202;58.2;52.2;3.2;2.8;39.5;6.0;8.2;1.8;4.2;2.2
