IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
660010000;66;66000;66001;ZZZZZZ;6600100;Z;80;8;8;11;29;14;10;14;45;21;65;0;12;6;6;17;6;12;7;78;2;6;72;8
660020000;66;66401;66002;ZZZZZZ;6600200;Z;3601;659;521;590;806;651;375;880;1913;808;2969;10;148;128;410;499;351;888;535;3380;221;390;3552;49
660030000;66;66204;66003;ZZZZZZ;6600300;Z;3460;330;359;403;657;927;785;464;1555;1441;3170;14;123;60;143;513;272;1600;446;3335;125;276;3422;38
660040000;66;66000;66004;ZZZZZZ;6600400;Z;547;71;72;93;135;135;41;95;318;134;510;0;39;20;74;64;59;191;64;520;27;39;547;0
660050000;66;66000;66005;ZZZZZZ;6600500;Z;608;111;69;108;145;110;64;140;340;128;485;10;5;20;96;84;44;183;44;553;55;86;566;42
660060000;66;66000;66006;ZZZZZZ;6600600;Z;166;23;20;19;46;33;26;32;90;44;154;5;5;5;5;20;15;89;10;165;1;6;166;0
660070000;66;66000;66007;ZZZZZZ;6600700;Z;118;20;11;22;20;30;15;22;64;32;94;0;0;5;26;10;10;42;0;107;11;17;118;0
660080101;66;66401;66008;ZZZZZZ;6600801;H;2519;294;283;300;470;751;421;408;1141;970;2226;24;175;66;174;246;161;1046;334;2383;136;242;2383;135
660080102;66;66401;66008;ZZZZZZ;6600801;H;2073;269;293;310;453;457;291;382;1106;585;1804;7;124;46;166;304;206;667;285;1964;109;191;2072;1
660080103;66;66401;66008;ZZZZZZ;6600801;H;2916;330;350;350;630;771;486;497;1402;1017;2587;0;126;107;279;397;162;1161;354;2829;88;191;2916;0
660080104;66;66401;66008;ZZZZZZ;6600801;H;2875;358;300;339;522;830;527;478;1246;1151;2511;10;90;96;224;354;174;1256;307;2719;157;246;2869;6
660090000;66;66204;66009;ZZZZZZ;6600900;Z;2705;368;309;370;612;589;457;509;1378;818;2365;15;110;80;245;360;300;960;295;2536;169;294;2563;142
660100000;66;66000;66010;ZZZZZZ;6601000;Z;38;2;4;2;11;12;7;4;21;13;40;0;0;0;0;10;10;15;5;37;1;2;38;0
660110000;66;66113;66011;ZZZZZZ;6601100;Z;4174;732;480;839;821;842;461;913;2276;985;3447;0;143;193;450;697;346;1167;450;4027;147;309;4171;3
660120000;66;66601;66012;ZZZZZZ;6601200;Z;3217;561;532;554;773;490;307;783;1807;627;2598;5;100;156;406;532;296;717;386;3151;66;209;3217;0
660130000;66;66000;66013;ZZZZZZ;6601300;Z;115;21;18;21;25;21;11;29;64;23;108;10;0;10;5;10;15;29;29;110;5;9;115;0
660140000;66;66105;66014;ZZZZZZ;6601400;Z;2573;435;445;471;619;360;243;605;1493;475;2138;61;31;117;344;374;302;574;336;2494;79;162;2573;0
660150000;66;66000;66015;ZZZZZZ;6601500;Z;1259;194;176;217;297;263;112;272;694;294;1080;15;55;50;229;169;85;348;129;1214;45;79;1259;0
660160101;66;66118;66016;ZZZZZZ;6601601;H;2418;254;276;318;502;676;392;346;1185;887;2175;45;65;100;185;405;165;915;295;2274;144;230;2255;163
660160102;66;66118;66016;ZZZZZZ;6601601;H;2343;271;245;275;434;652;466;369;1021;953;2015;20;70;110;210;260;145;1055;145;2239;104;198;2254;89
660170000;66;66303;66017;ZZZZZZ;6601700;Z;5915;524;654;774;1145;1975;842;724;2996;2195;5397;10;307;179;460;720;396;2630;695;5670;245;452;5642;273
660180000;66;66000;66018;ZZZZZZ;6601800;Z;72;11;3;8;21;18;12;11;37;25;64;10;0;5;5;0;0;35;10;59;13;16;69;3
660190000;66;66000;66019;ZZZZZZ;6601900;Z;221;35;26;42;44;52;22;46;113;62;199;5;0;0;46;36;31;61;20;221;0;4;221;0
660200000;66;66000;66020;ZZZZZZ;6602000;Z;808;136;100;141;218;167;45;194;454;160;677;10;64;54;133;128;20;168;99;779;29;44;808;0
660210101;66;66601;66021;ZZZZZZ;6602101;H;2503;478;417;472;490;384;261;639;1353;510;2039;5;45;124;327;313;273;556;397;2398;104;191;2503;0
660210102;66;66601;66021;ZZZZZZ;6602101;H;2577;350;410;348;590;619;260;542;1378;657;2208;5;64;99;283;377;278;675;427;2454;123;284;2544;33
660210103;66;66601;66021;ZZZZZZ;6602101;H;2175;272;242;265;437;661;298;376;1046;752;1961;0;74;114;233;313;109;820;298;2073;101;213;2070;105
660220000;66;66000;66022;ZZZZZZ;6602200;Z;55;6;7;7;19;11;5;7;37;11;45;0;5;0;10;15;0;10;5;46;9;10;55;0
660230000;66;66000;66023;ZZZZZZ;6602300;Z;935;182;130;218;167;144;94;234;513;188;750;5;10;40;110;125;110;260;90;868;67;100;934;1
