INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_MAISON;P19_APPART;P19_RP_1P;P19_RP_2P;P19_RP_3P;P19_RP_4P;P19_RP_5PP;P19_RP_M30M2;P19_RP_3040M2;P19_RP_4060M2;P19_RP_6080M2;P19_RP_80100M2;P19_RP_100120M2;P19_RP_120M2P;P19_RP_ACHTOT;P19_RP_ACH19;P19_RP_ACH45;P19_RP_ACH70;P19_RP_ACH90;P19_RP_ACH05;P19_RPMAISON_ACHTOT;P19_RPMAISON_ACH19;P19_RPMAISON_ACH45;P19_RPMAISON_ACH70;P19_RPMAISON_ACH90;P19_RPMAISON_ACH05;P19_RPMAISON_ACH15;P19_RPAPPART_ACHTOT;P19_RPAPPART_ACH19;P19_RPAPPART_ACH45;P19_RPAPPART_ACH70;P19_RPAPPART_ACH90;P19_RPAPPART_ACH05;P19_RPAPPART_ACH15;P19_MEN;P19_MEN_ANEM0002;P19_MEN_ANEM0204;P19_MEN_ANEM0509;P19_MEN_ANEM10P;P19_RP_PROP;P19_RP_LOC;P19_RP_LOCHLMV;P19_RP_GRAT;P19_RP_CCCOLL;P19_RP_CCIND;P19_RP_CINDELEC;P19_RP_GARL;P19_RP_VOIT1P;P19_RP_VOIT1;P19_RP_VOIT2P;C19_RP_HSTU1P;C19_RP_HSTU1P_SUROCC;P19_NPER_RP_PROP;P19_NPER_RP_LOC;P19_NPER_RP_LOCHLMV;P19_NPER_RP_GRAT;P19_RP_SDB
2B007;2B;2B0070000;Z;5;329.413156677808;101.453471689844;218.961276370017;8.99840861794592;248.413346506957;80.999810170851;4.18364831710698;8.36729663421397;26.1478019819186;19.8723295062582;42.8823952503466;2.09182415855349;6.27547247566048;15.6886811891512;25.1018899026419;26.1478019819186;15.6886811891512;10.4591207927675;100.407559610568;25.1018899026419;8.36729663421397;7.32138455493722;35.5610106954094;15.6886811891512;77.3974938664792;17.7805053477047;6.27547247566048;7.32138455493722;21.9641536648117;15.6886811891512;8.36729663421397;23.0100657440884;7.32138455493722;2.09182415855349;0.0;13.5968570305977;0.0;0.0;101.453471689844;8.36729663421397;9.41320871349071;10.4591207927675;73.2138455493722;81.5811421835862;17.7805053477047;12.550944951321;2.09182415855349;0.0;25.1018899026419;32.4232744575791;48.1119556467303;83.6729663421397;54.3874281223908;29.2855382197489;98.3157354520141;1.04591207927675;157.932723970789;41.8364831710698;25.1018899026419;5.22956039638373;97.2698233727374
2B009;2B;2B0090000;Z;5;1377.97656682131;935.783333595017;410.388151486119;31.8050817401742;813.20717472676;451.650691063163;10.4496535052332;100.152122321284;248.085632975795;255.78615801976;321.309766772945;32.4223459310237;38.3226478943254;117.232095341533;237.856533374145;212.215362605314;129.4758624238;168.258486024875;900.819813297119;50.7911336712401;26.7948753056365;154.025049220447;327.827610542826;156.625777116804;513.583153212667;28.9659081817402;16.4096754834353;100.138170946684;154.060646838519;110.189328534534;103.819423227754;371.585145031018;16.5575776792025;10.3851998222012;53.8868782737629;165.468522959939;44.3510220835021;80.9359442124109;935.783333595017;146.418439428991;182.572630425435;162.023080218981;444.76918352161;430.62270128167;450.71200965943;72.8762992406493;54.4486226539163;8.27988117414192;82.2112772634534;605.066494345658;644.782533331679;819.72272445736;443.999951360402;375.722773096958;927.355097098541;50.5770228539342;939.476559221458;1001.69371960172;210.528864168834;119.839901119419;902.137932234564
2B010;2B;2B0100000;Z;5;687.748687803912;175.507439614;509.149248703856;3.0919994860558;118.592538188792;567.149022869355;13.2206009835057;37.6042505312068;44.2305091763425;38.644566425465;41.80751249748;8.15722246117254;20.4149577140928;41.2412436438182;34.0889038956062;18.7990627487805;17.9657638688773;34.8402852816525;175.507439614;10.9801341521427;8.09286472211582;31.0773714119194;47.2644010135311;38.9212234582698;57.7832149630277;1.02501595256796;1.00356337288239;10.9985368497144;18.0055635482225;18.8629715063613;7.88756373327916;115.717097905208;9.95511819957472;7.08930134923343;20.078834562205;29.2588374653086;20.0582519519085;29.2767543769773;175.507439614;34.1934823019213;35.2377895182703;34.0101290754158;72.0660387183926;79.8883933400462;68.4723815390212;0.0;27.1466647349326;5.06072202378308;8.02940494601081;129.731162055125;122.133649338223;157.163077818519;93.9239704062684;63.239107412251;164.232264135752;7.80096568046411;177.234255066957;125.232323028001;0.0;51.5334219050423;173.457407708864
2B020;2B;2B0200000;Z;5;625.1209190573;290.62907715093;325.369337127105;9.12250477926463;356.462044003278;266.629145252663;5.22673248016266;40.1014735381589;83.6938444868815;91.769901685304;69.8371249604235;3.10555789274498;30.0424916720937;39.709630994418;80.6875508733582;51.3926248178375;44.6852566520715;41.0059642484066;288.598458526909;77.726555546746;16.3920240329656;18.0489782253983;71.3061544431453;52.383988383429;203.403290700319;65.4253615345147;14.3318126362531;15.9887668286859;41.3510735426848;32.8846288123946;33.4216473457864;83.1654380252294;12.3011940122314;2.06021139671245;2.06021139671245;29.9550809004606;19.4993595710344;17.2893807480782;290.62907715093;48.6508426146186;60.6883362868082;49.8670904754372;131.422807774067;184.40038484748;78.5790431089622;23.8945954464098;27.6496491944883;2.00013702866914;10.9649454723084;191.60644689611;141.797520688822;258.465410891419;130.160542435954;128.304868455465;285.402344670768;11.8850397968386;376.263522984039;175.100322435461;62.7960084509021;46.6361545804997;285.43282626612
2B033;2B;2B0330101;H;1;1051.99459642851;1019.38882109311;7.33041459434969;25.2753607410514;52.9896898776593;994.764465149715;12.6246810979033;104.545591189273;335.338953664276;321.37217944233;245.507415699323;37.1180902515807;75.1273012280009;188.437872970662;310.801304199594;258.587453756195;107.680407818766;41.6363908683081;1019.38882109311;655.969018391734;237.692664907227;101.031399859668;7.87711122987072;16.8186267046058;49.8997391621543;12.6741242819156;18.2663566875373;6.98484446162312;7.87711122987072;4.09730250120757;0.0;965.248640529819;639.054452708686;219.42630821969;94.0465553980446;0.0;12.7213242033982;0.0;1019.38882109311;37.0659628273163;180.484568671408;218.175347314882;583.6629422795;542.14856756449;461.44229875957;0.0;15.7979547690457;58.1502259406106;374.926588905764;550.893389804783;117.496067924522;819.496879269646;537.41649137868;282.080387890966;1009.86665520505;72.9063482803348;1224.35047343542;1182.08713389427;0.0;20.8745747331588;966.15796759849
2B033;2B;2B0330102;H;1;1521.49226100197;1459.96922359879;22.8307699811148;38.6922674220689;3.26080172542769;1514.97065755112;2.16333711341896;100.053144839143;597.454982237497;597.09159821487;163.206161193858;30.2185532362732;49.2052768324732;253.826681422597;532.216566580687;431.346762059474;103.779384403492;59.3759990637908;1459.96922359879;843.21518726845;559.939018671611;45.0170314978427;11.7979861608831;0.0;3.26080172542769;3.26080172542769;0.0;0.0;0.0;0.0;0.0;1453.44762014793;839.954385543022;556.678216946184;45.0170314978427;11.7979861608831;0.0;0.0;1459.96922359879;89.5180326182614;329.719828109834;288.067229627658;752.664133243033;739.52922741573;701.104160591618;3.26080172542769;19.3358355914393;17.8271340536952;667.462223134427;755.765730350073;211.293310758904;1232.27933504493;880.590101086018;351.689233958916;1459.96922359879;67.2240108470163;1619.50390160609;1614.23848670882;13.0432069017108;52.422019083236;1422.68790982776
2B033;2B;2B0330201;H;1;2687.48612220005;2618.05995330743;41.7063168549831;27.71985203764;533.068996965132;2154.41712523492;65.3775687260398;420.777908283328;1118.79182108229;649.858604682583;363.254050533183;13.4657081636612;81.0273046817277;476.207557401815;1133.35026216486;500.303619052443;234.033146933626;179.672354909292;2475.44744601508;33.0113883317439;19.5687067367109;423.918500158845;693.452216707101;337.893153190861;494.28975751142;27.0404263016947;15.637044232668;74.6751841544023;164.783961787771;127.870275964341;84.2828650705431;1981.15768850366;5.97096203004915;3.93166250404284;349.243316004443;528.66825491933;210.022877226521;883.320615819275;2618.05995330743;362.134713750382;790.932079330432;473.771807160178;991.221353066433;1272.35389642086;1307.52653484882;343.397419074095;38.1795220377437;205.930130818424;727.711182310605;1612.38569836672;1999.03449696601;2407.18060443371;1597.6609834551;809.519620978608;2574.28672266037;226.734773394246;3037.96536831656;3054.57731300939;866.738650135014;83.6773596906433;2552.06971725772
2B033;2B;2B0330202;H;1;1065.49472208232;995.684111180642;40.696632395176;29.1139785065043;215.486383687432;846.619898034967;6.80217390393595;76.4172913655195;371.128484837057;357.543004126584;183.793156947545;10.3216247932475;20.5392812975706;83.2896125495531;459.657889263593;256.920657640487;90.715444288929;74.2396013472614;992.422446792335;34.6711137583143;81.6827219077476;328.240797280016;485.624061394259;25.759334013725;195.861000584228;19.2654495976482;45.1707302218845;17.8680213088738;73.280125822257;19.1587399517762;21.1179336817886;793.173005848184;15.4056641606661;33.9750227013001;310.372775971143;412.343935572002;6.6005940619488;14.4750133811244;995.684111180642;100.767363756354;204.927508692338;219.490660389366;470.498578342584;501.97155119642;485.895350451304;150.633079825835;7.81720953291759;25.3748251966548;477.367137901354;431.79777457128;386.067877650004;822.938116904177;591.0234566355;231.914660268678;991.436351402787;72.2927850274114;1132.34599943416;1228.98803499522;351.49337369898;20.189964210446;977.082475590992
2B033;2B;2B0330301;H;1;806.995771599226;797.691764695238;2.10562672268565;7.19838018130221;6.72143074202571;791.658662602697;14.1917236547642;53.2103403987517;350.257132875866;296.440476403733;83.5920913621226;3.54793091369105;35.5002993458989;186.66598190046;339.018034315688;165.187415807865;65.6564358594121;2.11566655222311;774.419432620784;3.1518266966969;3.54793091369105;302.287102030609;366.708661618327;8.74382953924007;6.72143074202571;0.0;3.54793091369105;1.05783327611155;2.11566655222311;0.0;0.0;759.082323624255;3.1518266966969;0.0;292.613590499994;364.592995066104;8.74382953924007;89.9800818222194;797.691764695238;71.9668608265743;122.698127344717;137.40688813021;465.619888393737;191.888233857942;602.255599923605;494.067214878247;3.54793091369105;288.403031966048;351.49296823872;156.737931214358;388.760036587905;620.274066580863;407.943713355313;212.33035322555;797.691764695238;101.121336410308;422.353910446545;1471.75563473025;1190.25368949221;7.0958618273821;797.691764695238
2B033;2B;2B0330302;H;1;1302.49324226679;1274.85269682632;9.96860345060983;17.6719419898587;32.0848106475407;1270.40843161925;73.1612118992173;110.976518022038;532.279731794425;466.584215757192;91.8510193534498;19.7867361369422;113.830707253735;354.85632069974;466.818939827328;259.951726382262;48.6632160313679;10.9450504949451;1271.73540719408;8.67305893906526;0.0;674.175152630731;444.762516742073;71.664171172053;32.0848106475407;0.0;0.0;18.2809037554576;13.8039068920831;0.0;0.0;1239.65059654654;8.67305893906526;0.0;655.894248875274;430.95860984999;71.664171172053;72.4605077101556;1274.85269682632;134.942835705197;211.300011962517;213.240548656016;715.369300502591;424.807952846033;844.531013658132;362.111776193941;5.51373032215537;51.9197927045285;720.917574926205;492.240996260496;628.032834585696;1022.32740194669;723.536448395969;298.790953550718;1257.30000235522;148.213257003909;879.277061200505;2034.66562583614;820.0315417418;12.128734640337;1209.00712685108
