INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
42044;42;420440101;22.3;13600;16950;20950;0.43;0.197;49.0;43.6;4.1;1.3;42.8;4.5;13.3;4.0;5.8;3.5
42044;42;420440102;27.7;12610;16740;21310;0.52;0.213;45.4;39.9;4.4;1.1;43.9;5.8;14.3;3.4;6.9;4.0
42044;42;420440103;24.3;13210;17960;22660;0.53;0.225;66.4;58.8;4.9;2.7;27.7;5.2;11.8;4.9;4.4;2.5
42044;42;420440201;;10960;13960;18930;0.57;0.22;56.0;48.0;5.1;2.9;27.3;3.1;22.0;7.8;9.1;5.1
42044;42;420440202;;16680;21120;26490;0.46;0.212;62.1;57.7;2.7;1.7;38.5;7.4;5.9;3.1;1.7;1.1
42044;42;420440203;14.7;15700;20770;25360;0.47;0.213;71.9;65.5;3.1;3.3;28.0;5.6;7.9;3.6;2.9;1.4
42095;42;420950101;25.5;12960;17900;22830;0.55;0.246;49.2;42.9;3.4;2.9;42.5;7.8;12.4;3.6;5.6;3.2
42095;42;420950102;19.6;14330;19230;23890;0.5;0.245;47.3;42.0;2.9;2.4;47.8;9.8;8.1;2.2;3.8;2.1
42095;42;420950201;16.2;15330;20910;26380;0.53;0.23;71.9;65.1;3.2;3.6;27.7;7.2;7.4;3.4;2.6;1.4
42095;42;420950202;23.2;13610;17490;22780;0.52;0.238;54.0;48.4;3.9;1.7;38.2;7.2;11.8;3.5;5.0;3.3
42095;42;420950203;33.9;11980;15050;20510;0.57;0.229;44.3;38.7;4.9;0.7;43.0;7.0;16.4;4.3;7.7;4.4
42095;42;420950204;14.7;15690;20070;25290;0.48;0.211;59.6;53.6;3.6;2.4;39.0;5.5;8.7;3.4;3.4;1.9
42095;42;420950205;16.3;15090;20110;24650;0.48;0.202;68.2;62.4;3.1;2.7;31.4;4.8;8.2;3.7;2.9;1.6
42095;42;420950301;36.3;11570;15460;21220;0.62;0.255;58.4;49.6;5.3;3.5;30.1;4.4;17.8;5.3;8.1;4.4
42095;42;420950302;22.3;13580;17930;22030;0.47;0.222;57.3;52.3;3.5;1.5;36.1;6.7;11.1;3.6;4.8;2.7
42147;42;421470101;;17670;22820;30140;0.55;0.27;54.4;46.9;2.6;4.9;42.1;15.8;4.3;1.3;2.0;1.0
42147;42;421470102;25.8;12950;17680;22940;0.56;0.275;68.1;58.7;4.4;5.0;26.0;7.6;12.1;1.8;6.7;3.6
42147;42;421470201;8.0;18290;23220;29810;0.5;0.239;69.0;62.3;2.3;4.4;32.7;10.9;3.9;1.7;1.5;0.7
42147;42;421470202;10.9;16530;20840;26840;0.49;0.246;63.7;56.0;3.0;4.7;35.0;10.8;6.0;2.0;2.6;1.4
42147;42;421470301;7.9;17920;22670;28280;0.46;0.235;70.5;62.9;2.4;5.2;30.7;9.3;5.0;2.3;1.8;0.9
42147;42;421470302;;12570;16420;21610;0.55;0.223;57.6;52.5;4.0;1.1;32.0;5.6;15.3;4.3;7.3;3.7
42184;42;421840101;;16850;21260;26520;0.45;0.206;54.1;50.2;2.5;1.4;45.0;9.1;5.2;1.9;2.3;1.0
42184;42;421840103;11.1;16720;21340;27210;0.49;0.268;59.8;50.6;2.0;7.2;39.3;10.6;6.1;1.6;3.1;1.4
42184;42;421840104;11.4;16640;21320;27300;0.5;0.275;71.3;64.3;2.7;4.3;30.7;9.8;5.7;2.3;2.1;1.3
42184;42;421840105;10.8;17010;21540;27210;0.47;0.224;58.9;53.8;2.5;2.6;41.0;8.2;5.8;1.6;2.7;1.5
42184;42;421840106;;17010;22780;30450;0.59;0.327;71.6;60.9;2.5;8.2;27.2;16.9;4.3;2.1;1.4;0.8
42186;42;421860101;19.0;14130;19740;24670;0.53;0.232;70.3;64.6;2.7;3.0;26.7;7.3;9.1;4.0;3.2;1.9
42186;42;421860102;16.3;15080;20080;25680;0.53;0.235;71.0;64.3;4.1;2.6;28.7;6.1;7.6;2.9;3.1;1.6
42186;42;421860103;36.7;11340;15250;19840;0.56;0.236;53.0;47.1;5.0;0.9;33.8;4.6;17.6;5.0;7.8;4.8
42186;42;421860105;;11700;15450;19670;0.52;0.209;58.2;52.6;4.9;0.7;28.9;2.7;18.9;7.3;7.0;4.6
42186;42;421860106;14.2;16290;20790;26050;0.47;0.221;74.9;68.2;3.4;3.3;24.9;6.8;7.5;3.5;2.6;1.4
42187;42;421870101;18.9;14570;20160;27080;0.62;0.294;63.8;56.4;2.9;4.5;33.9;12.0;7.2;1.4;3.6;2.2
42187;42;421870201;13.2;15740;21040;27450;0.56;0.257;53.0;47.1;2.6;3.3;44.9;11.1;6.1;1.2;3.1;1.8
42187;42;421870202;19.6;14390;19950;27310;0.65;0.313;57.0;48.9;2.6;5.5;39.0;13.3;7.5;1.8;3.5;2.2
42187;42;421870302;43.0;10940;14030;18760;0.56;0.238;45.4;40.1;4.2;1.1;38.5;4.8;20.2;5.4;9.2;5.6
42187;42;421870303;23.0;13560;18640;24080;0.56;0.237;46.3;42.0;2.9;1.4;49.3;7.8;9.2;1.9;4.8;2.5
